ENSAMEP00000000839	ENSAMEG00000000760	Ailuropoda_melanoleuca
ENSETEP00000003984	ENSETEG00000004877	Echinops_telfairi
ENSTTRP00000006857	ENSTTRG00000007245	Tursiops_truncatus
ENSBMUP00000028703	ENSBMUG00000021510	Bos_mutus
ENSRNOP00000016992	ENSRNOG00000012397	Rattus_norvegicus
ENSCANP00000025958	ENSCANG00000036258	Colobus_angolensis_palliatus
ENSPMJP00000008129	ENSPMJG00000006638	Parus_major
ENSPPYP00000001799	ENSPPYG00000001559	Pongo_abelii
ENSUPAP00010000708	ENSUPAG00010000592	Urocitellus_parryii
ENSHGLP00100007116	ENSHGLG00100005343	Heterocephalus_glaber_HetGla_1.0
ENSPKIP00000007003	ENSPKIG00000023057	Paramormyrops_kingsleyae
ENSTGUP00000001772	ENSTGUG00000001709	Taeniopygia_guttata
ENSOPRP00000012540	ENSOPRG00000013718	Ochotona_princeps
MGP_SPRETEiJ_P0066961	MGP_SPRETEiJ_G0027465	Mus_spretus_strain_SPRET/EiJ
ENSACAP00000013054	ENSACAG00000013198	Anolis_carolinensis
ENSCATP00000022835	ENSCATG00000034945	Cercocebus_atys
ENSCAFP00000056469	ENSCAFG00000003583	Canis_lupus_familiaris
ENSARWP00000013740	ENSARWG00000009497	Apteryx_rowi	ENSARWT00000015691
ENSMNEP00000007786	ENSMNEG00000028361	Macaca_nemestrina
ENSLAFP00000006166	ENSLAFG00000007332	Loxodonta_africana
ENSSBOP00000033907	ENSSBOG00000033026	Saimiri_boliviensis_boliviensis
ENSMAUP00000011936	ENSMAUG00000012351	Mesocricetus_auratus
ENSDNOP00000013686	ENSDNOG00000017647	Dasypus_novemcinctus
ENSECAP00000037565	ENSECAG00000008800	Equus_caballus
ENSMSIP00000019930	ENSMSIG00000016864	Mus_spicilegus
ENSFCAP00000039219	ENSFCAG00000029162	Felis_catus
ENSP00000421752	ENSG00000271741	Homo_sapiens
ENSP00000322915	ENSG00000146463	Homo_sapiens
ENSVURP00010004923	ENSVURG00010003887	Vombatus_ursinus
ENSMLUP00000012474	ENSMLUG00000013694	Myotis_lucifugus
ENSUAMP00000001234	ENSUAMG00000001176	Ursus_americanus
ENSMVIP00005017745	ENSMVIG00005012523	Manacus_vitellinus
ENSTGEP00000022650	ENSTGEG00000018322	Theropithecus_gelada
ENSVPAP00000001125	ENSVPAG00000001219	Vicugna_pacos
ENSMMMP00000008958	ENSMMMG00000007967	Marmota_marmota_marmota
ENSNVIP00000014940	ENSNVIG00000011677	Neovison_vison
ENSGAGP00000023548	ENSGAGG00000016088	Gopherus_agassizii
ENSCAPP00000006149	ENSCAPG00000008320	Cavia_aperea
ENSBIXP00005023954	ENSBIXG00005004548	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMUGP00000027960	ENSMUGG00000023241	Meriones_unguiculatus
ENSPEMP00000025880	ENSPEMG00000022163	Peromyscus_maniculatus_bairdii
ENSTSYP00000030724	ENSTSYG00000004468	Carlito_syrichta
ENSCHIP00000033579	ENSCHIG00000027080	Capra_hircus
ENSMPUP00000014830	ENSMPUG00000014941	Mustela_putorius_furo
ENSMICP00000018928	ENSMICG00000031294	Microcebus_murinus
ENSAPLP00000002425	ENSAPLG00000002899	Anas_platyrhynchos_platyrhynchos
ENSABRP00000024822	ENSABRG00000020832	Anser_brachyrhynchus	ENSABRT00000034806
ENSSHAP00000019308	ENSSHAG00000016398	Sarcophilus_harrisii
ENSCGRP00000023485	ENSCGRG00000017003	Cricetulus_griseus_CriGri_1.0
ENSMODP00000022358	ENSMODG00000017927	Monodelphis_domestica
ENSCCNP00000022477	ENSCCNG00000022095	Castor_canadensis
ENSJHYP00000007785	ENSJHYG00000006213	Junco_hyemalis
ENSMUSP00000101714	ENSMUSG00000042446	Mus_musculus_strain_reference_(CL57BL6)
ENSOANP00000016745	ENSOANG00000010569	Ornithorhynchus_anatinus
ENSUAMP00000002538	ENSUAMG00000001306	Ursus_americanus
ENSOANP00000016742	ENSOANG00000010566	Ornithorhynchus_anatinus
ENSSARP00000000355	ENSSARG00000000380	Sorex_araneus
ENSCJPP00005021369	ENSCJPG00005017094	Coturnix_japonica
ENSBBBP00000013787	ENSBBBG00000021494	Bison_bison_bison
ENSNLEP00000013353	ENSNLEG00000010891	Nomascus_leucogenys
ENSXETP00000048309	ENSXETG00000019116	Xenopus_tropicalis
ENSOANP00000030440	ENSOANG00000030944	Ornithorhynchus_anatinus
ENSPVIP00000006282	ENSPVIG00000004229	Pogona_vitticeps
ENSTBEP00000010484	ENSTBEG00000012066	Tupaia_belangeri
ENSHGLP00000020240	ENSHGLG00000014478	Heterocephalus_glaber_HetGla_female_1.0
ENSCPBP00000026289	ENSCPBG00000018655	Chrysemys_picta_bellii
ENSPTIP00000006919	ENSPTIG00000008677	Panthera_tigris_altaica
ENSPCIP00000000919	ENSPCIG00000000748	Phascolarctos_cinereus
ENSECRP00000018013	ENSECRG00000012035	Erpetoichthys_calabaricus
