ENSEEUP00000006763	ENSEEUG00000007435	Erinaceus_europaeus
ENSCHIP00000017426	ENSCHIG00000017280	Capra_hircus
ENSDORP00000005478	ENSDORG00000005852	Dipodomys_ordii
ENSMOCP00000013767	ENSMOCG00000013458	Microtus_ochrogaster
MGP_PahariEiJ_P0034592	MGP_PahariEiJ_G0017767	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0034592
ENSCGRP00015007666	ENSCGRG00015005968	Cricetulus_griseus_CriGri-PICR
ENSNVIP00000025644	ENSNVIG00000019838	Neovison_vison
ENSMLUP00000014231	ENSMLUG00000015627	Myotis_lucifugus
ENSMUGP00000027378	ENSMUGG00000022775	Meriones_unguiculatus
ENSCJAP00000022086	ENSCJAG00000012028	Callithrix_jacchus
ENSPPYP00000008831	ENSPPYG00000007843	Pongo_abelii
ENSCGRP00001006818	ENSCGRG00001009273	Cricetulus_griseus_CHOK1GS_HDv1
ENSPEMP00000011427	ENSPEMG00000012078	Peromyscus_maniculatus_bairdii
ENSLAFP00000012749	ENSLAFG00000015227	Loxodonta_africana
ENSSSCP00000018978	ENSSSCG00000017914	Sus_scrofa_strain_reference
ENSJJAP00000009779	ENSJJAG00000013546	Jaculus_jaculus
ENSMICP00000000143	ENSMICG00000000159	Microcebus_murinus
ENSBTAP00000055094	ENSBTAG00000048034	Bos_taurus
ENSFDAP00000018756	ENSFDAG00000009603	Fukomys_damarensis
ENSPPAP00000015824	ENSPPAG00000031037	Pan_paniscus
ENSPSMP00000003616	ENSPSMG00000002962	Prolemur_simus
ENSVPAP00000011214	ENSVPAG00000012052	Vicugna_pacos
ENSDNOP00000002308	ENSDNOG00000002984	Dasypus_novemcinctus
ENSFCAP00000054972	ENSFCAG00000043164	Felis_catus
ENSPPRP00000024779	ENSPPRG00000014949	Panthera_pardus
ENSCAFP00000039563	ENSCAFG00000015863	Canis_lupus_familiaris
ENSPTRP00000014695	ENSPTRG00000008608	Pan_troglodytes
ENSNGAP00000002084	ENSNGAG00000001622	Nannospalax_galili
ENSGGOP00000011181	ENSGGOG00000011462	Gorilla_gorilla
ENSMSIP00000024480	ENSMSIG00000020711	Mus_spicilegus	ENSMSIT00000030894
MGP_SPRETEiJ_P0029224	MGP_SPRETEiJ_G0017472	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0029224
ENSRBIP00000013297	ENSRBIG00000030670	Rhinopithecus_bieti
ENSNLEP00000021118	ENSNLEG00000017406	Nomascus_leucogenys
ENSTSYP00000020665	ENSTSYG00000035674	Carlito_syrichta
ENSPTEP00000041228	ENSPTEG00000037819	Piliocolobus_tephrosceles
ENSCSAP00000009212	ENSCSAG00000013039	Chlorocebus_sabaeus
