ENSCSEP00000002754	ENSCSEG00000001810	Cynoglossus_semilaevis
ENSBIXP00005000597	ENSBIXG00005029967	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000011574	ENSBIXG00000006989	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00000033997	ENSBIXG00000016893	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000073556	ENSBTAG00000049359	Bos_taurus
ENSBBBP00000013858	ENSBBBG00000021554	Bison_bison_bison
ENSBIXP00000011666	ENSBIXG00000016886	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005029293	ENSBIXG00005009235	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000028313	ENSBBBG00000007739	Bison_bison_bison
ENSBIXP00005018830	ENSBIXG00005003754	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000007402	ENSBIXG00000001338	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSOARP00000015243	ENSOARG00000014196	Ovis_aries
ENSBMUP00000020298	ENSBMUG00000015295	Bos_mutus
ENSTTRP00000000827	ENSTTRG00000000875	Tursiops_truncatus
ENSSSCP00000053987	ENSSSCG00000010893	Sus_scrofa_strain_reference
ENSVPAP00000006897	ENSVPAG00000007414	Vicugna_pacos
ENSMLUP00000016492	ENSMLUG00000023543	Myotis_lucifugus
ENSMLUP00000003035	ENSMLUG00000003329	Myotis_lucifugus
ENSMLUP00000018948	ENSMLUG00000028191	Myotis_lucifugus
ENSMLUP00000017947	ENSMLUG00000025700	Myotis_lucifugus
ENSMLUP00000020290	ENSMLUG00000024529	Myotis_lucifugus
ENSMLUP00000022737	ENSMLUG00000025375	Myotis_lucifugus
ENSMLUP00000021550	ENSMLUG00000024083	Myotis_lucifugus
ENSPVAP00000005739	ENSPVAG00000006073	Pteropus_vampyrus
ENSPVAP00000013015	ENSPVAG00000013804	Pteropus_vampyrus
ENSEEUP00000007293	ENSEEUG00000007976	Erinaceus_europaeus
ENSSARP00000008342	ENSSARG00000009221	Sorex_araneus
ENSCAFP00000015145	ENSCAFG00000010290	Canis_lupus_familiaris
ENSCAFP00020005816	ENSCAFG00020004647	Canis_lupus_dingo
ENSVVUP00000018340	ENSVVUG00000013518	Vulpes_vulpes
ENSUAMP00000003747	ENSUAMG00000003420	Ursus_americanus
ENSUAMP00000029521	ENSUAMG00000022743	Ursus_americanus
ENSUMAP00000006566	ENSUMAG00000004615	Ursus_maritimus
ENSAMEP00000012525	ENSAMEG00000011898	Ailuropoda_melanoleuca
ENSPTIP00000025238	ENSPTIG00000021090	Panthera_tigris_altaica
ENSPPRP00000011337	ENSPPRG00000005253	Panthera_pardus
ENSPTIP00000018941	ENSPTIG00000016910	Panthera_tigris_altaica
ENSFCAP00000060304	ENSFCAG00000052577	Felis_catus
ENSFCAP00000058328	ENSFCAG00000044877	Felis_catus
ENSFCAP00000059465	ENSFCAG00000047061	Felis_catus
ENSECAP00000028923	ENSECAG00000032968	Equus_caballus
ENSEASP00005004426	ENSEASG00005003302	Equus_asinus_asinus
ENSECAP00000009688	ENSECAG00000011256	Equus_caballus
ENSECAP00000009652	ENSECAG00000011534	Equus_caballus
ENSECAP00000032632	ENSECAG00000028535	Equus_caballus
ENSEASP00005005350	ENSEASG00005003985	Equus_asinus_asinus
ENSEASP00005004334	ENSEASG00005003281	Equus_asinus_asinus
ENSEASP00005004328	ENSEASG00005003274	Equus_asinus_asinus
ENSECAP00000048071	ENSECAG00000030731	Equus_caballus
ENSRNOP00000070600	ENSRNOG00000052604	Rattus_norvegicus
ENSRNOP00000056904	ENSRNOG00000021575	Rattus_norvegicus
ENSNGAP00000010166	ENSNGAG00000012660	Nannospalax_galili
ENSCCNP00000030265	ENSCCNG00000028991	Castor_canadensis
ENSSDAP00000025377	ENSSDAG00000022981	Spermophilus_dauricus
ENSSDAP00000010717	ENSSDAG00000009694	Spermophilus_dauricus
ENSSDAP00000025123	ENSSDAG00000022655	Spermophilus_dauricus
ENSSTOP00000013903	ENSSTOG00000015522	Ictidomys_tridecemlineatus
ENSMMMP00000005294	ENSMMMG00000004816	Marmota_marmota_marmota
ENSCLAP00000020859	ENSCLAG00000014293	Chinchilla_lanigera
ENSCPOP00000005165	ENSCPOG00000005727	Cavia_porcellus
ENSOCUP00000048182	ENSOCUG00000016509	Oryctolagus_cuniculus
ENSOPRP00000012397	ENSOPRG00000013561	Ochotona_princeps
ENSTBEP00000009467	ENSTBEG00000010938	Tupaia_belangeri
ENSTBEP00000008030	ENSTBEG00000009253	Tupaia_belangeri
ENSTBEP00000011813	ENSTBEG00000013624	Tupaia_belangeri
ENSLAFP00000011744	ENSLAFG00000014022	Loxodonta_africana
ENSLAFP00000028804	ENSLAFG00000000820	Loxodonta_africana
ENSPCAP00000008615	ENSPCAG00000009161	Procavia_capensis
ENSETEP00000003338	ENSETEG00000004065	Echinops_telfairi
ENSCHOP00000011261	ENSCHOG00000012711	Choloepus_hoffmanni
ENSPSIP00000016530	ENSPSIG00000014738	Pelodiscus_sinensis
ENSPSIP00000006133	ENSPSIG00000005694	Pelodiscus_sinensis
ENSGAGP00000015929	ENSGAGG00000011991	Gopherus_agassizii
ENSGAGP00000035159	ENSGAGG00000024987	Gopherus_agassizii
ENSCABP00000006840	ENSCABG00000005178	Chelonoidis_abingdonii
ENSCPBP00000041177	ENSCPBG00000028261	Chrysemys_picta_bellii
ENSCABP00000006843	ENSCABG00000005182	Chelonoidis_abingdonii
ENSGAGP00000001751	ENSGAGG00000001398	Gopherus_agassizii
ENSCABP00000006841	ENSCABG00000005180	Chelonoidis_abingdonii
ENSGAGP00000035146	ENSGAGG00000024982	Gopherus_agassizii
ENSPSIP00000016789	ENSPSIG00000014921	Pelodiscus_sinensis
ENSGALP00000064921	ENSGALG00000002431	Gallus_gallus
ENSMGAP00000005534	ENSMGAG00000005537	Meleagris_gallopavo
ENSCJPP00005027235	ENSCJPG00005021128	Coturnix_japonica
ENSNMEP00000023779	ENSNMEG00000020229	Numida_meleagris
ENSCPUP00000001474	ENSCPUG00000001117	Calidris_pugnax
ENSCPGP00000005834	ENSCPGG00000004165	Calidris_pygmaea
ENSAPLP00000026538	ENSAPLG00000024199	Anas_platyrhynchos_platyrhynchos
ENSABRP00000027603	ENSABRG00000022987	Anser_brachyrhynchus
ENSMVIP00005022297	ENSMVIG00005015635	Manacus_vitellinus
ENSLCOP00000014696	ENSLCOG00000010438	Lepidothrix_coronata
ENSLSDP00000013950	ENSLSDG00000010077	Lonchura_striata_domestica
ENSTGUP00000004354	ENSTGUG00000004224	Taeniopygia_guttata
ENSSCAP00000015843	ENSSCAG00000011598	Serinus_canaria
ENSJHYP00000021842	ENSJHYG00000016515	Junco_hyemalis
ENSJHYP00000021843	ENSJHYG00000016516	Junco_hyemalis
ENSZALP00000019072	ENSZALG00000015190	Zonotrichia_albicollis
ENSFALP00000002986	ENSFALG00000002866	Ficedula_albicollis
ENSPMJP00000026360	ENSPMJG00000019263	Parus_major
ENSCCEP00000017512	ENSCCEG00000016205	Cyanistes_caeruleus
ENSMUNP00000012603	ENSMUNG00000009872	Melopsittacus_undulatus
ENSAOWP00000015673	ENSAOWG00000010658	Apteryx_owenii
ENSAHAP00000020466	ENSAHAG00000014404	Apteryx_haastii
ENSARWP00000005363	ENSARWG00000003839	Apteryx_rowi
ENSDNVP00000005100	ENSDNVG00000003661	Dromaius_novaehollandiae
ENSAOWP00000006236	ENSAOWG00000004294	Apteryx_owenii
ENSAOWP00000006224	ENSAOWG00000004291	Apteryx_owenii
ENSAHAP00000022795	ENSAHAG00000015968	Apteryx_haastii
ENSCABP00000031644	ENSCABG00000023108	Chelonoidis_abingdonii
ENSCPGP00000005807	ENSCPGG00000004149	Calidris_pygmaea
ENSCJPP00005027236	ENSCJPG00005021130	Coturnix_japonica
ENSNPEP00000006313	ENSNPEG00000004776	Nothoprocta_perdicaria
ENSNPEP00000006303	ENSNPEG00000004715	Nothoprocta_perdicaria
ENSNPEP00000006328	ENSNPEG00000004781	Nothoprocta_perdicaria
ENSDNVP00000013648	ENSDNVG00000009616	Dromaius_novaehollandiae
ENSPVIP00000011351	ENSPVIG00000008912	Pogona_vitticeps
ENSPVIP00000011349	ENSPVIG00000008911	Pogona_vitticeps
ENSPVIP00000010039	ENSPVIG00000007979	Pogona_vitticeps
ENSPVIP00000005284	ENSPVIG00000004296	Pogona_vitticeps
ENSACAP00000019723	ENSACAG00000026198	Anolis_carolinensis
ENSACAP00000009054	ENSACAG00000009262	Anolis_carolinensis
ENSACAP00000009050	ENSACAG00000009208	Anolis_carolinensis
ENSSMRP00000018693	ENSSMRG00000014549	Salvator_merianae
ENSPVIP00000011366	ENSPVIG00000008914	Pogona_vitticeps
ENSACAP00000020706	ENSACAG00000026504	Anolis_carolinensis
ENSSMRP00000018694	ENSSMRG00000014550	Salvator_merianae
ENSSMRP00000018695	ENSSMRG00000014551	Salvator_merianae
ENSSMRP00000018699	ENSSMRG00000014555	Salvator_merianae
ENSSMRP00000018703	ENSSMRG00000014559	Salvator_merianae
ENSSMRP00000018701	ENSSMRG00000014557	Salvator_merianae
ENSOANP00000028839	ENSOANG00000001407	Ornithorhynchus_anatinus
ENSOANP00000012522	ENSOANG00000007863	Ornithorhynchus_anatinus
ENSOANP00000012523	ENSOANG00000007864	Ornithorhynchus_anatinus
ENSOANP00000012540	ENSOANG00000007875	Ornithorhynchus_anatinus
ENSGAGP00000012008	ENSGAGG00000009252	Gopherus_agassizii
ENSCPBP00000041182	ENSCPBG00000028265	Chrysemys_picta_bellii
ENSXETP00000045890	ENSXETG00000020131	Xenopus_tropicalis
ENSXETP00000045898	ENSXETG00000017679	Xenopus_tropicalis
ENSMEUP00000013335	ENSMEUG00000014595	Notamacropus_eugenii
ENSPSIP00000007155	ENSPSIG00000006590	Pelodiscus_sinensis
ENSLACP00000022159	ENSLACG00000022101	Latimeria_chalumnae
ENSSFOP00015004157	ENSSFOG00015002688	Scleropages_formosus
ENSCMIP00000046685	ENSCMIG00000019170	Callorhinchus_milii
