ENSCSAP00000009148	ENSCSAG00000012996	Chlorocebus_sabaeus
ENSBBBP00000008835	ENSBBBG00000016879	Bison_bison_bison
ENSOMEP00000015270	ENSOMEG00000016844	Oryzias_melastigma
ENSGACP00000017139	ENSGACG00000012964	Gasterosteus_aculeatus
ENSMPUP00000009849	ENSMPUG00000009924	Mustela_putorius_furo
ENSGMOP00000013036	ENSGMOG00000012170	Gadus_morhua
ENSLOCP00000006250	ENSLOCG00000005192	Lepisosteus_oculatus
ENSTTRP00000010733	ENSTTRG00000011320	Tursiops_truncatus
ENSPREP00000001065	ENSPREG00000000754	Poecilia_reticulata
ENSBSLP00000003607	ENSBSLG00000001964	Betta_splendens
ENSAMXP00000005784	ENSAMXG00000005649	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCVAP00000014876	ENSCVAG00000017644	Cyprinodon_variegatus
ENSHGLP00000025365	ENSHGLG00000018075	Heterocephalus_glaber_HetGla_female_1.0
ENSAHAP00000004026	ENSAHAG00000003162	Apteryx_haastii
ENSDCDP00000037728	ENSDCDG00000025187	Denticeps_clupeoides
ENSCGOP00000026756	ENSCGOG00000012592	Cottoperca_gobio
ENSKMAP00000008179	ENSKMAG00000006148	Kryptolebias_marmoratus
ENSATEP00000034950	ENSATEG00000024020	Anabas_testudineus
ENSCAFP00000029177	ENSCAFG00000019716	Canis_lupus_familiaris
ENSSPAP00000024707	ENSSPAG00000018584	Stegastes_partitus
ENSPEMP00000007334	ENSPEMG00000009305	Peromyscus_maniculatus_bairdii
ENSACLP00000003296	ENSACLG00000002245	Astatotilapia_calliptera
ENSPCOP00000018237	ENSPCOG00000021011	Propithecus_coquereli
ENSCPRP00005021553	ENSCPRG00005014925	Crocodylus_porosus
ENSHCOP00000014885	ENSHCOG00000018398	Hippocampus_comes
ENSTNIP00000013558	ENSTNIG00000010643	Tetraodon_nigroviridis
ENSXCOP00000010900	ENSXCOG00000008234	Xiphophorus_couchianus
ENSIPUP00000001089	ENSIPUG00000000772	Ictalurus_punctatus
ENSOANP00000028087	ENSOANG00000004006	Ornithorhynchus_anatinus
ENSKMAP00000019151	ENSKMAG00000014214	Kryptolebias_marmoratus
ENSFHEP00000019358	ENSFHEG00000021278	Fundulus_heteroclitus
ENSATEP00000002004	ENSATEG00000001352	Anabas_testudineus
MGP_SPRETEiJ_P0024877	MGP_SPRETEiJ_G0016355	Mus_spretus_strain_SPRET/EiJ
ENSDCDP00000032790	ENSDCDG00000022346	Denticeps_clupeoides
ENSRNOP00000011837	ENSRNOG00000008831	Rattus_norvegicus
ENSPVAP00000007935	ENSPVAG00000008402	Pteropus_vampyrus
ENSORLP00020003139	ENSORLG00020000066	Oryzias_latipes_ASM223471v1
ENSAMXP00000018797	ENSAMXG00000018236	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSACLP00000005657	ENSACLG00000003818	Astatotilapia_calliptera
ENSLOCP00000013442	ENSLOCG00000010952	Lepisosteus_oculatus
ENSACLP00000025710	ENSACLG00000017444	Astatotilapia_calliptera
ENSPANP00000032128	ENSPANG00000033851	Papio_anubis
ENSGWIP00000054495	ENSGWIG00000026040	Gouania_willdenowi
ENSGAGP00000006857	ENSGAGG00000005530	Gopherus_agassizii
ENSIPUP00000018828	ENSIPUG00000012780	Ictalurus_punctatus
ENSAPOP00000022706	ENSAPOG00000004065	Acanthochromis_polyacanthus
ENSSPUP00000012102	ENSSPUG00000009220	Sphenodon_punctatus
ENSCHAP00000047558	ENSCHAG00000021853	Clupea_harengus
ENSCJAP00000054500	ENSCJAG00000044532	Callithrix_jacchus
ENSPMGP00000017863	ENSPMGG00000014624	Periophthalmus_magnuspinnatus
ENSHHUP00000015034	ENSHHUG00000009319	Hucho_hucho
ENSSPAP00000030051	ENSSPAG00000022582	Stegastes_partitus
ENSMVIP00005022157	ENSMVIG00005015555	Manacus_vitellinus
ENSAMXP00005007233	ENSAMXG00005004337	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPPYP00000010418	ENSPPYG00000009281	Pongo_abelii
ENSORLP00020000212	ENSORLG00020022475	Oryzias_latipes_ASM223471v1
ENSHCOP00000017415	ENSHCOG00000001200	Hippocampus_comes
ENSPKIP00000009460	ENSPKIG00000024564	Paramormyrops_kingsleyae
ENSHBUP00000034389	ENSHBUG00000021923	Haplochromis_burtoni
ENSCLAP00000010541	ENSCLAG00000007275	Chinchilla_lanigera
ENSSMRP00000020990	ENSSMRG00000016345	Salvator_merianae
ENSPCAP00000010006	ENSPCAG00000010672	Procavia_capensis
ENSTNIP00000018742	ENSTNIG00000015667	Tetraodon_nigroviridis	ENSTNIT00000018970
ENSMGAP00000002858	ENSMGAG00000003181	Meleagris_gallopavo
ENSMAMP00000014700	ENSMAMG00000009954	Mastacembelus_armatus
ENSGACP00000001828	ENSGACG00000001411	Gasterosteus_aculeatus	ENSGACT00000001830
ENSAOWP00000019803	ENSAOWG00000013413	Apteryx_owenii
ENSAPEP00000011209	ENSAPEG00000008018	Amphiprion_percula
ENSCMIP00000006096	ENSCMIG00000003509	Callorhinchus_milii
ENSPMEP00000029237	ENSPMEG00000014892	Poecilia_mexicana
ENSACIP00000008409	ENSACIG00000006573	Amphilophus_citrinellus
ENSDARP00000117555	ENSDARG00000077382	Danio_rerio
ENSGACP00000020085	ENSGACG00000015230	Gasterosteus_aculeatus
ENSCGRP00000013139	ENSCGRG00000009558	Cricetulus_griseus_CriGri_1.0
ENSMLUP00000008389	ENSMLUG00000009201	Myotis_lucifugus
ENSPFOP00000015932	ENSPFOG00000015842	Poecilia_formosa
MGP_CAROLIEiJ_P0023728	MGP_CAROLIEiJ_G0015537	Mus_caroli_strain_CAROLI_EIJ
ENSMALP00000029336	ENSMALG00000020292	Monopterus_albus
ENSHBUP00000027040	ENSHBUG00000010015	Haplochromis_burtoni
ENSHHUP00000065632	ENSHHUG00000038756	Hucho_hucho
ENSPLAP00000024570	ENSPLAG00000010896	Poecilia_latipinna
ENSPLAP00000004675	ENSPLAG00000006443	Poecilia_latipinna
ENSLCAP00010006100	ENSLCAG00010003034	Lates_calcarifer
ENSPNYP00000009241	ENSPNYG00000007014	Pundamilia_nyererei
ENSORLP00000010835	ENSORLG00000008639	Oryzias_latipes_ASM223467v1
ENSONIP00000003016	ENSONIG00000002411	Oreochromis_niloticus
ENSANAP00000042415	ENSANAG00000038491	Aotus_nancymaae
ENSNLEP00000000832	ENSNLEG00000000712	Nomascus_leucogenys
ENSXCOP00000024285	ENSXCOG00000018130	Xiphophorus_couchianus
ENSGMOP00000012672	ENSGMOG00000011849	Gadus_morhua
ENSPSMP00000033350	ENSPSMG00000023006	Prolemur_simus
ENSGAFP00000005895	ENSGAFG00000003990	Gambusia_affinis
ENSHHUP00000042899	ENSHHUG00000026382	Hucho_hucho	ENSHHUT00000044517
ENSXMAP00000014953	ENSXMAG00000014924	Xiphophorus_maculatus
ENSBTAP00000020032	ENSBTAG00000015050	Bos_taurus
ENSCCEP00000001167	ENSCCEG00000000839	Cyanistes_caeruleus
ENSELUP00000029343	ENSELUG00000006239	Esox_lucius	ENSELUT00000011115
ENSCSEP00000022699	ENSCSEG00000014456	Cynoglossus_semilaevis
ENSORLP00020016117	ENSORLG00020017152	Oryzias_latipes_ASM223471v1
ENSNBRP00000030935	ENSNBRG00000023521	Neolamprologus_brichardi
ENSMOCP00000025461	ENSMOCG00000021569	Microtus_ochrogaster
ENSCMIP00000014217	ENSCMIG00000007074	Callorhinchus_milii
ENSSLDP00000013831	ENSSLDG00000011003	Seriola_lalandi_dorsalis
ENSMUSP00000097113	ENSMUSG00000020331	Mus_musculus_strain_reference_(CL57BL6)
ENSPRNP00000035878	ENSPRNG00000017956	Parambassis_ranga
ENSDARP00000154157	ENSDARG00000116404	Danio_rerio
ENSPPAP00000030104	ENSPPAG00000038061	Pan_paniscus
ENSPRNP00000017485	ENSPRNG00000009264	Parambassis_ranga
ENSBMUP00000004226	ENSBMUG00000003313	Bos_mutus
ENSGAFP00000012615	ENSGAFG00000008519	Gambusia_affinis
ENSEEEP00000047761	ENSEEEG00000022480	Electrophorus_electricus
ENSPFOP00000018215	ENSPFOG00000018128	Poecilia_formosa
ENSPMEP00000007348	ENSPMEG00000000684	Poecilia_mexicana
ENSXETP00000010582	ENSXETG00000016639	Xenopus_tropicalis
ENSXMAP00000007434	ENSXMAG00000007411	Xiphophorus_maculatus
ENSLCAP00010043164	ENSLCAG00010020127	Lates_calcarifer
ENSNBRP00000014629	ENSNBRG00000011278	Neolamprologus_brichardi
ENSGMOP00000005202	ENSGMOG00000004914	Gadus_morhua
ENSEEEP00000049588	ENSEEEG00000023315	Electrophorus_electricus
ENSOGAP00000007081	ENSOGAG00000007910	Otolemur_garnettii
ENSMVIP00005002184	ENSMVIG00005001721	Manacus_vitellinus
ENSORLP00015015920	ENSORLG00015016884	Oryzias_latipes_ASM223469v1
ENSVVUP00000031005	ENSVVUG00000022497	Vulpes_vulpes
ENSAPEP00000024819	ENSAPEG00000017606	Amphiprion_percula
ENSPNAP00000025603	ENSPNAG00000010789	Pygocentrus_nattereri
ENSNSUP00000005457	ENSNSUG00000004390	Notechis_scutatus
ENSPMJP00000014530	ENSPMJG00000011030	Parus_major
ENSMUGP00000025786	ENSMUGG00000021496	Meriones_unguiculatus
ENSGGOP00000006736	ENSGGOG00000006884	Gorilla_gorilla
ENSMMMP00000011901	ENSMMMG00000010646	Marmota_marmota_marmota
ENSCHAP00000006190	ENSCHAG00000003730	Clupea_harengus
ENSORLP00000019257	ENSORLG00000015383	Oryzias_latipes_ASM223467v1
ENSAPLP00000029072	ENSAPLG00000018891	Anas_platyrhynchos_platyrhynchos
ENSNPEP00000002368	ENSNPEG00000001822	Nothoprocta_perdicaria
ENSLACP00000014109	ENSLACG00000012418	Latimeria_chalumnae
ENSCAPP00000002530	ENSCAPG00000005509	Cavia_aperea
ENSORLP00015035538	ENSORLG00015022217	Oryzias_latipes_ASM223469v1
ENSLOCP00000020824	ENSLOCG00000016847	Lepisosteus_oculatus
ENSHHUP00000087281	ENSHHUG00000050486	Hucho_hucho
ENSLAFP00000023436	ENSLAFG00000029031	Loxodonta_africana
ENSPFOP00000004340	ENSPFOG00000004285	Poecilia_formosa
ENSCGRP00001026334	ENSCGRG00001023674	Cricetulus_griseus_CHOK1GS_HDv1
ENSCANP00000014357	ENSCANG00000030618	Colobus_angolensis_palliatus
ENSPMGP00000028128	ENSPMGG00000022639	Periophthalmus_magnuspinnatus
ENSAPOP00000023648	ENSAPOG00000005673	Acanthochromis_polyacanthus
ENSAMEP00000002875	ENSAMEG00000002729	Ailuropoda_melanoleuca
ENSCAFP00020021299	ENSCAFG00020016829	Canis_lupus_dingo
ENSSMAP00000019386	ENSSMAG00000011876	Scophthalmus_maximus
ENSNGAP00000024130	ENSNGAG00000022487	Nannospalax_galili
ENSJHYP00000007506	ENSJHYG00000005977	Junco_hyemalis
ENSPNAP00000013927	ENSPNAG00000019842	Pygocentrus_nattereri
ENSCVAP00000022179	ENSCVAG00000004688	Cyprinodon_variegatus
ENSECAP00000043356	ENSECAG00000039849	Equus_caballus
ENSBSLP00000054556	ENSBSLG00000025594	Betta_splendens
ENSMMUP00000016774	ENSMMUG00000012768	Macaca_mulatta
ENSARWP00000015669	ENSARWG00000010812	Apteryx_rowi
ENSDCDP00000026060	ENSDCDG00000019108	Denticeps_clupeoides
ENSPREP00000026498	ENSPREG00000017898	Poecilia_reticulata
ENSCPGP00000018103	ENSCPGG00000012669	Calidris_pygmaea
ENSSPAP00000030652	ENSSPAG00000022985	Stegastes_partitus
ENSMMOP00000025663	ENSMMOG00000019447	Mola_mola
ENSCHIP00000024904	ENSCHIG00000021893	Capra_hircus
ENSSMAP00000004105	ENSSMAG00000002539	Scophthalmus_maximus
ENSCPUP00000010451	ENSCPUG00000007288	Calidris_pugnax
ENSCJPP00005012148	ENSCJPG00005010338	Coturnix_japonica
ENSSFOP00015015873	ENSSFOG00015010200	Scleropages_formosus
ENSSLDP00000013477	ENSSLDG00000010735	Seriola_lalandi_dorsalis
ENSPNAP00000009186	ENSPNAG00000003245	Pygocentrus_nattereri
ENSBSLP00000048115	ENSBSLG00000022916	Betta_splendens
ENSLCOP00000018767	ENSLCOG00000013222	Lepidothrix_coronata
ENSSDUP00000005921	ENSSDUG00000004356	Seriola_dumerili
ENSOARP00000009444	ENSOARG00000008798	Ovis_aries
ENSMODP00000049998	ENSMODG00000006487	Monodelphis_domestica
ENSNBRP00000025870	ENSNBRG00000019794	Neolamprologus_brichardi
ENSTRUP00000033090	ENSTRUG00000009472	Takifugu_rubripes
ENSEASP00005031564	ENSEASG00005021486	Equus_asinus_asinus
ENSGALP00000002046	ENSGALG00000001342	Gallus_gallus
ENSSDAP00000004142	ENSSDAG00000003873	Spermophilus_dauricus
ENSPFOP00000018213	ENSPFOG00000018114	Poecilia_formosa
ENSEEEP00000048286	ENSEEEG00000022739	Electrophorus_electricus
ENSMMOP00000013928	ENSMMOG00000010669	Mola_mola
ENSDARP00000118840	ENSDARG00000061665	Danio_rerio
ENSCMIP00000012402	ENSCMIG00000006318	Callorhinchus_milii
ENSHBUP00000023253	ENSHBUG00000003986	Haplochromis_burtoni
ENSFDAP00000004738	ENSFDAG00000013897	Fukomys_damarensis
ENSOMEP00000007222	ENSOMEG00000008323	Oryzias_melastigma
ENSODEP00000015871	ENSODEG00000011701	Octodon_degus
ENSCSEP00000014257	ENSCSEG00000009158	Cynoglossus_semilaevis
ENSSTOP00000003057	ENSSTOG00000003418	Ictidomys_tridecemlineatus
ENSKMAP00000005906	ENSKMAG00000004469	Kryptolebias_marmoratus
ENSLCRP00005035534	ENSLCRG00005013878	Larimichthys_crocea
ENSPLAP00000023117	ENSPLAG00000008449	Poecilia_latipinna
ENSLBEP00000018411	ENSLBEG00000014186	Labrus_bergylta
ENSIPUP00000026391	ENSIPUG00000017853	Ictalurus_punctatus
ENSMALP00000023333	ENSMALG00000016257	Monopterus_albus
ENSUPAP00010019022	ENSUPAG00010015053	Urocitellus_parryii
ENSSFOP00015007834	ENSSFOG00015005120	Scleropages_formosus
ENSPNYP00000027580	ENSPNYG00000020768	Pundamilia_nyererei
ENSECRP00000020428	ENSECRG00000013721	Erpetoichthys_calabaricus
ENSSHAP00000011092	ENSSHAG00000009552	Sarcophilus_harrisii
ENSAOCP00000027597	ENSAOCG00000016682	Amphiprion_ocellaris
ENSCSEP00000004175	ENSCSEG00000002720	Cynoglossus_semilaevis
ENSCCAP00000039225	ENSCCAG00000037433	Cebus_capucinus_imitator
ENSAMXP00005051843	ENSAMXG00005023371	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSACIP00000020770	ENSACIG00000016123	Amphilophus_citrinellus
ENSDNVP00000018291	ENSDNVG00000012794	Dromaius_novaehollandiae
ENSMVIP00005022151	ENSMVIG00005015539	Manacus_vitellinus
ENSATEP00000022092	ENSATEG00000015205	Anabas_testudineus
ENSGAFP00000019797	ENSGAFG00000013376	Gambusia_affinis
ENSFCAP00000016453	ENSFCAG00000023662	Felis_catus
ENSMAUP00000009378	ENSMAUG00000010521	Mesocricetus_auratus
ENSTGUP00000000628	ENSTGUG00000000617	Taeniopygia_guttata
ENSLSDP00000011809	ENSLSDG00000008667	Lonchura_striata_domestica
ENSCHAP00000007872	ENSCHAG00000004840	Clupea_harengus
ENSSLDP00000016562	ENSSLDG00000013118	Seriola_lalandi_dorsalis
ENSCSAVP00000011796	ENSCSAVG00000006923	Ciona_savignyi
ENSELUP00000031130	ENSELUG00000008591	Esox_lucius
MGP_PahariEiJ_P0086880	MGP_PahariEiJ_G0030950	Mus_pahari_strain_PAHARI_EIJ
ENSMZEP00005025893	ENSMZEG00005019308	Maylandia_zebra
ENSMMOP00000000866	ENSMMOG00000000732	Mola_mola
ENSFHEP00000030239	ENSFHEG00000015491	Fundulus_heteroclitus
ENSBIXP00000021879	ENSBIXG00000024882	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMALP00000030815	ENSMALG00000021289	Monopterus_albus
ENSSMAP00000013036	ENSSMAG00000008004	Scophthalmus_maximus
ENSELUP00000020074	ENSELUG00000019363	Esox_lucius
ENSSDUP00000019321	ENSSDUG00000014062	Seriola_dumerili
ENSONIP00000012811	ENSONIG00000010188	Oreochromis_niloticus
ENSPPRP00000004815	ENSPPRG00000000779	Panthera_pardus
ENSP00000251287	ENSG00000099822	Homo_sapiens
ENSPMEP00000021767	ENSPMEG00000002196	Poecilia_mexicana
ENSGWIP00000034284	ENSGWIG00000017643	Gouania_willdenowi
ENSHCOP00000017621	ENSHCOG00000001580	Hippocampus_comes
ENSOMEP00000019281	ENSOMEG00000021114	Oryzias_melastigma
ENSPNYP00000008487	ENSPNYG00000006474	Pundamilia_nyererei
ENSCGOP00000024856	ENSCGOG00000011782	Cottoperca_gobio
ENSORLP00015021065	ENSORLG00015022268	Oryzias_latipes_ASM223469v1
ENSMFAP00000015997	ENSMFAG00000031198	Macaca_fascicularis
ENSRBIP00000032634	ENSRBIG00000040099	Rhinopithecus_bieti
ENSMZEP00005034242	ENSMZEG00005025597	Maylandia_zebra
ENSABRP00000005134	ENSABRG00000004767	Anser_brachyrhynchus
ENSPREP00000011187	ENSPREG00000007616	Poecilia_reticulata
ENSMAMP00000028646	ENSMAMG00000019264	Mastacembelus_armatus
ENSCPOP00000021120	ENSCPOG00000015216	Cavia_porcellus
ENSAOCP00000018672	ENSAOCG00000023850	Amphiprion_ocellaris
ENSMZEP00005013370	ENSMZEG00005009995	Maylandia_zebra
ENSPVIP00000031382	ENSPVIG00000023077	Pogona_vitticeps
ENSPKIP00000029762	ENSPKIG00000010869	Paramormyrops_kingsleyae
ENSSBOP00000004178	ENSSBOG00000018496	Saimiri_boliviensis_boliviensis
ENSPSIP00000003590	ENSPSIG00000003416	Pelodiscus_sinensis
ENSAPEP00000017071	ENSAPEG00000012186	Amphiprion_percula
ENSSDUP00000021888	ENSSDUG00000015921	Seriola_dumerili
ENSMAMP00000030499	ENSMAMG00000020560	Mastacembelus_armatus
ENSCGRP00015009800	ENSCGRG00015007482	Cricetulus_griseus_CriGri-PICR
ENSSSCP00000046742	ENSSSCG00000033442	Sus_scrofa_strain_reference
ENSTNIP00000018377	ENSTNIG00000015314	Tetraodon_nigroviridis
ENSHHUP00000000801	ENSHHUG00000000524	Hucho_hucho
ENSHHUP00000082101	ENSHHUG00000047706	Hucho_hucho	ENSHHUT00000084699
ENSPTRP00000087945	ENSPTRG00000049419	Pan_troglodytes
ENSFHEP00000022264	ENSFHEG00000002533	Fundulus_heteroclitus
ENSAMXP00005015197	ENSAMXG00005007933	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSZALP00000021800	ENSZALG00000017018	Zonotrichia_albicollis
ENSACAP00000013675	ENSACAG00000013896	Anolis_carolinensis
ENSSCAP00000007509	ENSSCAG00000005715	Serinus_canaria
ENSBIXP00005044445	ENSBIXG00005028236	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSORLP00000005409	ENSORLG00000004318	Oryzias_latipes_ASM223467v1
ENSXMAP00000019373	ENSXMAG00000019326	Xiphophorus_maculatus
