ENSGACP00000000046	ENSGACG00000000033	Gasterosteus_aculeatus
ENSPMGP00000026391	ENSPMGG00000021288	Periophthalmus_magnuspinnatus	ENSPMGT00000028106
ENSPFOP00000020768	ENSPFOG00000020644	Poecilia_formosa
ENSPMEP00000024768	ENSPMEG00000007309	Poecilia_mexicana
ENSPLAP00000001905	ENSPLAG00000003055	Poecilia_latipinna
ENSPREP00000033543	ENSPREG00000022730	Poecilia_reticulata
ENSXCOP00000023496	ENSXCOG00000017553	Xiphophorus_couchianus
ENSXMAP00000019510	ENSXMAG00000019463	Xiphophorus_maculatus
ENSGAFP00000020921	ENSGAFG00000014103	Gambusia_affinis
ENSGMOP00000021644	ENSGMOG00000020157	Gadus_morhua
ENSSDAP00000006942	ENSSDAG00000006411	Spermophilus_dauricus
ENSUPAP00010003532	ENSUPAG00010002912	Urocitellus_parryii
ENSMMMP00000017693	ENSMMMG00000015695	Marmota_marmota_marmota
ENSSTOP00000019427	ENSSTOG00000020559	Ictidomys_tridecemlineatus
ENSCCNP00000019615	ENSCCNG00000019701	Castor_canadensis
ENSOCUP00000025755	ENSOCUG00000022995	Oryctolagus_cuniculus
ENSPVAP00000015668	ENSPVAG00000016602	Pteropus_vampyrus
ENSMLUP00000012220	ENSMLUG00000013433	Myotis_lucifugus
ENSBBBP00000021020	ENSBBBG00000014749	Bison_bison_bison
ENSBMUP00000000529	ENSBMUG00000000480	Bos_mutus
ENSOARP00000005818	ENSOARG00000005426	Ovis_aries
ENSBTAP00000004167	ENSBTAG00000003209	Bos_taurus
ENSCHIP00000010529	ENSCHIG00000013030	Capra_hircus
ENSTTRP00000003878	ENSTTRG00000004119	Tursiops_truncatus
ENSCAFP00000041611	ENSCAFG00000032145	Canis_lupus_familiaris
ENSCAFP00020015553	ENSCAFG00020012493	Canis_lupus_dingo
ENSVVUP00000041146	ENSVVUG00000029292	Vulpes_vulpes
ENSNVIP00000017200	ENSNVIG00000013485	Neovison_vison
ENSUMAP00000004500	ENSUMAG00000003640	Ursus_maritimus
ENSAMEP00000019820	ENSAMEG00000018769	Ailuropoda_melanoleuca
ENSPPRP00000026843	ENSPPRG00000017863	Panthera_pardus
ENSPTIP00000000549	ENSPTIG00000001376	Panthera_tigris_altaica
ENSFCAP00000017162	ENSFCAG00000014318	Felis_catus
ENSEASP00005000420	ENSEASG00005000409	Equus_asinus_asinus
ENSECAP00000046406	ENSECAG00000030259	Equus_caballus
ENSGGOP00000024125	ENSGGOG00000023877	Gorilla_gorilla
ENSP00000397172	ENSG00000166619	Homo_sapiens
ENSPTRP00000078006	ENSPTRG00000045177	Pan_troglodytes
ENSPPAP00000003970	ENSPPAG00000016853	Pan_paniscus
ENSPPYP00000012271	ENSPPYG00000010986	Pongo_abelii
ENSNLEP00000028539	ENSNLEG00000027527	Nomascus_leucogenys
ENSMMUP00000081025	ENSMMUG00000044552	Macaca_mulatta
ENSMFAP00000012220	ENSMFAG00000022564	Macaca_fascicularis
ENSMNEP00000005656	ENSMNEG00000025747	Macaca_nemestrina
ENSMLEP00000004293	ENSMLEG00000019435	Mandrillus_leucophaeus
ENSPANP00000001904	ENSPANG00000017706	Papio_anubis
ENSTGEP00000001242	ENSTGEG00000001170	Theropithecus_gelada
ENSCATP00000007658	ENSCATG00000022741	Cercocebus_atys
ENSCSAP00000018276	ENSCSAG00000018754	Chlorocebus_sabaeus
ENSRBIP00000002391	ENSRBIG00000011817	Rhinopithecus_bieti
ENSRROP00000004551	ENSRROG00000018910	Rhinopithecus_roxellana
ENSCANP00000002263	ENSCANG00000008585	Colobus_angolensis_palliatus
ENSSBOP00000004934	ENSSBOG00000019155	Saimiri_boliviensis_boliviensis
ENSCJAP00000055869	ENSCJAG00000048212	Callithrix_jacchus
ENSCCAP00000003076	ENSCCAG00000017425	Cebus_capucinus_imitator
ENSANAP00000001811	ENSANAG00000015390	Aotus_nancymaae
ENSTSYP00000013089	ENSTSYG00000014253	Carlito_syrichta
ENSPCOP00000000771	ENSPCOG00000002522	Propithecus_coquereli
ENSPSMP00000036385	ENSPSMG00000025031	Prolemur_simus
ENSMICP00000048527	ENSMICG00000042288	Microcebus_murinus
ENSOGAP00000014159	ENSOGAG00000015809	Otolemur_garnettii
ENSCGRP00015032501	ENSCGRG00015024522	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001014730	ENSCGRG00001015545	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000014262	ENSCGRG00000010319	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000005806	ENSMAUG00000007896	Mesocricetus_auratus
ENSMOCP00000004859	ENSMOCG00000004216	Microtus_ochrogaster
ENSPEMP00000037277	ENSPEMG00000028171	Peromyscus_maniculatus_bairdii
ENSMSIP00000033244	ENSMSIG00000027825	Mus_spicilegus
ENSMSIP00000021174	ENSMSIG00000017990	Mus_spicilegus
ENSMUSP00000085849	ENSMUSG00000067787	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0057942	MGP_SPRETEiJ_G0025499	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0055785	MGP_CAROLIEiJ_G0024577	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0066765	MGP_PahariEiJ_G0026021	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000031525	ENSRNOG00000024437	Rattus_norvegicus
ENSNGAP00000015811	ENSNGAG00000016729	Nannospalax_galili
ENSJJAP00000011136	ENSJJAG00000014539	Jaculus_jaculus
ENSPCAP00000012469	ENSPCAG00000013406	Procavia_capensis
ENSLAFP00000014480	ENSLAFG00000017270	Loxodonta_africana
ENSETEP00000000623	ENSETEG00000000776	Echinops_telfairi
ENSCHOP00000007503	ENSCHOG00000008494	Choloepus_hoffmanni
ENSDORP00000021614	ENSDORG00000029702	Dipodomys_ordii
ENSDNOP00000014191	ENSDNOG00000018286	Dasypus_novemcinctus
ENSSARP00000000004	ENSSARG00000000004	Sorex_araneus
ENSEEUP00000013185	ENSEEUG00000014468	Erinaceus_europaeus
ENSVPAP00000005848	ENSVPAG00000006304	Vicugna_pacos
ENSHGLP00100025539	ENSHGLG00100018729	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000024864	ENSHGLG00000017727	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000014559	ENSFDAG00000001860	Fukomys_damarensis
ENSODEP00000018689	ENSODEG00000013778	Octodon_degus
ENSODEP00000026071	ENSODEG00000019437	Octodon_degus
ENSCAPP00000000666	ENSCAPG00000000716	Cavia_aperea
ENSCPOP00000031157	ENSCPOG00000032938	Cavia_porcellus
ENSCLAP00000014525	ENSCLAG00000010029	Chinchilla_lanigera
ENSAOWP00000006882	ENSAOWG00000004735	Apteryx_owenii
ENSARWP00000021468	ENSARWG00000014675	Apteryx_rowi
ENSAHAP00000000016	ENSAHAG00000000018	Apteryx_haastii
ENSDNVP00000002010	ENSDNVG00000001457	Dromaius_novaehollandiae
ENSGALP00000042668	ENSGALG00000027126	Gallus_gallus
ENSCJPP00005026941	ENSCJPG00005020922	Coturnix_japonica
ENSMGAP00000016462	ENSMGAG00000015521	Meleagris_gallopavo
ENSNMEP00000018274	ENSNMEG00000015912	Numida_meleagris
ENSABRP00000018239	ENSABRG00000015678	Anser_brachyrhynchus
ENSCPGP00000021210	ENSCPGG00000014812	Calidris_pygmaea
ENSCPUP00000013739	ENSCPUG00000009738	Calidris_pugnax
ENSLSDP00000019779	ENSLSDG00000014050	Lonchura_striata_domestica
ENSSCAP00000017266	ENSSCAG00000012551	Serinus_canaria
ENSPMJP00000004701	ENSPMJG00000004042	Parus_major
ENSCCEP00000005208	ENSCCEG00000005719	Cyanistes_caeruleus
ENSFALP00000015952	ENSFALG00000015339	Ficedula_albicollis
ENSJHYP00000003866	ENSJHYG00000003190	Junco_hyemalis
ENSZALP00000017035	ENSZALG00000013807	Zonotrichia_albicollis
ENSMVIP00005010758	ENSMVIG00005007909	Manacus_vitellinus
ENSLCOP00000013056	ENSLCOG00000009415	Lepidothrix_coronata
ENSMUNP00000008011	ENSMUNG00000006406	Melopsittacus_undulatus
ENSNPEP00000015114	ENSNPEG00000011279	Nothoprocta_perdicaria
ENSCPRP00005017271	ENSCPRG00005012032	Crocodylus_porosus
ENSCPBP00000025103	ENSCPBG00000017855	Chrysemys_picta_bellii
ENSCABP00000027404	ENSCABG00000020123	Chelonoidis_abingdonii
ENSPSIP00000014757	ENSPSIG00000013218	Pelodiscus_sinensis
ENSSPUP00000005086	ENSSPUG00000003924	Sphenodon_punctatus
ENSACAP00000011763	ENSACAG00000012033	Anolis_carolinensis
ENSPVIP00000032191	ENSPVIG00000023602	Pogona_vitticeps
ENSNSUP00000000066	ENSNSUG00000000088	Notechis_scutatus
ENSSMRP00000007662	ENSSMRG00000006139	Salvator_merianae
ENSVURP00010017561	ENSVURG00010013396	Vombatus_ursinus
ENSMEUP00000010111	ENSMEUG00000011096	Notamacropus_eugenii
ENSPCIP00000048967	ENSPCIG00000037098	Phascolarctos_cinereus
ENSMODP00000030693	ENSMODG00000023609	Monodelphis_domestica
ENSLOCP00000022468	ENSLOCG00000018367	Lepisosteus_oculatus
ENSHHUP00000006378	ENSHHUG00000003920	Hucho_hucho
ENSHHUP00000036484	ENSHHUG00000022893	Hucho_hucho
ENSELUP00000003190	ENSELUG00000004454	Esox_lucius
ENSSFOP00015020346	ENSSFOG00015013100	Scleropages_formosus
ENSSFOP00015020360	ENSSFOG00015013105	Scleropages_formosus
ENSPKIP00000021302	ENSPKIG00000005765	Paramormyrops_kingsleyae
ENSAMXP00005047826	ENSAMXG00005021927	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000026228	ENSAMXG00000025523	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000027415	ENSPNAG00000002448	Pygocentrus_nattereri
ENSEEEP00000004818	ENSEEEG00000002514	Electrophorus_electricus
ENSIPUP00000002150	ENSIPUG00000001560	Ictalurus_punctatus
ENSDARP00000068337	ENSDARG00000052073	Danio_rerio
ENSCHAP00000044031	ENSCHAG00000020484	Clupea_harengus
ENSDCDP00000039711	ENSDCDG00000026312	Denticeps_clupeoides
ENSECRP00000014728	ENSECRG00000009826	Erpetoichthys_calabaricus
ENSLACP00000022566	ENSLACG00000022550	Latimeria_chalumnae
ENSXETP00000025251	ENSXETG00000003873	Xenopus_tropicalis
ENSPMAP00000009315	ENSPMAG00000008465	Petromyzon_marinus
ENSEBUP00000025402	ENSEBUG00000015666	Eptatretus_burgeri
ENSCINP00000008903	ENSCING00000004313	Ciona_intestinalis
FBpp0076792	FBgn0040239	Drosophila_melanogaster	FBtr0077084
Y73E7A.6.1	WBGene00022273	Caenorhabditis_elegans_strain_N2	Y73E7A.6.1
