ENSCABP00000003897	ENSCABG00000002945	Chelonoidis_abingdonii	ENSCABT00000004231
ENSSDUP00000020813	ENSSDUG00000015150	Seriola_dumerili
ENSNBRP00000004962	ENSNBRG00000003961	Neolamprologus_brichardi
ENSGACP00000023412	ENSGACG00000017715	Gasterosteus_aculeatus
ENSGWIP00000037543	ENSGWIG00000019311	Gouania_willdenowi
ENSPMEP00000007678	ENSPMEG00000009329	Poecilia_mexicana
ENSDARP00000111328	ENSDARG00000089019	Danio_rerio
ENSBTAP00000060835	ENSBTAG00000050943	Bos_taurus
ENSVURP00010015276	ENSVURG00010011702	Vombatus_ursinus
ENSPFOP00000010592	ENSPFOG00000010611	Poecilia_formosa
ENSACLP00000021673	ENSACLG00000014737	Astatotilapia_calliptera
ENSXCOP00000002535	ENSXCOG00000002022	Xiphophorus_couchianus
ENSMAMP00000001641	ENSMAMG00000001171	Mastacembelus_armatus
ENSDCDP00000049178	ENSDCDG00000030276	Denticeps_clupeoides
ENSORLP00020032194	ENSORLG00020017607	Oryzias_latipes_ASM223471v1
ENSORLP00000003934	ENSORLG00000003159	Oryzias_latipes_ASM223467v1
ENSOARP00000012188	ENSOARG00000011374	Ovis_aries
ENSECRP00000019107	ENSECRG00000012788	Erpetoichthys_calabaricus
ENSSFOP00015037792	ENSSFOG00015024057	Scleropages_formosus
ENSACIP00000009234	ENSACIG00000007238	Amphilophus_citrinellus
ENSHHUP00000048178	ENSHHUG00000029235	Hucho_hucho
ENSPNAP00000010646	ENSPNAG00000016219	Pygocentrus_nattereri
