ENSANAP00000038643	ENSANAG00000036762	Aotus_nancymaae
ENSMPUP00000006023	ENSMPUG00000006074	Mustela_putorius_furo
ENSVPAP00000004505	ENSVPAG00000004862	Vicugna_pacos
ENSMUSP00000002008	ENSMUSG00000001943	Mus_musculus_strain_reference_(CL57BL6)
ENSCAFP00000016428	ENSCAFG00000011162	Canis_lupus_familiaris
ENSBIXP00005023199	ENSBIXG00005004437	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPANP00000000288	ENSPANG00000023741	Papio_anubis
ENSDNOP00000001679	ENSDNOG00000002162	Dasypus_novemcinctus
ENSSBOP00000009146	ENSSBOG00000021464	Saimiri_boliviensis_boliviensis
ENSCHIP00000019952	ENSCHIG00000018777	Capra_hircus
ENSUAMP00000028170	ENSUAMG00000021772	Ursus_americanus
ENSPNAP00000006749	ENSPNAG00000002365	Pygocentrus_nattereri
ENSMICP00000001537	ENSMICG00000001695	Microcebus_murinus
ENSPPYP00000004595	ENSPPYG00000004019	Pongo_abelii
ENSRNOP00000045465	ENSRNOG00000033490	Rattus_norvegicus
ENSUPAP00010030301	ENSUPAG00010023794	Urocitellus_parryii
ENSMSIP00000017891	ENSMSIG00000015220	Mus_spicilegus
ENSSTOP00000014577	ENSSTOG00000016277	Ictidomys_tridecemlineatus
ENSXETP00000001115	ENSXETG00000001617	Xenopus_tropicalis
ENSECAP00000000351	ENSECAG00000000514	Equus_caballus
ENSCPBP00000015388	ENSCPBG00000011385	Chrysemys_picta_bellii
ENSLAFP00000007535	ENSLAFG00000008981	Loxodonta_africana
ENSEASP00005002971	ENSEASG00005002281	Equus_asinus_asinus
ENSDORP00000002571	ENSDORG00000002740	Dipodomys_ordii
ENSMMMP00000000256	ENSMMMG00000000235	Marmota_marmota_marmota
ENSCGRP00001020607	ENSCGRG00001019705	Cricetulus_griseus_CHOK1GS_HDv1
ENSCPOP00000000528	ENSCPOG00000000599	Cavia_porcellus
ENSDCDP00000003247	ENSDCDG00000001686	Denticeps_clupeoides
ENSBIXP00000001153	ENSBIXG00000028888	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSVURP00010029122	ENSVURG00010022294	Vombatus_ursinus
ENSP00000318684	ENSG00000019102	Homo_sapiens
MGP_CAROLIEiJ_P0087306	MGP_CAROLIEiJ_G0031985	Mus_caroli_strain_CAROLI_EIJ
ENSAMXP00005027194	ENSAMXG00005013641	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCGRP00015012395	ENSCGRG00015009457	Cricetulus_griseus_CriGri-PICR
ENSTSYP00000010621	ENSTSYG00000011576	Carlito_syrichta
ENSPVAP00000010077	ENSPVAG00000010694	Pteropus_vampyrus
ENSFDAP00000000049	ENSFDAG00000010404	Fukomys_damarensis
ENSHGLP00100006487	ENSHGLG00100004860	Heterocephalus_glaber_HetGla_1.0
ENSOCUP00000027221	ENSOCUG00000002623	Oryctolagus_cuniculus
ENSAMXP00000003212	ENSAMXG00000003149	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPTEP00000005760	ENSPTEG00000006664	Piliocolobus_tephrosceles
ENSNGAP00000001083	ENSNGAG00000000807	Nannospalax_galili
ENSMUGP00000007207	ENSMUGG00000006546	Meriones_unguiculatus
ENSPPRP00000028793	ENSPPRG00000021099	Panthera_pardus
ENSSSCP00000016121	ENSSSCG00000015199	Sus_scrofa_strain_reference
ENSCATP00000015822	ENSCATG00000031866	Cercocebus_atys
ENSPCOP00000008789	ENSPCOG00000015699	Propithecus_coquereli
ENSCAFP00020013670	ENSCAFG00020011009	Canis_lupus_dingo
ENSBTAP00000068542	ENSBTAG00000022379	Bos_taurus
ENSCHAP00000031981	ENSCHAG00000015204	Clupea_harengus
ENSPCAP00000010995	ENSPCAG00000011804	Procavia_capensis
ENSPPAP00000006873	ENSPPAG00000025837	Pan_paniscus
ENSBBBP00000018490	ENSBBBG00000002089	Bison_bison_bison
ENSSDAP00000003407	ENSSDAG00000003221	Spermophilus_dauricus
ENSMLEP00000020743	ENSMLEG00000034586	Mandrillus_leucophaeus
ENSMFAP00000039747	ENSMFAG00000046060	Macaca_fascicularis
ENSBMUP00000023973	ENSBMUG00000018000	Bos_mutus
ENSNSUP00000005384	ENSNSUG00000004313	Notechis_scutatus
ENSCPRP00005001142	ENSCPRG00005000879	Crocodylus_porosus
ENSVVUP00000028046	ENSVVUG00000020534	Vulpes_vulpes
ENSUMAP00000001459	ENSUMAG00000001390	Ursus_maritimus
ENSNLEP00000009054	ENSNLEG00000007438	Nomascus_leucogenys
ENSMAUP00000024127	ENSMAUG00000021083	Mesocricetus_auratus
ENSCLAP00000022222	ENSCLAG00000015241	Chinchilla_lanigera
ENSEEUP00000005930	ENSEEUG00000006507	Erinaceus_europaeus
ENSGGOP00000005672	ENSGGOG00000005793	Gorilla_gorilla
ENSOPRP00000013747	ENSOPRG00000015064	Ochotona_princeps
ENSPCIP00000046269	ENSPCIG00000035959	Phascolarctos_cinereus
ENSMOCP00000013217	ENSMOCG00000013088	Microtus_ochrogaster
ENSAMEP00000000791	ENSAMEG00000000761	Ailuropoda_melanoleuca
ENSPSMP00000002386	ENSPSMG00000001874	Prolemur_simus
ENSTTRP00000012539	ENSTTRG00000013223	Tursiops_truncatus
ENSECRP00000031389	ENSECRG00000021242	Erpetoichthys_calabaricus
ENSEEEP00000023500	ENSEEEG00000011397	Electrophorus_electricus
MGP_PahariEiJ_P0022953	MGP_PahariEiJ_G0014849	Mus_pahari_strain_PAHARI_EIJ
ENSCCNP00000015625	ENSCCNG00000016004	Castor_canadensis
ENSPTIP00000019552	ENSPTIG00000017312	Panthera_tigris_altaica
ENSRBIP00000000141	ENSRBIG00000000677	Rhinopithecus_bieti
ENSMEUP00000012075	ENSMEUG00000013238	Notamacropus_eugenii
ENSIPUP00000020437	ENSIPUG00000013877	Ictalurus_punctatus
