ENSPANP00000020516	ENSPANG00000021992	Papio_anubis
ENSPSMP00000011894	ENSPSMG00000008587	Prolemur_simus
ENSVPAP00000005297	ENSVPAG00000005699	Vicugna_pacos
ENSAMEP00000004461	ENSAMEG00000004230	Ailuropoda_melanoleuca
ENSCAFP00000033725	ENSCAFG00000024673	Canis_lupus_familiaris
ENSTGEP00000002926	ENSTGEG00000002528	Theropithecus_gelada
ENSNGAP00000026459	ENSNGAG00000024098	Nannospalax_galili
ENSXETP00000048895	ENSXETG00000019975	Xenopus_tropicalis
ENSMMUP00000023907	ENSMMUG00000018180	Macaca_mulatta
ENSCANP00000003451	ENSCANG00000012346	Colobus_angolensis_palliatus
ENSHGLP00000017933	ENSHGLG00000012852	Heterocephalus_glaber_HetGla_female_1.0
MGP_SPRETEiJ_P0031015	MGP_SPRETEiJ_G0017915	Mus_spretus_strain_SPRET/EiJ
ENSOPRP00000001842	ENSOPRG00000002000	Ochotona_princeps
ENSCCEP00000024623	ENSCCEG00000021838	Cyanistes_caeruleus
ENSABRP00000005840	ENSABRG00000005439	Anser_brachyrhynchus	ENSABRT00000008428
ENSMODP00000015827	ENSMODG00000012651	Monodelphis_domestica
ENSCPBP00000003080	ENSCPBG00000002384	Chrysemys_picta_bellii
ENSCJAP00000015415	ENSCJAG00000008361	Callithrix_jacchus
ENSLACP00000001996	ENSLACG00000001785	Latimeria_chalumnae
ENSPEMP00000002775	ENSPEMG00000003489	Peromyscus_maniculatus_bairdii
ENSPSIP00000015006	ENSPSIG00000013402	Pelodiscus_sinensis
ENSCABP00000030574	ENSCABG00000022346	Chelonoidis_abingdonii
ENSMMMP00000022671	ENSMMMG00000019895	Marmota_marmota_marmota
ENSLAFP00000015277	ENSLAFG00000018234	Loxodonta_africana
ENSAHAP00000013900	ENSAHAG00000009994	Apteryx_haastii
ENSP00000367319	ENSG00000204952	Homo_sapiens
ENSHGLP00100011915	ENSHGLG00100008847	Heterocephalus_glaber_HetGla_1.0
ENSGAGP00000005487	ENSGAGG00000004449	Gopherus_agassizii
ENSCPOP00000012173	ENSCPOG00000013521	Cavia_porcellus
ENSFCAP00000019356	ENSFCAG00000024661	Felis_catus
ENSMSIP00000019032	ENSMSIG00000016210	Mus_spicilegus
ENSCPRP00005003179	ENSCPRG00005002341	Crocodylus_porosus
ENSDNOP00000028050	ENSDNOG00000037845	Dasypus_novemcinctus
ENSANAP00000028891	ENSANAG00000032264	Aotus_nancymaae
ENSGALP00000030708	ENSGALG00000019738	Gallus_gallus
ENSTGUP00000002247	ENSTGUG00000002179	Taeniopygia_guttata
ENSMEUP00000005110	ENSMEUG00000005599	Notamacropus_eugenii
ENSOANP00000019319	ENSOANG00000012205	Ornithorhynchus_anatinus
ENSTBEP00000013287	ENSTBEG00000015323	Tupaia_belangeri
MGP_PahariEiJ_P0036316	MGP_PahariEiJ_G0018198	Mus_pahari_strain_PAHARI_EIJ
ENSOCUP00000011968	ENSOCUG00000013923	Oryctolagus_cuniculus
ENSSTOP00000008637	ENSSTOG00000009627	Ictidomys_tridecemlineatus
ENSNPEP00000015766	ENSNPEG00000011767	Nothoprocta_perdicaria
ENSARWP00000000312	ENSARWG00000000289	Apteryx_rowi
ENSUMAP00000023593	ENSUMAG00000017155	Ursus_maritimus
ENSSPUP00000023601	ENSSPUG00000018088	Sphenodon_punctatus
ENSSCAP00000011644	ENSSCAG00000008729	Serinus_canaria
ENSSDAP00000004171	ENSSDAG00000003914	Spermophilus_dauricus
ENSMOCP00000004715	ENSMOCG00000004030	Microtus_ochrogaster
ENSMPUP00000014947	ENSMPUG00000015058	Mustela_putorius_furo
ENSMUNP00000004787	ENSMUNG00000003976	Melopsittacus_undulatus
ENSCHIP00000010605	ENSCHIG00000013068	Capra_hircus
ENSCHOP00000002465	ENSCHOG00000002790	Choloepus_hoffmanni
ENSLSDP00000005107	ENSLSDG00000004003	Lonchura_striata_domestica
ENSECAP00000012358	ENSECAG00000014697	Equus_caballus
ENSCLAP00000020085	ENSCLAG00000013760	Chinchilla_lanigera
ENSPTRP00000053032	ENSPTRG00000030923	Pan_troglodytes
ENSCGRP00000007720	ENSCGRG00000005620	Cricetulus_griseus_CriGri_1.0
ENSPVAP00000002155	ENSPVAG00000002279	Pteropus_vampyrus
ENSCAFP00020029497	ENSCAFG00020022998	Canis_lupus_dingo
ENSNSUP00000006728	ENSNSUG00000005329	Notechis_scutatus
ENSRROP00000027134	ENSRROG00000037343	Rhinopithecus_roxellana
ENSPTIP00000005799	ENSPTIG00000007917	Panthera_tigris_altaica
ENSRNOP00000052246	ENSRNOG00000036882	Rattus_norvegicus
ENSODEP00000023790	ENSODEG00000017413	Octodon_degus
ENSVVUP00000002607	ENSVVUG00000002040	Vulpes_vulpes
ENSMICP00000041913	ENSMICG00000042744	Microcebus_murinus
ENSPCAP00000000452	ENSPCAG00000000494	Procavia_capensis
ENSOARP00000010937	ENSOARG00000010197	Ovis_aries
ENSRBIP00000026300	ENSRBIG00000037036	Rhinopithecus_bieti
ENSPPRP00000007099	ENSPPRG00000002343	Panthera_pardus
