ENSSMAP00000020105	ENSSMAG00000012335	Scophthalmus_maximus
ENSPVIP00000004801	ENSPVIG00000003923	Pogona_vitticeps	ENSPVIT00000006161
ENSBIXP00005009326	ENSBIXG00005014270	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSHCOP00000002855	ENSHCOG00000004080	Hippocampus_comes
ENSDNOP00000032747	ENSDNOG00000036182	Dasypus_novemcinctus
ENSCCNP00000027543	ENSCCNG00000026608	Castor_canadensis
ENSMZEP00005008317	ENSMZEG00005006341	Maylandia_zebra
ENSCPOP00000028596	ENSCPOG00000019520	Cavia_porcellus
ENSMUSP00000025163	ENSMUSG00000024309	Mus_musculus_strain_reference_(CL57BL6)
ENSODEP00000009182	ENSODEG00000006863	Octodon_degus
ENSMSIP00000014491	ENSMSIG00000012469	Mus_spicilegus
ENSCHAP00000013575	ENSCHAG00000007429	Clupea_harengus
ENSCHOP00000003324	ENSCHOG00000003760	Choloepus_hoffmanni
ENSGALP00000073915	ENSGALG00000048705	Gallus_gallus	ENSGALT00000103966
ENSANAP00000034661	ENSANAG00000034923	Aotus_nancymaae
ENSCHIP00000019094	ENSCHIG00000018251	Capra_hircus
ENSODEP00000023942	ENSODEG00000017521	Octodon_degus
ENSCAFP00000052989	ENSCAFG00000020325	Canis_lupus_familiaris
ENSCAFP00020003987	ENSCAFG00020003316	Canis_lupus_dingo
ENSPRNP00000017559	ENSPRNG00000009291	Parambassis_ranga
ENSCGRP00001001891	ENSCGRG00001001849	Cricetulus_griseus_CHOK1GS_HDv1
ENSPCIP00000041089	ENSPCIG00000030045	Phascolarctos_cinereus
ENSSDUP00000017138	ENSSDUG00000012507	Seriola_dumerili
ENSPVIP00000004832	ENSPVIG00000003950	Pogona_vitticeps	ENSPVIT00000006204
ENSPANP00000012421	ENSPANG00000025458	Papio_anubis
ENSMAUP00000015293	ENSMAUG00000014806	Mesocricetus_auratus
ENSNPEP00000005619	ENSNPEG00000004249	Nothoprocta_perdicaria
ENSEASP00005030604	ENSEASG00005020828	Equus_asinus_asinus
ENSVURP00010019740	ENSVURG00010015063	Vombatus_ursinus
ENSSBOP00000037425	ENSSBOG00000034801	Saimiri_boliviensis_boliviensis
ENSACIP00000028136	ENSACIG00000021807	Amphilophus_citrinellus
ENSSTOP00000022158	ENSSTOG00000027428	Ictidomys_tridecemlineatus
ENSOPRP00000000900	ENSOPRG00000000983	Ochotona_princeps
ENSPNYP00000000117	ENSPNYG00000000094	Pundamilia_nyererei
ENSGGOP00000032765	ENSGGOG00000006583	Gorilla_gorilla
ENSFHEP00000014227	ENSFHEG00000015772	Fundulus_heteroclitus
ENSCGRP00000022902	ENSCGRG00000016589	Cricetulus_griseus_CriGri_1.0
ENSELUP00000031988	ENSELUG00000009738	Esox_lucius
ENSJJAP00000004874	ENSJJAG00000009874	Jaculus_jaculus
ENSTGEP00000037016	ENSTGEG00000029468	Theropithecus_gelada
ENSTBEP00000011490	ENSTBEG00000013280	Tupaia_belangeri
ENSPSMP00000026502	ENSPSMG00000018609	Prolemur_simus
ENSLCAP00010052294	ENSLCAG00010024332	Lates_calcarifer
ENSCJAP00000040327	ENSCJAG00000021665	Callithrix_jacchus
ENSGAGP00000018799	ENSGAGG00000013911	Gopherus_agassizii
F21C3.5.1	WBGene00009004	Caenorhabditis_elegans_strain_N2	F21C3.5.1
ENSPPYP00000019334	ENSPPYG00000017246	Pongo_abelii
ENSP00000378563	ENSG00000204220	Homo_sapiens
FBpp0303214	FBgn0036918	Drosophila_melanogaster	FBtr0330181
ENSMMOP00000012737	ENSMMOG00000009786	Mola_mola
ENSNLEP00000045713	ENSNLEG00000034338	Nomascus_leucogenys
ENSPTEP00000022858	ENSPTEG00000023707	Piliocolobus_tephrosceles
ENSTSYP00000018590	ENSTSYG00000037267	Carlito_syrichta
ENSLBEP00000021491	ENSLBEG00000016513	Labrus_bergylta
ENSVVUP00000035519	ENSVVUG00000025545	Vulpes_vulpes
ENSDORP00000013000	ENSDORG00000013828	Dipodomys_ordii
YLR200W_mRNA	YLR200W	Saccharomyces_cerevisiae_strain_S288C
ENSMODP00000017741	ENSMODG00000014191	Monodelphis_domestica
ENSCINP00000014374	ENSCING00000006994	Ciona_intestinalis
ENSFCAP00000025531	ENSFCAG00000028199	Felis_catus
ENSXMAP00000041358	ENSXMAG00000022074	Xiphophorus_maculatus
ENSOGAP00000005568	ENSOGAG00000006235	Otolemur_garnettii
ENSOGAP00000019359	ENSOGAG00000028341	Otolemur_garnettii
ENSAMEP00000001657	ENSAMEG00000001576	Ailuropoda_melanoleuca
ENSACAP00000004171	ENSACAG00000004292	Anolis_carolinensis	ENSACAT00000004270
ENSHHUP00000073213	ENSHHUG00000042969	Hucho_hucho
ENSCMIP00000006866	ENSCMIG00000003839	Callorhinchus_milii
ENSIPUP00000032010	ENSIPUG00000021506	Ictalurus_punctatus
ENSSDAP00000019011	ENSSDAG00000017339	Spermophilus_dauricus
ENSCSEP00000027008	ENSCSEG00000017251	Cynoglossus_semilaevis
ENSGAFP00000001840	ENSGAFG00000001260	Gambusia_affinis
ENSMMUP00000005164	ENSMMUG00000003871	Macaca_mulatta
ENSMUGP00000021457	ENSMUGG00000018039	Meriones_unguiculatus
ENSPFOP00000001103	ENSPFOG00000001138	Poecilia_formosa
ENSLCRP00005049528	ENSLCRG00005018697	Larimichthys_crocea
ENSKMAP00000019933	ENSKMAG00000014819	Kryptolebias_marmoratus
ENSCANP00000024351	ENSCANG00000035576	Colobus_angolensis_palliatus
ENSMPUP00000002337	ENSMPUG00000002364	Mustela_putorius_furo
ENSNVIP00000016590	ENSNVIG00000012998	Neovison_vison
ENSPEMP00000003584	ENSPEMG00000005228	Peromyscus_maniculatus_bairdii
ENSAOCP00000000689	ENSAOCG00000003562	Amphiprion_ocellaris
MGP_CAROLIEiJ_P0044083	MGP_CAROLIEiJ_G0021425	Mus_caroli_strain_CAROLI_EIJ
ENSMNEP00000011911	ENSMNEG00000030272	Macaca_nemestrina
ENSGWIP00000053781	ENSGWIG00000025808	Gouania_willdenowi
ENSMALP00000015703	ENSMALG00000011023	Monopterus_albus
ENSAMXP00005050924	ENSAMXG00005023066	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSORLP00015012858	ENSORLG00015013726	Oryzias_latipes_ASM223469v1
ENSVVUP00000012042	ENSVVUG00000008894	Vulpes_vulpes
ENSSMRP00000004523	ENSSMRG00000003728	Salvator_merianae	ENSSMRT00000005336
ENSFDAP00000016528	ENSFDAG00000005098	Fukomys_damarensis
ENSANAP00000012598	ENSANAG00000024231	Aotus_nancymaae
ENSRROP00000040275	ENSRROG00000043403	Rhinopithecus_roxellana
ENSXETP00000047705	ENSXETG00000019748	Xenopus_tropicalis
ENSSHAP00000008337	ENSSHAG00000007224	Sarcophilus_harrisii
ENSDARP00000053935	ENSDARG00000037108	Danio_rerio
ENSAPOP00000010826	ENSAPOG00000013345	Acanthochromis_polyacanthus
ENSHGLP00000024090	ENSHGLG00000017170	Heterocephalus_glaber_HetGla_female_1.0
ENSSDAP00000020877	ENSSDAG00000018979	Spermophilus_dauricus
ENSMOCP00000026708	ENSMOCG00000022424	Microtus_ochrogaster
ENSDCDP00000020120	ENSDCDG00000016070	Denticeps_clupeoides
ENSMLUP00000006805	ENSMLUG00000007450	Myotis_lucifugus
ENSOMEP00000030888	ENSOMEG00000015407	Oryzias_melastigma
