ENSEEUP00000002518	ENSEEUG00000002750	Erinaceus_europaeus
ENSXETP00000006622	ENSXETG00000008595	Xenopus_tropicalis
ENSCHIP00000019415	ENSCHIG00000018433	Capra_hircus
ENSBTAP00000013893	ENSBTAG00000010511	Bos_taurus
ENSBSLP00000003587	ENSBSLG00000001754	Betta_splendens
ENSTNIP00000014236	ENSTNIG00000011297	Tetraodon_nigroviridis
ENSPNAP00000031577	ENSPNAG00000019033	Pygocentrus_nattereri
ENSORLP00000034569	ENSORLG00000001137	Oryzias_latipes_ASM223467v1
ENSFHEP00000034490	ENSFHEG00000022224	Fundulus_heteroclitus
ENSSMRP00000008806	ENSSMRG00000007042	Salvator_merianae
ENSPNYP00000012616	ENSPNYG00000009561	Pundamilia_nyererei
ENSMZEP00005018890	ENSMZEG00005013966	Maylandia_zebra
ENSOCUP00000001983	ENSOCUG00000002300	Oryctolagus_cuniculus
ENSECAP00000016311	ENSECAG00000018567	Equus_caballus
ENSNBRP00000011544	ENSNBRG00000008981	Neolamprologus_brichardi
ENSHHUP00000058326	ENSHHUG00000034617	Hucho_hucho
ENSATEP00000027945	ENSATEG00000019285	Anabas_testudineus
ENSSHAP00000013730	ENSSHAG00000011739	Sarcophilus_harrisii
ENSMZEP00005002947	ENSMZEG00005002275	Maylandia_zebra
ENSMODP00000002268	ENSMODG00000001856	Monodelphis_domestica
ENSCSAP00000002043	ENSCSAG00000005731	Chlorocebus_sabaeus
ENSPPAP00000003761	ENSPPAG00000015780	Pan_paniscus
ENSCJAP00000005688	ENSCJAG00000003122	Callithrix_jacchus
ENSCPUP00000001275	ENSCPUG00000000916	Calidris_pugnax
ENSSDUP00000007906	ENSSDUG00000005784	Seriola_dumerili
ENSGWIP00000016722	ENSGWIG00000009259	Gouania_willdenowi
ENSCAFP00020023043	ENSCAFG00020018164	Canis_lupus_dingo
ENSABRP00000019163	ENSABRG00000016434	Anser_brachyrhynchus
ENSPLAP00000018581	ENSPLAG00000023280	Poecilia_latipinna
ENSMSIP00000029557	ENSMSIG00000024811	Mus_spicilegus
MGP_PahariEiJ_P0019363	MGP_PahariEiJ_G0013737	Mus_pahari_strain_PAHARI_EIJ
ENSCANP00000030655	ENSCANG00000038985	Colobus_angolensis_palliatus
ENSCCNP00000029328	ENSCCNG00000028115	Castor_canadensis
ENSACIP00000030199	ENSACIG00000023369	Amphilophus_citrinellus
ENSNGAP00000008934	ENSNGAG00000011761	Nannospalax_galili
ENSTBEP00000015132	ENSTBEG00000017391	Tupaia_belangeri
ENSLAFP00000011773	ENSLAFG00000014059	Loxodonta_africana
ENSGAGP00000023215	ENSGAGG00000017021	Gopherus_agassizii
ENSSLDP00000004759	ENSSLDG00000003764	Seriola_lalandi_dorsalis
ENSCSEP00000013794	ENSCSEG00000008855	Cynoglossus_semilaevis
ENSSARP00000009266	ENSSARG00000010230	Sorex_araneus
ENSDORP00000002820	ENSDORG00000002995	Dipodomys_ordii
ENSCCAP00000017807	ENSCCAG00000026625	Cebus_capucinus_imitator
ENSCGOP00000035390	ENSCGOG00000016187	Cottoperca_gobio
ENSLCRP00005009838	ENSLCRG00005003640	Larimichthys_crocea
ENSMMOP00000026608	ENSMMOG00000020150	Mola_mola
ENSPCIP00000020924	ENSPCIG00000015907	Phascolarctos_cinereus
ENSLACP00000005981	ENSLACG00000005310	Latimeria_chalumnae
ENSHBUP00000016994	ENSHBUG00000000951	Haplochromis_burtoni
ENSMNEP00000042251	ENSMNEG00000043883	Macaca_nemestrina
ENSPRNP00000018141	ENSPRNG00000009474	Parambassis_ranga
ENSMPUP00000011398	ENSMPUG00000011488	Mustela_putorius_furo
ENSDARP00000122112	ENSDARG00000027187	Danio_rerio
ENSRNOP00000026527	ENSRNOG00000019585	Rattus_norvegicus
ENSCAFP00000024765	ENSCAFG00000016838	Canis_lupus_familiaris
ENSSTOP00000000580	ENSSTOG00000000636	Ictidomys_tridecemlineatus
ENSPREP00000016372	ENSPREG00000011080	Poecilia_reticulata
ENSPVAP00000002916	ENSPVAG00000003091	Pteropus_vampyrus	ENSPVAT00000003090
ENSRROP00000029657	ENSRROG00000038618	Rhinopithecus_roxellana
ENSPANP00000044439	ENSPANG00000023250	Papio_anubis
ENSBMUP00000034084	ENSBMUG00000025397	Bos_mutus
ENSPCOP00000028619	ENSPCOG00000026965	Propithecus_coquereli
ENSSPUP00000003854	ENSSPUG00000002938	Sphenodon_punctatus
ENSTRUP00000009260	ENSTRUG00000003923	Takifugu_rubripes
ENSODEP00000020063	ENSODEG00000014799	Octodon_degus
ENSPTRP00000060855	ENSPTRG00000008034	Pan_troglodytes
ENSHHUP00000058878	ENSHHUG00000034994	Hucho_hucho
ENSCMIP00000005507	ENSCMIG00000003196	Callorhinchus_milii
ENSHCOP00000020486	ENSHCOG00000006613	Hippocampus_comes
ENSMUGP00000000330	ENSMUGG00000000349	Meriones_unguiculatus
ENSVVUP00000038932	ENSVVUG00000027732	Vulpes_vulpes
ENSEBUP00000026537	ENSEBUG00000016335	Eptatretus_burgeri
ENSNSUP00000014995	ENSNSUG00000011084	Notechis_scutatus
ENSNVIP00000032342	ENSNVIG00000024936	Neovison_vison
ENSAPOP00000025355	ENSAPOG00000008390	Acanthochromis_polyacanthus
ENSPSMP00000011279	ENSPSMG00000008135	Prolemur_simus
ENSDNOP00000026127	ENSDNOG00000035332	Dasypus_novemcinctus
ENSSPAP00000008097	ENSSPAG00000006177	Stegastes_partitus
ENSMLUP00000004352	ENSMLUG00000004779	Myotis_lucifugus	ENSMLUT00000004780
ENSGGOP00000013275	ENSGGOG00000013606	Gorilla_gorilla
ENSHGLP00000023607	ENSHGLG00000016838	Heterocephalus_glaber_HetGla_female_1.0
ENSNLEP00000044967	ENSNLEG00000016179	Nomascus_leucogenys
ENSCCEP00000001919	ENSCCEG00000002235	Cyanistes_caeruleus
ENSPPRP00000014564	ENSPPRG00000007446	Panthera_pardus
ENSAMXP00000009921	ENSAMXG00000009619	Astyanax_mexicanus_Astyanax_mexicanus-2.0
FBpp0084659	FBgn0039585	Drosophila_melanogaster	FBtr0085290
ENSPFOP00000019737	ENSPFOG00000019613	Poecilia_formosa
ENSPCAP00000007073	ENSPCAG00000007568	Procavia_capensis
ENSSSCP00000060374	ENSSSCG00000031247	Sus_scrofa_strain_reference
ENSANAP00000012486	ENSANAG00000024175	Aotus_nancymaae
ENSCGRP00015031583	ENSCGRG00015023826	Cricetulus_griseus_CriGri-PICR
ENSGAFP00000028617	ENSGAFG00000019342	Gambusia_affinis
MGP_SPRETEiJ_P0085980	MGP_SPRETEiJ_G0031644	Mus_spretus_strain_SPRET/EiJ
ENSORLP00020031857	ENSORLG00020017132	Oryzias_latipes_ASM223471v1
ENSPSIP00000008910	ENSPSIG00000008137	Pelodiscus_sinensis
ENSPKIP00000010847	ENSPKIG00000025402	Paramormyrops_kingsleyae
ENSRBIP00000022959	ENSRBIG00000035411	Rhinopithecus_bieti
ENSHGLP00100009556	ENSHGLG00100007085	Heterocephalus_glaber_HetGla_1.0
ENSMAMP00000028702	ENSMAMG00000019293	Mastacembelus_armatus
ENSCINP00000035214	ENSCING00000021695	Ciona_intestinalis
ENSSDAP00000013818	ENSSDAG00000012484	Spermophilus_dauricus
ENSCAPP00000015916	ENSCAPG00000015928	Cavia_aperea
ENSUMAP00000019262	ENSUMAG00000014072	Ursus_maritimus
ENSSMAP00000019329	ENSSMAG00000011844	Scophthalmus_maximus
ENSMOCP00000011005	ENSMOCG00000011257	Microtus_ochrogaster
ENSCGRP00001018700	ENSCGRG00001018364	Cricetulus_griseus_CHOK1GS_HDv1
ENSCABP00000013860	ENSCABG00000010325	Chelonoidis_abingdonii
ENSTGEP00000012733	ENSTGEG00000010392	Theropithecus_gelada
ENSPMGP00000000867	ENSPMGG00000000784	Periophthalmus_magnuspinnatus
ENSTTRP00000014739	ENSTTRG00000015552	Tursiops_truncatus
ENSFDAP00000003542	ENSFDAG00000012965	Fukomys_damarensis
ENSIPUP00000010727	ENSIPUG00000007291	Ictalurus_punctatus
ENSCPBP00000018030	ENSCPBG00000013186	Chrysemys_picta_bellii
ENSJJAP00000013689	ENSJJAG00000016363	Jaculus_jaculus
ENSGMOP00000016343	ENSGMOG00000015257	Gadus_morhua
K03D10.3a.1	WBGene00010537	Caenorhabditis_elegans_strain_N2	K03D10.3a.1
ENSPTEP00000027813	ENSPTEG00000027601	Piliocolobus_tephrosceles
ENSAMEP00000007621	ENSAMEG00000007229	Ailuropoda_melanoleuca
ENSUAMP00000010390	ENSUAMG00000008546	Ursus_americanus
ENSLCAP00010023837	ENSLCAG00010011145	Lates_calcarifer
ENSMAUP00000007438	ENSMAUG00000009112	Mesocricetus_auratus
ENSPTIP00000011004	ENSPTIG00000011561	Panthera_tigris_altaica
ENSCHOP00000008793	ENSCHOG00000009927	Choloepus_hoffmanni
ENSACLP00000027943	ENSACLG00000018964	Astatotilapia_calliptera
ENSCHAP00000039585	ENSCHAG00000018309	Clupea_harengus
ENSPEMP00000026918	ENSPEMG00000022870	Peromyscus_maniculatus_bairdii
ENSMMMP00000000683	ENSMMMG00000000629	Marmota_marmota_marmota
ENSFCAP00000062037	ENSFCAG00000002605	Felis_catus
ENSGACP00000019702	ENSGACG00000014930	Gasterosteus_aculeatus
ENSXMAP00000001783	ENSXMAG00000001780	Xiphophorus_maculatus
ENSLBEP00000009609	ENSLBEG00000007401	Labrus_bergylta
ENSBIXP00005043384	ENSBIXG00005027080	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSAOCP00000012312	ENSAOCG00000016764	Amphiprion_ocellaris
ENSOARP00000009388	ENSOARG00000008744	Ovis_aries
ENSONIP00000011877	ENSONIG00000009451	Oreochromis_niloticus
ENSKMAP00000004447	ENSKMAG00000003370	Kryptolebias_marmoratus
ENSSBOP00000020591	ENSSBOG00000026858	Saimiri_boliviensis_boliviensis
ENSPMEP00000009870	ENSPMEG00000011784	Poecilia_mexicana
ENSORLP00015026536	ENSORLG00015008231	Oryzias_latipes_ASM223469v1
ENSMICP00000030387	ENSMICG00000001625	Microcebus_murinus
ENSPVIP00000005989	ENSPVIG00000004945	Pogona_vitticeps
ENSCATP00000041127	ENSCATG00000043167	Cercocebus_atys
ENSMEUP00000013085	ENSMEUG00000014332	Notamacropus_eugenii
ENSOPRP00000009845	ENSOPRG00000010764	Ochotona_princeps
ENSOMEP00000014417	ENSOMEG00000015927	Oryzias_melastigma
ENSMALP00000020946	ENSMALG00000014639	Monopterus_albus
