ENSCCEP00000013851	ENSCCEG00000013125	Cyanistes_caeruleus
MGP_PahariEiJ_P0080648	MGP_PahariEiJ_G0029066	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000068831	ENSRNOG00000014305	Rattus_norvegicus
ENSMUGP00000017445	ENSMUGG00000014848	Meriones_unguiculatus
ENSCGRP00015001089	ENSCGRG00015000961	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000012006	ENSCGRG00000008739	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001020075	ENSCGRG00001019329	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000021164	ENSMAUG00000018977	Mesocricetus_auratus
ENSMOCP00000025915	ENSMOCG00000021880	Microtus_ochrogaster
ENSPEMP00000019599	ENSPEMG00000017833	Peromyscus_maniculatus_bairdii
ENSNGAP00000008173	ENSNGAG00000011237	Nannospalax_galili
ENSJJAP00000006413	ENSJJAG00000011094	Jaculus_jaculus
ENSDORP00000011776	ENSDORG00000012525	Dipodomys_ordii
ENSUMAP00000029674	ENSUMAG00000021467	Ursus_maritimus
ENSUAMP00000003697	ENSUAMG00000003415	Ursus_americanus
ENSAMEP00000012167	ENSAMEG00000011556	Ailuropoda_melanoleuca
ENSMPUP00000016178	ENSMPUG00000016281	Mustela_putorius_furo
ENSNVIP00000015662	ENSNVIG00000012288	Neovison_vison
ENSCAFP00000047169	ENSCAFG00000031747	Canis_lupus_familiaris
ENSCAFP00020006095	ENSCAFG00020004964	Canis_lupus_dingo
ENSVVUP00000040671	ENSVVUG00000028967	Vulpes_vulpes
ENSPPRP00000001711	ENSPPRG00000023922	Panthera_pardus
ENSPTIP00000022634	ENSPTIG00000019382	Panthera_tigris_altaica
ENSFCAP00000027845	ENSFCAG00000031057	Felis_catus
ENSECAP00000016171	ENSECAG00000018375	Equus_caballus
ENSEASP00005023311	ENSEASG00005015863	Equus_asinus_asinus
ENSSSCP00000027934	ENSSSCG00000024794	Sus_scrofa_strain_reference
ENSTTRP00000016474	ENSTTRG00000017383	Tursiops_truncatus
ENSVPAP00000002147	ENSVPAG00000002323	Vicugna_pacos
ENSMLUP00000015015	ENSMLUG00000016475	Myotis_lucifugus
ENSPVAP00000010927	ENSPVAG00000011596	Pteropus_vampyrus
ENSCHOP00000011459	ENSCHOG00000012934	Choloepus_hoffmanni
ENSDNOP00000032820	ENSDNOG00000046528	Dasypus_novemcinctus
ENSLAFP00000001793	ENSLAFG00000002142	Loxodonta_africana
ENSPCAP00000014240	ENSPCAG00000015245	Procavia_capensis
ENSOANP00000021092	ENSOANG00000013366	Ornithorhynchus_anatinus
ENSAOWP00000006464	ENSAOWG00000004436	Apteryx_owenii
ENSARWP00000018991	ENSARWG00000013045	Apteryx_rowi
ENSAHAP00000027977	ENSAHAG00000019448	Apteryx_haastii
ENSDNVP00000004469	ENSDNVG00000003174	Dromaius_novaehollandiae
ENSMGAP00000004790	ENSMGAG00000004913	Meleagris_gallopavo
ENSCJPP00005022274	ENSCJPG00005017785	Coturnix_japonica
ENSGALP00000005909	ENSGALG00000003731	Gallus_gallus
ENSNMEP00000017593	ENSNMEG00000015360	Numida_meleagris
ENSABRP00000001026	ENSABRG00000001092	Anser_brachyrhynchus
ENSCPGP00000028435	ENSCPGG00000019543	Calidris_pygmaea
ENSCPUP00000023934	ENSCPUG00000016226	Calidris_pugnax
ENSMUNP00000015548	ENSMUNG00000011997	Melopsittacus_undulatus
ENSLSDP00000023915	ENSLSDG00000016821	Lonchura_striata_domestica
ENSTGUP00000002077	ENSTGUG00000002003	Taeniopygia_guttata
ENSSCAP00000006556	ENSSCAG00000005122	Serinus_canaria
ENSJHYP00000017337	ENSJHYG00000013255	Junco_hyemalis
ENSFALP00000003454	ENSFALG00000003305	Ficedula_albicollis
ENSPMJP00000012342	ENSPMJG00000009495	Parus_major
ENSLCOP00000006560	ENSLCOG00000004876	Lepidothrix_coronata
ENSMVIP00005007345	ENSMVIG00005005467	Manacus_vitellinus
ENSAPLP00000019802	ENSAPLG00000027452	Anas_platyrhynchos_platyrhynchos
ENSZALP00000009312	ENSZALG00000008011	Zonotrichia_albicollis
ENSPMAP00000000954	ENSPMAG00000000870	Petromyzon_marinus
ENSSFOP00015016183	ENSSFOG00015010413	Scleropages_formosus
ENSPKIP00000015950	ENSPKIG00000002465	Paramormyrops_kingsleyae
ENSPKIP00000028972	ENSPKIG00000010375	Paramormyrops_kingsleyae
ENSSFOP00015011129	ENSSFOG00015007175	Scleropages_formosus
ENSAMXP00000029390	ENSAMXG00000008531	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005046704	ENSAMXG00005021464	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000000196	ENSPNAG00000000134	Pygocentrus_nattereri
ENSEEEP00000047119	ENSEEEG00000022177	Electrophorus_electricus
ENSIPUP00000026414	ENSIPUG00000017866	Ictalurus_punctatus
ENSDARP00000112336	ENSDARG00000087545	Danio_rerio
ENSCHAP00000003826	ENSCHAG00000001939	Clupea_harengus
ENSDCDP00000051711	ENSDCDG00000031341	Denticeps_clupeoides
ENSXMAP00000040061	ENSXMAG00000027193	Xiphophorus_maculatus
ENSXCOP00000005774	ENSXCOG00000004489	Xiphophorus_couchianus
ENSPFOP00000018112	ENSPFOG00000018012	Poecilia_formosa
ENSPLAP00000013088	ENSPLAG00000016523	Poecilia_latipinna
ENSPMEP00000001687	ENSPMEG00000002653	Poecilia_mexicana
ENSPREP00000007640	ENSPREG00000005229	Poecilia_reticulata
ENSGAFP00000032053	ENSGAFG00000021574	Gambusia_affinis
ENSFHEP00000003744	ENSFHEG00000004630	Fundulus_heteroclitus
ENSCVAP00000024799	ENSCVAG00000000252	Cyprinodon_variegatus
ENSKMAP00000029294	ENSKMAG00000021703	Kryptolebias_marmoratus
ENSORLP00020026686	ENSORLG00020009288	Oryzias_latipes_ASM223471v1
ENSORLP00015004604	ENSORLG00015005398	Oryzias_latipes_ASM223469v1
ENSORLP00000042871	ENSORLG00000022196	Oryzias_latipes_ASM223467v1
ENSOMEP00000014180	ENSOMEG00000015679	Oryzias_melastigma
ENSGWIP00000009948	ENSGWIG00000005165	Gouania_willdenowi
ENSTRUP00000027213	ENSTRUG00000010784	Takifugu_rubripes
ENSTNIP00000017691	ENSTNIG00000014663	Tetraodon_nigroviridis
ENSLCRP00005008046	ENSLCRG00005003552	Larimichthys_crocea
ENSMMOP00000028825	ENSMMOG00000021746	Mola_mola
ENSCGOP00000054118	ENSCGOG00000023693	Cottoperca_gobio
ENSGACP00000001504	ENSGACG00000001156	Gasterosteus_aculeatus
ENSCSEP00000003006	ENSCSEG00000001972	Cynoglossus_semilaevis
ENSMAMP00000035521	ENSMAMG00000023878	Mastacembelus_armatus
ENSMALP00000027038	ENSMALG00000018752	Monopterus_albus
ENSATEP00000010793	ENSATEG00000007594	Anabas_testudineus
ENSBSLP00000050111	ENSBSLG00000023789	Betta_splendens
ENSPMGP00000004281	ENSPMGG00000003648	Periophthalmus_magnuspinnatus
ENSSDUP00000011664	ENSSDUG00000008507	Seriola_dumerili
ENSSLDP00000030226	ENSSLDG00000023301	Seriola_lalandi_dorsalis
ENSLCAP00010040458	ENSLCAG00010018909	Lates_calcarifer
ENSSMAP00000000218	ENSSMAG00000000145	Scophthalmus_maximus
ENSLBEP00000027674	ENSLBEG00000020969	Labrus_bergylta
ENSAOCP00000004572	ENSAOCG00000007966	Amphiprion_ocellaris
ENSAPEP00000019146	ENSAPEG00000013669	Amphiprion_percula
ENSAPOP00000009255	ENSAPOG00000011541	Acanthochromis_polyacanthus
ENSSPAP00000016673	ENSSPAG00000012568	Stegastes_partitus
ENSPRNP00000004447	ENSPRNG00000002416	Parambassis_ranga
ENSMZEP00005015616	ENSMZEG00005011711	Maylandia_zebra
ENSHBUP00000035282	ENSHBUG00000023380	Haplochromis_burtoni
ENSACLP00000031736	ENSACLG00000021510	Astatotilapia_calliptera
ENSPNYP00000011726	ENSPNYG00000008877	Pundamilia_nyererei
ENSNBRP00000007412	ENSNBRG00000005775	Neolamprologus_brichardi
ENSONIP00000023802	ENSONIG00000018902	Oreochromis_niloticus
ENSACIP00000024470	ENSACIG00000019004	Amphilophus_citrinellus
ENSHCOP00000020133	ENSHCOG00000005957	Hippocampus_comes
ENSGMOP00000008718	ENSGMOG00000008145	Gadus_morhua
ENSHHUP00000079004	ENSHHUG00000046029	Hucho_hucho
ENSHHUP00000041502	ENSHHUG00000025594	Hucho_hucho
ENSELUP00000006708	ENSELUG00000007570	Esox_lucius
ENSLOCP00000009542	ENSLOCG00000007861	Lepisosteus_oculatus
ENSECRP00000011728	ENSECRG00000007811	Erpetoichthys_calabaricus
ENSCMIP00000016023	ENSCMIG00000007778	Callorhinchus_milii
ENSLACP00000016475	ENSLACG00000014516	Latimeria_chalumnae
ENSACAP00000000489	ENSACAG00000000445	Anolis_carolinensis
ENSPMGP00000004280	ENSPMGG00000003647	Periophthalmus_magnuspinnatus
ENSEBUP00000006214	ENSEBUG00000004133	Eptatretus_burgeri
FBpp0071681	FBgn0034704	Drosophila_melanogaster
