ENSPSIP00000009262	ENSPSIG00000008265	Pelodiscus_sinensis
ENSCHIP00000022713	ENSCHIG00000020577	Capra_hircus
ENSTGEP00000003313	ENSTGEG00000002814	Theropithecus_gelada
ENSLCAP00010054747	ENSLCAG00010025520	Lates_calcarifer
ENSAOCP00000018642	ENSAOCG00000023825	Amphiprion_ocellaris
ENSGGOP00000005030	ENSGGOG00000005128	Gorilla_gorilla
ENSARWP00000018825	ENSARWG00000012950	Apteryx_rowi
ENSCPBP00000035395	ENSCPBG00000024659	Chrysemys_picta_bellii
ENSARWP00000018826	ENSARWG00000012951	Apteryx_rowi
ENSPRNP00000056760	ENSPRNG00000026503	Parambassis_ranga
ENSAMEP00000006464	ENSAMEG00000006103	Ailuropoda_melanoleuca
ENSKMAP00000003745	ENSKMAG00000002859	Kryptolebias_marmoratus
ENSCJPP00005025936	ENSCJPG00005020267	Coturnix_japonica
ENSPKIP00000041780	ENSPKIG00000018194	Paramormyrops_kingsleyae
ENSZALP00000001098	ENSZALG00000001343	Zonotrichia_albicollis
ENSXMAP00000035347	ENSXMAG00000021102	Xiphophorus_maculatus
ENSLBEP00000007089	ENSLBEG00000005465	Labrus_bergylta
ENSGMOP00000008506	ENSGMOG00000007939	Gadus_morhua
ENSSDAP00000027551	ENSSDAG00000024945	Spermophilus_dauricus
ENSSDAP00000027550	ENSSDAG00000024944	Spermophilus_dauricus
ENSORLP00015028427	ENSORLG00015011015	Oryzias_latipes_ASM223469v1
ENSMOCP00000003998	ENSMOCG00000003206	Microtus_ochrogaster
ENSHGLP00100010391	ENSHGLG00100007731	Heterocephalus_glaber_HetGla_1.0
ENSEBUP00000011441	ENSEBUG00000007336	Eptatretus_burgeri
ENSAHAP00000024391	ENSAHAG00000017032	Apteryx_haastii
ENSPMAP00000003873	ENSPMAG00000003560	Petromyzon_marinus
ENSCABP00000003304	ENSCABG00000002498	Chelonoidis_abingdonii
ENSSLDP00000014123	ENSSLDG00000011268	Seriola_lalandi_dorsalis
ENSCABP00000003255	ENSCABG00000002490	Chelonoidis_abingdonii
ENSVURP00010031247	ENSVURG00010023908	Vombatus_ursinus
ENSTNIP00000021506	ENSTNIG00000018338	Tetraodon_nigroviridis
ENSPFOP00000024632	ENSPFOG00000024732	Poecilia_formosa
ENSFALP00000006105	ENSFALG00000005850	Ficedula_albicollis
ENSHCOP00000005350	ENSHCOG00000006995	Hippocampus_comes
ENSEEEP00000015371	ENSEEEG00000007632	Electrophorus_electricus
ENSCGOP00000034913	ENSCGOG00000016193	Cottoperca_gobio
ENSMUGP00000027051	ENSMUGG00000022517	Meriones_unguiculatus
ENSPCOP00000013667	ENSPCOG00000018474	Propithecus_coquereli
ENSSMRP00000008044	ENSSMRG00000006430	Salvator_merianae
ENSPANP00000014350	ENSPANG00000015637	Papio_anubis
ENSXMAP00000041534	ENSXMAG00000023680	Xiphophorus_maculatus
ENSATEP00000017533	ENSATEG00000012139	Anabas_testudineus
ENSGALP00000010303	ENSGALG00000006388	Gallus_gallus
ENSAOWP00000005320	ENSAOWG00000003667	Apteryx_owenii
ENSACAP00000011108	ENSACAG00000011259	Anolis_carolinensis
ENSCSAP00000011220	ENSCSAG00000015120	Chlorocebus_sabaeus
ENSAPEP00000000367	ENSAPEG00000000268	Amphiprion_percula
ENSATEP00000034655	ENSATEG00000023815	Anabas_testudineus
ENSCGOP00000017960	ENSCGOG00000008632	Cottoperca_gobio
ENSETEP00000014951	ENSETEG00000018394	Echinops_telfairi
ENSGAGP00000017037	ENSGAGG00000012722	Gopherus_agassizii
ENSPEMP00000021219	ENSPEMG00000018928	Peromyscus_maniculatus_bairdii
ENSEASP00005009992	ENSEASG00005007067	Equus_asinus_asinus
ENSECRP00000029139	ENSECRG00000019746	Erpetoichthys_calabaricus
ENSVURP00010006197	ENSVURG00010004810	Vombatus_ursinus
ENSPMGP00000017022	ENSPMGG00000013941	Periophthalmus_magnuspinnatus
ENSPMGP00000010534	ENSPMGG00000008722	Periophthalmus_magnuspinnatus
ENSUMAP00000014063	ENSUMAG00000010340	Ursus_maritimus
ENSSPUP00000016520	ENSSPUG00000012772	Sphenodon_punctatus
ENSTRUP00000055028	ENSTRUG00000021748	Takifugu_rubripes
ENSCSEP00000009064	ENSCSEG00000005812	Cynoglossus_semilaevis
ENSOCUP00000027700	ENSOCUG00000010384	Oryctolagus_cuniculus
ENSHHUP00000013291	ENSHHUG00000008160	Hucho_hucho
ENSAHAP00000024387	ENSAHAG00000017023	Apteryx_haastii
ENSMZEP00005030053	ENSMZEG00005022409	Maylandia_zebra
ENSLOCP00000009195	ENSLOCG00000007578	Lepisosteus_oculatus
ENSJHYP00000013173	ENSJHYG00000010220	Junco_hyemalis
ENSMAMP00000016628	ENSMAMG00000011242	Mastacembelus_armatus
ENSSPAP00000027534	ENSSPAG00000020765	Stegastes_partitus
ENSLACP00000015832	ENSLACG00000013942	Latimeria_chalumnae
ENSOMEP00000025515	ENSOMEG00000006726	Oryzias_melastigma
ENSGAGP00000012732	ENSGAGG00000009769	Gopherus_agassizii
ENSMZEP00005022565	ENSMZEG00005016898	Maylandia_zebra
ENSSFOP00015025552	ENSSFOG00015016395	Scleropages_formosus
ENSMGAP00000008252	ENSMGAG00000008064	Meleagris_gallopavo
ENSCGOP00000034907	ENSCGOG00000016186	Cottoperca_gobio
ENSMODP00000024196	ENSMODG00000019395	Monodelphis_domestica
ENSPVAP00000015262	ENSPVAG00000016171	Pteropus_vampyrus
ENSMUSP00000001792	ENSMUSG00000001741	Mus_musculus_strain_reference_(CL57BL6)
ENSAMXP00005029937	ENSAMXG00005014736	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSSSCP00000001953	ENSSSCG00000001787	Sus_scrofa_strain_reference
ENSSDUP00000007191	ENSSDUG00000005286	Seriola_dumerili
ENSXCOP00000026185	ENSXCOG00000019566	Xiphophorus_couchianus
ENSECAP00000020362	ENSECAG00000022705	Equus_caballus
ENSSCAP00000007139	ENSSCAG00000005520	Serinus_canaria
ENSLCAP00010020222	ENSLCAG00010009559	Lates_calcarifer
ENSUMAP00000014027	ENSUMAG00000010330	Ursus_maritimus
ENSCHIP00000004370	ENSCHIG00000008571	Capra_hircus
ENSPMEP00000034515	ENSPMEG00000023776	Poecilia_mexicana
ENSTRUP00000006272	ENSTRUG00000002687	Takifugu_rubripes
ENSPCAP00000012623	ENSPCAG00000013456	Procavia_capensis
ENSSFOP00015033276	ENSSFOG00015021230	Scleropages_formosus
ENSLBEP00000023390	ENSLBEG00000017958	Labrus_bergylta
ENSELUP00000026571	ENSELUG00000002473	Esox_lucius
ENSAPEP00000004622	ENSAPEG00000003355	Amphiprion_percula
ENSFCAP00000056594	ENSFCAG00000013954	Felis_catus
ENSHCOP00000005332	ENSHCOG00000006984	Hippocampus_comes
MGP_PahariEiJ_P0017384	MGP_PahariEiJ_G0013162	Mus_pahari_strain_PAHARI_EIJ
ENSAPLP00000010791	ENSAPLG00000011013	Anas_platyrhynchos_platyrhynchos
ENSHBUP00000003089	ENSHBUG00000004316	Haplochromis_burtoni
ENSLAFP00000001954	ENSLAFG00000002338	Loxodonta_africana
ENSAMXP00005017495	ENSAMXG00005009138	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCVAP00000022381	ENSCVAG00000005029	Cyprinodon_variegatus
ENSMAMP00000016636	ENSMAMG00000011274	Mastacembelus_armatus
ENSNSUP00000027063	ENSNSUG00000019389	Notechis_scutatus
ENSPFOP00000023328	ENSPFOG00000024372	Poecilia_formosa
ENSAPOP00000006315	ENSAPOG00000008136	Acanthochromis_polyacanthus
ENSMAMP00000020353	ENSMAMG00000013686	Mastacembelus_armatus
ENSNGAP00000004601	ENSNGAG00000006204	Nannospalax_galili
ENSOARP00000016900	ENSOARG00000015742	Ovis_aries
ENSCVAP00000029080	ENSCVAG00000016567	Cyprinodon_variegatus
ENSRBIP00000039753	ENSRBIG00000043336	Rhinopithecus_bieti
ENSPNYP00000007204	ENSPNYG00000005511	Pundamilia_nyererei
ENSP00000302935	ENSG00000172349	Homo_sapiens
ENSDCDP00000057299	ENSDCDG00000033509	Denticeps_clupeoides
ENSCCAP00000013838	ENSCCAG00000024718	Cebus_capucinus_imitator
ENSMAUP00000010045	ENSMAUG00000011064	Mesocricetus_auratus
ENSCJAP00000055135	ENSCJAG00000007856	Callithrix_jacchus
ENSPREP00000032670	ENSPREG00000022143	Poecilia_reticulata
ENSTTRP00000013805	ENSTTRG00000014556	Tursiops_truncatus
ENSBMUP00000035574	ENSBMUG00000026424	Bos_mutus
ENSCGRP00015006052	ENSCGRG00015004678	Cricetulus_griseus_CriGri-PICR
ENSSMAP00000028023	ENSSMAG00000017137	Scophthalmus_maximus
ENSMLEP00000040317	ENSMLEG00000044174	Mandrillus_leucophaeus
ENSPPRP00000000904	ENSPPRG00000024509	Panthera_pardus
ENSSLDP00000018847	ENSSLDG00000014811	Seriola_lalandi_dorsalis
ENSMMUP00000015164	ENSMMUG00000011555	Macaca_mulatta
ENSIPUP00000005967	ENSIPUG00000004145	Ictalurus_punctatus
ENSCCEP00000011920	ENSCCEG00000011562	Cyanistes_caeruleus
ENSOPRP00000001930	ENSOPRG00000002072	Ochotona_princeps
ENSMVIP00005020292	ENSMVIG00005014349	Manacus_vitellinus
ENSXETP00000036489	ENSXETG00000013483	Xenopus_tropicalis
ENSCHAP00000019802	ENSCHAG00000010103	Clupea_harengus
ENSMPUP00000015353	ENSMPUG00000015463	Mustela_putorius_furo
ENSAMXP00000050880	ENSAMXG00000029684	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCLAP00000015934	ENSCLAG00000010965	Chinchilla_lanigera
ENSMNEP00000028337	ENSMNEG00000037589	Macaca_nemestrina
ENSCPRP00005023535	ENSCPRG00005016342	Crocodylus_porosus
ENSHCOP00000006500	ENSHCOG00000008315	Hippocampus_comes
ENSCAFP00020019923	ENSCAFG00020015821	Canis_lupus_dingo
ENSACIP00000013837	ENSACIG00000010751	Amphilophus_citrinellus
ENSDARP00000130224	ENSDARG00000102908	Danio_rerio
