ENSLBEP00000009954	ENSLBEG00000007713	Labrus_bergylta
ENSDCDP00000047096	ENSDCDG00000029382	Denticeps_clupeoides
ENSEBUP00000019774	ENSEBUG00000012283	Eptatretus_burgeri
ENSVPAP00000009779	ENSVPAG00000010508	Vicugna_pacos
ENSXMAP00000036082	ENSXMAG00000025978	Xiphophorus_maculatus
ENSLCAP00010038652	ENSLCAG00010018096	Lates_calcarifer
ENSELUP00000004093	ENSELUG00000005267	Esox_lucius
ENSPREP00000018497	ENSPREG00000012533	Poecilia_reticulata
ENSSBOP00000016625	ENSSBOG00000024997	Saimiri_boliviensis_boliviensis
ENSLAFP00000002613	ENSLAFG00000003144	Loxodonta_africana
ENSOMEP00000014660	ENSOMEG00000016181	Oryzias_melastigma
ENSANAP00000012469	ENSANAG00000024172	Aotus_nancymaae
ENSPNAP00000026330	ENSPNAG00000011609	Pygocentrus_nattereri
ENSTBEP00000011153	ENSTBEG00000012866	Tupaia_belangeri
ENSMALP00000029604	ENSMALG00000020492	Monopterus_albus
ENSLOCP00000020398	ENSLOCG00000016514	Lepisosteus_oculatus
ENSGWIP00000008840	ENSGWIG00000005270	Gouania_willdenowi
ENSXETP00000010803	ENSXETG00000016619	Xenopus_tropicalis
ENSMICP00000007366	ENSMICG00000008084	Microcebus_murinus
ENSSMRP00000015111	ENSSMRG00000011772	Salvator_merianae	ENSSMRT00000017614
ENSCGOP00000031381	ENSCGOG00000014668	Cottoperca_gobio
ENSSCAP00000019534	ENSSCAG00000014107	Serinus_canaria
ENSMOCP00000022999	ENSMOCG00000019847	Microtus_ochrogaster
ENSAPEP00000024461	ENSAPEG00000017379	Amphiprion_percula
ENSSPUP00000009894	ENSSPUG00000007661	Sphenodon_punctatus	ENSSPUT00000010543
ENSORLP00020001649	ENSORLG00020002367	Oryzias_latipes_ASM223471v1
ENSLCOP00000000059	ENSLCOG00000000076	Lepidothrix_coronata	ENSLCOT00000000065
ENSACIP00000026131	ENSACIG00000020235	Amphilophus_citrinellus
ENSMFAP00000015838	ENSMFAG00000031116	Macaca_fascicularis
ENSPANP00000011885	ENSPANG00000007448	Papio_anubis
ENSRROP00000022237	ENSRROG00000034998	Rhinopithecus_roxellana
ENSPMEP00000024432	ENSPMEG00000006710	Poecilia_mexicana
ENSCJPP00005010485	ENSCJPG00005009122	Coturnix_japonica
ENSUMAP00000001197	ENSUMAG00000001167	Ursus_maritimus
ENSCAPP00000011690	ENSCAPG00000012710	Cavia_aperea
ENSUAMP00000035356	ENSUAMG00000026850	Ursus_americanus
ENSEEUP00000003979	ENSEEUG00000004401	Erinaceus_europaeus
ENSHCOP00000010941	ENSHCOG00000013664	Hippocampus_comes
ENSP00000349131	ENSG00000146374	Homo_sapiens
ENSACIP00000020461	ENSACIG00000015761	Amphilophus_citrinellus
ENSPCIP00000033663	ENSPCIG00000024970	Phascolarctos_cinereus
ENSCATP00000045549	ENSCATG00000045154	Cercocebus_atys
ENSPRNP00000018380	ENSPRNG00000009683	Parambassis_ranga
ENSCABP00000010241	ENSCABG00000007691	Chelonoidis_abingdonii
ENSPEMP00000017586	ENSPEMG00000016458	Peromyscus_maniculatus_bairdii
ENSPMJP00000018203	ENSPMJG00000013637	Parus_major	ENSPMJT00000023781
ENSEASP00005013486	ENSEASG00005009423	Equus_asinus_asinus
ENSLACP00000009679	ENSLACG00000008534	Latimeria_chalumnae
ENSMAUP00000018566	ENSMAUG00000017103	Mesocricetus_auratus
ENSCHAP00000038669	ENSCHAG00000018155	Clupea_harengus
ENSRNOP00000015395	ENSRNOG00000011568	Rattus_norvegicus
ENSAPEP00000008665	ENSAPEG00000006228	Amphiprion_percula
ENSDNOP00000029132	ENSDNOG00000036336	Dasypus_novemcinctus
ENSMNEP00000017662	ENSMNEG00000032801	Macaca_nemestrina
ENSMPUP00000014493	ENSMPUG00000014604	Mustela_putorius_furo
ENSJHYP00000021725	ENSJHYG00000016436	Junco_hyemalis
ENSCPUP00000000964	ENSCPUG00000000711	Calidris_pugnax
ENSAHAP00000014305	ENSAHAG00000010285	Apteryx_haastii
ENSPPYP00000019027	ENSPPYG00000016993	Pongo_abelii
ENSMUGP00000019516	ENSMUGG00000016544	Meriones_unguiculatus
ENSBSLP00000023963	ENSBSLG00000012195	Betta_splendens
ENSMSIP00000001016	ENSMSIG00000001044	Mus_spicilegus
ENSNLEP00000017155	ENSNLEG00000014120	Nomascus_leucogenys
ENSSSCP00000031989	ENSSSCG00000004218	Sus_scrofa_strain_reference
ENSGACP00000008044	ENSGACG00000006080	Gasterosteus_aculeatus
ENSLCRP00005038806	ENSLCRG00005015030	Larimichthys_crocea
ENSSLDP00000018379	ENSSLDG00000014461	Seriola_lalandi_dorsalis
ENSPVIP00000017894	ENSPVIG00000013709	Pogona_vitticeps	ENSPVIT00000022269
ENSTGEP00000008812	ENSTGEG00000007247	Theropithecus_gelada
ENSNGAP00000023252	ENSNGAG00000021867	Nannospalax_galili
ENSMUNP00000000123	ENSMUNG00000000154	Melopsittacus_undulatus
ENSFHEP00000026809	ENSFHEG00000009917	Fundulus_heteroclitus
ENSCLAP00000011955	ENSCLAG00000008249	Chinchilla_lanigera
ENSHHUP00000059151	ENSHHUG00000035156	Hucho_hucho
ENSMUSP00000090287	ENSMUSG00000019880	Mus_musculus_strain_reference_(CL57BL6)
ENSCCAP00000025182	ENSCCAG00000030382	Cebus_capucinus_imitator
ENSOCUP00000003190	ENSOCUG00000003681	Oryctolagus_cuniculus
ENSHBUP00000028435	ENSHBUG00000012205	Haplochromis_burtoni
ENSPFOP00000010297	ENSPFOG00000010337	Poecilia_formosa
ENSXCOP00000021780	ENSXCOG00000016280	Xiphophorus_couchianus
ENSORLP00000030017	ENSORLG00000023719	Oryzias_latipes_ASM223467v1
MGP_CAROLIEiJ_P0022579	MGP_CAROLIEiJ_G0015210	Mus_caroli_strain_CAROLI_EIJ
ENSPRNP00000005006	ENSPRNG00000002839	Parambassis_ranga
ENSMODP00000022041	ENSMODG00000017677	Monodelphis_domestica
ENSCGRP00001015075	ENSCGRG00001015784	Cricetulus_griseus_CHOK1GS_HDv1
ENSAMEP00000009956	ENSAMEG00000009480	Ailuropoda_melanoleuca
ENSSTOP00000023393	ENSSTOG00000024112	Ictidomys_tridecemlineatus
ENSHGLP00000023853	ENSHGLG00000017004	Heterocephalus_glaber_HetGla_female_1.0
ENSTNIP00000022293	ENSTNIG00000019099	Tetraodon_nigroviridis
ENSPPRP00000009583	ENSPPRG00000004008	Panthera_pardus
ENSLCRP00005054491	ENSLCRG00005020361	Larimichthys_crocea
ENSLSDP00000022600	ENSLSDG00000015976	Lonchura_striata_domestica
ENSOGAP00000013038	ENSOGAG00000014550	Otolemur_garnettii
ENSOANP00000020916	ENSOANG00000013242	Ornithorhynchus_anatinus
ENSTSYP00000009510	ENSTSYG00000010409	Carlito_syrichta
ENSNBRP00000013312	ENSNBRG00000010327	Neolamprologus_brichardi
ENSCSAP00000012446	ENSCSAG00000016383	Chlorocebus_sabaeus
ENSSFOP00015014853	ENSSFOG00015009562	Scleropages_formosus
ENSORLP00000007233	ENSORLG00000005755	Oryzias_latipes_ASM223467v1
ENSPNYP00000015098	ENSPNYG00000011451	Pundamilia_nyererei
ENSODEP00000008081	ENSODEG00000006025	Octodon_degus
ENSPTEP00000011787	ENSPTEG00000013266	Piliocolobus_tephrosceles
ENSCVAP00000002931	ENSCVAG00000004084	Cyprinodon_variegatus
ENSSHAP00000021838	ENSSHAG00000018489	Sarcophilus_harrisii
ENSPTIP00000014894	ENSPTIG00000014163	Panthera_tigris_altaica
ENSVURP00010030344	ENSVURG00010023208	Vombatus_ursinus
ENSCGOP00000004209	ENSCGOG00000002215	Cottoperca_gobio
ENSSLDP00000033301	ENSSLDG00000025486	Seriola_lalandi_dorsalis
ENSXCOP00000010013	ENSXCOG00000007596	Xiphophorus_couchianus
ENSPSMP00000005791	ENSPSMG00000004402	Prolemur_simus
ENSSDUP00000015270	ENSSDUG00000011116	Seriola_dumerili
ENSORLP00015003570	ENSORLG00015004342	Oryzias_latipes_ASM223469v1
ENSNPEP00000020927	ENSNPEG00000015538	Nothoprocta_perdicaria
ENSCCNP00000000222	ENSCCNG00000000267	Castor_canadensis
ENSFHEP00000002694	ENSFHEG00000003511	Fundulus_heteroclitus
ENSPKIP00000001967	ENSPKIG00000020046	Paramormyrops_kingsleyae
