ENSCCAP00000032972	ENSCCAG00000034520	Cebus_capucinus_imitator
ENSAMEP00000006845	ENSAMEG00000006473	Ailuropoda_melanoleuca
ENSNVIP00000024945	ENSNVIG00000019334	Neovison_vison
ENSMPUP00000008338	ENSMPUG00000008400	Mustela_putorius_furo
ENSCAFP00020026590	ENSCAFG00020020849	Canis_lupus_dingo
ENSCAFP00000005491	ENSCAFG00000003670	Canis_lupus_familiaris
ENSVVUP00000038710	ENSVVUG00000027594	Vulpes_vulpes
ENSPTIP00000006108	ENSPTIG00000008125	Panthera_tigris_altaica
ENSPPRP00000000275	ENSPPRG00000024936	Panthera_pardus
ENSAMEP00000016975	ENSAMEG00000016071	Ailuropoda_melanoleuca
ENSMPUP00000016924	ENSMPUG00000017030	Mustela_putorius_furo
ENSEASP00005013305	ENSEASG00005009262	Equus_asinus_asinus
ENSMLUP00000009876	ENSMLUG00000010822	Myotis_lucifugus
ENSPVAP00000008335	ENSPVAG00000008829	Pteropus_vampyrus
ENSBIXP00000020207	ENSBIXG00000004672	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005004159	ENSBIXG00005010152	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000002485	ENSBTAG00000001912	Bos_taurus
ENSBMUP00000004624	ENSBMUG00000003631	Bos_mutus
ENSBBBP00000006621	ENSBBBG00000014929	Bison_bison_bison
ENSCHIP00000012835	ENSCHIG00000014452	Capra_hircus
ENSOARP00000018333	ENSOARG00000017072	Ovis_aries
ENSTTRP00000007396	ENSTTRG00000007824	Tursiops_truncatus
ENSSSCP00000048460	ENSSSCG00000016469	Sus_scrofa_strain_reference
ENSEEUP00000007747	ENSEEUG00000008468	Erinaceus_europaeus
ENSCHOP00000010795	ENSCHOG00000012204	Choloepus_hoffmanni
ENSDNOP00000021508	ENSDNOG00000040587	Dasypus_novemcinctus
ENSPCAP00000004699	ENSPCAG00000004988	Procavia_capensis
ENSPCIP00000020478	ENSPCIG00000015583	Phascolarctos_cinereus
ENSVURP00010029831	ENSVURG00010022797	Vombatus_ursinus
ENSMODP00000001244	ENSMODG00000001049	Monodelphis_domestica
ENSPPYP00000020311	ENSPPYG00000018105	Pongo_abelii
ENSUPAP00010012207	ENSUPAG00010009886	Urocitellus_parryii
ENSEEUP00000007952	ENSEEUG00000008714	Erinaceus_europaeus
ENSPCAP00000005594	ENSPCAG00000005947	Procavia_capensis
ENSFCAP00000060465	ENSFCAG00000014932	Felis_catus
ENSOANP00000004989	ENSOANG00000003148	Ornithorhynchus_anatinus
ENSGAGP00000004025	ENSGAGG00000003287	Gopherus_agassizii
ENSTGUP00000017511	ENSTGUG00000017230	Taeniopygia_guttata
ENSCPRP00005001263	ENSCPRG00005000963	Crocodylus_porosus
