ENSPRNP00000049032	ENSPRNG00000022726	Parambassis_ranga
ENSNSUP00000019403	ENSNSUG00000014188	Notechis_scutatus
ENSAPLP00000016006	ENSAPLG00000016081	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000004320	ENSMGAG00000004504	Meleagris_gallopavo
ENSOMEP00000008092	ENSOMEG00000009248	Oryzias_melastigma
MGP_SPRETEiJ_P0032547	MGP_SPRETEiJ_G0018279	Mus_spretus_strain_SPRET/EiJ
ENSMNEP00000031945	ENSMNEG00000039353	Macaca_nemestrina
ENSLACP00000019825	ENSLACG00000017432	Latimeria_chalumnae
ENSSDAP00000007083	ENSSDAG00000006487	Spermophilus_dauricus
ENSAMXP00000016150	ENSAMXG00000015678	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPCOP00000021630	ENSPCOG00000022848	Propithecus_coquereli
ENSRNOP00000051538	ENSRNOG00000008755	Rattus_norvegicus
ENSSSCP00000034512	ENSSSCG00000017198	Sus_scrofa_strain_reference
ENSECRP00000027499	ENSECRG00000018565	Erpetoichthys_calabaricus
ENSCMIP00000002871	ENSCMIG00000001444	Callorhinchus_milii
ENSHBUP00000001823	ENSHBUG00000002976	Haplochromis_burtoni
ENSTTRP00000015064	ENSTTRG00000015897	Tursiops_truncatus
ENSSBOP00000027414	ENSSBOG00000030094	Saimiri_boliviensis_boliviensis
ENSXETP00000005145	ENSXETG00000009896	Xenopus_tropicalis
ENSVVUP00000020229	ENSVVUG00000014918	Vulpes_vulpes
ENSTNIP00000020658	ENSTNIG00000017514	Tetraodon_nigroviridis
ENSOGAP00000001733	ENSOGAG00000001941	Otolemur_garnettii
ENSLBEP00000013376	ENSLBEG00000010262	Labrus_bergylta
ENSPTIP00000006883	ENSPTIG00000008661	Panthera_tigris_altaica
ENSPMEP00000027277	ENSPMEG00000011578	Poecilia_mexicana
ENSSLDP00000005978	ENSSLDG00000004221	Seriola_lalandi_dorsalis
ENSMICP00000027276	ENSMICG00000033103	Microcebus_murinus
ENSDCDP00000003922	ENSDCDG00000001961	Denticeps_clupeoides
ENSCPGP00000014477	ENSCPGG00000010240	Calidris_pygmaea
ENSLCAP00010044119	ENSLCAG00010020186	Lates_calcarifer
ENSMPUP00000013576	ENSMPUG00000013679	Mustela_putorius_furo
ENSSHAP00000020666	ENSSHAG00000017526	Sarcophilus_harrisii
ENSAMXP00005043055	ENSAMXG00005019208	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSJHYP00000014506	ENSJHYG00000011239	Junco_hyemalis
ENSVURP00010014627	ENSVURG00010011218	Vombatus_ursinus
ENSCABP00000012442	ENSCABG00000009319	Chelonoidis_abingdonii	ENSCABT00000013641
ENSCHIP00000024456	ENSCHIG00000021549	Capra_hircus
ENSUMAP00000014585	ENSUMAG00000010732	Ursus_maritimus
ENSCAPP00000010683	ENSCAPG00000011902	Cavia_aperea
ENSGWIP00000038129	ENSGWIG00000019088	Gouania_willdenowi
ENSCPOP00000013650	ENSCPOG00000015141	Cavia_porcellus
ENSFALP00000001039	ENSFALG00000000998	Ficedula_albicollis
ENSECAP00000020757	ENSECAG00000022905	Equus_caballus
ENSODEP00000014418	ENSODEG00000010668	Octodon_degus
ENSSDUP00000026532	ENSSDUG00000019228	Seriola_dumerili
ENSMUSP00000063325	ENSMUSG00000020777	Mus_musculus_strain_reference_(CL57BL6)
ENSUPAP00010000094	ENSUPAG00010000110	Urocitellus_parryii
ENSSPUP00000010781	ENSSPUG00000008310	Sphenodon_punctatus
ENSCPBP00000040830	ENSCPBG00000028038	Chrysemys_picta_bellii
ENSBBBP00000025302	ENSBBBG00000000512	Bison_bison_bison
ENSMLEP00000005903	ENSMLEG00000025380	Mandrillus_leucophaeus
ENSORLP00020032535	ENSORLG00020018163	Oryzias_latipes_ASM223471v1
ENSMAUP00000016545	ENSMAUG00000015640	Mesocricetus_auratus
ENSPPYP00000009707	ENSPPYG00000008645	Pongo_abelii
ENSDNOP00000032175	ENSDNOG00000038549	Dasypus_novemcinctus
ENSPCAP00000001405	ENSPCAG00000001483	Procavia_capensis
ENSACLP00000004885	ENSACLG00000003234	Astatotilapia_calliptera
ENSCGRP00001016707	ENSCGRG00001016959	Cricetulus_griseus_CHOK1GS_HDv1
ENSCHAP00000039091	ENSCHAG00000016996	Clupea_harengus
ENSPMGP00000014744	ENSPMGG00000012077	Periophthalmus_magnuspinnatus
ENSCCNP00000014180	ENSCCNG00000014653	Castor_canadensis
ENSLOCP00000016642	ENSLOCG00000013494	Lepisosteus_oculatus
ENSTNIP00000001330	ENSTNIG00000000932	Tetraodon_nigroviridis
ENSRROP00000005915	ENSRROG00000023980	Rhinopithecus_roxellana
ENSPLAP00000025482	ENSPLAG00000012560	Poecilia_latipinna
ENSCSEP00000012682	ENSCSEG00000008205	Cynoglossus_semilaevis
ENSDCDP00000056182	ENSDCDG00000032412	Denticeps_clupeoides
ENSAHAP00000021910	ENSAHAG00000015358	Apteryx_haastii
ENSLSDP00000008425	ENSLSDG00000006298	Lonchura_striata_domestica
ENSLAFP00000003667	ENSLAFG00000004394	Loxodonta_africana
ENSATEP00000008057	ENSATEG00000005659	Anabas_testudineus
ENSPSMP00000004175	ENSPSMG00000003273	Prolemur_simus
ENSMEUP00000001615	ENSMEUG00000001763	Notamacropus_eugenii
ENSMVIP00005000481	ENSMVIG00005000417	Manacus_vitellinus
ENSORLP00000000969	ENSORLG00000000785	Oryzias_latipes_ASM223467v1
ENSPPRP00000002604	ENSPPRG00000023330	Panthera_pardus
ENSMMOP00000020985	ENSMMOG00000015805	Mola_mola
ENSEASP00005005234	ENSEASG00005002691	Equus_asinus_asinus
ENSCGRP00000024853	ENSCGRG00000018002	Cricetulus_griseus_CriGri_1.0
ENSONIP00000022997	ENSONIG00000018262	Oreochromis_niloticus
ENSCVAP00000012291	ENSCVAG00000014724	Cyprinodon_variegatus
ENSPMJP00000009648	ENSPMJG00000007700	Parus_major
ENSFDAP00000017017	ENSFDAG00000005680	Fukomys_damarensis
ENSGALP00000003376	ENSGALG00000002159	Gallus_gallus
ENSOCUP00000042168	ENSOCUG00000012924	Oryctolagus_cuniculus
ENSBIXP00005027879	ENSBIXG00005029916	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSTOP00000032470	ENSSTOG00000013437	Ictidomys_tridecemlineatus
ENSMLUP00000001107	ENSMLUG00000001210	Myotis_lucifugus
ENSXMAP00000006077	ENSXMAG00000006043	Xiphophorus_maculatus
ENSBMUP00000012914	ENSBMUG00000009865	Bos_mutus
ENSBIXP00000031032	ENSBIXG00000013167	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSNPEP00000004302	ENSNPEG00000003292	Nothoprocta_perdicaria
ENSNLEP00000033574	ENSNLEG00000001872	Nomascus_leucogenys
MGP_PahariEiJ_P0037832	MGP_PahariEiJ_G0018563	Mus_pahari_strain_PAHARI_EIJ
ENSMODP00000009713	ENSMODG00000007822	Monodelphis_domestica
ENSAOCP00000006822	ENSAOCG00000010509	Amphiprion_ocellaris
ENSPTRP00000082599	ENSPTRG00000009665	Pan_troglodytes
ENSVPAP00000005136	ENSVPAG00000005528	Vicugna_pacos
ENSACIP00000009223	ENSACIG00000007216	Amphilophus_citrinellus
ENSNMEP00000018535	ENSNMEG00000016105	Numida_meleagris
ENSLCRP00005017897	ENSLCRG00005004566	Larimichthys_crocea
ENSCJAP00000067241	ENSCJAG00000013890	Callithrix_jacchus
ENSJJAP00000011792	ENSJJAG00000015018	Jaculus_jaculus
ENSACIP00000009181	ENSACIG00000007202	Amphilophus_citrinellus
ENSORLP00015032791	ENSORLG00015017806	Oryzias_latipes_ASM223469v1
ENSCAFP00000053207	ENSCAFG00000004989	Canis_lupus_familiaris
ENSPANP00000024424	ENSPANG00000020067	Papio_anubis
ENSZALP00000019373	ENSZALG00000015372	Zonotrichia_albicollis
ENSCGRP00015008852	ENSCGRG00015006800	Cricetulus_griseus_CriGri-PICR
ENSMOCP00000023722	ENSMOCG00000020348	Microtus_ochrogaster
ENSEEUP00000010847	ENSEEUG00000011871	Erinaceus_europaeus
ENSNBRP00000003432	ENSNBRG00000002725	Neolamprologus_brichardi
ENSAPEP00000003565	ENSAPEG00000002575	Amphiprion_percula
ENSBTAP00000070369	ENSBTAG00000030174	Bos_taurus
ENSCAFP00020006070	ENSCAFG00020004736	Canis_lupus_dingo
ENSSFOP00015007311	ENSSFOG00015004835	Scleropages_formosus
ENSHHUP00000087002	ENSHHUG00000050225	Hucho_hucho
ENSPNAP00000037348	ENSPNAG00000029060	Pygocentrus_nattereri
ENSETEP00000004311	ENSETEG00000005303	Echinops_telfairi
ENSMALP00000032796	ENSMALG00000022556	Monopterus_albus
ENSDORP00000024414	ENSDORG00000008606	Dipodomys_ordii
ENSDNVP00000011883	ENSDNVG00000007974	Dromaius_novaehollandiae
ENSPKIP00000023995	ENSPKIG00000007125	Paramormyrops_kingsleyae
ENSOANP00000002960	ENSOANG00000001864	Ornithorhynchus_anatinus
ENSSMAP00000028868	ENSSMAG00000017686	Scophthalmus_maximus
ENSTRUP00000050579	ENSTRUG00000025196	Takifugu_rubripes
ENSSMRP00000030220	ENSSMRG00000023173	Salvator_merianae
ENSCSAP00000001264	ENSCSAG00000004941	Chlorocebus_sabaeus
ENSTGUP00000008466	ENSTGUG00000008167	Taeniopygia_guttata
ENSCHOP00000002492	ENSCHOG00000002812	Choloepus_hoffmanni
ENSPCIP00000027115	ENSPCIG00000020266	Phascolarctos_cinereus
ENSPPAP00000025791	ENSPPAG00000036022	Pan_paniscus
ENSLBEP00000008733	ENSLBEG00000006697	Labrus_bergylta
ENSSPAP00000019458	ENSSPAG00000014432	Stegastes_partitus
ENSNGAP00000018856	ENSNGAG00000018856	Nannospalax_galili
ENSHGLP00000007861	ENSHGLG00000005696	Heterocephalus_glaber_HetGla_female_1.0
ENSCATP00000005976	ENSCATG00000018885	Cercocebus_atys
ENSUAMP00000004471	ENSUAMG00000003693	Ursus_americanus
ENSGMOP00000018983	ENSGMOG00000017643	Gadus_morhua
ENSNVIP00000015137	ENSNVIG00000011817	Neovison_vison
ENSPFOP00000027555	ENSPFOG00000012337	Poecilia_formosa
ENSMMUP00000067864	ENSMMUG00000014172	Macaca_mulatta
ENSOPRP00000001385	ENSOPRG00000001505	Ochotona_princeps
ENSSFOP00015007352	ENSSFOG00015004843	Scleropages_formosus
