ENSCSAVP00000009608	ENSCSAVG00000005640	Ciona_savignyi	ENSCSAVT00000009726
ENSCINP00000000792	ENSCING00000000429	Ciona_intestinalis	ENSCINT00000000792
ENSEBUP00000025126	ENSEBUG00000015497	Eptatretus_burgeri	ENSEBUT00000025702
ENSLBEP00000030492	ENSLBEG00000023036	Labrus_bergylta
ENSPTEP00000017784	ENSPTEG00000019285	Piliocolobus_tephrosceles
ENSCANP00000023648	ENSCANG00000035216	Colobus_angolensis_palliatus
ENSRBIP00000041306	ENSRBIG00000044000	Rhinopithecus_bieti
ENSPANP00000035411	ENSPANG00000002800	Papio_anubis
ENSRROP00000015236	ENSRROG00000031798	Rhinopithecus_roxellana
ENSPPYP00000016196	ENSPPYG00000014490	Pongo_abelii
ENSANAP00000012718	ENSANAG00000024294	Aotus_nancymaae
ENSSBOP00000029733	ENSSBOG00000031153	Saimiri_boliviensis_boliviensis
ENSCCAP00000040602	ENSCCAG00000038095	Cebus_capucinus_imitator
ENSCJAP00000000693	ENSCJAG00000000395	Callithrix_jacchus
ENSTSYP00000016383	ENSTSYG00000000392	Carlito_syrichta
ENSPSMP00000026618	ENSPSMG00000018688	Prolemur_simus
ENSMICP00000051740	ENSMICG00000049472	Microcebus_murinus
ENSPCOP00000011720	ENSPCOG00000017381	Propithecus_coquereli
ENSODEP00000004541	ENSODEG00000003463	Octodon_degus
ENSCPOP00000013781	ENSCPOG00000015291	Cavia_porcellus
ENSCLAP00000003975	ENSCLAG00000002835	Chinchilla_lanigera
ENSHGLP00100021483	ENSHGLG00100015811	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000023696	ENSHGLG00000016907	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000003086	ENSFDAG00000012618	Fukomys_damarensis
ENSTBEP00000012128	ENSTBEG00000013974	Tupaia_belangeri
ENSCGRP00000013335	ENSCGRG00000009689	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015030810	ENSCGRG00015023207	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001014579	ENSCGRG00001015422	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000011061	ENSMAUG00000011768	Mesocricetus_auratus
ENSPEMP00000026640	ENSPEMG00000022685	Peromyscus_maniculatus_bairdii
ENSMOCP00000007598	ENSMOCG00000007444	Microtus_ochrogaster
MGP_SPRETEiJ_P0060249	MGP_SPRETEiJ_G0025997	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000029714	ENSMSIG00000024948	Mus_spicilegus
ENSMUSP00000029344	ENSMUSG00000027775	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0057939	MGP_CAROLIEiJ_G0025055	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0068903	MGP_PahariEiJ_G0026498	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000018489	ENSRNOG00000013790	Rattus_norvegicus
ENSMUGP00000016537	ENSMUGG00000014173	Meriones_unguiculatus
ENSNGAP00000026170	ENSNGAG00000023897	Nannospalax_galili
ENSCCNP00000031032	ENSCCNG00000029610	Castor_canadensis
ENSJJAP00000016943	ENSJJAG00000018648	Jaculus_jaculus
ENSDORP00000017070	ENSDORG00000001805	Dipodomys_ordii
ENSUPAP00010009835	ENSUPAG00010007976	Urocitellus_parryii
ENSSTOP00000009141	ENSSTOG00000010188	Ictidomys_tridecemlineatus
ENSMMMP00000018330	ENSMMMG00000016249	Marmota_marmota_marmota
ENSOCUP00000001100	ENSOCUG00000001272	Oryctolagus_cuniculus
ENSOPRP00000009073	ENSOPRG00000009924	Ochotona_princeps
ENSOGAP00000013183	ENSOGAG00000014711	Otolemur_garnettii
ENSCHOP00000005502	ENSCHOG00000006216	Choloepus_hoffmanni
ENSDNOP00000003918	ENSDNOG00000005048	Dasypus_novemcinctus
ENSVURP00010021780	ENSVURG00010016698	Vombatus_ursinus
ENSPCIP00000043201	ENSPCIG00000004651	Phascolarctos_cinereus
ENSMEUP00000011396	ENSMEUG00000012496	Notamacropus_eugenii
ENSSHAP00000020738	ENSSHAG00000017589	Sarcophilus_harrisii
ENSMODP00000014298	ENSMODG00000011438	Monodelphis_domestica
ENSOANP00000014307	ENSOANG00000008987	Ornithorhynchus_anatinus
ENSXETP00000012486	ENSXETG00000014250	Xenopus_tropicalis
ENSLACP00000014762	ENSLACG00000012993	Latimeria_chalumnae
ENSCMIP00000044088	ENSCMIG00000018258	Callorhinchus_milii
ENSPMAP00000006943	ENSPMAG00000006280	Petromyzon_marinus
FBpp0076594	FBgn0035763	Drosophila_melanogaster
FBpp0289980	FBgn0031636	Drosophila_melanogaster
