ENSSARP00000001233	ENSSARG00000001354	Sorex_araneus
ENSMMMP00000023468	ENSMMMG00000020554	Marmota_marmota_marmota
ENSODEP00000001046	ENSODEG00000000836	Octodon_degus
ENSCLAP00000014707	ENSCLAG00000010150	Chinchilla_lanigera
ENSCPOP00000001914	ENSCPOG00000002114	Cavia_porcellus
ENSCAPP00000013154	ENSCAPG00000013842	Cavia_aperea
ENSHGLP00100022569	ENSHGLG00100016598	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000026778	ENSHGLG00000019045	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100010381	ENSHGLG00100007723	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000026780	ENSHGLG00000019046	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000007315	ENSFDAG00000015856	Fukomys_damarensis
ENSCCNP00000033659	ENSCCNG00000031806	Castor_canadensis
ENSDORP00000014991	ENSDORG00000015936	Dipodomys_ordii
ENSOCUP00000039740	ENSOCUG00000038129	Oryctolagus_cuniculus
ENSLAFP00000003516	ENSLAFG00000004215	Loxodonta_africana
ENSPCAP00000010158	ENSPCAG00000010933	Procavia_capensis
ENSETEP00000006551	ENSETEG00000008058	Echinops_telfairi
ENSDNOP00000000861	ENSDNOG00000001126	Dasypus_novemcinctus
ENSCHOP00000003731	ENSCHOG00000004212	Choloepus_hoffmanni
ENSPCIP00000000259	ENSPCIG00000000227	Phascolarctos_cinereus	ENSPCIT00000000339
ENSMEUP00000004808	ENSMEUG00000005265	Notamacropus_eugenii	ENSMEUT00000005272
ENSVURP00010005725	ENSVURG00010004457	Vombatus_ursinus	ENSVURT00010006478
ENSMODP00000049238	ENSMODG00000008471	Monodelphis_domestica	ENSMODT00000067804
ENSOANP00000020475	ENSOANG00000012945	Ornithorhynchus_anatinus
ENSPVIP00000016425	ENSPVIG00000012705	Pogona_vitticeps
ENSACAP00000017446	ENSACAG00000017716	Anolis_carolinensis
ENSNSUP00000027016	ENSNSUG00000019356	Notechis_scutatus
ENSSMRP00000029158	ENSSMRG00000022418	Salvator_merianae
ENSSPUP00000007275	ENSSPUG00000005632	Sphenodon_punctatus
ENSAHAP00000015978	ENSAHAG00000011424	Apteryx_haastii
ENSARWP00000014873	ENSARWG00000010302	Apteryx_rowi
ENSAOWP00000023143	ENSAOWG00000015616	Apteryx_owenii
ENSDNVP00000008592	ENSDNVG00000006109	Dromaius_novaehollandiae
ENSMVIP00005027210	ENSMVIG00005018972	Manacus_vitellinus
ENSLCOP00000006893	ENSLCOG00000005095	Lepidothrix_coronata
ENSPMJP00000025720	ENSPMJG00000018813	Parus_major
ENSCCEP00000011119	ENSCCEG00000010936	Cyanistes_caeruleus
ENSFALP00000009754	ENSFALG00000009353	Ficedula_albicollis
ENSTGUP00000005326	ENSTGUG00000005177	Taeniopygia_guttata
ENSSCAP00000004525	ENSSCAG00000003682	Serinus_canaria
ENSJHYP00000002202	ENSJHYG00000001870	Junco_hyemalis
ENSCPGP00000002596	ENSCPGG00000001936	Calidris_pygmaea
ENSCPUP00000007298	ENSCPUG00000005254	Calidris_pugnax
ENSMUNP00000014059	ENSMUNG00000010948	Melopsittacus_undulatus
ENSMGAP00000002702	ENSMGAG00000003035	Meleagris_gallopavo
ENSCJPP00005026450	ENSCJPG00005020561	Coturnix_japonica
ENSGALP00000051942	ENSGALG00000001238	Gallus_gallus
ENSNMEP00000017616	ENSNMEG00000015381	Numida_meleagris
ENSAPLP00000009533	ENSAPLG00000009824	Anas_platyrhynchos_platyrhynchos
ENSNPEP00000016605	ENSNPEG00000012364	Nothoprocta_perdicaria
ENSCPRP00005011516	ENSCPRG00005008206	Crocodylus_porosus
ENSGAGP00000030488	ENSGAGG00000021958	Gopherus_agassizii
ENSCABP00000025223	ENSCABG00000018575	Chelonoidis_abingdonii
ENSCPBP00000040607	ENSCPBG00000027888	Chrysemys_picta_bellii
ENSPSIP00000008726	ENSPSIG00000007895	Pelodiscus_sinensis
ENSXETP00000047772	ENSXETG00000017178	Xenopus_tropicalis
ENSLACP00000011684	ENSLACG00000010283	Latimeria_chalumnae
ENSSFOP00015010805	ENSSFOG00015007012	Scleropages_formosus
ENSPKIP00000022057	ENSPKIG00000006210	Paramormyrops_kingsleyae
ENSMALP00000032846	ENSMALG00000022589	Monopterus_albus
ENSTRUP00000049059	ENSTRUG00000019652	Takifugu_rubripes
ENSPMEP00000008133	ENSPMEG00000009846	Poecilia_mexicana
ENSPFOP00000002446	ENSPFOG00000002516	Poecilia_formosa
ENSPLAP00000027410	ENSPLAG00000015988	Poecilia_latipinna
ENSPREP00000024819	ENSPREG00000016746	Poecilia_reticulata
ENSXMAP00000005233	ENSXMAG00000005222	Xiphophorus_maculatus
ENSXCOP00000017173	ENSXCOG00000012949	Xiphophorus_couchianus
ENSGAFP00000014882	ENSGAFG00000010050	Gambusia_affinis
ENSFHEP00000022962	ENSFHEG00000003701	Fundulus_heteroclitus
ENSKMAP00000001561	ENSKMAG00000001242	Kryptolebias_marmoratus
ENSORLP00000030397	ENSORLG00000023755	Oryzias_latipes_ASM223467v1
ENSORLP00020010289	ENSORLG00020011197	Oryzias_latipes_ASM223471v1
ENSOMEP00000016679	ENSOMEG00000018329	Oryzias_melastigma
ENSCSEP00000005626	ENSCSEG00000003634	Cynoglossus_semilaevis
ENSLCAP00010053147	ENSLCAG00010024716	Lates_calcarifer
ENSSMAP00000025460	ENSSMAG00000015582	Scophthalmus_maximus
ENSATEP00000005706	ENSATEG00000004048	Anabas_testudineus
ENSMMOP00000011484	ENSMMOG00000008833	Mola_mola
ENSLCRP00005025763	ENSLCRG00005010282	Larimichthys_crocea
ENSLBEP00000000363	ENSLBEG00000000286	Labrus_bergylta
ENSLBEP00000008521	ENSLBEG00000006545	Labrus_bergylta
ENSCGOP00000013385	ENSCGOG00000006538	Cottoperca_gobio
ENSGACP00000025609	ENSGACG00000019376	Gasterosteus_aculeatus
ENSAOCP00000024976	ENSAOCG00000012223	Amphiprion_ocellaris
ENSAPEP00000001316	ENSAPEG00000001007	Amphiprion_percula
ENSAPOP00000028092	ENSAPOG00000013119	Acanthochromis_polyacanthus
ENSACLP00000009061	ENSACLG00000006188	Astatotilapia_calliptera
ENSPNYP00000021133	ENSPNYG00000015982	Pundamilia_nyererei
ENSNBRP00000000906	ENSNBRG00000000802	Neolamprologus_brichardi
ENSHCOP00000014813	ENSHCOG00000018268	Hippocampus_comes
ENSPMGP00000021765	ENSPMGG00000017621	Periophthalmus_magnuspinnatus
ENSGMOP00000020182	ENSGMOG00000018789	Gadus_morhua
ENSHHUP00000087560	ENSHHUG00000050637	Hucho_hucho
ENSHHUP00000087547	ENSHHUG00000050633	Hucho_hucho
ENSHHUP00000079064	ENSHHUG00000046120	Hucho_hucho
ENSELUP00000005024	ENSELUG00000006104	Esox_lucius
ENSAMXP00005055303	ENSAMXG00005024661	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000033624	ENSAMXG00000035271	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000007851	ENSPNAG00000002814	Pygocentrus_nattereri
ENSEEEP00000043845	ENSEEEG00000020722	Electrophorus_electricus
ENSDARP00000139377	ENSDARG00000103173	Danio_rerio
ENSCHAP00000037049	ENSCHAG00000017465	Clupea_harengus
ENSLOCP00000016361	ENSLOCG00000013278	Lepisosteus_oculatus
ENSECRP00000031333	ENSECRG00000021237	Erpetoichthys_calabaricus
ENSCMIP00000043901	ENSCMIG00000018186	Callorhinchus_milii
