ENSFDAP00000022834	ENSFDAG00000021130	Fukomys_damarensis
ENSPREP00000011975	ENSPREG00000007781	Poecilia_reticulata
ENSMZEP00005037914	ENSMZEG00005028342	Maylandia_zebra
ENSPMGP00000017493	ENSPMGG00000014317	Periophthalmus_magnuspinnatus
ENSMLUP00000000541	ENSMLUG00000000584	Myotis_lucifugus
ENSNBRP00000029484	ENSNBRG00000022420	Neolamprologus_brichardi
ENSMODP00000055826	ENSMODG00000014658	Monodelphis_domestica
ENSPLAP00000016678	ENSPLAG00000022508	Poecilia_latipinna
ENSMUNP00000019548	ENSMUNG00000014942	Melopsittacus_undulatus
ENSPSIP00000013868	ENSPSIG00000012401	Pelodiscus_sinensis
ENSPTRP00000014260	ENSPTRG00000008351	Pan_troglodytes
MGP_SPRETEiJ_P0089578	MGP_SPRETEiJ_G0032694	Mus_spretus_strain_SPRET/EiJ
ENSAMEP00000001366	ENSAMEG00000001279	Ailuropoda_melanoleuca
ENSLCOP00000021623	ENSLCOG00000015291	Lepidothrix_coronata
ENSPMAP00000010184	ENSPMAG00000009260	Petromyzon_marinus
ENSGALP00000004419	ENSGALG00000002798	Gallus_gallus
ENSTBEP00000011650	ENSTBEG00000013415	Tupaia_belangeri
ENSMNEP00000043437	ENSMNEG00000044401	Macaca_nemestrina
ENSLAFP00000019664	ENSLAFG00000023216	Loxodonta_africana
ENSOGAP00000003437	ENSOGAG00000003864	Otolemur_garnettii
ENSMSIP00000023152	ENSMSIG00000019649	Mus_spicilegus
ENSLSDP00000021979	ENSLSDG00000015521	Lonchura_striata_domestica
ENSSSCP00000040235	ENSSSCG00000002714	Sus_scrofa_strain_reference
ENSBIXP00000028838	ENSBIXG00000010243	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCATP00000019922	ENSCATG00000033731	Cercocebus_atys
ENSRROP00000040407	ENSRROG00000043434	Rhinopithecus_roxellana
ENSPNYP00000024347	ENSPNYG00000018309	Pundamilia_nyererei
ENSVVUP00000033545	ENSVVUG00000024250	Vulpes_vulpes
ENSNLEP00000015758	ENSNLEG00000012952	Nomascus_leucogenys
ENSCPGP00000004679	ENSCPGG00000003388	Calidris_pygmaea
ENSPPYP00000008526	ENSPPYG00000007553	Pongo_abelii
ENSCINP00000018134	ENSCING00000008920	Ciona_intestinalis
ENSPRNP00000001919	ENSPRNG00000001205	Parambassis_ranga
ENSXMAP00000017397	ENSXMAG00000017352	Xiphophorus_maculatus
ENSCAFP00000057181	ENSCAFG00000020099	Canis_lupus_familiaris
ENSTSYP00000017801	ENSTSYG00000000726	Carlito_syrichta
ENSAOWP00000021144	ENSAOWG00000014306	Apteryx_owenii	ENSAOWT00000023943
ENSORLP00020013802	ENSORLG00020014844	Oryzias_latipes_ASM223471v1
MGP_PahariEiJ_P0054325	MGP_PahariEiJ_G0023175	Mus_pahari_strain_PAHARI_EIJ
ENSMFAP00000007794	ENSMFAG00000036379	Macaca_fascicularis
ENSCLAP00000012708	ENSCLAG00000008773	Chinchilla_lanigera
ENSCAPP00000012151	ENSCAPG00000013032	Cavia_aperea
ENSLCRP00005009538	ENSLCRG00005002508	Larimichthys_crocea
ENSLBEP00000035206	ENSLBEG00000026428	Labrus_bergylta
ENSCGRP00015015822	ENSCGRG00015012141	Cricetulus_griseus_CriGri-PICR
ENSCABP00000017896	ENSCABG00000012847	Chelonoidis_abingdonii
ENSONIP00000004169	ENSONIG00000003314	Oreochromis_niloticus
ENSHCOP00000020546	ENSHCOG00000006713	Hippocampus_comes
ENSCJPP00005005222	ENSCJPG00005004622	Coturnix_japonica
ENSBSLP00000022487	ENSBSLG00000011131	Betta_splendens
ENSCPOP00000028724	ENSCPOG00000010169	Cavia_porcellus
MGP_CAROLIEiJ_P0086074	MGP_CAROLIEiJ_G0031576	Mus_caroli_strain_CAROLI_EIJ
ENSEASP00005019550	ENSEASG00005013439	Equus_asinus_asinus
ENSACIP00000001818	ENSACIG00000001433	Amphilophus_citrinellus
ENSXCOP00000012858	ENSXCOG00000009719	Xiphophorus_couchianus
ENSMUSP00000034437	ENSMUSG00000031959	Mus_musculus_strain_reference_(CL57BL6)
ENSMMMP00000014483	ENSMMMG00000012840	Marmota_marmota_marmota
ENSHGLP00100023507	ENSHGLG00100017265	Heterocephalus_glaber_HetGla_1.0
ENSCPUP00000015486	ENSCPUG00000010764	Calidris_pugnax
ENSLACP00000005282	ENSLACG00000004694	Latimeria_chalumnae
ENSSMAP00000004866	ENSSMAG00000002950	Scophthalmus_maximus
ENSTRUP00000054132	ENSTRUG00000020445	Takifugu_rubripes
ENSPANP00000012312	ENSPANG00000014552	Papio_anubis
ENSP00000262144	ENSG00000103091	Homo_sapiens
ENSPKIP00000022094	ENSPKIG00000006208	Paramormyrops_kingsleyae
ENSSDUP00000010090	ENSSDUG00000007353	Seriola_dumerili
ENSOMEP00000020802	ENSOMEG00000022705	Oryzias_melastigma
ENSBTAP00000060566	ENSBTAG00000016878	Bos_taurus
ENSPMAP00000005113	ENSPMAG00000004665	Petromyzon_marinus	ENSPMAT00000005132
ENSMEUP00000004626	ENSMEUG00000005045	Notamacropus_eugenii
ENSPPAP00000019311	ENSPPAG00000032813	Pan_paniscus
ENSAHAP00000021451	ENSAHAG00000015080	Apteryx_haastii	ENSAHAT00000023669
ENSCSAP00000000918	ENSCSAG00000004590	Chlorocebus_sabaeus
ENSPPRP00000006939	ENSPPRG00000002235	Panthera_pardus
ENSACAP00000023219	ENSACAG00000006681	Anolis_carolinensis	ENSACAT00000030638
ENSPFOP00000001791	ENSPFOG00000001484	Poecilia_formosa
ENSSMRP00000001775	ENSSMRG00000001550	Salvator_merianae	ENSSMRT00000002134
ENSECRP00000008996	ENSECRG00000006033	Erpetoichthys_calabaricus
ENSNVIP00000003913	ENSNVIG00000003108	Neovison_vison
ENSIPUP00000011141	ENSIPUG00000007601	Ictalurus_punctatus
ENSGACP00000023182	ENSGACG00000017547	Gasterosteus_aculeatus
ENSNGAP00000009923	ENSNGAG00000012451	Nannospalax_galili
ENSPEMP00000018759	ENSPEMG00000017222	Peromyscus_maniculatus_bairdii
ENSCMIP00000013428	ENSCMIG00000006654	Callorhinchus_milii
ENSCGRP00000002693	ENSCGRG00000001968	Cricetulus_griseus_CriGri_1.0
ENSMOCP00000003403	ENSMOCG00000002685	Microtus_ochrogaster
ENSMUGP00000021348	ENSMUGG00000017844	Meriones_unguiculatus
ENSMPUP00000009894	ENSMPUG00000009969	Mustela_putorius_furo
ENSPMJP00000000798	ENSPMJG00000000664	Parus_major
ENSLOCP00000001634	ENSLOCG00000001430	Lepisosteus_oculatus
ENSCVAP00000020596	ENSCVAG00000002084	Cyprinodon_variegatus
ENSFALP00000007793	ENSFALG00000007456	Ficedula_albicollis
ENSDARP00000144192	ENSDARG00000088817	Danio_rerio
ENSRBIP00000013428	ENSRBIG00000030730	Rhinopithecus_bieti
ENSMLEP00000006506	ENSMLEG00000026701	Mandrillus_leucophaeus
ENSCCNP00000020479	ENSCCNG00000020181	Castor_canadensis
ENSCPRP00005003287	ENSCPRG00005002416	Crocodylus_porosus
ENSDNVP00000013504	ENSDNVG00000009509	Dromaius_novaehollandiae	ENSDNVT00000016233
ENSDORP00000003888	ENSDORG00000004163	Dipodomys_ordii
