ENSVURP00010003832	ENSVURG00010003057	Vombatus_ursinus	ENSVURT00010004340
ENSPCIP00000012448	ENSPCIG00000009901	Phascolarctos_cinereus	ENSPCIT00000015467
ENSSHAP00000014356	ENSSHAG00000012264	Sarcophilus_harrisii	ENSSHAT00000014475
ENSMODP00000030234	ENSMODG00000019545	Monodelphis_domestica	ENSMODT00000031805
ENSPPAP00000002150	ENSPPAG00000009647	Pan_paniscus	ENSPPAT00000010569
ENSPTRP00000081040	ENSPTRG00000013160	Pan_troglodytes	ENSPTRT00000096431
ENSP00000386414	ENSG00000244588	Homo_sapiens	ENST00000409241
ENSGGOP00000017993	ENSGGOG00000003368	Gorilla_gorilla
ENSBMUP00000021503	ENSBMUG00000016172	Bos_mutus
ENSBBBP00000000471	ENSBBBG00000009638	Bison_bison_bison
ENSEASP00005004719	ENSEASG00005003556	Equus_asinus_asinus
ENSUAMP00000007613	ENSUAMG00000006567	Ursus_americanus
ENSUMAP00000001503	ENSUMAG00000001373	Ursus_maritimus
ENSAMEP00000014930	ENSAMEG00000014153	Ailuropoda_melanoleuca
ENSNVIP00000012844	ENSNVIG00000010112	Neovison_vison
ENSMPUP00000017829	ENSMPUG00000017939	Mustela_putorius_furo
ENSCAFP00000010173	ENSCAFG00000044714	Canis_lupus_familiaris
ENSCAFP00020004811	ENSCAFG00020003941	Canis_lupus_dingo
ENSVVUP00000010912	ENSVVUG00000008057	Vulpes_vulpes
ENSPPRP00000014784	ENSPPRG00000007575	Panthera_pardus
ENSPTIP00000003454	ENSPTIG00000006165	Panthera_tigris_altaica
ENSFCAP00000018636	ENSFCAG00000046307	Felis_catus
ENSMLUP00000021082	ENSMLUG00000008566	Myotis_lucifugus
ENSLAFP00000021843	ENSLAFG00000027962	Loxodonta_africana
ENSETEP00000006043	ENSETEG00000007444	Echinops_telfairi
ENSDNOP00000031250	ENSDNOG00000033441	Dasypus_novemcinctus
ENSSARP00000008146	ENSSARG00000009006	Sorex_araneus
ENSOANP00000025810	ENSOANG00000020314	Ornithorhynchus_anatinus
ENSSPUP00000024375	ENSSPUG00000018681	Sphenodon_punctatus
ENSSPUP00000024373	ENSSPUG00000018679	Sphenodon_punctatus
ENSPVIP00000014763	ENSPVIG00000011389	Pogona_vitticeps
ENSACAP00000020602	ENSACAG00000008407	Anolis_carolinensis
ENSNSUP00000006473	ENSNSUG00000005134	Notechis_scutatus
ENSCPRP00005010537	ENSCPRG00005007496	Crocodylus_porosus
ENSCPRP00005010541	ENSCPRG00005007499	Crocodylus_porosus
ENSAPLP00000009603	ENSAPLG00000009865	Anas_platyrhynchos_platyrhynchos
ENSABRP00000004755	ENSABRG00000004368	Anser_brachyrhynchus
ENSGALP00000073817	ENSGALG00000006186	Gallus_gallus
ENSMGAP00000008199	ENSMGAG00000008017	Meleagris_gallopavo
ENSCJPP00005006228	ENSCJPG00005005850	Coturnix_japonica
ENSNMEP00000018601	ENSNMEG00000016155	Numida_meleagris
ENSZALP00000003783	ENSZALG00000003678	Zonotrichia_albicollis
ENSJHYP00000017815	ENSJHYG00000013604	Junco_hyemalis
ENSCCEP00000000023	ENSCCEG00000000061	Cyanistes_caeruleus
ENSPMJP00000008668	ENSPMJG00000007021	Parus_major
ENSFALP00000006013	ENSFALG00000005773	Ficedula_albicollis
ENSTGUP00000007091	ENSTGUG00000006892	Taeniopygia_guttata
ENSLSDP00000008847	ENSLSDG00000006613	Lonchura_striata_domestica
ENSMVIP00005007606	ENSMVIG00005005691	Manacus_vitellinus
ENSLCOP00000019790	ENSLCOG00000014018	Lepidothrix_coronata
ENSCPGP00000000191	ENSCPGG00000000148	Calidris_pygmaea
ENSCPUP00000008847	ENSCPUG00000006314	Calidris_pugnax
ENSMUNP00000004034	ENSMUNG00000003378	Melopsittacus_undulatus
ENSDNVP00000005325	ENSDNVG00000003828	Dromaius_novaehollandiae
ENSDNVP00000005313	ENSDNVG00000003817	Dromaius_novaehollandiae
ENSAOWP00000003233	ENSAOWG00000002276	Apteryx_owenii
ENSAHAP00000014040	ENSAHAG00000010093	Apteryx_haastii
ENSARWP00000014113	ENSARWG00000009762	Apteryx_rowi
ENSNPEP00000010700	ENSNPEG00000008050	Nothoprocta_perdicaria
ENSGAGP00000012132	ENSGAGG00000009339	Gopherus_agassizii
ENSCABP00000023077	ENSCABG00000016996	Chelonoidis_abingdonii
ENSGAGP00000012131	ENSGAGG00000009338	Gopherus_agassizii
ENSCPBP00000040192	ENSCPBG00000027645	Chrysemys_picta_bellii
ENSPSIP00000018378	ENSPSIG00000016319	Pelodiscus_sinensis
