ENSPREP00000000072	ENSPREG00000000085	Poecilia_reticulata
ENSDNVP00000022361	ENSDNVG00000015578	Dromaius_novaehollandiae
ENSCPOP00000007313	ENSCPOG00000008132	Cavia_porcellus
ENSCGRP00015031613	ENSCGRG00015023823	Cricetulus_griseus_CriGri-PICR
ENSIPUP00000026504	ENSIPUG00000017952	Ictalurus_punctatus
ENSPPYP00000016921	ENSPPYG00000015141	Pongo_abelii
ENSGMOP00000000675	ENSGMOG00000000687	Gadus_morhua
ENSKMAP00000008656	ENSKMAG00000006506	Kryptolebias_marmoratus
ENSPSMP00000029849	ENSPSMG00000020717	Prolemur_simus
ENSCLAP00000006001	ENSCLAG00000004249	Chinchilla_lanigera
ENSMVIP00005020415	ENSMVIG00005014418	Manacus_vitellinus
ENSRNOP00000032735	ENSRNOG00000025074	Rattus_norvegicus
ENSSMAP00000002908	ENSSMAG00000001784	Scophthalmus_maximus
ENSLCAP00010000072	ENSLCAG00010000062	Lates_calcarifer
ENSPPAP00000036869	ENSPPAG00000041183	Pan_paniscus
ENSPVIP00000026259	ENSPVIG00000019614	Pogona_vitticeps
ENSCGRP00001024403	ENSCGRG00001022332	Cricetulus_griseus_CHOK1GS_HDv1
ENSMSIP00000010932	ENSMSIG00000009532	Mus_spicilegus
ENSPMAP00000001295	ENSPMAG00000001167	Petromyzon_marinus
ENSPANP00000018352	ENSPANG00000006138	Papio_anubis
ENSXETP00000019477	ENSXETG00000001286	Xenopus_tropicalis
ENSGALP00000015063	ENSGALG00000009268	Gallus_gallus
ENSCPBP00000012336	ENSCPBG00000009321	Chrysemys_picta_bellii
ENSAPEP00000002908	ENSAPEG00000002114	Amphiprion_percula
ENSPNYP00000018213	ENSPNYG00000013780	Pundamilia_nyererei
ENSELUP00000040492	ENSELUG00000020977	Esox_lucius
ENSBBBP00000021093	ENSBBBG00000014859	Bison_bison_bison
ENSPTIP00000011882	ENSPTIG00000012133	Panthera_tigris_altaica
ENSMAMP00000014104	ENSMAMG00000009578	Mastacembelus_armatus
ENSGAFP00000020261	ENSGAFG00000013693	Gambusia_affinis
ENSSFOP00015023655	ENSSFOG00015015212	Scleropages_formosus
ENSMGAP00000000886	ENSMGAG00000001402	Meleagris_gallopavo
ENSHHUP00000085334	ENSHHUG00000049440	Hucho_hucho
ENSGAGP00000032968	ENSGAGG00000023540	Gopherus_agassizii
ENSSPAP00000026159	ENSSPAG00000019729	Stegastes_partitus
ENSCATP00000031301	ENSCATG00000038771	Cercocebus_atys
ENSMMOP00000004968	ENSMMOG00000003962	Mola_mola
ENSHCOP00000005140	ENSHCOG00000006860	Hippocampus_comes
ENSACAP00000015388	ENSACAG00000015617	Anolis_carolinensis
ENSDCDP00000011249	ENSDCDG00000005489	Denticeps_clupeoides
ENSFCAP00000055064	ENSFCAG00000015687	Felis_catus
ENSNGAP00000024577	ENSNGAG00000022796	Nannospalax_galili
ENSPLAP00000018696	ENSPLAG00000023514	Poecilia_latipinna
ENSRBIP00000034866	ENSRBIG00000041103	Rhinopithecus_bieti
ENSPVAP00000011672	ENSPVAG00000012381	Pteropus_vampyrus
ENSETEP00000009481	ENSETEG00000011686	Echinops_telfairi
ENSOANP00000008440	ENSOANG00000005299	Ornithorhynchus_anatinus
ENSCJPP00005000353	ENSCJPG00005000435	Coturnix_japonica
ENSGACP00000022264	ENSGACG00000016857	Gasterosteus_aculeatus
ENSAMEP00000019516	ENSAMEG00000018463	Ailuropoda_melanoleuca
ENSTTRP00000011681	ENSTTRG00000012314	Tursiops_truncatus
ENSOCUP00000031899	ENSOCUG00000011247	Oryctolagus_cuniculus
ENSCJAP00000003223	ENSCJAG00000001782	Callithrix_jacchus
ENSARWP00000010885	ENSARWG00000007552	Apteryx_rowi
ENSMFAP00000004959	ENSMFAG00000002159	Macaca_fascicularis
ENSSPUP00000016304	ENSSPUG00000012600	Sphenodon_punctatus
ENSACIP00000029159	ENSACIG00000022577	Amphilophus_citrinellus
ENSXCOP00000008953	ENSXCOG00000006819	Xiphophorus_couchianus
ENSCAFP00000012417	ENSCAFG00000008440	Canis_lupus_familiaris
ENSCPRP00005013059	ENSCPRG00005009246	Crocodylus_porosus
ENSACIP00000029195	ENSACIG00000022591	Amphilophus_citrinellus
ENSMODP00000001536	ENSMODG00000001279	Monodelphis_domestica
ENSPMGP00000007388	ENSPMGG00000006110	Periophthalmus_magnuspinnatus
ENSECAP00000049704	ENSECAG00000008280	Equus_caballus
ENSLACP00000007010	ENSLACG00000006224	Latimeria_chalumnae
ENSODEP00000003986	ENSODEG00000003040	Octodon_degus
ENSAPLP00000004094	ENSAPLG00000004564	Anas_platyrhynchos_platyrhynchos
ENSCGOP00000041845	ENSCGOG00000018929	Cottoperca_gobio
ENSCPGP00000003380	ENSCPGG00000002492	Calidris_pygmaea	ENSCPGT00000003712
ENSCMIP00000025761	ENSCMIG00000011306	Callorhinchus_milii
ENSMZEP00005009295	ENSMZEG00005007050	Maylandia_zebra
ENSNBRP00000009046	ENSNBRG00000007085	Neolamprologus_brichardi
ENSTSYP00000013043	ENSTSYG00000014214	Carlito_syrichta
ENSSARP00000001991	ENSSARG00000002189	Sorex_araneus
ENSHGLP00100021373	ENSHGLG00100015738	Heterocephalus_glaber_HetGla_1.0
ENSOARP00000017896	ENSOARG00000016664	Ovis_aries
ENSCAPP00000005816	ENSCAPG00000008047	Cavia_aperea
ENSTBEP00000010788	ENSTBEG00000012451	Tupaia_belangeri
ENSORLP00020012800	ENSORLG00020013728	Oryzias_latipes_ASM223471v1
ENSLCOP00000006307	ENSLCOG00000004668	Lepidothrix_coronata
ENSECRP00000031692	ENSECRG00000021444	Erpetoichthys_calabaricus
ENSCHAP00000041865	ENSCHAG00000019545	Clupea_harengus
ENSCAFP00020002915	ENSCAFG00020002432	Canis_lupus_dingo
ENSEEUP00000014037	ENSEEUG00000015373	Erinaceus_europaeus
ENSMUSP00000141648	ENSMUSG00000033860	Mus_musculus_strain_reference_(CL57BL6)
ENSMUGP00000025602	ENSMUGG00000021354	Meriones_unguiculatus
ENSABRP00000016869	ENSABRG00000014773	Anser_brachyrhynchus
MGP_PahariEiJ_P0069100	MGP_PahariEiJ_G0026546	Mus_pahari_strain_PAHARI_EIJ
ENSMLEP00000034656	ENSMLEG00000041478	Mandrillus_leucophaeus
ENSCSAP00000014779	ENSCSAG00000003268	Chlorocebus_sabaeus
ENSAHAP00000028152	ENSAHAG00000019570	Apteryx_haastii
ENSHBUP00000033486	ENSHBUG00000020442	Haplochromis_burtoni
ENSAMXP00000050526	ENSAMXG00000021816	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSANAP00000024622	ENSANAG00000030028	Aotus_nancymaae
ENSORLP00015012555	ENSORLG00015000736	Oryzias_latipes_ASM223469v1
ENSXMAP00000018995	ENSXMAG00000018949	Xiphophorus_maculatus
ENSBMUP00000009381	ENSBMUG00000007311	Bos_mutus
ENSLOCP00000010170	ENSLOCG00000008358	Lepisosteus_oculatus
ENSMEUP00000013573	ENSMEUG00000014873	Notamacropus_eugenii
ENSLCRP00005046596	ENSLCRG00005017696	Larimichthys_crocea
ENSMALP00000002049	ENSMALG00000001540	Monopterus_albus
