ENSLACP00000023320	ENSLACG00000022148	Latimeria_chalumnae	ENSLACT00000025009
ENSXETP00000015547	ENSXETG00000000193	Xenopus_tropicalis	ENSXETT00000003984
ENSCMIP00000008514	ENSCMIG00000004560	Callorhinchus_milii
ENSPANP00000009940	ENSPANG00000013668	Papio_anubis
ENSCSAP00000019227	ENSCSAG00000019732	Chlorocebus_sabaeus
ENSTSYP00000033845	ENSTSYG00000005503	Carlito_syrichta
ENSMICP00000048440	ENSMICG00000044149	Microcebus_murinus
ENSPSMP00000037955	ENSPSMG00000026023	Prolemur_simus
ENSPCOP00000004194	ENSPCOG00000012367	Propithecus_coquereli
ENSOGAP00000004389	ENSOGAG00000004917	Otolemur_garnettii
ENSPEMP00000012764	ENSPEMG00000013003	Peromyscus_maniculatus_bairdii
ENSMOCP00000008627	ENSMOCG00000008647	Microtus_ochrogaster
ENSCGRP00001001550	ENSCGRG00001001326	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000025889	ENSCGRG00000018907	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015033592	ENSCGRG00015025334	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000008992	ENSMAUG00000010279	Mesocricetus_auratus
ENSMSIP00000010642	ENSMSIG00000009332	Mus_spicilegus
MGP_SPRETEiJ_P0091602	MGP_SPRETEiJ_G0033398	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000034827	ENSMUSG00000032288	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0087993	MGP_CAROLIEiJ_G0032258	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0023640	MGP_PahariEiJ_G0015125	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000023456	ENSRNOG00000017460	Rattus_norvegicus
ENSMUGP00000029314	ENSMUGG00000024321	Meriones_unguiculatus
ENSNGAP00000016539	ENSNGAG00000017248	Nannospalax_galili
ENSCCNP00000015653	ENSCCNG00000016049	Castor_canadensis
ENSCPOP00000020803	ENSCPOG00000012016	Cavia_porcellus
ENSODEP00000026729	ENSODEG00000020194	Octodon_degus
ENSHGLP00100027559	ENSHGLG00100020660	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000027768	ENSHGLG00000019824	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000010742	ENSFDAG00000018422	Fukomys_damarensis
ENSMMMP00000002333	ENSMMMG00000002143	Marmota_marmota_marmota
ENSSDAP00000017311	ENSSDAG00000015690	Spermophilus_dauricus
ENSUPAP00010007228	ENSUPAG00010005835	Urocitellus_parryii
ENSSTOP00000026497	ENSSTOG00000030143	Ictidomys_tridecemlineatus
ENSBIXP00000030869	ENSBIXG00000001240	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005005289	ENSBIXG00005011015	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000002381	ENSBMUG00000001896	Bos_mutus
ENSBBBP00000017702	ENSBBBG00000000116	Bison_bison_bison
ENSCHIP00000002648	ENSCHIG00000006295	Capra_hircus
ENSSSCP00000002051	ENSSSCG00000042572	Sus_scrofa_strain_reference
ENSEASP00005023032	ENSEASG00005015693	Equus_asinus_asinus
ENSECAP00000025672	ENSECAG00000015786	Equus_caballus
ENSUMAP00000004630	ENSUMAG00000003736	Ursus_maritimus
ENSUAMP00000029496	ENSUAMG00000022724	Ursus_americanus
ENSAMEP00000020312	ENSAMEG00000019247	Ailuropoda_melanoleuca
ENSNVIP00000017361	ENSNVIG00000013593	Neovison_vison
ENSMPUP00000020013	ENSMPUG00000020147	Mustela_putorius_furo
ENSPPRP00000027333	ENSPPRG00000018701	Panthera_pardus
ENSPVAP00000009463	ENSPVAG00000010036	Pteropus_vampyrus
ENSMLUP00000012763	ENSMLUG00000014032	Myotis_lucifugus
ENSLAFP00000003692	ENSLAFG00000004425	Loxodonta_africana
ENSPCAP00000006423	ENSPCAG00000006920	Procavia_capensis
ENSETEP00000003501	ENSETEG00000004278	Echinops_telfairi
ENSDNOP00000012245	ENSDNOG00000015787	Dasypus_novemcinctus
ENSCHOP00000010641	ENSCHOG00000012046	Choloepus_hoffmanni
ENSCAFP00000026651	ENSCAFG00000018039	Canis_lupus_familiaris
ENSVURP00010015958	ENSVURG00010012223	Vombatus_ursinus
ENSMODP00000037347	ENSMODG00000025193	Monodelphis_domestica
ENSSHAP00000007136	ENSSHAG00000006200	Sarcophilus_harrisii
ENSCABP00000016309	ENSCABG00000012118	Chelonoidis_abingdonii
ENSGAGP00000010425	ENSGAGG00000008163	Gopherus_agassizii
ENSCPBP00000030805	ENSCPBG00000021662	Chrysemys_picta_bellii
ENSAOWP00000023124	ENSAOWG00000015602	Apteryx_owenii
ENSARWP00000019463	ENSARWG00000013330	Apteryx_rowi
ENSAHAP00000010307	ENSAHAG00000007478	Apteryx_haastii
ENSDNVP00000016490	ENSDNVG00000011564	Dromaius_novaehollandiae
ENSNPEP00000016924	ENSNPEG00000012604	Nothoprocta_perdicaria
ENSGALP00000070825	ENSGALG00000040238	Gallus_gallus
ENSCJPP00005002510	ENSCJPG00005002767	Coturnix_japonica
ENSNMEP00000008839	ENSNMEG00000008626	Numida_meleagris
ENSAPLP00000022942	ENSAPLG00000016868	Anas_platyrhynchos_platyrhynchos
ENSABRP00000002939	ENSABRG00000002800	Anser_brachyrhynchus
ENSLSDP00000003083	ENSLSDG00000002360	Lonchura_striata_domestica
ENSTGUP00000013619	ENSTGUG00000013228	Taeniopygia_guttata
ENSPMJP00000017231	ENSPMJG00000012980	Parus_major
ENSSCAP00000019531	ENSSCAG00000014102	Serinus_canaria
ENSCCEP00000000607	ENSCCEG00000000758	Cyanistes_caeruleus
ENSFALP00000015426	ENSFALG00000014811	Ficedula_albicollis
ENSLCOP00000014384	ENSLCOG00000010324	Lepidothrix_coronata
ENSJHYP00000006041	ENSJHYG00000004902	Junco_hyemalis
ENSMUNP00000013585	ENSMUNG00000010600	Melopsittacus_undulatus
ENSCPGP00000008203	ENSCPGG00000005849	Calidris_pygmaea
ENSCPUP00000014647	ENSCPUG00000010271	Calidris_pugnax
ENSCPRP00005000917	ENSCPRG00005000701	Crocodylus_porosus
ENSACAP00000015973	ENSACAG00000016259	Anolis_carolinensis
ENSPVIP00000011346	ENSPVIG00000008908	Pogona_vitticeps
ENSNSUP00000026913	ENSNSUG00000019292	Notechis_scutatus
ENSSMRP00000012225	ENSSMRG00000009561	Salvator_merianae
ENSCSAVP00000001254	ENSCSAVG00000000698	Ciona_savignyi
ENSCINP00000008737	ENSCING00000004233	Ciona_intestinalis
FBpp0086096	FBgn0034232	Drosophila_melanogaster
C48B6.2.1	WBGene00016740	Caenorhabditis_elegans_strain_N2
ENSPTEP00000002502	ENSPTEG00000002945	Piliocolobus_tephrosceles
ENSPTEP00000011931	ENSPTEG00000013409	Piliocolobus_tephrosceles
YHR148W_mRNA	YHR148W	Saccharomyces_cerevisiae_strain_S288C
