ENSNLEP00000021623	ENSNLEG00000017803	Nomascus_leucogenys
ENSPFOP00000005585	ENSPFOG00000005584	Poecilia_formosa
ENSMGAP00000001872	ENSMGAG00000002303	Meleagris_gallopavo
ENSBTAP00000063720	ENSBTAG00000017446	Bos_taurus
ENSCABP00000014124	ENSCABG00000010537	Chelonoidis_abingdonii
ENSCAFP00000013888	ENSCAFG00000009431	Canis_lupus_familiaris
ENSTRUP00000054300	ENSTRUG00000015792	Takifugu_rubripes
ENSDNOP00000035126	ENSDNOG00000003349	Dasypus_novemcinctus
ENSCPRP00005013517	ENSCPRG00005009552	Crocodylus_porosus
ENSMOCP00000002715	ENSMOCG00000002140	Microtus_ochrogaster
ENSORLP00000031199	ENSORLG00000000786	Oryzias_latipes_ASM223467v1
ENSSPAP00000006521	ENSSPAG00000005036	Stegastes_partitus
ENSTTRP00000005390	ENSTTRG00000005707	Tursiops_truncatus
ENSMLEP00000037662	ENSMLEG00000042918	Mandrillus_leucophaeus
ENSCHIP00000027542	ENSCHIG00000023407	Capra_hircus
ENSOPRP00000011758	ENSOPRG00000012881	Ochotona_princeps
ENSANAP00000007330	ENSANAG00000021738	Aotus_nancymaae
ENSPTEP00000017305	ENSPTEG00000018831	Piliocolobus_tephrosceles
ENSLCAP00010037936	ENSLCAG00010017767	Lates_calcarifer
ENSEEEP00000051573	ENSEEEG00000024216	Electrophorus_electricus
ENSOCUP00000003874	ENSOCUG00000004485	Oryctolagus_cuniculus
ENSPMJP00000010888	ENSPMJG00000008513	Parus_major
ENSPPAP00000023462	ENSPPAG00000034910	Pan_paniscus
ENSGMOP00000020713	ENSGMOG00000019253	Gadus_morhua
ENSKMAP00000027402	ENSKMAG00000020305	Kryptolebias_marmoratus
ENSDCDP00000063841	ENSDCDG00000035895	Denticeps_clupeoides
ENSAMXP00000017370	ENSAMXG00000016864	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSFDAP00000021524	ENSFDAG00000007643	Fukomys_damarensis
ENSFCAP00000009942	ENSFCAG00000010706	Felis_catus
ENSLACP00000018292	ENSLACG00000016113	Latimeria_chalumnae
ENSMLUP00000014206	ENSMLUG00000015592	Myotis_lucifugus	ENSMLUT00000015597
ENSHHUP00000075168	ENSHHUG00000044038	Hucho_hucho
ENSBBBP00000019652	ENSBBBG00000013084	Bison_bison_bison
ENSPCIP00000031254	ENSPCIG00000023227	Phascolarctos_cinereus	ENSPCIT00000038430
ENSACAP00000015481	ENSACAG00000015743	Anolis_carolinensis
ENSORLP00015023847	ENSORLG00015004072	Oryzias_latipes_ASM223469v1
ENSCCEP00000007293	ENSCCEG00000007696	Cyanistes_caeruleus
ENSORLP00020001222	ENSORLG00020001936	Oryzias_latipes_ASM223471v1
ENSAPEP00000000192	ENSAPEG00000000144	Amphiprion_percula
ENSATEP00000031474	ENSATEG00000021678	Anabas_testudineus
ENSCPOP00000032943	ENSCPOG00000013766	Cavia_porcellus
ENSCJPP00005016961	ENSCJPG00005013895	Coturnix_japonica
ENSVVUP00000002184	ENSVVUG00000001762	Vulpes_vulpes
ENSCVAP00000003675	ENSCVAG00000004920	Cyprinodon_variegatus
ENSCLAP00000001826	ENSCLAG00000001357	Chinchilla_lanigera
ENSSMAP00000013250	ENSSMAG00000008106	Scophthalmus_maximus
ENSPNYP00000002677	ENSPNYG00000002093	Pundamilia_nyererei
ENSABRP00000006003	ENSABRG00000005588	Anser_brachyrhynchus
ENSMALP00000000227	ENSMALG00000000160	Monopterus_albus
ENSXETP00000026255	ENSXETG00000009992	Xenopus_tropicalis
ENSP00000250024	ENSG00000129173	Homo_sapiens
ENSRBIP00000038151	ENSRBIG00000042597	Rhinopithecus_bieti
ENSECAP00000037554	ENSECAG00000033386	Equus_caballus
ENSMUNP00000004428	ENSMUNG00000003682	Melopsittacus_undulatus
MGP_PahariEiJ_P0016615	MGP_PahariEiJ_G0013011	Mus_pahari_strain_PAHARI_EIJ
ENSEASP00005018897	ENSEASG00005013023	Equus_asinus_asinus
ENSSFOP00015035376	ENSSFOG00015022531	Scleropages_formosus
ENSFALP00000001690	ENSFALG00000001625	Ficedula_albicollis
ENSOGAP00000005163	ENSOGAG00000005774	Otolemur_garnettii
ENSCPGP00000006074	ENSCPGG00000004200	Calidris_pygmaea
ENSPEMP00000015869	ENSPEMG00000015259	Peromyscus_maniculatus_bairdii
ENSBIXP00000027778	ENSBIXG00000008714	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSNBRP00000023322	ENSNBRG00000017843	Neolamprologus_brichardi
ENSSDUP00000022437	ENSSDUG00000016327	Seriola_dumerili
ENSECRP00000005604	ENSECRG00000003773	Erpetoichthys_calabaricus
ENSCSEP00000030194	ENSCSEG00000019335	Cynoglossus_semilaevis
ENSHGLP00100026075	ENSHGLG00100019131	Heterocephalus_glaber_HetGla_1.0
ENSPSMP00000029798	ENSPSMG00000020686	Prolemur_simus
MGP_SPRETEiJ_P0083105	MGP_SPRETEiJ_G0030889	Mus_spretus_strain_SPRET/EiJ
ENSNVIP00000023669	ENSNVIG00000018359	Neovison_vison	ENSNVIT00000027484
