ENSOGAP00000020854	ENSOGAG00000027940	Otolemur_garnettii
MGP_SPRETEiJ_P0037211	MGP_SPRETEiJ_G0019793	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0037211
ENSAHAP00000003155	ENSAHAG00000002533	Apteryx_haastii
ENSACIP00000018519	ENSACIG00000014386	Amphilophus_citrinellus
ENSFHEP00000008576	ENSFHEG00000009769	Fundulus_heteroclitus
ENSOMEP00000019745	ENSOMEG00000021567	Oryzias_melastigma
ENSGMOP00000006233	ENSGMOG00000005849	Gadus_morhua
ENSRROP00000023335	ENSRROG00000035507	Rhinopithecus_roxellana
ENSMEUP00000004989	ENSMEUG00000005468	Notamacropus_eugenii
ENSMZEP00005019029	ENSMZEG00005014258	Maylandia_zebra
ENSCPUP00000022308	ENSCPUG00000015145	Calidris_pugnax
ENSCCEP00000017617	ENSCCEG00000016276	Cyanistes_caeruleus
ENSMFAP00000045906	ENSMFAG00000000651	Macaca_fascicularis
ENSPMGP00000017791	ENSPMGG00000014561	Periophthalmus_magnuspinnatus
ENSHBUP00000024455	ENSHBUG00000005866	Haplochromis_burtoni
ENSPANP00000003679	ENSPANG00000010902	Papio_anubis
ENSOPRP00000016370	ENSOPRG00000018793	Ochotona_princeps
ENSSBOP00000040297	ENSSBOG00000036140	Saimiri_boliviensis_boliviensis
ENSMNEP00000023929	ENSMNEG00000035538	Macaca_nemestrina
ENSELUP00000042133	ENSELUG00000023229	Esox_lucius
ENSSMAP00000028133	ENSSMAG00000017171	Scophthalmus_maximus
ENSXMAP00000018520	ENSXMAG00000018474	Xiphophorus_maculatus
ENSDCDP00000007165	ENSDCDG00000003765	Denticeps_clupeoides
ENSNSUP00000024079	ENSNSUG00000017414	Notechis_scutatus
ENSBBBP00000007952	ENSBBBG00000007696	Bison_bison_bison
FBpp0079444	FBgn0011207	Drosophila_melanogaster	FBtr0079847
ENSTNIP00000022124	ENSTNIG00000018937	Tetraodon_nigroviridis
ENSPTIP00000023582	ENSPTIG00000019988	Panthera_tigris_altaica
ENSHCOP00000013596	ENSHCOG00000016782	Hippocampus_comes
ENSZALP00000006054	ENSZALG00000005572	Zonotrichia_albicollis
ENSAOWP00000014035	ENSAOWG00000009568	Apteryx_owenii
ENSPREP00000034062	ENSPREG00000023071	Poecilia_reticulata
ENSMLEP00000029849	ENSMLEG00000039113	Mandrillus_leucophaeus
ENSMLUP00000017657	ENSMLUG00000024132	Myotis_lucifugus
ENSPSMP00000001992	ENSPSMG00000001502	Prolemur_simus
ENSDNVP00000023873	ENSDNVG00000016578	Dromaius_novaehollandiae
ENSAPOP00000033209	ENSAPOG00000000616	Acanthochromis_polyacanthus
ENSUPAP00010006539	ENSUPAG00010005244	Urocitellus_parryii
ENSPLAP00000016573	ENSPLAG00000020787	Poecilia_latipinna
ENSCHIP00000015959	ENSCHIG00000016410	Capra_hircus
ENSCCAP00000035355	ENSCCAG00000035600	Cebus_capucinus_imitator
ENSCJAP00000002698	ENSCJAG00000035190	Callithrix_jacchus
ENSCHAP00000012470	ENSCHAG00000006459	Clupea_harengus
ENSVURP00010027892	ENSVURG00010021350	Vombatus_ursinus
ENSSHAP00000012583	ENSSHAG00000010770	Sarcophilus_harrisii
ENSDARP00000072295	ENSDARG00000055477	Danio_rerio
ENSCPGP00000009027	ENSCPGG00000006425	Calidris_pygmaea
ENSCSAVP00000010463	ENSCSAVG00000006158	Ciona_savignyi
ENSCGRP00015027478	ENSCGRG00015020845	Cricetulus_griseus_CriGri-PICR
ENSPTEP00000020628	ENSPTEG00000021844	Piliocolobus_tephrosceles
ENSCATP00000002811	ENSCATG00000011829	Cercocebus_atys
ENSOARP00000008924	ENSOARG00000008324	Ovis_aries
ENSLSDP00000007601	ENSLSDG00000005708	Lonchura_striata_domestica
ENSSPUP00000007164	ENSSPUG00000005545	Sphenodon_punctatus
ENSEASP00005019416	ENSEASG00005013348	Equus_asinus_asinus
ENSCINP00000003991	ENSCING00000001979	Ciona_intestinalis
ENSECRP00000016379	ENSECRG00000010807	Erpetoichthys_calabaricus
ENSTRUP00000014163	ENSTRUG00000005809	Takifugu_rubripes
ENSPKIP00000036764	ENSPKIG00000015190	Paramormyrops_kingsleyae
ENSBMUP00000026522	ENSBMUG00000019928	Bos_mutus
ENSMUNP00000017693	ENSMUNG00000013573	Melopsittacus_undulatus
ENSMMUP00000002343	ENSMMUG00000039101	Macaca_mulatta
ENSFALP00000004742	ENSFALG00000004559	Ficedula_albicollis
ENSGAFP00000028632	ENSGAFG00000019350	Gambusia_affinis
ENSCAFP00020029818	ENSCAFG00020023234	Canis_lupus_dingo
ENSPPAP00000032119	ENSPPAG00000038951	Pan_paniscus
ENSODEP00000024029	ENSODEG00000017579	Octodon_degus	ENSODET00000024302
ENSORLP00020015432	ENSORLG00020016456	Oryzias_latipes_ASM223471v1
ENSIPUP00000030592	ENSIPUG00000020627	Ictalurus_punctatus
ENSPPYP00000017265	ENSPPYG00000015451	Pongo_abelii
ENSLCRP00005005934	ENSLCRG00005002793	Larimichthys_crocea
ENSONIP00000014490	ENSONIG00000011511	Oreochromis_niloticus
MGP_CAROLIEiJ_P0035530	MGP_CAROLIEiJ_G0018915	Mus_caroli_strain_CAROLI_EIJ	MGP_CAROLIEiJ_T0035530
YNL001W_mRNA	YNL001W	Saccharomyces_cerevisiae_strain_S288C
ENSAPLP00000013060	ENSAPLG00000013265	Anas_platyrhynchos_platyrhynchos
ENSAOCP00000018498	ENSAOCG00000023717	Amphiprion_ocellaris
ENSPMJP00000021394	ENSPMJG00000015882	Parus_major
ENSAPOP00000034076	ENSAPOG00000023072	Acanthochromis_polyacanthus
ENSPVIP00000011330	ENSPVIG00000008897	Pogona_vitticeps
ENSARWP00000019645	ENSARWG00000013466	Apteryx_rowi
ENSPNYP00000022959	ENSPNYG00000017325	Pundamilia_nyererei
ENSMICP00000050161	ENSMICG00000044040	Microcebus_murinus
ENSNLEP00000039216	ENSNLEG00000035970	Nomascus_leucogenys
ENSBIXP00000032797	ENSBIXG00000015458	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSXCOP00000010822	ENSXCOG00000008173	Xiphophorus_couchianus
ENSMGAP00000017206	ENSMGAG00000016265	Meleagris_gallopavo
ENSJJAP00000011803	ENSJJAG00000015032	Jaculus_jaculus
ENSVVUP00000035437	ENSVVUG00000025499	Vulpes_vulpes
ENSMMOP00000001583	ENSMMOG00000001324	Mola_mola
ENSAMXP00005051488	ENSAMXG00005023249	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCCNP00000007801	ENSCCNG00000008286	Castor_canadensis
R74.6.1	WBGene00011280	Caenorhabditis_elegans_strain_N2	R74.6.1
ENSCANP00000007106	ENSCANG00000023382	Colobus_angolensis_palliatus
ENSDNOP00000033996	ENSDNOG00000036721	Dasypus_novemcinctus
