ENSCATP00000016216	ENSCATG00000032048	Cercocebus_atys
ENSRBIP00000007380	ENSRBIG00000027575	Rhinopithecus_bieti
ENSSDAP00000025451	ENSSDAG00000023132	Spermophilus_dauricus
ENSP00000337180	ENSG00000155096	Homo_sapiens
ENSELUP00000028711	ENSELUG00000005433	Esox_lucius
ENSRNOP00000007259	ENSRNOG00000005424	Rattus_norvegicus
ENSCCEP00000002550	ENSCCEG00000002822	Cyanistes_caeruleus
ENSCABP00000016827	ENSCABG00000012485	Chelonoidis_abingdonii
ENSJJAP00000016498	ENSJJAG00000018330	Jaculus_jaculus
ENSCHAP00000015821	ENSCHAG00000008432	Clupea_harengus
ENSARWP00000026518	ENSARWG00000017946	Apteryx_rowi
ENSEEUP00000002150	ENSEEUG00000002351	Erinaceus_europaeus
ENSOPRP00000010826	ENSOPRG00000011866	Ochotona_princeps
ENSCPBP00000023182	ENSCPBG00000016560	Chrysemys_picta_bellii
ENSMPUP00000013223	ENSMPUG00000013321	Mustela_putorius_furo
ENSFCAP00000022846	ENSFCAG00000025357	Felis_catus
ENSORLP00020004927	ENSORLG00020005711	Oryzias_latipes_ASM223471v1
ENSCHIP00000002821	ENSCHIG00000006579	Capra_hircus
ENSCGRP00001015362	ENSCGRG00001015979	Cricetulus_griseus_CHOK1GS_HDv1
ENSMLUP00000018474	ENSMLUG00000028117	Myotis_lucifugus
ENSFHEP00000007777	ENSFHEG00000008924	Fundulus_heteroclitus
ENSSPUP00000011770	ENSSPUG00000009036	Sphenodon_punctatus
ENSBMUP00000015772	ENSBMUG00000011969	Bos_mutus
ENSCABP00000002739	ENSCABG00000002110	Chelonoidis_abingdonii
ENSSSCP00000003903	ENSSSCG00000003599	Sus_scrofa_strain_reference
ENSCGRP00000009215	ENSCGRG00000006743	Cricetulus_griseus_CriGri_1.0
ENSRBIP00000000131	ENSRBIG00000000544	Rhinopithecus_bieti
ENSHCOP00000026970	ENSHCOG00000018412	Hippocampus_comes
ENSMMMP00000025791	ENSMMMG00000022615	Marmota_marmota_marmota
ENSHBUP00000017782	ENSHBUG00000000601	Haplochromis_burtoni
ENSMLUP00000017223	ENSMLUG00000027440	Myotis_lucifugus
ENSPTEP00000019794	ENSPTEG00000021090	Piliocolobus_tephrosceles
ENSOANP00000005054	ENSOANG00000003185	Ornithorhynchus_anatinus
ENSTBEP00000000525	ENSTBEG00000000599	Tupaia_belangeri
ENSSBOP00000002390	ENSSBOG00000012314	Saimiri_boliviensis_boliviensis
ENSTRUP00000002931	ENSTRUG00000001264	Takifugu_rubripes
ENSCSEP00000004468	ENSCSEG00000002902	Cynoglossus_semilaevis
ENSSTOP00000026802	ENSSTOG00000016045	Ictidomys_tridecemlineatus
ENSCCNP00000016892	ENSCCNG00000017180	Castor_canadensis
ENSMZEP00005024980	ENSMZEG00005018636	Maylandia_zebra
ENSSDAP00000018824	ENSSDAG00000017166	Spermophilus_dauricus
ENSSTOP00000016856	ENSSTOG00000020547	Ictidomys_tridecemlineatus
ENSCAFP00020034453	ENSCAFG00020026728	Canis_lupus_dingo
ENSMZEP00005012841	ENSMZEG00005009639	Maylandia_zebra
ENSJJAP00000019481	ENSJJAG00000020420	Jaculus_jaculus
ENSPSMP00000028430	ENSPSMG00000019773	Prolemur_simus
ENSDARP00000056100	ENSDARG00000052789	Danio_rerio
ENSPEMP00000024531	ENSPEMG00000021239	Peromyscus_maniculatus_bairdii
ENSMAUP00000001893	ENSMAUG00000001391	Mesocricetus_auratus
ENSAMXP00000053739	ENSAMXG00000042545	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSSFOP00015011989	ENSSFOG00015007644	Scleropages_formosus
ENSXETP00000026742	ENSXETG00000009642	Xenopus_tropicalis
ENSMMUP00000074495	ENSMMUG00000030822	Macaca_mulatta
ENSHGLP00000018691	ENSHGLG00000013385	Heterocephalus_glaber_HetGla_female_1.0
ENSHBUP00000034359	ENSHBUG00000021900	Haplochromis_burtoni
ENSFDAP00000011227	ENSFDAG00000018825	Fukomys_damarensis
ENSEEUP00000004205	ENSEEUG00000004625	Erinaceus_europaeus
ENSPMEP00000019185	ENSPMEG00000022206	Poecilia_mexicana
ENSAOWP00000001633	ENSAOWG00000001173	Apteryx_owenii
ENSCVAP00000018549	ENSCVAG00000021829	Cyprinodon_variegatus
ENSPMGP00000007360	ENSPMGG00000006103	Periophthalmus_magnuspinnatus
ENSONIP00000024615	ENSONIG00000019555	Oreochromis_niloticus
ENSPMGP00000001325	ENSPMGG00000001209	Periophthalmus_magnuspinnatus
ENSEEEP00000020430	ENSEEEG00000009972	Electrophorus_electricus
ENSMICP00000024710	ENSMICG00000011505	Microcebus_murinus
ENSSDAP00000004281	ENSSDAG00000004032	Spermophilus_dauricus
ENSPRNP00000024192	ENSPRNG00000012324	Parambassis_ranga
ENSMNEP00000046033	ENSMNEG00000045478	Macaca_nemestrina
ENSPSIP00000011172	ENSPSIG00000009936	Pelodiscus_sinensis
ENSMSIP00000023601	ENSMSIG00000019994	Mus_spicilegus
ENSOCUP00000019051	ENSOCUG00000020958	Oryctolagus_cuniculus
ENSCGOP00000047508	ENSCGOG00000021298	Cottoperca_gobio
ENSSDAP00000013640	ENSSDAG00000012314	Spermophilus_dauricus
ENSPKIP00000037882	ENSPKIG00000015901	Paramormyrops_kingsleyae
ENSSBOP00000021753	ENSSBOG00000027425	Saimiri_boliviensis_boliviensis
ENSAMXP00005024098	ENSAMXG00005012307	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPPRP00000004510	ENSPPRG00000000576	Panthera_pardus
ENSDNOP00000025278	ENSDNOG00000036669	Dasypus_novemcinctus
ENSMFAP00000042567	ENSMFAG00000040038	Macaca_fascicularis
ENSPLAP00000006323	ENSPLAG00000008413	Poecilia_latipinna
ENSPRNP00000016448	ENSPRNG00000008790	Parambassis_ranga
ENSPTIP00000026711	ENSPTIG00000022036	Panthera_tigris_altaica
ENSGACP00000006108	ENSGACG00000004621	Gasterosteus_aculeatus
ENSSBOP00000037178	ENSSBOG00000034688	Saimiri_boliviensis_boliviensis
ENSACLP00000008595	ENSACLG00000005830	Astatotilapia_calliptera
ENSMALP00000011175	ENSMALG00000007956	Monopterus_albus
ENSPCOP00000009613	ENSPCOG00000016194	Propithecus_coquereli
ENSMAMP00000022150	ENSMAMG00000014893	Mastacembelus_armatus
ENSMALP00000017356	ENSMALG00000012107	Monopterus_albus
ENSMODP00000007263	ENSMODG00000005864	Monodelphis_domestica
ENSCGOP00000054731	ENSCGOG00000023931	Cottoperca_gobio
ENSCMIP00000008832	ENSCMIG00000004686	Callorhinchus_milii
ENSMODP00000018485	ENSMODG00000014779	Monodelphis_domestica
ENSCSAP00000016944	ENSCSAG00000001069	Chlorocebus_sabaeus
ENSRBIP00000026649	ENSRBIG00000037193	Rhinopithecus_bieti
ENSPKIP00000007595	ENSPKIG00000023433	Paramormyrops_kingsleyae
ENSCGOP00000033713	ENSCGOG00000015602	Cottoperca_gobio
MGP_SPRETEiJ_P0067043	MGP_SPRETEiJ_G0027486	Mus_spretus_strain_SPRET/EiJ
ENSPPRP00000009655	ENSPPRG00000004049	Panthera_pardus
ENSEBUP00000016023	ENSEBUG00000010074	Eptatretus_burgeri
ENSNBRP00000015591	ENSNBRG00000012071	Neolamprologus_brichardi
ENSAHAP00000012047	ENSAHAG00000008715	Apteryx_haastii
ENSJJAP00000004163	ENSJJAG00000008503	Jaculus_jaculus
ENSCCNP00000026771	ENSCCNG00000025934	Castor_canadensis
ENSACLP00000016609	ENSACLG00000011317	Astatotilapia_calliptera
ENSOMEP00000007360	ENSOMEG00000008479	Oryzias_melastigma
ENSCPGP00000020592	ENSCPGG00000014410	Calidris_pygmaea
ENSLCAP00010010914	ENSLCAG00010005179	Lates_calcarifer
ENSSHAP00000021896	ENSSHAG00000018535	Sarcophilus_harrisii
ENSCAFP00000032017	ENSCAFG00000003415	Canis_lupus_familiaris
ENSGAFP00000028901	ENSGAFG00000019508	Gambusia_affinis
ENSPSMP00000026940	ENSPSMG00000018867	Prolemur_simus
ENSCJPP00005001440	ENSCJPG00005001454	Coturnix_japonica
ENSFDAP00000004366	ENSFDAG00000013624	Fukomys_damarensis
ENSOMEP00000030436	ENSOMEG00000014684	Oryzias_melastigma
ENSDNOP00000034931	ENSDNOG00000038522	Dasypus_novemcinctus
ENSABRP00000009505	ENSABRG00000008498	Anser_brachyrhynchus
ENSLBEP00000031127	ENSLBEG00000023499	Labrus_bergylta
ENSCHAP00000030238	ENSCHAG00000014469	Clupea_harengus
ENSELUP00000014597	ENSELUG00000014610	Esox_lucius
ENSPMEP00000019001	ENSPMEG00000021962	Poecilia_mexicana
ENSGALP00000026476	ENSGALG00000016444	Gallus_gallus
ENSTRUP00000056534	ENSTRUG00000007078	Takifugu_rubripes
ENSJJAP00000020745	ENSJJAG00000021326	Jaculus_jaculus
ENSAMXP00000011667	ENSAMXG00000011357	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMLUP00000009499	ENSMLUG00000010423	Myotis_lucifugus
ENSBIXP00000016262	ENSBIXG00000020498	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPCIP00000030187	ENSPCIG00000022475	Phascolarctos_cinereus
ENSNBRP00000032008	ENSNBRG00000024299	Neolamprologus_brichardi
ENSMICP00000049544	ENSMICG00000033696	Microcebus_murinus
ENSZALP00000014825	ENSZALG00000012259	Zonotrichia_albicollis
ENSMMMP00000009575	ENSMMMG00000008524	Marmota_marmota_marmota
ENSVURP00010021015	ENSVURG00010016071	Vombatus_ursinus
ENSCSEP00000026999	ENSCSEG00000017246	Cynoglossus_semilaevis
ENSFCAP00000027655	ENSFCAG00000022775	Felis_catus
ENSGWIP00000007937	ENSGWIG00000004663	Gouania_willdenowi
ENSTSYP00000013770	ENSTSYG00000028551	Carlito_syrichta
ENSPREP00000024402	ENSPREG00000016481	Poecilia_reticulata
ENSSLDP00000014784	ENSSLDG00000011808	Seriola_lalandi_dorsalis
ENSSDAP00000003756	ENSSDAG00000003524	Spermophilus_dauricus
ENSAMEP00000013723	ENSAMEG00000013024	Ailuropoda_melanoleuca
ENSHGLP00100011435	ENSHGLG00100008489	Heterocephalus_glaber_HetGla_1.0
ENSHBUP00000022835	ENSHBUG00000003342	Haplochromis_burtoni
ENSPMAP00000007986	ENSPMAG00000007191	Petromyzon_marinus
ENSCCAP00000019732	ENSCCAG00000027706	Cebus_capucinus_imitator
ENSGGOP00000046572	ENSGGOG00000007991	Gorilla_gorilla
ENSDNVP00000007453	ENSDNVG00000005316	Dromaius_novaehollandiae
ENSORLP00000015618	ENSORLG00000012474	Oryzias_latipes_ASM223467v1
ENSPPAP00000009850	ENSPPAG00000028149	Pan_paniscus
ENSLCOP00000019601	ENSLCOG00000013887	Lepidothrix_coronata
ENSAPEP00000011284	ENSAPEG00000008065	Amphiprion_percula
ENSGWIP00000003154	ENSGWIG00000001745	Gouania_willdenowi
ENSBMUP00000035024	ENSBMUG00000026067	Bos_mutus
ENSHGLP00000000309	ENSHGLG00000000300	Heterocephalus_glaber_HetGla_female_1.0
FBpp0087940	FBgn0013308	Drosophila_melanogaster
ENSCGRP00001027481	ENSCGRG00001024473	Cricetulus_griseus_CHOK1GS_HDv1
ENSJJAP00000012601	ENSJJAG00000015589	Jaculus_jaculus
ENSECRP00000019021	ENSECRG00000012722	Erpetoichthys_calabaricus
ENSCAFP00000059541	ENSCAFG00000010369	Canis_lupus_familiaris
ENSMODP00000046452	ENSMODG00000041931	Monodelphis_domestica
YKL184W_mRNA	YKL184W	Saccharomyces_cerevisiae_strain_S288C
ENSFHEP00000018003	ENSFHEG00000019800	Fundulus_heteroclitus
ENSLSDP00000006090	ENSLSDG00000004666	Lonchura_striata_domestica
MGP_PahariEiJ_P0041494	MGP_PahariEiJ_G0019760	Mus_pahari_strain_PAHARI_EIJ
ENSRROP00000007190	ENSRROG00000027086	Rhinopithecus_roxellana
ENSEBUP00000021617	ENSEBUG00000013338	Eptatretus_burgeri
ENSAOWP00000000512	ENSAOWG00000000413	Apteryx_owenii
ENSLAFP00000004460	ENSLAFG00000005330	Loxodonta_africana
ENSEASP00005016997	ENSEASG00005011775	Equus_asinus_asinus
ENSPTRP00000000871	ENSPTRG00000000501	Pan_troglodytes
ENSLOCP00000012140	ENSLOCG00000009927	Lepisosteus_oculatus
ENSGAGP00000003678	ENSGAGG00000002986	Gopherus_agassizii
ENSIPUP00000012714	ENSIPUG00000008659	Ictalurus_punctatus
FBpp0087939	FBgn0013307	Drosophila_melanogaster
ENSATEP00000016401	ENSATEG00000011393	Anabas_testudineus
ENSLOCP00000001293	ENSLOCG00000001148	Lepisosteus_oculatus
ENSPFOP00000012408	ENSPFOG00000012296	Poecilia_formosa
ENSCABP00000007451	ENSCABG00000005642	Chelonoidis_abingdonii
ENSFCAP00000061170	ENSFCAG00000027500	Felis_catus
ENSCAFP00020003477	ENSCAFG00020002928	Canis_lupus_dingo
ENSHCOP00000008874	ENSHCOG00000011222	Hippocampus_comes
ENSTTRP00000000132	ENSTTRG00000000140	Tursiops_truncatus
ENSSDUP00000014342	ENSSDUG00000010460	Seriola_dumerili
ENSNMEP00000025918	ENSNMEG00000021896	Numida_meleagris
ENSTSYP00000001335	ENSTSYG00000001435	Carlito_syrichta
ENSMODP00000029366	ENSMODG00000023301	Monodelphis_domestica
ENSPCOP00000023104	ENSPCOG00000023687	Propithecus_coquereli
ENSMLUP00000021204	ENSMLUG00000028012	Myotis_lucifugus
ENSPEMP00000029971	ENSPEMG00000028328	Peromyscus_maniculatus_bairdii
ENSMFAP00000014154	ENSMFAG00000030175	Macaca_fascicularis
ENSMMUP00000067930	ENSMMUG00000049574	Macaca_mulatta
ENSHGLP00100008396	ENSHGLG00100006240	Heterocephalus_glaber_HetGla_1.0
ENSBTAP00000068688	ENSBTAG00000032281	Bos_taurus
ENSCGRP00015036389	ENSCGRG00015027269	Cricetulus_griseus_CriGri-PICR
ENSPTIP00000020274	ENSPTIG00000017797	Panthera_tigris_altaica
ENSDNOP00000032939	ENSDNOG00000040965	Dasypus_novemcinctus
ENSDNOP00000024123	ENSDNOG00000041131	Dasypus_novemcinctus
ENSDNOP00000024127	ENSDNOG00000043613	Dasypus_novemcinctus
ENSAPOP00000005791	ENSAPOG00000007545	Acanthochromis_polyacanthus
ENSMLUP00000001554	ENSMLUG00000001688	Myotis_lucifugus
ENSMLEP00000029730	ENSMLEG00000039068	Mandrillus_leucophaeus
ENSCINP00000021832	ENSCING00000011423	Ciona_intestinalis
ENSCCAP00000025021	ENSCCAG00000030303	Cebus_capucinus_imitator
ENSMLUP00000021254	ENSMLUG00000027239	Myotis_lucifugus
ENSMAUP00000014036	ENSMAUG00000013912	Mesocricetus_auratus
ENSTGEP00000016923	ENSTGEG00000013673	Theropithecus_gelada
ENSSHAP00000001382	ENSSHAG00000001232	Sarcophilus_harrisii
ENSOCUP00000004258	ENSOCUG00000004925	Oryctolagus_cuniculus
ENSTBEP00000013469	ENSTBEG00000015529	Tupaia_belangeri
ENSZALP00000020995	ENSZALG00000016484	Zonotrichia_albicollis
ENSMLUP00000019838	ENSMLUG00000026968	Myotis_lucifugus
ENSUMAP00000012332	ENSUMAG00000009179	Ursus_maritimus
MGP_SPRETEiJ_P0039895	MGP_SPRETEiJ_G0020648	Mus_spretus_strain_SPRET/EiJ
ENSMOCP00000003508	ENSMOCG00000002805	Microtus_ochrogaster
ENSPLAP00000018492	ENSPLAG00000023160	Poecilia_latipinna
ENSCCEP00000020575	ENSCCEG00000018696	Cyanistes_caeruleus
ENSCGRP00000022788	ENSCGRG00000016511	Cricetulus_griseus_CriGri_1.0
ENSMNEP00000041105	ENSMNEG00000043400	Macaca_nemestrina
ENSCCNP00000009481	ENSCCNG00000009987	Castor_canadensis
ENSHHUP00000064133	ENSHHUG00000037856	Hucho_hucho
ENSCGRP00000022621	ENSCGRG00000016391	Cricetulus_griseus_CriGri_1.0
ENSHGLP00000002835	ENSHGLG00000002125	Heterocephalus_glaber_HetGla_female_1.0
ENSCCAP00000008393	ENSCCAG00000021928	Cebus_capucinus_imitator
ENSPEMP00000019916	ENSPEMG00000018044	Peromyscus_maniculatus_bairdii
ENSDNVP00000014057	ENSDNVG00000009881	Dromaius_novaehollandiae
ENSECAP00000020465	ENSECAG00000023032	Equus_caballus
ENSXETP00000042814	ENSXETG00000020310	Xenopus_tropicalis
ENSPRNP00000050392	ENSPRNG00000023957	Parambassis_ranga
ENSEBUP00000021382	ENSEBUG00000013207	Eptatretus_burgeri
ENSP00000362540	ENSG00000142920	Homo_sapiens
ENSMUNP00000005660	ENSMUNG00000004627	Melopsittacus_undulatus
ENSMODP00000031796	ENSMODG00000023822	Monodelphis_domestica
ENSBBBP00000020032	ENSBBBG00000002822	Bison_bison_bison
ENSCGRP00000009111	ENSCGRG00000006664	Cricetulus_griseus_CriGri_1.0
ENSAPLP00000024892	ENSAPLG00000003774	Anas_platyrhynchos_platyrhynchos
ENSLCRP00005041134	ENSLCRG00005015829	Larimichthys_crocea
ENSMUGP00000004604	ENSMUGG00000004269	Meriones_unguiculatus
ENSMZEP00005034066	ENSMZEG00005025463	Maylandia_zebra
ENSPMJP00000013347	ENSPMJG00000010153	Parus_major
ENSSTOP00000031107	ENSSTOG00000030593	Ictidomys_tridecemlineatus
ENSVURP00010009344	ENSVURG00010007242	Vombatus_ursinus
ENSSARP00000000185	ENSSARG00000000203	Sorex_araneus
ENSPSIP00000016191	ENSPSIG00000014299	Pelodiscus_sinensis
ENSDNVP00000016051	ENSDNVG00000011280	Dromaius_novaehollandiae
ENSMICP00000025334	ENSMICG00000029120	Microcebus_murinus
ENSGMOP00000016651	ENSGMOG00000015534	Gadus_morhua
MGP_PahariEiJ_P0082089	MGP_PahariEiJ_G0029394	Mus_pahari_strain_PAHARI_EIJ
ENSCLAP00000002983	ENSCLAG00000002140	Chinchilla_lanigera
MGP_CAROLIEiJ_P0031973	MGP_CAROLIEiJ_G0017637	Mus_caroli_strain_CAROLI_EIJ
ENSAMXP00005028399	ENSAMXG00005014095	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCPRP00005007275	ENSCPRG00005005161	Crocodylus_porosus
ENSCPOP00000007619	ENSCPOG00000008476	Cavia_porcellus
ENSRROP00000017000	ENSRROG00000032611	Rhinopithecus_roxellana
ENSCJAP00000002006	ENSCJAG00000034957	Callithrix_jacchus
ENSPPRP00000026644	ENSPPRG00000017534	Panthera_pardus
ENSOARP00000018246	ENSOARG00000016993	Ovis_aries
ENSPRNP00000030759	ENSPRNG00000015333	Parambassis_ranga
ENSCSAP00000003486	ENSCSAG00000007220	Chlorocebus_sabaeus
ENSCAPP00000009527	ENSCAPG00000010949	Cavia_aperea
ENSAHAP00000011734	ENSAHAG00000008503	Apteryx_haastii
