ENSFHEP00000031511	ENSFHEG00000017499	Fundulus_heteroclitus	ENSFHET00000024020
ENSDORP00000011903	ENSDORG00000012659	Dipodomys_ordii
ENSNGAP00000019091	ENSNGAG00000019018	Nannospalax_galili
ENSMOCP00000021724	ENSMOCG00000018987	Microtus_ochrogaster
ENSODEP00000004723	ENSODEG00000003592	Octodon_degus
ENSHGLP00100023940	ENSHGLG00100017585	Heterocephalus_glaber_HetGla_1.0
ENSNLEP00000021705	ENSNLEG00000017864	Nomascus_leucogenys
ENSPMEP00000029562	ENSPMEG00000015385	Poecilia_mexicana	ENSPMET00000020738
ENSMSIP00000001235	ENSMSIG00000001169	Mus_spicilegus
ENSCMIP00000004286	ENSCMIG00000002562	Callorhinchus_milii
ENSMUNP00000010157	ENSMUNG00000008029	Melopsittacus_undulatus
ENSSMAP00000000858	ENSSMAG00000000529	Scophthalmus_maximus
ENSUPAP00010011287	ENSUPAG00010009132	Urocitellus_parryii
ENSP00000310723	ENSG00000174243	Homo_sapiens
ENSMLUP00000019823	ENSMLUG00000003683	Myotis_lucifugus
ENSMNEP00000033645	ENSMNEG00000040016	Macaca_nemestrina
ENSTTRP00000004351	ENSTTRG00000004604	Tursiops_truncatus
ENSDCDP00000048843	ENSDCDG00000030100	Denticeps_clupeoides
ENSGGOP00000014885	ENSGGOG00000015252	Gorilla_gorilla
ENSMFAP00000038753	ENSMFAG00000038666	Macaca_fascicularis
ENSACAP00000021105	ENSACAG00000025589	Anolis_carolinensis
ENSMNEP00000045512	ENSMNEG00000045260	Macaca_nemestrina
ENSCGRP00001014113	ENSCGRG00001015090	Cricetulus_griseus_CHOK1GS_HDv1
ENSGAGP00000009900	ENSGAGG00000007790	Gopherus_agassizii
ENSNBRP00000030144	ENSNBRG00000022928	Neolamprologus_brichardi
ENSSDUP00000031252	ENSSDUG00000022459	Seriola_dumerili
ENSTGEP00000000684	ENSTGEG00000000678	Theropithecus_gelada
ENSPPRP00000025116	ENSPPRG00000015345	Panthera_pardus
ENSTBEP00000014706	ENSTBEG00000016909	Tupaia_belangeri
ENSPTRP00000068382	ENSPTRG00000051972	Pan_troglodytes
ENSDARP00000007528	ENSDARG00000021945	Danio_rerio
YDR243C_mRNA	YDR243C	Saccharomyces_cerevisiae_strain_S288C
ENSMUSP00000003450	ENSMUSG00000003360	Mus_musculus_strain_reference_(CL57BL6)
ENSSDAP00000016935	ENSSDAG00000015312	Spermophilus_dauricus
ENSECAP00000014386	ENSECAG00000016681	Equus_caballus
ENSDNOP00000034267	ENSDNOG00000043176	Dasypus_novemcinctus
ENSORLP00020032164	ENSORLG00020017586	Oryzias_latipes_ASM223471v1
ENSCGRP00015007400	ENSCGRG00015005741	Cricetulus_griseus_CriGri-PICR
ENSPREP00000010375	ENSPREG00000007074	Poecilia_reticulata	ENSPRET00000010494
ENSNMEP00000002291	ENSNMEG00000002791	Numida_meleagris
ENSJHYP00000003456	ENSJHYG00000002854	Junco_hyemalis
ENSOPRP00000006568	ENSOPRG00000007170	Ochotona_princeps
ENSMALP00000032470	ENSMALG00000022366	Monopterus_albus
ENSNSUP00000004694	ENSNSUG00000003689	Notechis_scutatus
ENSPTEP00000011298	ENSPTEG00000012742	Piliocolobus_tephrosceles
ENSCCAP00000022762	ENSCCAG00000029177	Cebus_capucinus_imitator
ENSECRP00000017301	ENSECRG00000011505	Erpetoichthys_calabaricus
ENSMLEP00000037545	ENSMLEG00000042846	Mandrillus_leucophaeus
ENSCHOP00000007988	ENSCHOG00000009027	Choloepus_hoffmanni
ENSLAFP00000011913	ENSLAFG00000014227	Loxodonta_africana
ENSPTIP00000021857	ENSPTIG00000018873	Panthera_tigris_altaica
ENSAPEP00000023685	ENSAPEG00000016857	Amphiprion_percula
ENSPCAP00000001921	ENSPCAG00000002016	Procavia_capensis
ENSPMAP00000009515	ENSPMAG00000008625	Petromyzon_marinus
ENSOCUP00000026866	ENSOCUG00000001414	Oryctolagus_cuniculus
ENSXMAP00000017438	ENSXMAG00000017387	Xiphophorus_maculatus	ENSXMAT00000017463
ENSSPUP00000020893	ENSSPUG00000016044	Sphenodon_punctatus
ENSAMEP00000007536	ENSAMEG00000007123	Ailuropoda_melanoleuca
ENSMLUP00000010064	ENSMLUG00000011033	Myotis_lucifugus
ENSCJAP00000038667	ENSCJAG00000020775	Callithrix_jacchus
ENSPTEP00000012816	ENSPTEG00000014406	Piliocolobus_tephrosceles
ENSPCIP00000043622	ENSPCIG00000027691	Phascolarctos_cinereus
ENSGGOP00000023767	ENSGGOG00000027979	Gorilla_gorilla
ENSGALP00000056569	ENSGALG00000032307	Gallus_gallus
ENSPVIP00000021091	ENSPVIG00000016019	Pogona_vitticeps
ENSBTAP00000029071	ENSBTAG00000021810	Bos_taurus
ENSBMUP00000030755	ENSBMUG00000022978	Bos_mutus
ENSCPBP00000028275	ENSCPBG00000019988	Chrysemys_picta_bellii
ENSMMMP00000026217	ENSMMMG00000022958	Marmota_marmota_marmota
ENSMLEP00000021858	ENSMLEG00000035096	Mandrillus_leucophaeus
ENSMODP00000012490	ENSMODG00000009975	Monodelphis_domestica
ENSBBBP00000027633	ENSBBBG00000006233	Bison_bison_bison
ENSXETP00000002465	ENSXETG00000005339	Xenopus_tropicalis
ENSSSCP00000000183	ENSSSCG00000000176	Sus_scrofa_strain_reference
ENSPTEP00000008860	ENSPTEG00000010059	Piliocolobus_tephrosceles
ENSGAFP00000018275	ENSGAFG00000012366	Gambusia_affinis	ENSGAFT00000018449
ENSPPAP00000029696	ENSPPAG00000037807	Pan_paniscus
ENSETEP00000012830	ENSETEG00000015816	Echinops_telfairi
ENSBSLP00000024709	ENSBSLG00000012263	Betta_splendens
ENSCLAP00000004185	ENSCLAG00000002986	Chinchilla_lanigera
ENSPVAP00000009255	ENSPVAG00000009818	Pteropus_vampyrus
ENSUAMP00000035661	ENSUAMG00000027082	Ursus_americanus
ENSCMIP00000008262	ENSCMIG00000004445	Callorhinchus_milii
ENSELUP00000015371	ENSELUG00000015358	Esox_lucius
MGP_SPRETEiJ_P0041532	MGP_SPRETEiJ_G0021137	Mus_spretus_strain_SPRET/EiJ
ENSORLP00015011514	ENSORLG00015012361	Oryzias_latipes_ASM223469v1
ENSSPAP00000021814	ENSSPAG00000016482	Stegastes_partitus
ENSLOCP00000008960	ENSLOCG00000007385	Lepisosteus_oculatus
ENSTRUP00000001070	ENSTRUG00000000455	Takifugu_rubripes
ENSMICP00000020726	ENSMICG00000017541	Microcebus_murinus
ENSIPUP00000007636	ENSIPUG00000005247	Ictalurus_punctatus
ENSLCOP00000016205	ENSLCOG00000011558	Lepidothrix_coronata
ENSPKIP00000008748	ENSPKIG00000024110	Paramormyrops_kingsleyae
ENSPNAP00000013346	ENSPNAG00000019203	Pygocentrus_nattereri
ENSVURP00010008187	ENSVURG00010006330	Vombatus_ursinus
ENSDNVP00000024020	ENSDNVG00000016679	Dromaius_novaehollandiae
ENSMZEP00005034881	ENSMZEG00005026086	Maylandia_zebra
ENSPSMP00000007576	ENSPSMG00000005631	Prolemur_simus
ENSCSAVP00000006945	ENSCSAVG00000004158	Ciona_savignyi
ENSTNIP00000022860	ENSTNIG00000019621	Tetraodon_nigroviridis
ENSANAP00000002725	ENSANAG00000018663	Aotus_nancymaae
ENSHHUP00000053095	ENSHHUG00000031890	Hucho_hucho
ENSSBOP00000018449	ENSSBOG00000025799	Saimiri_boliviensis_boliviensis
ENSLSDP00000001533	ENSLSDG00000001208	Lonchura_striata_domestica
ENSRROP00000045737	ENSRROG00000045747	Rhinopithecus_roxellana
ENSEEEP00000052258	ENSEEEG00000024505	Electrophorus_electricus
ENSNVIP00000009217	ENSNVIG00000007288	Neovison_vison
