ENSANAP00000001014	ENSANAG00000008774	Aotus_nancymaae
ENSSHAP00000002148	ENSSHAG00000001911	Sarcophilus_harrisii
ENSLCRP00005037198	ENSLCRG00005014484	Larimichthys_crocea
ENSMEUP00000002271	ENSMEUG00000002489	Notamacropus_eugenii
ENSCSEP00000030214	ENSCSEG00000019354	Cynoglossus_semilaevis
ENSMAMP00000009880	ENSMAMG00000006662	Mastacembelus_armatus
MGP_PahariEiJ_P0064825	MGP_PahariEiJ_G0025583	Mus_pahari_strain_PAHARI_EIJ
ENSECRP00000032076	ENSECRG00000021746	Erpetoichthys_calabaricus
ENSAOCP00000005886	ENSAOCG00000009442	Amphiprion_ocellaris
ENSPTIP00000020847	ENSPTIG00000018193	Panthera_tigris_altaica
ENSXETP00000053775	ENSXETG00000018981	Xenopus_tropicalis
ENSPANP00000016362	ENSPANG00000019302	Papio_anubis
ENSSMAP00000012246	ENSSMAG00000007553	Scophthalmus_maximus
ENSSFOP00015026316	ENSSFOG00015016932	Scleropages_formosus	ENSSFOT00015026610
ENSRROP00000036676	ENSRROG00000041793	Rhinopithecus_roxellana
ENSORLP00000020948	ENSORLG00000016749	Oryzias_latipes_ASM223467v1
ENSHHUP00000067891	ENSHHUG00000040013	Hucho_hucho
ENSSPAP00000030965	ENSSPAG00000023215	Stegastes_partitus
ENSPKIP00000013312	ENSPKIG00000000786	Paramormyrops_kingsleyae	ENSPKIT00000037732
ENSPRNP00000013748	ENSPRNG00000007518	Parambassis_ranga
ENSNPEP00000004688	ENSNPEG00000003572	Nothoprocta_perdicaria
ENSMUSP00000041411	ENSMUSG00000034226	Mus_musculus_strain_reference_(CL57BL6)
ENSFHEP00000033380	ENSFHEG00000000738	Fundulus_heteroclitus
ENSSCAP00000002950	ENSSCAG00000002561	Serinus_canaria
ENSTRUP00000038408	ENSTRUG00000015031	Takifugu_rubripes
ENSAPOP00000022746	ENSAPOG00000004119	Acanthochromis_polyacanthus
ENSVURP00010010321	ENSVURG00010007976	Vombatus_ursinus
