ENSLAFP00000008079	ENSLAFG00000009629	Loxodonta_africana	ENSLAFT00000009628
ENSLAFP00000028499	ENSLAFG00000032003	Loxodonta_africana	ENSLAFT00000027316
ENSPCAP00000014848	ENSPCAG00000015905	Procavia_capensis	ENSPCAT00000015873
ENSTTRP00000009291	ENSTTRG00000009799	Tursiops_truncatus	ENSTTRT00000009798
ENSSSCP00000013444	ENSSSCG00000012645	Sus_scrofa_strain_reference
ENSUPAP00010028779	ENSUPAG00010022708	Urocitellus_parryii
ENSSTOP00000019922	ENSSTOG00000026965	Ictidomys_tridecemlineatus
ENSSDAP00000009117	ENSSDAG00000008313	Spermophilus_dauricus
ENSSDAP00000009112	ENSSDAG00000008307	Spermophilus_dauricus
ENSSTOP00000025952	ENSSTOG00000029777	Ictidomys_tridecemlineatus
ENSUPAP00010028777	ENSUPAG00010022706	Urocitellus_parryii
ENSOCUP00000002425	ENSOCUG00000039018	Oryctolagus_cuniculus
ENSOCUP00000027175	ENSOCUG00000029625	Oryctolagus_cuniculus
ENSOCUP00000023178	ENSOCUG00000031847	Oryctolagus_cuniculus
ENSOCUP00000011982	ENSOCUG00000013944	Oryctolagus_cuniculus
ENSOCUP00000023292	ENSOCUG00000000908	Oryctolagus_cuniculus
ENSOCUP00000016418	ENSOCUG00000010499	Oryctolagus_cuniculus
ENSPTRP00000091274	ENSPTRG00000048239	Pan_troglodytes
ENSPTRP00000038312	ENSPTRG00000044021	Pan_troglodytes
ENSP00000353128	ENSG00000198354	Homo_sapiens
ENSGGOP00000026934	ENSGGOG00000005923	Gorilla_gorilla
ENSCATP00000005501	ENSCATG00000018014	Cercocebus_atys
ENSTGEP00000027382	ENSTGEG00000022104	Theropithecus_gelada
ENSPANP00000041899	ENSPANG00000034466	Papio_anubis
ENSMNEP00000005909	ENSMNEG00000026496	Macaca_nemestrina
ENSMMUP00000043108	ENSMMUG00000044509	Macaca_mulatta
ENSMFAP00000012392	ENSMFAG00000024130	Macaca_fascicularis
ENSRBIP00000001522	ENSRBIG00000007777	Rhinopithecus_bieti
ENSRROP00000033558	ENSRROG00000040357	Rhinopithecus_roxellana
ENSCANP00000003977	ENSCANG00000014116	Colobus_angolensis_palliatus
ENSCJAP00000041097	ENSCJAG00000022484	Callithrix_jacchus
ENSCCAP00000017826	ENSCCAG00000026736	Cebus_capucinus_imitator
ENSTSYP00000016348	ENSTSYG00000033820	Carlito_syrichta
ENSMICP00000004017	ENSMICG00000004409	Microcebus_murinus
ENSPCOP00000001868	ENSPCOG00000005793	Propithecus_coquereli
ENSPSMP00000002200	ENSPSMG00000001680	Prolemur_simus
ENSOGAP00000021910	ENSOGAG00000032031	Otolemur_garnettii
ENSDNOP00000023972	ENSDNOG00000001371	Dasypus_novemcinctus
ENSETEP00000011141	ENSETEG00000013734	Echinops_telfairi
ENSPMAP00000003285	ENSPMAG00000003014	Petromyzon_marinus
