ENSXCOP00000019064	ENSXCOG00000014328	Xiphophorus_couchianus
ENSMMMP00000004989	ENSMMMG00000004549	Marmota_marmota_marmota
ENSEBUP00000012276	ENSEBUG00000007819	Eptatretus_burgeri
ENSCJAP00000026280	ENSCJAG00000014274	Callithrix_jacchus
ENSZALP00000011836	ENSZALG00000009972	Zonotrichia_albicollis
ENSIPUP00000008451	ENSIPUG00000005765	Ictalurus_punctatus
ENSGALP00000043587	ENSGALG00000005200	Gallus_gallus
ENSSPAP00000000271	ENSSPAG00000000240	Stegastes_partitus
ENSETEP00000009645	ENSETEG00000011892	Echinops_telfairi
ENSGAFP00000002203	ENSGAFG00000001388	Gambusia_affinis
ENSVURP00010023683	ENSVURG00010018150	Vombatus_ursinus
ENSLCOP00000011333	ENSLCOG00000008221	Lepidothrix_coronata
ENSTBEP00000001411	ENSTBEG00000001626	Tupaia_belangeri
ENSMICP00000026503	ENSMICG00000013395	Microcebus_murinus
ENSEEEP00000048379	ENSEEEG00000022766	Electrophorus_electricus
ENSBSLP00000049356	ENSBSLG00000023447	Betta_splendens
ENSPPYP00000012517	ENSPPYG00000011202	Pongo_abelii
ENSPPAP00000006692	ENSPPAG00000025509	Pan_paniscus
ENSLBEP00000012091	ENSLBEG00000009301	Labrus_bergylta
ENSSMAP00000028078	ENSSMAG00000017179	Scophthalmus_maximus
ENSKMAP00000007535	ENSKMAG00000005674	Kryptolebias_marmoratus
ENSNGAP00000024837	ENSNGAG00000022969	Nannospalax_galili
ENSSTOP00000002412	ENSSTOG00000002691	Ictidomys_tridecemlineatus
ENSVVUP00000021462	ENSVVUG00000015782	Vulpes_vulpes
ENSORLP00020001640	ENSORLG00020000797	Oryzias_latipes_ASM223471v1
ENSPSMP00000005605	ENSPSMG00000004265	Prolemur_simus
ENSLCRP00005029147	ENSLCRG00005011520	Larimichthys_crocea
ENSBTAP00000003974	ENSBTAG00000003058	Bos_taurus
ENSPPRP00000028567	ENSPPRG00000020760	Panthera_pardus
ENSCANP00000010048	ENSCANG00000028413	Colobus_angolensis_palliatus
ENSTNIP00000015452	ENSTNIG00000012482	Tetraodon_nigroviridis
ENSSDUP00000009646	ENSSDUG00000007082	Seriola_dumerili
ENSPREP00000029799	ENSPREG00000020174	Poecilia_reticulata
ENSMGAP00000005414	ENSMGAG00000005506	Meleagris_gallopavo
ENSRBIP00000016985	ENSRBIG00000032506	Rhinopithecus_bieti
ENSMUSP00000050076	ENSMUSG00000039041	Mus_musculus_strain_reference_(CL57BL6)
ENSPSMP00000022498	ENSPSMG00000015909	Prolemur_simus
ENSXMAP00000029403	ENSXMAG00000028611	Xiphophorus_maculatus
ENSPTRP00000023587	ENSPTRG00000013704	Pan_troglodytes
ENSLCRP00005062211	ENSLCRG00005022855	Larimichthys_crocea
ENSJHYP00000014452	ENSJHYG00000011159	Junco_hyemalis
ENSSMAP00000022884	ENSSMAG00000013973	Scophthalmus_maximus
ENSPRNP00000050727	ENSPRNG00000024097	Parambassis_ranga
ENSEEUP00000013782	ENSEEUG00000015100	Erinaceus_europaeus
YLR421C_mRNA	YLR421C	Saccharomyces_cerevisiae_strain_S288C
ENSSDUP00000001491	ENSSDUG00000001163	Seriola_dumerili
ENSNSUP00000019284	ENSNSUG00000014093	Notechis_scutatus
ENSTTRP00000010513	ENSTTRG00000011089	Tursiops_truncatus
ENSONIP00000018720	ENSONIG00000014871	Oreochromis_niloticus
ENSMALP00000020048	ENSMALG00000014007	Monopterus_albus
ENSORLP00000024537	ENSORLG00000019745	Oryzias_latipes_ASM223467v1
ENSCMIP00000035864	ENSCMIG00000015166	Callorhinchus_milii
ENSRROP00000004702	ENSRROG00000019480	Rhinopithecus_roxellana
ENSHHUP00000000796	ENSHHUG00000000512	Hucho_hucho
ENSPFOP00000012005	ENSPFOG00000011984	Poecilia_formosa
ENSAPEP00000031247	ENSAPEG00000022188	Amphiprion_percula
ENSCPOP00000030646	ENSCPOG00000009588	Cavia_porcellus
ENSCJAP00000044057	ENSCJAG00000033321	Callithrix_jacchus
ENSCVAP00000031125	ENSCVAG00000020196	Cyprinodon_variegatus
ENSSSCP00000054186	ENSSSCG00000038718	Sus_scrofa_strain_reference
ENSNGAP00000001368	ENSNGAG00000001016	Nannospalax_galili
ENSAMEP00000018414	ENSAMEG00000017423	Ailuropoda_melanoleuca
ENSAMXP00005056567	ENSAMXG00005025094	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSBMUP00000031793	ENSBMUG00000023715	Bos_mutus
ENSFDAP00000007352	ENSFDAG00000015889	Fukomys_damarensis
ENSSPAP00000019123	ENSSPAG00000014429	Stegastes_partitus
ENSLCRP00005029056	ENSLCRG00005011510	Larimichthys_crocea
ENSCSEP00000013506	ENSCSEG00000008703	Cynoglossus_semilaevis
ENSPNAP00000001612	ENSPNAG00000008259	Pygocentrus_nattereri
ENSAPOP00000022692	ENSAPOG00000004047	Acanthochromis_polyacanthus
ENSFHEP00000014123	ENSFHEG00000015686	Fundulus_heteroclitus
ENSPMJP00000009557	ENSPMJG00000007633	Parus_major
ENSPTEP00000017825	ENSPTEG00000019333	Piliocolobus_tephrosceles
ENSACLP00000012883	ENSACLG00000008785	Astatotilapia_calliptera
ENSDCDP00000043091	ENSDCDG00000027605	Denticeps_clupeoides
ENSPANP00000014485	ENSPANG00000021463	Papio_anubis
ENSCPGP00000012867	ENSCPGG00000009119	Calidris_pygmaea
ENSCSAVP00000015465	ENSCSAVG00000009079	Ciona_savignyi
ENSHHUP00000014666	ENSHHUG00000009080	Hucho_hucho
ENSPKIP00000000080	ENSPKIG00000018885	Paramormyrops_kingsleyae
ENSLOCP00000006676	ENSLOCG00000005530	Lepisosteus_oculatus
ENSRNOP00000074216	ENSRNOG00000055984	Rattus_norvegicus
ENSOARP00000015127	ENSOARG00000014094	Ovis_aries
ENSPTIP00000013181	ENSPTIG00000012974	Panthera_tigris_altaica
ENSATEP00000034822	ENSATEG00000023929	Anabas_testudineus
ENSCPRP00005007729	ENSCPRG00005005435	Crocodylus_porosus
ENSPVAP00000003344	ENSPVAG00000003536	Pteropus_vampyrus
MGP_PahariEiJ_P0067583	MGP_PahariEiJ_G0026220	Mus_pahari_strain_PAHARI_EIJ
ENSAPEP00000004414	ENSAPEG00000003196	Amphiprion_percula
ENSHBUP00000010388	ENSHBUG00000011949	Haplochromis_burtoni
ENSODEP00000005161	ENSODEG00000003910	Octodon_degus
ENSNPEP00000012966	ENSNPEG00000009647	Nothoprocta_perdicaria	ENSNPET00000013286
FBpp0112986	FBgn0033886	Drosophila_melanogaster
ENSMMOP00000013906	ENSMMOG00000010651	Mola_mola
MGP_PahariEiJ_P0067589	MGP_PahariEiJ_G0026221	Mus_pahari_strain_PAHARI_EIJ
ENSMLEP00000034708	ENSMLEG00000041503	Mandrillus_leucophaeus
ENSMZEP00005035888	ENSMZEG00005026794	Maylandia_zebra
ENSDORP00000017612	ENSDORG00000016587	Dipodomys_ordii
ENSLCAP00010035770	ENSLCAG00010016772	Lates_calcarifer
ENSCCNP00000014521	ENSCCNG00000015005	Castor_canadensis
ENSMUNP00000009050	ENSMUNG00000007130	Melopsittacus_undulatus
ENSTRUP00000014793	ENSTRUG00000006087	Takifugu_rubripes
ENSPMGP00000026208	ENSPMGG00000021137	Periophthalmus_magnuspinnatus
ENSIPUP00000032569	ENSIPUG00000021877	Ictalurus_punctatus
ENSAOCP00000017491	ENSAOCG00000022584	Amphiprion_ocellaris
ENSHGLP00000007785	ENSHGLG00000005649	Heterocephalus_glaber_HetGla_female_1.0
ENSSFOP00015032073	ENSSFOG00015020514	Scleropages_formosus
ENSMAMP00000011255	ENSMAMG00000007491	Mastacembelus_armatus
ENSBSLP00000044595	ENSBSLG00000021279	Betta_splendens
ENSELUP00000038031	ENSELUG00000017813	Esox_lucius
ENSSMRP00000016234	ENSSMRG00000012629	Salvator_merianae
ENSMODP00000052642	ENSMODG00000016715	Monodelphis_domestica
FBpp0070709	FBgn0029745	Drosophila_melanogaster
ENSPLAP00000003632	ENSPLAG00000005165	Poecilia_latipinna
ENSMPUP00000007725	ENSMPUG00000007782	Mustela_putorius_furo
ENSCGRP00015020446	ENSCGRG00015015645	Cricetulus_griseus_CriGri-PICR
ENSP00000478877	ENSG00000130706	Homo_sapiens
ENSMLUP00000000290	ENSMLUG00000000322	Myotis_lucifugus
ENSMMOP00000011874	ENSMMOG00000009128	Mola_mola
ENSXMAP00000009231	ENSXMAG00000009196	Xiphophorus_maculatus
ENSXETP00000017881	ENSXETG00000001978	Xenopus_tropicalis
ENSEASP00005033938	ENSEASG00005023210	Equus_asinus_asinus
ENSMAUP00000025459	ENSMAUG00000021991	Mesocricetus_auratus
ENSORLP00015014960	ENSORLG00015015887	Oryzias_latipes_ASM223469v1
ENSATEP00000036046	ENSATEG00000024777	Anabas_testudineus
ENSLACP00000010042	ENSLACG00000008853	Latimeria_chalumnae
ENSGGOP00000008265	ENSGGOG00000008457	Gorilla_gorilla
ENSNBRP00000009600	ENSNBRG00000007488	Neolamprologus_brichardi
ENSELUP00000024595	ENSELUG00000023390	Esox_lucius
ENSGAGP00000016411	ENSGAGG00000012288	Gopherus_agassizii
