ENSAOCP00000003387	ENSAOCG00000006671	Amphiprion_ocellaris
ENSCPRP00005022885	ENSCPRG00005015945	Crocodylus_porosus
ENSGAFP00000020536	ENSGAFG00000013864	Gambusia_affinis
ENSPREP00000032104	ENSPREG00000021748	Poecilia_reticulata
ENSPEMP00000000802	ENSPEMG00000000574	Peromyscus_maniculatus_bairdii
ENSSSCP00000024198	ENSSSCG00000024598	Sus_scrofa_strain_reference
ENSMVIP00005012293	ENSMVIG00005008963	Manacus_vitellinus
ENSLAFP00000014911	ENSLAFG00000017784	Loxodonta_africana
ENSGGOP00000021202	ENSGGOG00000027961	Gorilla_gorilla
ENSMMOP00000005931	ENSMMOG00000004653	Mola_mola
ENSGMOP00000003723	ENSGMOG00000003508	Gadus_morhua
ENSP00000346148	ENSG00000132356	Homo_sapiens
ENSCMIP00000008928	ENSCMIG00000004763	Callorhinchus_milii
ENSMNEP00000011449	ENSMNEG00000030034	Macaca_nemestrina
ENSNMEP00000005929	ENSNMEG00000006105	Numida_meleagris
ENSMMUP00000031354	ENSMMUG00000023806	Macaca_mulatta
ENSLACP00000003950	ENSLACG00000003515	Latimeria_chalumnae
ENSSPUP00000019868	ENSSPUG00000015281	Sphenodon_punctatus
ENSCHOP00000005769	ENSCHOG00000006520	Choloepus_hoffmanni
ENSUAMP00000032879	ENSUAMG00000025069	Ursus_americanus
ENSLSDP00000012748	ENSLSDG00000009303	Lonchura_striata_domestica
ENSMUGP00000026588	ENSMUGG00000022158	Meriones_unguiculatus
MGP_SPRETEiJ_P0039506	MGP_SPRETEiJ_G0020533	Mus_spretus_strain_SPRET/EiJ
ENSSARP00000001310	ENSSARG00000001450	Sorex_araneus
ENSRROP00000029433	ENSRROG00000038510	Rhinopithecus_roxellana
ENSPCAP00000003376	ENSPCAG00000003621	Procavia_capensis
ENSCSEP00000023346	ENSCSEG00000014887	Cynoglossus_semilaevis
ENSPCIP00000037484	ENSPCIG00000027626	Phascolarctos_cinereus
ENSANAP00000029894	ENSANAG00000032687	Aotus_nancymaae
ENSMEUP00000005463	ENSMEUG00000005963	Notamacropus_eugenii
ENSOARP00000009995	ENSOARG00000009317	Ovis_aries
ENSPPRP00000014637	ENSPPRG00000007500	Panthera_pardus
ENSGWIP00000023204	ENSGWIG00000012354	Gouania_willdenowi
ENSCPUP00000008175	ENSCPUG00000005892	Calidris_pugnax
ENSMAMP00000027610	ENSMAMG00000018561	Mastacembelus_armatus
ENSZALP00000009672	ENSZALG00000008278	Zonotrichia_albicollis
ENSHBUP00000026532	ENSHBUG00000009256	Haplochromis_burtoni
ENSVVUP00000002721	ENSVVUG00000002162	Vulpes_vulpes
ENSMOCP00000005477	ENSMOCG00000004966	Microtus_ochrogaster
ENSCAPP00000017740	ENSCAPG00000017327	Cavia_aperea
ENSMSIP00000038176	ENSMSIG00000031826	Mus_spicilegus
ENSACAP00000010079	ENSACAG00000010236	Anolis_carolinensis
ENSCANP00000011436	ENSCANG00000029099	Colobus_angolensis_palliatus
ENSODEP00000003880	ENSODEG00000002974	Octodon_degus
ENSHGLP00100026434	ENSHGLG00100019380	Heterocephalus_glaber_HetGla_1.0
ENSMPUP00000014643	ENSMPUG00000014752	Mustela_putorius_furo
ENSAMXP00005034960	ENSAMXG00005016752	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSSCAP00000003091	ENSSCAG00000002590	Serinus_canaria
ENSSPAP00000027202	ENSSPAG00000020500	Stegastes_partitus
ENSPPYP00000017227	ENSPPYG00000015421	Pongo_abelii
ENSDARP00000079966	ENSDARG00000060596	Danio_rerio
ENSPMGP00000005806	ENSPMGG00000004880	Periophthalmus_magnuspinnatus
ENSPNAP00000037352	ENSPNAG00000004485	Pygocentrus_nattereri
ENSAMXP00000054246	ENSAMXG00000037858	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPKIP00000002063	ENSPKIG00000020098	Paramormyrops_kingsleyae	ENSPKIT00000026001
ENSPCOP00000023621	ENSPCOG00000023955	Propithecus_coquereli
ENSFDAP00000002205	ENSFDAG00000011957	Fukomys_damarensis
ENSRNOP00000017626	ENSRNOG00000012799	Rattus_norvegicus
ENSPVAP00000010727	ENSPVAG00000011375	Pteropus_vampyrus
ENSCGOP00000019411	ENSCGOG00000009255	Cottoperca_gobio
ENSPNYP00000003909	ENSPNYG00000003027	Pundamilia_nyererei
ENSGAGP00000010503	ENSGAGG00000008218	Gopherus_agassizii
ENSCJPP00005008939	ENSCJPG00005007921	Coturnix_japonica
ENSMALP00000016557	ENSMALG00000011608	Monopterus_albus
ENSABRP00000006767	ENSABRG00000006221	Anser_brachyrhynchus
ENSCCAP00000021862	ENSCCAG00000028754	Cebus_capucinus_imitator
ENSTGEP00000011946	ENSTGEG00000009736	Theropithecus_gelada
ENSHHUP00000070334	ENSHHUG00000041362	Hucho_hucho	ENSHHUT00000072673
ENSTGUP00000002252	ENSTGUG00000002173	Taeniopygia_guttata
ENSPTIP00000018462	ENSPTIG00000016570	Panthera_tigris_altaica
ENSAPEP00000032353	ENSAPEG00000022978	Amphiprion_percula
ENSTBEP00000014126	ENSTBEG00000016243	Tupaia_belangeri
ENSSDAP00000006213	ENSSDAG00000005717	Spermophilus_dauricus
ENSCABP00000010870	ENSCABG00000008149	Chelonoidis_abingdonii
ENSCHAP00000048925	ENSCHAG00000022395	Clupea_harengus
ENSCCNP00000023596	ENSCCNG00000023159	Castor_canadensis
ENSPTRP00000048213	ENSPTRG00000016821	Pan_troglodytes
ENSJJAP00000021253	ENSJJAG00000021671	Jaculus_jaculus
ENSHGLP00000014300	ENSHGLG00000010227	Heterocephalus_glaber_HetGla_female_1.0
ENSCLAP00000014014	ENSCLAG00000009683	Chinchilla_lanigera
MGP_PahariEiJ_P0027259	MGP_PahariEiJ_G0016017	Mus_pahari_strain_PAHARI_EIJ
ENSSHAP00000016650	ENSSHAG00000014164	Sarcophilus_harrisii
ENSBIXP00005029389	ENSBIXG00005009308	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBSLP00000016630	ENSBSLG00000008485	Betta_splendens
ENSCVAP00000004831	ENSCVAG00000006151	Cyprinodon_variegatus
ENSPPAP00000025661	ENSPPAG00000035948	Pan_paniscus
ENSUPAP00010008054	ENSUPAG00010006488	Urocitellus_parryii
ENSPMEP00000022463	ENSPMEG00000003404	Poecilia_mexicana
ENSPVIP00000014949	ENSPVIG00000011513	Pogona_vitticeps
ENSCGRP00015025130	ENSCGRG00015019081	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001001799	ENSCGRG00001001697	Cricetulus_griseus_CHOK1GS_HDv1
ENSORLP00000004715	ENSORLG00000003787	Oryzias_latipes_ASM223467v1
ENSSDUP00000011485	ENSSDUG00000008366	Seriola_dumerili
ENSCPOP00000004902	ENSCPOG00000005446	Cavia_porcellus
ENSXETP00000037128	ENSXETG00000013065	Xenopus_tropicalis
ENSNBRP00000010623	ENSNBRG00000008265	Neolamprologus_brichardi
ENSELUP00000002303	ENSELUG00000003662	Esox_lucius	ENSELUT00000015942
ENSMUNP00000018112	ENSMUNG00000013859	Melopsittacus_undulatus
ENSVURP00010001971	ENSVURG00010001645	Vombatus_ursinus
ENSVPAP00000002345	ENSVPAG00000002542	Vicugna_pacos
ENSLCAP00010001552	ENSLCAG00010000899	Lates_calcarifer
ENSATEP00000017436	ENSATEG00000012110	Anabas_testudineus
ENSPANP00000046874	ENSPANG00000014909	Papio_anubis
ENSOPRP00000003351	ENSOPRG00000003643	Ochotona_princeps
ENSIPUP00000011649	ENSIPUG00000007912	Ictalurus_punctatus
ENSFHEP00000001304	ENSFHEG00000002049	Fundulus_heteroclitus
ENSTRUP00000047211	ENSTRUG00000018441	Takifugu_rubripes
ENSMLUP00000012958	ENSMLUG00000014242	Myotis_lucifugus
ENSMMMP00000020152	ENSMMMG00000017787	Marmota_marmota_marmota
ENSCPGP00000012372	ENSCPGG00000008780	Calidris_pygmaea
ENSAPLP00000012543	ENSAPLG00000012738	Anas_platyrhynchos_platyrhynchos
ENSCHIP00000017812	ENSCHIG00000017495	Capra_hircus
ENSMICP00000011234	ENSMICG00000036665	Microcebus_murinus
ENSAPOP00000006227	ENSAPOG00000008061	Acanthochromis_polyacanthus
ENSCSAP00000012966	ENSCSAG00000016919	Chlorocebus_sabaeus
ENSMZEP00005004742	ENSMZEG00005003664	Maylandia_zebra
ENSBIXP00000010235	ENSBIXG00000015753	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMLEP00000034493	ENSMLEG00000041369	Mandrillus_leucophaeus
ENSSBOP00000009527	ENSSBOG00000021607	Saimiri_boliviensis_boliviensis
ENSPSMP00000010987	ENSPSMG00000007922	Prolemur_simus
ENSCATP00000033734	ENSCATG00000039841	Cercocebus_atys
ENSORLP00020008983	ENSORLG00020009898	Oryzias_latipes_ASM223471v1
ENSSMRP00000024349	ENSSMRG00000018877	Salvator_merianae
ENSMGAP00000009308	ENSMGAG00000009044	Meleagris_gallopavo
ENSCPGP00000016504	ENSCPGG00000011601	Calidris_pygmaea
ENSCGRP00000015472	ENSCGRG00000011226	Cricetulus_griseus_CriGri_1.0
ENSTNIP00000010300	ENSTNIG00000007491	Tetraodon_nigroviridis
ENSEASP00005020227	ENSEASG00005013928	Equus_asinus_asinus
ENSETEP00000007905	ENSETEG00000009735	Echinops_telfairi
ENSHHUP00000011328	ENSHHUG00000006887	Hucho_hucho	ENSHHUT00000011683
ENSLOCP00000013790	ENSLOCG00000011222	Lepisosteus_oculatus
ENSNVIP00000000687	ENSNVIG00000000565	Neovison_vison
ENSPMJP00000021346	ENSPMJG00000015846	Parus_major
ENSEEEP00000031362	ENSEEEG00000015011	Electrophorus_electricus
ENSAMEP00000016287	ENSAMEG00000015425	Ailuropoda_melanoleuca
ENSCPBP00000009351	ENSCPBG00000007237	Chrysemys_picta_bellii
ENSTSYP00000020846	ENSTSYG00000000917	Carlito_syrichta
ENSMAUP00000001363	ENSMAUG00000001004	Mesocricetus_auratus
ENSPRNP00000004747	ENSPRNG00000002635	Parambassis_ranga
ENSPLAP00000024389	ENSPLAG00000010544	Poecilia_latipinna
ENSSLDP00000019653	ENSSLDG00000015409	Seriola_lalandi_dorsalis
ENSMSIP00000038177	ENSMSIG00000031827	Mus_spicilegus
ENSCPGP00000000434	ENSCPGG00000000368	Calidris_pygmaea
ENSAOWP00000012423	ENSAOWG00000008506	Apteryx_owenii
ENSGALP00000023897	ENSGALG00000014832	Gallus_gallus
ENSACLP00000041195	ENSACLG00000027734	Astatotilapia_calliptera
ENSSPUP00000013454	ENSSPUG00000010343	Sphenodon_punctatus
ENSACIP00000002966	ENSACIG00000002358	Amphilophus_citrinellus
ENSPTEP00000020817	ENSPTEG00000021990	Piliocolobus_tephrosceles
ENSCAFP00020015160	ENSCAFG00020012199	Canis_lupus_dingo
ENSFCAP00000024617	ENSFCAG00000023817	Felis_catus
ENSDNOP00000023969	ENSDNOG00000034370	Dasypus_novemcinctus
ENSLCRP00005010316	ENSLCRG00005004622	Larimichthys_crocea
ENSSFOP00015023637	ENSSFOG00015015200	Scleropages_formosus	ENSSFOT00015023896
ENSOANP00000028274	ENSOANG00000004087	Ornithorhynchus_anatinus
ENSEEUP00000000490	ENSEEUG00000000560	Erinaceus_europaeus
ENSHCOP00000004314	ENSHCOG00000005754	Hippocampus_comes
ENSNLEP00000034028	ENSNLEG00000016472	Nomascus_leucogenys
ENSPFOP00000015384	ENSPFOG00000015293	Poecilia_formosa
ENSSTOP00000024036	ENSSTOG00000008118	Ictidomys_tridecemlineatus
ENSCJAP00000013705	ENSCJAG00000007341	Callithrix_jacchus
ENSSCAP00000011148	ENSSCAG00000008395	Serinus_canaria
ENSCCEP00000017060	ENSCCEG00000015843	Cyanistes_caeruleus
ENSNPEP00000001737	ENSNPEG00000001349	Nothoprocta_perdicaria
MGP_CAROLIEiJ_P0037745	MGP_CAROLIEiJ_G0019636	Mus_caroli_strain_CAROLI_EIJ
ENSMODP00000025398	ENSMODG00000020303	Monodelphis_domestica
ENSOGAP00000010694	ENSOGAG00000011950	Otolemur_garnettii
ENSARWP00000011362	ENSARWG00000007889	Apteryx_rowi
ENSLBEP00000033114	ENSLBEG00000024938	Labrus_bergylta
ENSORLP00015032191	ENSORLG00015016870	Oryzias_latipes_ASM223469v1
ENSXMAP00000016873	ENSXMAG00000016837	Xiphophorus_maculatus
