ENSAPEP00000012472	ENSAPEG00000008893	Amphiprion_percula
ENSLSDP00000015062	ENSLSDG00000010847	Lonchura_striata_domestica
ENSSCAP00000020251	ENSSCAG00000014591	Serinus_canaria
ENSPCAP00000013171	ENSPCAG00000014137	Procavia_capensis
ENSCANP00000036161	ENSCANG00000041788	Colobus_angolensis_palliatus
ENSAHAP00000005034	ENSAHAG00000003919	Apteryx_haastii
ENSOCUP00000024892	ENSOCUG00000000468	Oryctolagus_cuniculus
ENSPVIP00000008294	ENSPVIG00000006702	Pogona_vitticeps
ENSCGRP00015013251	ENSCGRG00015010164	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000031045	ENSPEMG00000025060	Peromyscus_maniculatus_bairdii
ENSBIXP00000018551	ENSBIXG00000022381	Bos_indicus_x_Bos_taurus_UOA_Angus_1
MGP_PahariEiJ_P0085217	MGP_PahariEiJ_G0030428	Mus_pahari_strain_PAHARI_EIJ
ENSPRNP00000010836	ENSPRNG00000006180	Parambassis_ranga
ENSCHIP00000015051	ENSCHIG00000015840	Capra_hircus
ENSSDUP00000018604	ENSSDUG00000013596	Seriola_dumerili
ENSZALP00000008133	ENSZALG00000007108	Zonotrichia_albicollis
ENSATEP00000007569	ENSATEG00000005327	Anabas_testudineus
ENSVVUP00000002937	ENSVVUG00000002302	Vulpes_vulpes
ENSTRUP00000056204	ENSTRUG00000020035	Takifugu_rubripes
ENSANAP00000007342	ENSANAG00000021747	Aotus_nancymaae
ENSCCEP00000023336	ENSCCEG00000020908	Cyanistes_caeruleus
ENSCJPP00005015775	ENSCJPG00005013022	Coturnix_japonica
ENSFCAP00000030628	ENSFCAG00000034227	Felis_catus
ENSPSIP00000006448	ENSPSIG00000005956	Pelodiscus_sinensis
MGP_SPRETEiJ_P0038842	MGP_SPRETEiJ_G0020302	Mus_spretus_strain_SPRET/EiJ
ENSLBEP00000002545	ENSLBEG00000002003	Labrus_bergylta
ENSAPOP00000016098	ENSAPOG00000019196	Acanthochromis_polyacanthus
ENSHGLP00100017470	ENSHGLG00100012887	Heterocephalus_glaber_HetGla_1.0
ENSRNOP00000016503	ENSRNOG00000012049	Rattus_norvegicus
ENSMAUP00000020834	ENSMAUG00000018750	Mesocricetus_auratus
ENSPNYP00000008702	ENSPNYG00000006640	Pundamilia_nyererei
ENSMEUP00000009464	ENSMEUG00000010385	Notamacropus_eugenii
ENSCCNP00000018662	ENSCCNG00000018881	Castor_canadensis
ENSGWIP00000019418	ENSGWIG00000010631	Gouania_willdenowi
ENSONIP00000019296	ENSONIG00000015337	Oreochromis_niloticus
ENSCPOP00000024975	ENSCPOG00000037017	Cavia_porcellus
ENSEEEP00000038080	ENSEEEG00000018091	Electrophorus_electricus
ENSMNEP00000024172	ENSMNEG00000035650	Macaca_nemestrina
ENSCATP00000020621	ENSCATG00000034059	Cercocebus_atys
ENSNPEP00000011023	ENSNPEG00000008287	Nothoprocta_perdicaria
ENSCGRP00000017902	ENSCGRG00000013019	Cricetulus_griseus_CriGri_1.0
ENSCJAP00000073870	ENSCJAG00000047277	Callithrix_jacchus
ENSMZEP00005021523	ENSMZEG00005016164	Maylandia_zebra
ENSMPUP00000001755	ENSMPUG00000001773	Mustela_putorius_furo
ENSHCOP00000005731	ENSHCOG00000007419	Hippocampus_comes
ENSCHAP00000026239	ENSCHAG00000012750	Clupea_harengus
ENSORLP00015000301	ENSORLG00015023018	Oryzias_latipes_ASM223469v1
ENSETEP00000006381	ENSETEG00000007859	Echinops_telfairi
ENSHBUP00000028840	ENSHBUG00000012860	Haplochromis_burtoni
ENSPPAP00000016329	ENSPPAG00000031284	Pan_paniscus
ENSFALP00000011391	ENSFALG00000010912	Ficedula_albicollis
ENSIPUP00000024085	ENSIPUG00000016283	Ictalurus_punctatus
ENSXCOP00000006745	ENSXCOG00000005221	Xiphophorus_couchianus
ENSPREP00000028110	ENSPREG00000019032	Poecilia_reticulata
ENSGACP00000014301	ENSGACG00000010806	Gasterosteus_aculeatus
ENSMOCP00000016182	ENSMOCG00000015162	Microtus_ochrogaster
ENSCLAP00000020897	ENSCLAG00000014320	Chinchilla_lanigera
ENSNSUP00000006004	ENSNSUG00000004810	Notechis_scutatus
ENSLCOP00000007367	ENSLCOG00000005432	Lepidothrix_coronata
ENSMUNP00000013495	ENSMUNG00000010527	Melopsittacus_undulatus
ENSHGLP00000010322	ENSHGLG00000007410	Heterocephalus_glaber_HetGla_female_1.0
ENSSHAP00000011862	ENSSHAG00000010182	Sarcophilus_harrisii
ENSCSEP00000021731	ENSCSEG00000013869	Cynoglossus_semilaevis
ENSAOCP00000016016	ENSAOCG00000020854	Amphiprion_ocellaris
ENSMAMP00000025301	ENSMAMG00000016991	Mastacembelus_armatus
ENSCSAP00000012947	ENSCSAG00000016895	Chlorocebus_sabaeus
ENSOPRP00000004080	ENSOPRG00000004437	Ochotona_princeps
ENSBIXP00005026285	ENSBIXG00005002407	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCMIP00000045008	ENSCMIG00000018587	Callorhinchus_milii	ENSCMIT00000045653
ENSGMOP00000010680	ENSGMOG00000009990	Gadus_morhua
ENSLAFP00000026077	ENSLAFG00000026855	Loxodonta_africana
ENSSMAP00000018688	ENSSMAG00000011462	Scophthalmus_maximus
ENSSPAP00000024163	ENSSPAG00000018256	Stegastes_partitus
ENSODEP00000013821	ENSODEG00000010215	Octodon_degus
ENSMMMP00000013881	ENSMMMG00000012368	Marmota_marmota_marmota
ENSPTIP00000001470	ENSPTIG00000003802	Panthera_tigris_altaica
ENSLCRP00005042445	ENSLCRG00005016277	Larimichthys_crocea
ENSKMAP00000017394	ENSKMAG00000012969	Kryptolebias_marmoratus
ENSPMJP00000017339	ENSPMJG00000013054	Parus_major
ENSSLDP00000000747	ENSSLDG00000000667	Seriola_lalandi_dorsalis
ENSSTOP00000019073	ENSSTOG00000025357	Ictidomys_tridecemlineatus
ENSPNAP00000036355	ENSPNAG00000027095	Pygocentrus_nattereri
ENSEASP00005024147	ENSEASG00005016400	Equus_asinus_asinus
ENSRROP00000029212	ENSRROG00000038408	Rhinopithecus_roxellana
ENSPPYP00000023586	ENSPPYG00000029608	Pongo_abelii
ENSCMIP00000041501	ENSCMIG00000017299	Callorhinchus_milii	ENSCMIT00000042091
ENSCAFP00020014919	ENSCAFG00020012030	Canis_lupus_dingo
ENSTNIP00000019430	ENSTNIG00000016335	Tetraodon_nigroviridis
ENSMFAP00000026023	ENSMFAG00000044490	Macaca_fascicularis
