ENSOGAP00000012453	ENSOGAG00000013906	Otolemur_garnettii
ENSSHAP00000012717	ENSSHAG00000010882	Sarcophilus_harrisii
ENSCGOP00000023549	ENSCGOG00000011227	Cottoperca_gobio
ENSBSLP00000016001	ENSBSLG00000008435	Betta_splendens
ENSKMAP00000010173	ENSKMAG00000007633	Kryptolebias_marmoratus
ENSNSUP00000009030	ENSNSUG00000006920	Notechis_scutatus
ENSLAFP00000002253	ENSLAFG00000002691	Loxodonta_africana
ENSLACP00000016282	ENSLACG00000014345	Latimeria_chalumnae
ENSETEP00000009978	ENSETEG00000012299	Echinops_telfairi
ENSUPAP00010022322	ENSUPAG00010017722	Urocitellus_parryii
ENSANAP00000018781	ENSANAG00000027211	Aotus_nancymaae
ENSTBEP00000008678	ENSTBEG00000010031	Tupaia_belangeri
ENSTGUP00000006386	ENSTGUG00000006218	Taeniopygia_guttata
ENSMAMP00000002355	ENSMAMG00000001637	Mastacembelus_armatus
ENSBTAP00000042356	ENSBTAG00000017543	Bos_taurus
ENSRNOP00000064274	ENSRNOG00000045629	Rattus_norvegicus
ENSMICP00000048076	ENSMICG00000046863	Microcebus_murinus
ENSPKIP00000041604	ENSPKIG00000018089	Paramormyrops_kingsleyae
ENSZALP00000011548	ENSZALG00000009738	Zonotrichia_albicollis
ENSSMAP00000019362	ENSSMAG00000011866	Scophthalmus_maximus
ENSDNVP00000011602	ENSDNVG00000008181	Dromaius_novaehollandiae
ENSNBRP00000026122	ENSNBRG00000019993	Neolamprologus_brichardi
ENSFDAP00000015776	ENSFDAG00000003858	Fukomys_damarensis
ENSPVIP00000012459	ENSPVIG00000009715	Pogona_vitticeps
ENSCHOP00000007811	ENSCHOG00000008828	Choloepus_hoffmanni
ENSPFOP00000009829	ENSPFOG00000009839	Poecilia_formosa
ENSMUNP00000000075	ENSMUNG00000000116	Melopsittacus_undulatus
ENSRBIP00000013963	ENSRBIG00000031075	Rhinopithecus_bieti
ENSGACP00000025273	ENSGACG00000019114	Gasterosteus_aculeatus
ENSMNEP00000037393	ENSMNEG00000041777	Macaca_nemestrina
ENSCANP00000008363	ENSCANG00000027451	Colobus_angolensis_palliatus
ENSCAFP00020028595	ENSCAFG00020022403	Canis_lupus_dingo
ENSPMAP00000003802	ENSPMAG00000003492	Petromyzon_marinus
ENSMPUP00000002048	ENSMPUG00000002069	Mustela_putorius_furo
YNR020C_mRNA	YNR020C	Saccharomyces_cerevisiae_strain_S288C
ENSODEP00000002632	ENSODEG00000002049	Octodon_degus
ENSPPYP00000005369	ENSPPYG00000004713	Pongo_abelii
ENSPCOP00000017687	ENSPCOG00000020670	Propithecus_coquereli
FBpp0080537	FBgn0032644	Drosophila_melanogaster
ENSPSIP00000016416	ENSPSIG00000014641	Pelodiscus_sinensis
ENSPMJP00000014634	ENSPMJG00000011109	Parus_major
ENSMLUP00000013180	ENSMLUG00000014488	Myotis_lucifugus
ENSCHAP00000008044	ENSCHAG00000004901	Clupea_harengus
ENSCCEP00000009593	ENSCCEG00000009717	Cyanistes_caeruleus
ENSRROP00000027279	ENSRROG00000037423	Rhinopithecus_roxellana
ENSTSYP00000006333	ENSTSYG00000006918	Carlito_syrichta
ENSGAGP00000024427	ENSGAGG00000017848	Gopherus_agassizii	ENSGAGT00000027802
ENSCAPP00000016577	ENSCAPG00000016439	Cavia_aperea
ENSLSDP00000022769	ENSLSDG00000016078	Lonchura_striata_domestica
ENSDNOP00000026720	ENSDNOG00000032025	Dasypus_novemcinctus
ENSHBUP00000009625	ENSHBUG00000011166	Haplochromis_burtoni
ENSMMMP00000011655	ENSMMMG00000010425	Marmota_marmota_marmota
ENSPTEP00000026926	ENSPTEG00000026877	Piliocolobus_tephrosceles
ENSCCAP00000023618	ENSCCAG00000029599	Cebus_capucinus_imitator
ENSCMIP00000039200	ENSCMIG00000016428	Callorhinchus_milii
ENSCVAP00000027110	ENSCVAG00000013192	Cyprinodon_variegatus
ENSMGAP00000010363	ENSMGAG00000010016	Meleagris_gallopavo
ENSPRNP00000043363	ENSPRNG00000021152	Parambassis_ranga
ENSAMXP00000051000	ENSAMXG00000033585	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCPBP00000019643	ENSCPBG00000014170	Chrysemys_picta_bellii
ENSONIP00000012505	ENSONIG00000009946	Oreochromis_niloticus
ENSPFOP00000002205	ENSPFOG00000002317	Poecilia_formosa
ENSTNIP00000009706	ENSTNIG00000006909	Tetraodon_nigroviridis
ENSHHUP00000035929	ENSHHUG00000022601	Hucho_hucho
ENSECAP00000017318	ENSECAG00000019876	Equus_caballus
ENSSSCP00000000482	ENSSSCG00000000453	Sus_scrofa_strain_reference
ENSACAP00000001520	ENSACAG00000001618	Anolis_carolinensis
MGP_PahariEiJ_P0087722	MGP_PahariEiJ_G0031215	Mus_pahari_strain_PAHARI_EIJ
ENSCPRP00005011343	ENSCPRG00005008090	Crocodylus_porosus
ENSUPAP00010028607	ENSUPAG00010022589	Urocitellus_parryii
MGP_SPRETEiJ_P0026213	MGP_SPRETEiJ_G0016696	Mus_spretus_strain_SPRET/EiJ
ENSEBUP00000015402	ENSEBUG00000009712	Eptatretus_burgeri
ENSCGRP00015001706	ENSCGRG00015001396	Cricetulus_griseus_CriGri-PICR
ENSBMUP00000014296	ENSBMUG00000010878	Bos_mutus
ENSJHYP00000000095	ENSJHYG00000000119	Junco_hyemalis
ENSLCOP00000020458	ENSLCOG00000014487	Lepidothrix_coronata
ENSCJAP00000051618	ENSCJAG00000006490	Callithrix_jacchus
ENSXETP00000028719	ENSXETG00000008194	Xenopus_tropicalis
ENSMMUP00000076335	ENSMMUG00000060302	Macaca_mulatta
ENSPRNP00000043362	ENSPRNG00000021151	Parambassis_ranga
ENSPEMP00000005473	ENSPEMG00000007916	Peromyscus_maniculatus_bairdii
ENSLBEP00000037168	ENSLBEG00000027745	Labrus_bergylta
ENSMFAP00000017045	ENSMFAG00000031681	Macaca_fascicularis
ENSPPRP00000013886	ENSPPRG00000006940	Panthera_pardus
ENSELUP00000002946	ENSELUG00000004251	Esox_lucius
ENSATEP00000007513	ENSATEG00000005252	Anabas_testudineus
ENSUAMP00000016424	ENSUAMG00000013084	Ursus_americanus
ENSPTIP00000023418	ENSPTIG00000019889	Panthera_tigris_altaica
ENSACIP00000009859	ENSACIG00000007717	Amphilophus_citrinellus
ENSOARP00000005165	ENSOARG00000004820	Ovis_aries
ENSCCNP00000032912	ENSCCNG00000031199	Castor_canadensis
ENSPVAP00000006123	ENSPVAG00000006484	Pteropus_vampyrus
ENSOMEP00000035919	ENSOMEG00000023435	Oryzias_melastigma
ENSVPAP00000010858	ENSVPAG00000011673	Vicugna_pacos
ENSAOCP00000025582	ENSAOCG00000013228	Amphiprion_ocellaris
ENSDCDP00000057576	ENSDCDG00000033598	Denticeps_clupeoides
ENSMUGP00000008981	ENSMUGG00000008031	Meriones_unguiculatus
ENSSTOP00000001063	ENSSTOG00000001187	Ictidomys_tridecemlineatus
ENSHGLP00100007120	ENSHGLG00100005345	Heterocephalus_glaber_HetGla_1.0
ENSLCAP00010019293	ENSLCAG00010009106	Lates_calcarifer
ENSEEUP00000013464	ENSEEUG00000014752	Erinaceus_europaeus
ENSABRP00000005116	ENSABRG00000004749	Anser_brachyrhynchus
ENSCHIP00000032563	ENSCHIG00000026490	Capra_hircus
ENSPPAP00000024566	ENSPPAG00000035425	Pan_paniscus
ENSMLEP00000024197	ENSMLEG00000036257	Mandrillus_leucophaeus
ENSDORP00000008934	ENSDORG00000009511	Dipodomys_ordii
ENSCSAP00000000899	ENSCSAG00000004569	Chlorocebus_sabaeus
ENSNLEP00000020844	ENSNLEG00000017160	Nomascus_leucogenys
ENSNGAP00000024288	ENSNGAG00000022591	Nannospalax_galili
ENSAHAP00000024389	ENSAHAG00000017030	Apteryx_haastii
ENSORLP00000027447	ENSORLG00000009089	Oryzias_latipes_ASM223467v1
ENSECRP00000016586	ENSECRG00000011042	Erpetoichthys_calabaricus
ENSGMOP00000007405	ENSGMOG00000006966	Gadus_morhua
ENSGALP00000015845	ENSGALG00000009747	Gallus_gallus
ENSPCAP00000010109	ENSPCAG00000010884	Procavia_capensis
ENSFALP00000007645	ENSFALG00000007322	Ficedula_albicollis
ENSMSIP00000023044	ENSMSIG00000019573	Mus_spicilegus
ENSBIXP00000036496	ENSBIXG00000019995	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSNMEP00000013397	ENSNMEG00000012209	Numida_meleagris
ENSSPUP00000010641	ENSSPUG00000008165	Sphenodon_punctatus
ENSTRUP00000051701	ENSTRUG00000024962	Takifugu_rubripes
ENSCLAP00000015448	ENSCLAG00000010629	Chinchilla_lanigera
ENSCAFP00000038303	ENSCAFG00000000310	Canis_lupus_familiaris
ENSSDAP00000002305	ENSSDAG00000002219	Spermophilus_dauricus
ENSOANP00000019598	ENSOANG00000012385	Ornithorhynchus_anatinus
ENSCPUP00000006833	ENSCPUG00000004951	Calidris_pugnax
ENSPNYP00000015781	ENSPNYG00000011953	Pundamilia_nyererei
ENSEEEP00000011121	ENSEEEG00000005642	Electrophorus_electricus
ENSLCRP00005025489	ENSLCRG00005010181	Larimichthys_crocea
ENSLOCP00000020430	ENSLOCG00000016543	Lepisosteus_oculatus
MGP_CAROLIEiJ_P0024944	MGP_CAROLIEiJ_G0015870	Mus_caroli_strain_CAROLI_EIJ
ENSFHEP00000030830	ENSFHEG00000016351	Fundulus_heteroclitus
ENSTTRP00000014781	ENSTTRG00000015602	Tursiops_truncatus
ENSBBBP00000004279	ENSBBBG00000013203	Bison_bison_bison
ENSPMGP00000011814	ENSPMGG00000009780	Periophthalmus_magnuspinnatus
ENSGAFP00000029672	ENSGAFG00000020001	Gambusia_affinis
ENSUMAP00000027777	ENSUMAG00000020165	Ursus_maritimus
ENSBIXP00005030754	ENSBIXG00005000591	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSXCOP00000004861	ENSXCOG00000003813	Xiphophorus_couchianus
ENSXMAP00000010221	ENSXMAG00000010196	Xiphophorus_maculatus
ENSSCAP00000000376	ENSSCAG00000000332	Serinus_canaria
ENSP00000300145	ENSG00000166896	Homo_sapiens
ENSIPUP00000008133	ENSIPUG00000005590	Ictalurus_punctatus
ENSPLAP00000000967	ENSPLAG00000001915	Poecilia_latipinna
ENSORLP00015001943	ENSORLG00015002606	Oryzias_latipes_ASM223469v1
ENSCPGP00000028369	ENSCPGG00000019504	Calidris_pygmaea
ENSVVUP00000020668	ENSVVUG00000015207	Vulpes_vulpes
ENSAPOP00000029346	ENSAPOG00000015193	Acanthochromis_polyacanthus
ENSCGRP00000013007	ENSCGRG00000009460	Cricetulus_griseus_CriGri_1.0
ENSSDUP00000019607	ENSSDUG00000014295	Seriola_dumerili
ENSPREP00000024058	ENSPREG00000016239	Poecilia_reticulata
ENSAMXP00005002002	ENSAMXG00005001103	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPANP00000021691	ENSPANG00000032045	Papio_anubis
ENSPTRP00000008771	ENSPTRG00000005156	Pan_troglodytes
ENSFCAP00000059432	ENSFCAG00000030243	Felis_catus
ENSMEUP00000003016	ENSMEUG00000003304	Notamacropus_eugenii
ENSAPLP00000029144	ENSAPLG00000023128	Anas_platyrhynchos_platyrhynchos
ENSSPAP00000019121	ENSSPAG00000014418	Stegastes_partitus
ENSMUSP00000128382	ENSMUSG00000025436	Mus_musculus_strain_reference_(CL57BL6)
ENSSLDP00000017298	ENSSLDG00000013667	Seriola_lalandi_dorsalis
ENSSARP00000008994	ENSSARG00000009944	Sorex_araneus
ENSEASP00005010507	ENSEASG00005007456	Equus_asinus_asinus
ENSMVIP00005007463	ENSMVIG00005005588	Manacus_vitellinus
ENSGGOP00000010441	ENSGGOG00000010708	Gorilla_gorilla
ENSVURP00010029949	ENSVURG00010022889	Vombatus_ursinus
ENSPNAP00000018051	ENSPNAG00000006047	Pygocentrus_nattereri
ENSNVIP00000004359	ENSNVIG00000003528	Neovison_vison
ENSMODP00000026686	ENSMODG00000021354	Monodelphis_domestica
