ENSPPRP00000000026	ENSPPRG00000025086	Panthera_pardus	ENSPPRT00000035218
ENSPTIP00000003029	ENSPTIG00000005897	Panthera_tigris_altaica
ENSCGRP00001012046	ENSCGRG00001013553	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015000649	ENSCGRG00015000635	Cricetulus_griseus_CriGri-PICR
ENSUPAP00010011003	ENSUPAG00010008872	Urocitellus_parryii
ENSDORP00000020683	ENSDORG00000025027	Dipodomys_ordii
ENSHGLP00000028773	ENSHGLG00000021153	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100026800	ENSHGLG00100019763	Heterocephalus_glaber_HetGla_1.0
ENSCLAP00000025664	ENSCLAG00000017778	Chinchilla_lanigera
ENSFDAP00000003996	ENSFDAG00000013306	Fukomys_damarensis
ENSFDAP00000018524	ENSFDAG00000009766	Fukomys_damarensis
ENSHGLP00000028421	ENSHGLG00000020681	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100026935	ENSHGLG00100019929	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100003980	ENSHGLG00100003035	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000015896	ENSFDAG00000004058	Fukomys_damarensis
ENSHGLP00100026731	ENSHGLG00100019682	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000028532	ENSHGLG00000020826	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000010590	ENSFDAG00000006636	Fukomys_damarensis
ENSHGLP00000028639	ENSHGLG00000020973	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100026817	ENSHGLG00100019781	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000005752	ENSFDAG00000014671	Fukomys_damarensis
ENSFDAP00000012466	ENSFDAG00000006796	Fukomys_damarensis
ENSHGLP00000028474	ENSHGLG00000020749	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000028436	ENSHGLG00000020700	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100026968	ENSHGLG00100019972	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100001632	ENSHGLG00100001278	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000015645	ENSFDAG00000003658	Fukomys_damarensis
ENSFDAP00000015991	ENSFDAG00000004221	Fukomys_damarensis
ENSHGLP00000015779	ENSHGLG00000011295	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000028291	ENSHGLG00000020522	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100026903	ENSHGLG00100019893	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000028396	ENSHGLG00000020648	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100026758	ENSHGLG00100019710	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000014684	ENSFDAG00000002045	Fukomys_damarensis
ENSCPOP00000030978	ENSCPOG00000039698	Cavia_porcellus
ENSCLAP00000018918	ENSCLAG00000012955	Chinchilla_lanigera
ENSODEP00000002807	ENSODEG00000002158	Octodon_degus
ENSCPOP00000030183	ENSCPOG00000032815	Cavia_porcellus
ENSCAPP00000001470	ENSCAPG00000002879	Cavia_aperea
ENSFDAP00000015631	ENSFDAG00000003628	Fukomys_damarensis
ENSFDAP00000015889	ENSFDAG00000004043	Fukomys_damarensis
ENSCAPP00000010305	ENSCAPG00000011600	Cavia_aperea
ENSSTOP00000020237	ENSSTOG00000000663	Ictidomys_tridecemlineatus
ENSMMMP00000021111	ENSMMMG00000018605	Marmota_marmota_marmota
ENSSTOP00000023725	ENSSTOG00000030697	Ictidomys_tridecemlineatus
ENSMMMP00000021094	ENSMMMG00000018602	Marmota_marmota_marmota
ENSSTOP00000032670	ENSSTOG00000031937	Ictidomys_tridecemlineatus
ENSSTOP00000017206	ENSSTOG00000019533	Ictidomys_tridecemlineatus
ENSMMMP00000021064	ENSMMMG00000018585	Marmota_marmota_marmota
ENSMMMP00000021067	ENSMMMG00000018586	Marmota_marmota_marmota
ENSSDAP00000015738	ENSSDAG00000014211	Spermophilus_dauricus
ENSSDAP00000015759	ENSSDAG00000014225	Spermophilus_dauricus
ENSMMMP00000021072	ENSMMMG00000018587	Marmota_marmota_marmota
ENSSDAP00000015780	ENSSDAG00000014258	Spermophilus_dauricus
ENSMMMP00000021088	ENSMMMG00000018598	Marmota_marmota_marmota
ENSSTOP00000023099	ENSSTOG00000027390	Ictidomys_tridecemlineatus
ENSUPAP00010015731	ENSUPAG00010012600	Urocitellus_parryii
ENSSTOP00000021305	ENSSTOG00000023654	Ictidomys_tridecemlineatus
ENSSDAP00000015575	ENSSDAG00000014062	Spermophilus_dauricus
ENSMMMP00000021014	ENSMMMG00000018552	Marmota_marmota_marmota
ENSSDAP00000015700	ENSSDAG00000014184	Spermophilus_dauricus
ENSUPAP00010015694	ENSUPAG00010012571	Urocitellus_parryii
ENSSTOP00000032367	ENSSTOG00000030925	Ictidomys_tridecemlineatus
ENSMMMP00000021052	ENSMMMG00000018578	Marmota_marmota_marmota
ENSSDAP00000015778	ENSSDAG00000014250	Spermophilus_dauricus
ENSUPAP00010011053	ENSUPAG00010008940	Urocitellus_parryii
ENSSTOP00000023104	ENSSTOG00000021909	Ictidomys_tridecemlineatus
ENSMMMP00000021055	ENSMMMG00000018581	Marmota_marmota_marmota
ENSUPAP00010015690	ENSUPAG00010012565	Urocitellus_parryii
ENSSDAP00000015705	ENSSDAG00000014194	Spermophilus_dauricus
ENSSDAP00000015765	ENSSDAG00000014243	Spermophilus_dauricus
ENSSDAP00000015769	ENSSDAG00000014248	Spermophilus_dauricus
ENSSDAP00000015690	ENSSDAG00000014180	Spermophilus_dauricus
ENSMMMP00000021084	ENSMMMG00000018595	Marmota_marmota_marmota
ENSMOCP00000026689	ENSMOCG00000022412	Microtus_ochrogaster
ENSMOCP00000009779	ENSMOCG00000009975	Microtus_ochrogaster
ENSPEMP00000035320	ENSPEMG00000030652	Peromyscus_maniculatus_bairdii
ENSCGRP00001012579	ENSCGRG00001013960	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015000732	ENSCGRG00015000689	Cricetulus_griseus_CriGri-PICR
ENSMSIP00000001523	ENSMSIG00000001476	Mus_spicilegus
MGP_SPRETEiJ_P0053521	MGP_SPRETEiJ_G0024409	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000150801	ENSMUSG00000075387	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0051476	MGP_CAROLIEiJ_G0023493	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0062486	MGP_PahariEiJ_G0024948	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000049830	ENSRNOG00000045719	Rattus_norvegicus
ENSRNOP00000049727	ENSRNOG00000048909	Rattus_norvegicus
ENSRNOP00000048958	ENSRNOG00000046032	Rattus_norvegicus
ENSRNOP00000066088	ENSRNOG00000049538	Rattus_norvegicus
ENSMUSP00000076122	ENSMUSG00000059251	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0053524	MGP_SPRETEiJ_G0024412	Mus_spretus_strain_SPRET/EiJ
ENSRNOP00000040377	ENSRNOG00000045690	Rattus_norvegicus
ENSMUSP00000072632	ENSMUSG00000094266	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000001533	ENSMSIG00000001487	Mus_spicilegus
MGP_SPRETEiJ_P0053520	MGP_SPRETEiJ_G0024408	Mus_spretus_strain_SPRET/EiJ
ENSRNOP00000072935	ENSRNOG00000054399	Rattus_norvegicus
ENSRNOP00000065914	ENSRNOG00000046849	Rattus_norvegicus
ENSMUSP00000071985	ENSMUSG00000068950	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000001576	ENSMSIG00000001528	Mus_spicilegus
ENSRNOP00000071917	ENSRNOG00000060108	Rattus_norvegicus
MGP_CAROLIEiJ_P0051475	MGP_CAROLIEiJ_G0023492	Mus_caroli_strain_CAROLI_EIJ
MGP_CAROLIEiJ_P0051474	MGP_CAROLIEiJ_G0023491	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000149068	ENSMUSG00000094464	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000001544	ENSMSIG00000001495	Mus_spicilegus
ENSMUSP00000149916	ENSMUSG00000094764	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000001502	ENSMSIG00000001457	Mus_spicilegus
MGP_SPRETEiJ_P0053526	MGP_SPRETEiJ_G0024414	Mus_spretus_strain_SPRET/EiJ
MGP_SPRETEiJ_P0053525	MGP_SPRETEiJ_G0024413	Mus_spretus_strain_SPRET/EiJ
MGP_SPRETEiJ_P0053523	MGP_SPRETEiJ_G0024411	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000151202	ENSMUSG00000096822	Mus_musculus_strain_reference_(CL57BL6)
ENSRNOP00000043201	ENSRNOG00000030855	Rattus_norvegicus
ENSRNOP00000047816	ENSRNOG00000046801	Rattus_norvegicus
ENSMSIP00000001486	ENSMSIG00000001448	Mus_spicilegus
ENSMUSP00000151158	ENSMUSG00000111863	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0053527	MGP_SPRETEiJ_G0024415	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0051478	MGP_CAROLIEiJ_G0023495	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0062488	MGP_PahariEiJ_G0024950	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000049367	ENSRNOG00000047092	Rattus_norvegicus
MGP_SPRETEiJ_P0053522	MGP_SPRETEiJ_G0024410	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000001510	ENSMSIG00000001466	Mus_spicilegus
ENSMUSP00000149751	ENSMUSG00000111869	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0051477	MGP_CAROLIEiJ_G0023494	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0062487	MGP_PahariEiJ_G0024949	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000041913	ENSRNOG00000046228	Rattus_norvegicus
ENSNGAP00000013483	ENSNGAG00000015049	Nannospalax_galili
ENSJJAP00000002925	ENSJJAG00000005426	Jaculus_jaculus
ENSNGAP00000013024	ENSNGAG00000014733	Nannospalax_galili
ENSNGAP00000021481	ENSNGAG00000020653	Nannospalax_galili
ENSNGAP00000015663	ENSNGAG00000016631	Nannospalax_galili
ENSJJAP00000003861	ENSJJAG00000007756	Jaculus_jaculus
ENSCGRP00001012057	ENSCGRG00001013564	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000026170	ENSCGRG00000019219	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015000679	ENSCGRG00015000671	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000021216	ENSMAUG00000019019	Mesocricetus_auratus
ENSMOCP00000002121	ENSMOCG00000001660	Microtus_ochrogaster
MGP_SPRETEiJ_P0053530	MGP_SPRETEiJ_G0024417	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000149648	ENSMUSG00000111021	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000001465	ENSMSIG00000001432	Mus_spicilegus
MGP_CAROLIEiJ_P0051481	MGP_CAROLIEiJ_G0023497	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0062491	MGP_PahariEiJ_G0024952	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000069479	ENSRNOG00000048499	Rattus_norvegicus
ENSMUGP00000001911	ENSMUGG00000001805	Meriones_unguiculatus
ENSCCNP00000014029	ENSCCNG00000014537	Castor_canadensis
ENSCGRP00000026176	ENSCGRG00000019226	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015000697	ENSCGRG00015000673	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001012376	ENSCGRG00001013808	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000004938	ENSMAUG00000006683	Mesocricetus_auratus
ENSPEMP00000033309	ENSPEMG00000030522	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0053528	MGP_SPRETEiJ_G0024416	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000001472	ENSMSIG00000001441	Mus_spicilegus
ENSMUSP00000150542	ENSMUSG00000049315	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0051479	MGP_CAROLIEiJ_G0023496	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0062489	MGP_PahariEiJ_G0024951	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000010341	ENSRNOG00000048611	Rattus_norvegicus
ENSMUGP00000001922	ENSMUGG00000001807	Meriones_unguiculatus
ENSJJAP00000002506	ENSJJAG00000004355	Jaculus_jaculus
ENSCGRP00000007806	ENSCGRG00000005694	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015000770	ENSCGRG00015000709	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001004462	ENSCGRG00001005684	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000017710	ENSMAUG00000016503	Mesocricetus_auratus
ENSMOCP00000024705	ENSMOCG00000021040	Microtus_ochrogaster
ENSMOCP00000010261	ENSMOCG00000010474	Microtus_ochrogaster
ENSCCNP00000014041	ENSCCNG00000014546	Castor_canadensis
ENSCCNP00000001359	ENSCCNG00000001503	Castor_canadensis
ENSCCNP00000018529	ENSCCNG00000018773	Castor_canadensis
ENSCCNP00000006893	ENSCCNG00000007382	Castor_canadensis
ENSCCNP00000014024	ENSCCNG00000014535	Castor_canadensis
ENSCCNP00000014069	ENSCCNG00000014574	Castor_canadensis
ENSCCNP00000006819	ENSCCNG00000007278	Castor_canadensis
ENSOCUP00000035050	ENSOCUG00000031591	Oryctolagus_cuniculus
ENSLAFP00000026754	ENSLAFG00000031101	Loxodonta_africana
ENSLAFP00000018923	ENSLAFG00000028182	Loxodonta_africana
ENSLAFP00000016244	ENSLAFG00000029566	Loxodonta_africana
ENSPCAP00000012633	ENSPCAG00000013577	Procavia_capensis
ENSPCAP00000003205	ENSPCAG00000003463	Procavia_capensis
ENSLAFP00000023649	ENSLAFG00000029638	Loxodonta_africana
ENSLAFP00000010366	ENSLAFG00000012402	Loxodonta_africana
ENSLAFP00000011733	ENSLAFG00000030320	Loxodonta_africana
ENSPCAP00000015616	ENSPCAG00000016726	Procavia_capensis
ENSCHOP00000012410	ENSCHOG00000014001	Choloepus_hoffmanni
ENSCHOP00000005948	ENSCHOG00000006722	Choloepus_hoffmanni
