ENSANAP00000014684	ENSANAG00000025205	Aotus_nancymaae
ENSORLP00020006301	ENSORLG00020007158	Oryzias_latipes_ASM223471v1
ENSACIP00000009860	ENSACIG00000007706	Amphilophus_citrinellus
ENSECAP00000044624	ENSECAG00000024965	Equus_caballus
ENSONIP00000014056	ENSONIG00000011165	Oreochromis_niloticus
ENSSDAP00000003386	ENSSDAG00000003219	Spermophilus_dauricus
ENSOCUP00000032789	ENSOCUG00000005814	Oryctolagus_cuniculus
ENSPVIP00000032435	ENSPVIG00000023761	Pogona_vitticeps
ENSGGOP00000011605	ENSGGOG00000011897	Gorilla_gorilla
ENSIPUP00000021563	ENSIPUG00000014580	Ictalurus_punctatus
ENSTRUP00000016856	ENSTRUG00000006869	Takifugu_rubripes
ENSSDUP00000002415	ENSSDUG00000001827	Seriola_dumerili
ENSJHYP00000002311	ENSJHYG00000001964	Junco_hyemalis
ENSDARP00000090845	ENSDARG00000063570	Danio_rerio
ENSPTRP00000023923	ENSPTRG00000013901	Pan_troglodytes
ENSMUNP00000010721	ENSMUNG00000008453	Melopsittacus_undulatus
ENSFCAP00000042790	ENSFCAG00000024560	Felis_catus
ENSMPUP00000008392	ENSMPUG00000008456	Mustela_putorius_furo
ENSCCNP00000016560	ENSCCNG00000016820	Castor_canadensis
ENSCPGP00000017713	ENSCPGG00000012415	Calidris_pygmaea
ENSAHAP00000012686	ENSAHAG00000009146	Apteryx_haastii
ENSABRP00000008308	ENSABRG00000007369	Anser_brachyrhynchus
ENSPTIP00000019192	ENSPTIG00000017042	Panthera_tigris_altaica
ENSAMXP00005019134	ENSAMXG00005009453	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSETEP00000004961	ENSETEG00000006110	Echinops_telfairi
ENSSMAP00000014702	ENSSMAG00000008975	Scophthalmus_maximus
ENSOPRP00000000893	ENSOPRG00000000970	Ochotona_princeps
ENSCSEP00000024999	ENSCSEG00000015961	Cynoglossus_semilaevis
ENSMEUP00000007874	ENSMEUG00000008615	Notamacropus_eugenii	ENSMEUT00000008641
ENSPPAP00000018796	ENSPPAG00000032422	Pan_paniscus
ENSPSMP00000015045	ENSPSMG00000010616	Prolemur_simus
ENSPCOP00000014893	ENSPCOG00000019153	Propithecus_coquereli
ENSCGRP00001000639	ENSCGRG00001000504	Cricetulus_griseus_CHOK1GS_HDv1
ENSPMAP00000008573	ENSPMAG00000007793	Petromyzon_marinus
ENSMFAP00000021612	ENSMFAG00000035589	Macaca_fascicularis
ENSARWP00000018981	ENSARWG00000013041	Apteryx_rowi
ENSCCEP00000018789	ENSCCEG00000017182	Cyanistes_caeruleus
ENSSSCP00000043824	ENSSSCG00000030480	Sus_scrofa_strain_reference
ENSGWIP00000040108	ENSGWIG00000020215	Gouania_willdenowi
ENSCSAP00000004740	ENSCSAG00000008483	Chlorocebus_sabaeus
ENSBMUP00000008694	ENSBMUG00000006697	Bos_mutus
ENSPTEP00000002154	ENSPTEG00000002363	Piliocolobus_tephrosceles
ENSHHUP00000059116	ENSHHUG00000035085	Hucho_hucho
ENSMUGP00000006241	ENSMUGG00000005767	Meriones_unguiculatus
ENSCABP00000029037	ENSCABG00000021301	Chelonoidis_abingdonii
ENSODEP00000015887	ENSODEG00000011707	Octodon_degus
ENSHHUP00000072541	ENSHHUG00000042582	Hucho_hucho
ENSFHEP00000024097	ENSFHEG00000005499	Fundulus_heteroclitus
ENSACLP00000014289	ENSACLG00000009745	Astatotilapia_calliptera
ENSELUP00000039437	ENSELUG00000019596	Esox_lucius
ENSEASP00005008443	ENSEASG00005006080	Equus_asinus_asinus
ENSEEEP00000008215	ENSEEEG00000004282	Electrophorus_electricus
ENSMICP00000020198	ENSMICG00000010871	Microcebus_murinus
ENSPEMP00000019304	ENSPEMG00000017620	Peromyscus_maniculatus_bairdii
ENSEBUP00000002213	ENSEBUG00000001742	Eptatretus_burgeri	ENSEBUT00000002562
ENSKMAP00000026903	ENSKMAG00000019933	Kryptolebias_marmoratus
ENSMMOP00000018505	ENSMMOG00000014011	Mola_mola
ENSMVIP00005021250	ENSMVIG00005014948	Manacus_vitellinus
ENSDNVP00000013738	ENSDNVG00000009690	Dromaius_novaehollandiae
ENSCJPP00005008878	ENSCJPG00005007871	Coturnix_japonica
ENSFDAP00000004599	ENSFDAG00000013789	Fukomys_damarensis
ENSSMRP00000029948	ENSSMRG00000023000	Salvator_merianae
ENSLACP00000022045	ENSLACG00000008606	Latimeria_chalumnae
ENSMAMP00000024678	ENSMAMG00000016573	Mastacembelus_armatus
ENSBIXP00005012021	ENSBIXG00005016433	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSOARP00000015423	ENSOARG00000014368	Ovis_aries
ENSMODP00000043063	ENSMODG00000020982	Monodelphis_domestica	ENSMODT00000068868
ENSNPEP00000017808	ENSNPEG00000013256	Nothoprocta_perdicaria
MGP_PahariEiJ_P0029810	MGP_PahariEiJ_G0016697	Mus_pahari_strain_PAHARI_EIJ
ENSMLUP00000001319	ENSMLUG00000001435	Myotis_lucifugus
ENSLCOP00000008702	ENSLCOG00000006349	Lepidothrix_coronata
ENSOGAP00000010062	ENSOGAG00000011236	Otolemur_garnettii
ENSAMXP00000009094	ENSAMXG00000008849	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSNLEP00000024760	ENSNLEG00000004733	Nomascus_leucogenys
ENSVURP00010006575	ENSVURG00010005101	Vombatus_ursinus	ENSVURT00010007432
ENSSPAP00000005956	ENSSPAG00000004605	Stegastes_partitus
ENSVVUP00000035269	ENSVVUG00000025378	Vulpes_vulpes
ENSRROP00000003471	ENSRROG00000013490	Rhinopithecus_roxellana
ENSPRNP00000018954	ENSPRNG00000009803	Parambassis_ranga
ENSPMEP00000034578	ENSPMEG00000023950	Poecilia_mexicana
ENSLCRP00005044066	ENSLCRG00005016805	Larimichthys_crocea
ENSMOCP00000024825	ENSMOCG00000021125	Microtus_ochrogaster
ENSXCOP00000014070	ENSXCOG00000010651	Xiphophorus_couchianus
ENSAMXP00000002994	ENSAMXG00000002931	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCAFP00020031242	ENSCAFG00020024369	Canis_lupus_dingo
ENSAPEP00000008270	ENSAPEG00000005935	Amphiprion_percula
ENSCPUP00000018073	ENSCPUG00000012453	Calidris_pugnax
ENSBTAP00000058678	ENSBTAG00000001771	Bos_taurus
ENSAMEP00000019263	ENSAMEG00000018223	Ailuropoda_melanoleuca
ENSIPUP00000012356	ENSIPUG00000008410	Ictalurus_punctatus
ENSUAMP00000002238	ENSUAMG00000002066	Ursus_americanus
ENSLBEP00000031953	ENSLBEG00000024100	Labrus_bergylta
ENSSTOP00000014458	ENSSTOG00000016151	Ictidomys_tridecemlineatus
ENSAPOP00000028559	ENSAPOG00000013865	Acanthochromis_polyacanthus
ENSOMEP00000025328	ENSOMEG00000006496	Oryzias_melastigma
ENSHHUP00000052596	ENSHHUG00000031598	Hucho_hucho
ENSLCAP00010050177	ENSLCAG00010023327	Lates_calcarifer
ENSTTRP00000001327	ENSTTRG00000001410	Tursiops_truncatus
ENSGMOP00000010973	ENSGMOG00000010249	Gadus_morhua
ENSMSIP00000012079	ENSMSIG00000010496	Mus_spicilegus
ENSORLP00000038746	ENSORLG00000005417	Oryzias_latipes_ASM223467v1
ENSPVAP00000016033	ENSPVAG00000016997	Pteropus_vampyrus
ENSCPBP00000016852	ENSCPBG00000012395	Chrysemys_picta_bellii
ENSHGLP00000006829	ENSHGLG00000004983	Heterocephalus_glaber_HetGla_female_1.0
ENSMLEP00000030466	ENSMLEG00000039346	Mandrillus_leucophaeus
ENSLSDP00000011266	ENSLSDG00000008264	Lonchura_striata_domestica
ENSCVAP00000006002	ENSCVAG00000007522	Cyprinodon_variegatus
ENSGACP00000013799	ENSGACG00000010440	Gasterosteus_aculeatus
ENSSFOP00015020641	ENSSFOG00015013261	Scleropages_formosus
ENSGAGP00000025892	ENSGAGG00000018907	Gopherus_agassizii
ENSHCOP00000001488	ENSHCOG00000002462	Hippocampus_comes
MGP_CAROLIEiJ_P0042452	MGP_CAROLIEiJ_G0020992	Mus_caroli_strain_CAROLI_EIJ
ENSXMAP00000036476	ENSXMAG00000001707	Xiphophorus_maculatus
ENSBBBP00000022957	ENSBBBG00000008301	Bison_bison_bison
ENSAPLP00000011470	ENSAPLG00000011621	Anas_platyrhynchos_platyrhynchos
ENSSHAP00000014149	ENSSHAG00000012093	Sarcophilus_harrisii	ENSSHAT00000014266
ENSJJAP00000022979	ENSJJAG00000022874	Jaculus_jaculus
ENSPFOP00000009354	ENSPFOG00000009262	Poecilia_formosa
ENSMNEP00000006443	ENSMNEG00000027229	Macaca_nemestrina
ENSATEP00000028651	ENSATEG00000019767	Anabas_testudineus
ENSORLP00015010860	ENSORLG00015000345	Oryzias_latipes_ASM223469v1
ENSTGUP00000005131	ENSTGUG00000004960	Taeniopygia_guttata
ENSNGAP00000013675	ENSNGAG00000015173	Nannospalax_galili
ENSSBOP00000031026	ENSSBOG00000031681	Saimiri_boliviensis_boliviensis
ENSPNAP00000004239	ENSPNAG00000010708	Pygocentrus_nattereri
ENSGAFP00000020520	ENSGAFG00000013853	Gambusia_affinis
ENSSLDP00000017180	ENSSLDG00000013570	Seriola_lalandi_dorsalis
ENSPPRP00000014444	ENSPPRG00000007385	Panthera_pardus
ENSMALP00000017701	ENSMALG00000012320	Monopterus_albus
ENSACAP00000008956	ENSACAG00000009116	Anolis_carolinensis
ENSAOWP00000027006	ENSAOWG00000018204	Apteryx_owenii
ENSDARP00000054415	ENSDARG00000023814	Danio_rerio
ENSNMEP00000014266	ENSNMEG00000012838	Numida_meleagris
ENSDCDP00000024955	ENSDCDG00000018807	Denticeps_clupeoides
ENSCJAP00000073512	ENSCJAG00000002609	Callithrix_jacchus
ENSUMAP00000000163	ENSUMAG00000000314	Ursus_maritimus
ENSMAUP00000020373	ENSMAUG00000018415	Mesocricetus_auratus
ENSCAPP00000000481	ENSCAPG00000000366	Cavia_aperea
ENSPKIP00000037095	ENSPKIG00000015403	Paramormyrops_kingsleyae
ENSTNIP00000008640	ENSTNIG00000005913	Tetraodon_nigroviridis
ENSPPYP00000012738	ENSPPYG00000011412	Pongo_abelii
ENSEEEP00000025935	ENSEEEG00000012449	Electrophorus_electricus
ENSUPAP00010025523	ENSUPAG00010020176	Urocitellus_parryii
ENSPANP00000012982	ENSPANG00000009693	Papio_anubis
ENSHGLP00100021003	ENSHGLG00100015475	Heterocephalus_glaber_HetGla_1.0
ENSPCAP00000010452	ENSPCAG00000011190	Procavia_capensis
ENSTBEP00000006701	ENSTBEG00000007735	Tupaia_belangeri
ENSMUGP00000006210	ENSMUGG00000005676	Meriones_unguiculatus
ENSAMXP00005023126	ENSAMXG00005011621	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSRNOP00000042446	ENSRNOG00000001662	Rattus_norvegicus
ENSMUSP00000113660	ENSMUSG00000022897	Mus_musculus_strain_reference_(CL57BL6)
ENSCGRP00000005391	ENSCGRG00000003945	Cricetulus_griseus_CriGri_1.0
ENSNVIP00000021125	ENSNVIG00000016237	Neovison_vison
ENSTGEP00000030534	ENSTGEG00000024443	Theropithecus_gelada
ENSELUP00000034835	ENSELUG00000013555	Esox_lucius
ENSMZEP00005006011	ENSMZEG00005004603	Maylandia_zebra
ENSPNYP00000019091	ENSPNYG00000014417	Pundamilia_nyererei
ENSPCIP00000029977	ENSPCIG00000022327	Phascolarctos_cinereus	ENSPCIT00000036906
ENSSDAP00000008716	ENSSDAG00000007913	Spermophilus_dauricus
ENSCMIP00000005925	ENSCMIG00000003327	Callorhinchus_milii
ENSCHOP00000002082	ENSCHOG00000002353	Choloepus_hoffmanni
ENSXETP00000036669	ENSXETG00000013334	Xenopus_tropicalis
