ENSJJAP00000001895	ENSJJAG00000002851	Jaculus_jaculus
ENSGALP00000040889	ENSGALG00000027428	Gallus_gallus
ENSOCUP00000008929	ENSOCUG00000010367	Oryctolagus_cuniculus
ENSPKIP00000012266	ENSPKIG00000000118	Paramormyrops_kingsleyae
ENSCHOP00000007698	ENSCHOG00000008702	Choloepus_hoffmanni
ENSCATP00000038285	ENSCATG00000041835	Cercocebus_atys
ENSBSLP00000000236	ENSBSLG00000000111	Betta_splendens	ENSBSLT00000000249
ENSAMXP00005042172	ENSAMXG00005019706	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMUSP00000030110	ENSMUSG00000028403	Mus_musculus_strain_reference_(CL57BL6)
ENSUPAP00010024484	ENSUPAG00010019414	Urocitellus_parryii
ENSCCEP00000013016	ENSCCEG00000012503	Cyanistes_caeruleus
ENSPMEP00000024901	ENSPMEG00000000691	Poecilia_mexicana
ENSTNIP00000009990	ENSTNIG00000007188	Tetraodon_nigroviridis	ENSTNIT00000010169
ENSRBIP00000034050	ENSRBIG00000040746	Rhinopithecus_bieti
ENSDORP00000018273	ENSDORG00000026832	Dipodomys_ordii
ENSMEUP00000001179	ENSMEUG00000001285	Notamacropus_eugenii
ENSDCDP00000050302	ENSDCDG00000030694	Denticeps_clupeoides
ENSOPRP00000005762	ENSOPRG00000006287	Ochotona_princeps
ENSMODP00000018749	ENSMODG00000014993	Monodelphis_domestica
ENSHGLP00100006010	ENSHGLG00100004527	Heterocephalus_glaber_HetGla_1.0
ENSPREP00000029263	ENSPREG00000019810	Poecilia_reticulata
ENSXETP00000044105	ENSXETG00000018736	Xenopus_tropicalis
ENSOARP00000014907	ENSOARG00000013900	Ovis_aries
ENSBIXP00005018788	ENSBIXG00005022088	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000031612	ENSBMUG00000023580	Bos_mutus
ENSBIXP00000037727	ENSBIXG00000021361	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPVIP00000028836	ENSPVIG00000021317	Pogona_vitticeps
ENSBBBP00000010484	ENSBBBG00000018604	Bison_bison_bison
ENSECRP00000016714	ENSECRG00000011106	Erpetoichthys_calabaricus
ENSORLP00000043559	ENSORLG00000005132	Oryzias_latipes_ASM223467v1
ENSHHUP00000015742	ENSHHUG00000009813	Hucho_hucho
ENSACLP00000033389	ENSACLG00000022617	Astatotilapia_calliptera
ENSZALP00000013072	ENSZALG00000010914	Zonotrichia_albicollis
ENSFDAP00000017390	ENSFDAG00000005961	Fukomys_damarensis
ENSATEP00000023040	ENSATEG00000015967	Anabas_testudineus
ENSKMAP00000006140	ENSKMAG00000004659	Kryptolebias_marmoratus
ENSMNEP00000020133	ENSMNEG00000033895	Macaca_nemestrina
ENSXMAP00000008546	ENSXMAG00000008523	Xiphophorus_maculatus
ENSMMOP00000015476	ENSMMOG00000011801	Mola_mola	ENSMMOT00000015729
ENSAMEP00000001975	ENSAMEG00000001866	Ailuropoda_melanoleuca
ENSMMMP00000008197	ENSMMMG00000007346	Marmota_marmota_marmota
ENSCCAP00000038264	ENSCCAG00000036977	Cebus_capucinus_imitator
ENSSLDP00000007371	ENSSLDG00000005836	Seriola_lalandi_dorsalis
ENSEEUP00000001745	ENSEEUG00000001916	Erinaceus_europaeus
ENSETEP00000012865	ENSETEG00000015862	Echinops_telfairi
ENSSARP00000009435	ENSSARG00000010438	Sorex_araneus
ENSCPOP00000027090	ENSCPOG00000032754	Cavia_porcellus
ENSODEP00000020324	ENSODEG00000014991	Octodon_degus
ENSPTIP00000015702	ENSPTIG00000014725	Panthera_tigris_altaica
ENSLCAP00010036749	ENSLCAG00010017209	Lates_calcarifer
ENSFCAP00000026868	ENSFCAG00000006708	Felis_catus
ENSMAUP00000000608	ENSMAUG00000000495	Mesocricetus_auratus
ENSCANP00000030279	ENSCANG00000038807	Colobus_angolensis_palliatus
ENSGGOP00000027251	ENSGGOG00000022090	Gorilla_gorilla
ENSAHAP00000004170	ENSAHAG00000003269	Apteryx_haastii
ENSCPRP00005001815	ENSCPRG00005001339	Crocodylus_porosus
ENSP00000370303	ENSG00000175893	Homo_sapiens
ENSMFAP00000038190	ENSMFAG00000038466	Macaca_fascicularis
ENSCHIP00000024104	ENSCHIG00000021429	Capra_hircus
ENSSHAP00000020185	ENSSHAG00000017121	Sarcophilus_harrisii
ENSCPBP00000036508	ENSCPBG00000025350	Chrysemys_picta_bellii
ENSGAGP00000008461	ENSGAGG00000006724	Gopherus_agassizii
ENSCJPP00005008497	ENSCJPG00005007576	Coturnix_japonica
ENSUAMP00000029658	ENSUAMG00000022830	Ursus_americanus
ENSGACP00000026002	ENSGACG00000019672	Gasterosteus_aculeatus	ENSGACT00000026053
ENSCGRP00001015197	ENSCGRG00001015866	Cricetulus_griseus_CHOK1GS_HDv1
MGP_CAROLIEiJ_P0062776	MGP_CAROLIEiJ_G0026119	Mus_caroli_strain_CAROLI_EIJ
ENSLOCP00000013935	ENSLOCG00000011340	Lepisosteus_oculatus
ENSMGAP00000018796	ENSMGAG00000016461	Meleagris_gallopavo
ENSSBOP00000029488	ENSSBOG00000031063	Saimiri_boliviensis_boliviensis
ENSHHUP00000054355	ENSHHUG00000032610	Hucho_hucho
ENSHGLP00100012771	ENSHGLG00100009453	Heterocephalus_glaber_HetGla_1.0
ENSMICP00000049115	ENSMICG00000035489	Microcebus_murinus
ENSOMEP00000006260	ENSOMEG00000000948	Oryzias_melastigma
ENSCABP00000027809	ENSCABG00000020450	Chelonoidis_abingdonii
ENSHCOP00000022945	ENSHCOG00000011062	Hippocampus_comes
ENSHBUP00000032664	ENSHBUG00000019087	Haplochromis_burtoni
ENSPNAP00000011082	ENSPNAG00000016716	Pygocentrus_nattereri
ENSXCOP00000006375	ENSXCOG00000004932	Xiphophorus_couchianus
ENSMUNP00000017611	ENSMUNG00000013525	Melopsittacus_undulatus
ENSCLAP00000014008	ENSCLAG00000009678	Chinchilla_lanigera
ENSTBEP00000008530	ENSTBEG00000009856	Tupaia_belangeri
ENSPCIP00000001613	ENSPCIG00000001282	Phascolarctos_cinereus
ENSPFOP00000000065	ENSPFOG00000000070	Poecilia_formosa
ENSCGOP00000028925	ENSCGOG00000013541	Cottoperca_gobio
ENSMLEP00000022532	ENSMLEG00000035467	Mandrillus_leucophaeus
ENSLAFP00000007511	ENSLAFG00000008950	Loxodonta_africana
ENSACAP00000017518	ENSACAG00000017794	Anolis_carolinensis
ENSIPUP00000028394	ENSIPUG00000019216	Ictalurus_punctatus
ENSCVAP00000013180	ENSCVAG00000015652	Cyprinodon_variegatus
MGP_SPRETEiJ_P0065251	MGP_SPRETEiJ_G0027084	Mus_spretus_strain_SPRET/EiJ
ENSPLAP00000009604	ENSPLAG00000012396	Poecilia_latipinna
ENSLCOP00000015959	ENSLCOG00000011396	Lepidothrix_coronata
ENSELUP00000015667	ENSELUG00000015599	Esox_lucius
ENSPMGP00000024517	ENSPMGG00000019836	Periophthalmus_magnuspinnatus
ENSCPUP00000027539	ENSCPUG00000018542	Calidris_pugnax
ENSMZEP00005003134	ENSMZEG00005002434	Maylandia_zebra
ENSTTRP00000007602	ENSTTRG00000008034	Tursiops_truncatus
ENSMUGP00000010721	ENSMUGG00000009428	Meriones_unguiculatus
ENSPVAP00000013418	ENSPVAG00000014238	Pteropus_vampyrus
ENSCMIP00000041919	ENSCMIG00000017451	Callorhinchus_milii
ENSTGEP00000019247	ENSTGEG00000015484	Theropithecus_gelada
ENSDARP00000148543	ENSDARG00000110709	Danio_rerio
ENSAPLP00000031385	ENSAPLG00000013190	Anas_platyrhynchos_platyrhynchos
ENSNGAP00000022982	ENSNGAG00000021676	Nannospalax_galili
ENSNSUP00000028225	ENSNSUG00000020111	Notechis_scutatus
ENSAMXP00000007499	ENSAMXG00000007300	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSRNOP00000072168	ENSRNOG00000010484	Rattus_norvegicus
ENSLCRP00005029498	ENSLCRG00005011700	Larimichthys_crocea
ENSCJAP00000057749	ENSCJAG00000041430	Callithrix_jacchus
ENSCAFP00020015323	ENSCAFG00020012310	Canis_lupus_dingo
ENSMAMP00000009146	ENSMAMG00000006171	Mastacembelus_armatus	ENSMAMT00000009386
ENSMOCP00000016412	ENSMOCG00000015320	Microtus_ochrogaster
ENSVPAP00000005392	ENSVPAG00000005809	Vicugna_pacos
ENSOGAP00000010618	ENSOGAG00000011869	Otolemur_garnettii
ENSCGRP00015013847	ENSCGRG00015010621	Cricetulus_griseus_CriGri-PICR
ENSEASP00005028432	ENSEASG00005019341	Equus_asinus_asinus
ENSSFOP00015001723	ENSSFOG00015001172	Scleropages_formosus
ENSTSYP00000006210	ENSTSYG00000006767	Carlito_syrichta
ENSDNVP00000006824	ENSDNVG00000004893	Dromaius_novaehollandiae
ENSPPYP00000021521	ENSPPYG00000019213	Pongo_abelii
ENSORLP00015010348	ENSORLG00015011168	Oryzias_latipes_ASM223469v1
ENSPPRP00000015653	ENSPPRG00000008191	Panthera_pardus
ENSSPAP00000025062	ENSSPAG00000018939	Stegastes_partitus
ENSPANP00000019212	ENSPANG00000025202	Papio_anubis
ENSBTAP00000064041	ENSBTAG00000006197	Bos_taurus
ENSNMEP00000010871	ENSNMEG00000010252	Numida_meleagris
ENSPCOP00000008701	ENSPCOG00000015647	Propithecus_coquereli
ENSMLUP00000015110	ENSMLUG00000016581	Myotis_lucifugus
ENSVURP00010005900	ENSVURG00010004573	Vombatus_ursinus
ENSEEEP00000039151	ENSEEEG00000018602	Electrophorus_electricus
ENSNLEP00000021386	ENSNLEG00000017622	Nomascus_leucogenys
ENSDNOP00000010913	ENSDNOG00000014053	Dasypus_novemcinctus
ENSPSMP00000024843	ENSPSMG00000017500	Prolemur_simus
ENSHGLP00100013147	ENSHGLG00100009733	Heterocephalus_glaber_HetGla_1.0
ENSMPUP00000004085	ENSMPUG00000004119	Mustela_putorius_furo
ENSMSIP00000027191	ENSMSIG00000022950	Mus_spicilegus
ENSCGRP00000012009	ENSCGRG00000008742	Cricetulus_griseus_CriGri_1.0
ENSCPGP00000018588	ENSCPGG00000012992	Calidris_pygmaea
