ENSTBEP00000007272	ENSTBEG00000008369	Tupaia_belangeri
ENSATEP00000021961	ENSATEG00000015193	Anabas_testudineus
ENSBSLP00000056186	ENSBSLG00000026217	Betta_splendens
ENSCGOP00000022191	ENSCGOG00000010619	Cottoperca_gobio
ENSAPOP00000016492	ENSAPOG00000019653	Acanthochromis_polyacanthus
ENSSLDP00000000554	ENSSLDG00000000529	Seriola_lalandi_dorsalis
ENSLCAP00010035838	ENSLCAG00010016753	Lates_calcarifer
ENSPRNP00000053468	ENSPRNG00000025188	Parambassis_ranga
ENSTRUP00000044767	ENSTRUG00000017461	Takifugu_rubripes
ENSTNIP00000020083	ENSTNIG00000016961	Tetraodon_nigroviridis
ENSLBEP00000022097	ENSLBEG00000016933	Labrus_bergylta
ENSLCRP00005054523	ENSLCRG00005020375	Larimichthys_crocea
ENSMMOP00000000562	ENSMMOG00000000478	Mola_mola
ENSACLP00000012368	ENSACLG00000008429	Astatotilapia_calliptera
ENSMZEP00005005870	ENSMZEG00005004514	Maylandia_zebra
ENSHBUP00000017844	ENSHBUG00000019959	Haplochromis_burtoni
ENSPNYP00000011475	ENSPNYG00000008651	Pundamilia_nyererei
ENSNBRP00000014156	ENSNBRG00000010922	Neolamprologus_brichardi
ENSONIP00000010799	ENSONIG00000008590	Oreochromis_niloticus
ENSACIP00000026134	ENSACIG00000020221	Amphilophus_citrinellus
ENSSMAP00000025224	ENSSMAG00000015360	Scophthalmus_maximus
ENSHCOP00000003979	ENSHCOG00000005374	Hippocampus_comes
ENSAPOP00000002057	ENSAPOG00000003421	Acanthochromis_polyacanthus
ENSCVAP00000001766	ENSCVAG00000002791	Cyprinodon_variegatus
ENSGACP00000005854	ENSGACG00000004421	Gasterosteus_aculeatus
ENSSDUP00000000665	ENSSDUG00000000510	Seriola_dumerili
ENSMAMP00000009568	ENSMAMG00000006431	Mastacembelus_armatus
ENSMALP00000014227	ENSMALG00000009966	Monopterus_albus
ENSCHAP00000057076	ENSCHAG00000025788	Clupea_harengus
ENSPKIP00000006284	ENSPKIG00000022607	Paramormyrops_kingsleyae
ENSSFOP00015002919	ENSSFOG00015001871	Scleropages_formosus
ENSLOCP00000008390	ENSLOCG00000006915	Lepisosteus_oculatus
ENSECRP00000010636	ENSECRG00000007074	Erpetoichthys_calabaricus
ENSCMIP00000030794	ENSCMIG00000013236	Callorhinchus_milii
