ENSCAFP00020017750	ENSCAFG00020014211	Canis_lupus_dingo
ENSLSDP00000010736	ENSLSDG00000007901	Lonchura_striata_domestica
ENSAMXP00005049799	ENSAMXG00005022653	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSNBRP00000031216	ENSNBRG00000023715	Neolamprologus_brichardi
ENSHCOP00000017542	ENSHCOG00000001438	Hippocampus_comes
ENSMZEP00005003771	ENSMZEG00005002919	Maylandia_zebra
ENSRNOP00000066517	ENSRNOG00000048986	Rattus_norvegicus
ENSPTIP00000003441	ENSPTIG00000006210	Panthera_tigris_altaica
ENSPKIP00000006248	ENSPKIG00000022610	Paramormyrops_kingsleyae
ENSABRP00000004493	ENSABRG00000004160	Anser_brachyrhynchus
ENSPTRP00000083982	ENSPTRG00000051974	Pan_troglodytes
ENSMVIP00005008107	ENSMVIG00005006089	Manacus_vitellinus
ENSPRNP00000040056	ENSPRNG00000019694	Parambassis_ranga
ENSAPEP00000023888	ENSAPEG00000017002	Amphiprion_percula
ENSCCAP00000038217	ENSCCAG00000036950	Cebus_capucinus_imitator
ENSTGEP00000006346	ENSTGEG00000005212	Theropithecus_gelada
ENSECRP00000031641	ENSECRG00000021428	Erpetoichthys_calabaricus
ENSRBIP00000023931	ENSRBIG00000035877	Rhinopithecus_bieti
ENSBTAP00000073393	ENSBTAG00000049435	Bos_taurus
ENSPPRP00000019331	ENSPPRG00000010724	Panthera_pardus
ENSACIP00000018992	ENSACIG00000014806	Amphilophus_citrinellus
ENSUPAP00010025876	ENSUPAG00010020464	Urocitellus_parryii
ENSLCRP00005048530	ENSLCRG00005018333	Larimichthys_crocea
ENSNVIP00000006591	ENSNVIG00000005229	Neovison_vison
ENSCABP00000019606	ENSCABG00000014480	Chelonoidis_abingdonii
ENSELUP00000005378	ENSELUG00000006400	Esox_lucius
ENSSMAP00000030994	ENSSMAG00000019000	Scophthalmus_maximus
ENSCLAP00000016677	ENSCLAG00000011453	Chinchilla_lanigera
ENSLBEP00000027905	ENSLBEG00000021163	Labrus_bergylta
ENSPLAP00000023706	ENSPLAG00000009271	Poecilia_latipinna	ENSPLAT00000005265
ENSPNYP00000022755	ENSPNYG00000017185	Pundamilia_nyererei
ENSBIXP00000008496	ENSBIXG00000001690	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCPUP00000002394	ENSCPUG00000001831	Calidris_pugnax
ENSDORP00000019066	ENSDORG00000025085	Dipodomys_ordii
ENSHHUP00000058365	ENSHHUG00000034729	Hucho_hucho
ENSTSYP00000029720	ENSTSYG00000031153	Carlito_syrichta
ENSCHAP00000006683	ENSCHAG00000004185	Clupea_harengus
ENSCPRP00005013330	ENSCPRG00005009424	Crocodylus_porosus
ENSLCOP00000001421	ENSLCOG00000001165	Lepidothrix_coronata
ENSPFOP00000024649	ENSPFOG00000024700	Poecilia_formosa	ENSPFOT00000026862
ENSODEP00000014270	ENSODEG00000010554	Octodon_degus
ENSPMGP00000015960	ENSPMGG00000013094	Periophthalmus_magnuspinnatus
ENSCCNP00000013236	ENSCCNG00000013766	Castor_canadensis
ENSPNAP00000023679	ENSPNAG00000000777	Pygocentrus_nattereri
MGP_CAROLIEiJ_P0033265	MGP_CAROLIEiJ_G0018087	Mus_caroli_strain_CAROLI_EIJ
ENSPSMP00000034804	ENSPSMG00000023976	Prolemur_simus
ENSBSLP00000050212	ENSBSLG00000023850	Betta_splendens
ENSPVIP00000024524	ENSPVIG00000018460	Pogona_vitticeps
ENSORLP00000037913	ENSORLG00000026449	Oryzias_latipes_ASM223467v1
ENSCGRP00001011783	ENSCGRG00001013348	Cricetulus_griseus_CHOK1GS_HDv1
ENSLBEP00000005586	ENSLBEG00000004292	Labrus_bergylta
ENSNPEP00000010859	ENSNPEG00000008155	Nothoprocta_perdicaria
ENSCGRP00000002291	ENSCGRG00000001685	Cricetulus_griseus_CriGri_1.0
ENSAPOP00000021611	ENSAPOG00000002278	Acanthochromis_polyacanthus
ENSMALP00000020812	ENSMALG00000014560	Monopterus_albus
ENSGAGP00000002867	ENSGAGG00000002289	Gopherus_agassizii
ENSUMAP00000003285	ENSUMAG00000002799	Ursus_maritimus
ENSXCOP00000004933	ENSXCOG00000003872	Xiphophorus_couchianus	ENSXCOT00000004993
ENSBBBP00000015069	ENSBBBG00000022846	Bison_bison_bison
ENSLOCP00000021803	ENSLOCG00000017698	Lepisosteus_oculatus
ENSCJPP00005002321	ENSCJPG00005002517	Coturnix_japonica
ENSSSCP00000055685	ENSSSCG00000033807	Sus_scrofa_strain_reference
ENSMUNP00000001263	ENSMUNG00000001087	Melopsittacus_undulatus
ENSSBOP00000037636	ENSSBOG00000034913	Saimiri_boliviensis_boliviensis
ENSCANP00000008875	ENSCANG00000027852	Colobus_angolensis_palliatus
ENSAPEP00000023579	ENSAPEG00000016779	Amphiprion_percula
ENSIPUP00000023205	ENSIPUG00000015723	Ictalurus_punctatus
ENSPTEP00000006925	ENSPTEG00000007906	Piliocolobus_tephrosceles
ENSP00000490925	ENSG00000227051	Homo_sapiens
ENSMOCP00000024488	ENSMOCG00000020897	Microtus_ochrogaster
ENSNMEP00000011526	ENSNMEG00000010840	Numida_meleagris
ENSPPAP00000008095	ENSPPAG00000027291	Pan_paniscus
ENSCCEP00000019400	ENSCCEG00000017617	Cyanistes_caeruleus
ENSSDUP00000021395	ENSSDUG00000015564	Seriola_dumerili
ENSBSLP00000021090	ENSBSLG00000010903	Betta_splendens
ENSOARP00000014849	ENSOARG00000013848	Ovis_aries
ENSUAMP00000025507	ENSUAMG00000019854	Ursus_americanus
ENSATEP00000016239	ENSATEG00000011303	Anabas_testudineus
ENSCPBP00000034555	ENSCPBG00000024110	Chrysemys_picta_bellii
ENSORLP00020032659	ENSORLG00020018303	Oryzias_latipes_ASM223471v1
ENSECAP00000047098	ENSECAG00000032720	Equus_caballus
ENSMAMP00000006757	ENSMAMG00000004602	Mastacembelus_armatus
ENSCGRP00015016054	ENSCGRG00015012358	Cricetulus_griseus_CriGri-PICR
ENSELUP00000008440	ENSELUG00000009077	Esox_lucius
ENSMMOP00000013035	ENSMMOG00000010013	Mola_mola
ENSVURP00010002871	ENSVURG00010002349	Vombatus_ursinus
ENSMMUP00000069568	ENSMMUG00000050264	Macaca_mulatta
ENSHHUP00000004509	ENSHHUG00000002821	Hucho_hucho
ENSAOWP00000020462	ENSAOWG00000013848	Apteryx_owenii
ENSHGLP00100027579	ENSHGLG00100020682	Heterocephalus_glaber_HetGla_1.0
ENSMICP00000042652	ENSMICG00000043493	Microcebus_murinus
ENSCSEP00000007363	ENSCSEG00000004749	Cynoglossus_semilaevis
ENSNSUP00000012400	ENSNSUG00000009295	Notechis_scutatus
ENSMALP00000027091	ENSMALG00000018804	Monopterus_albus
ENSMODP00000042824	ENSMODG00000037225	Monodelphis_domestica
ENSACLP00000020783	ENSACLG00000014131	Astatotilapia_calliptera
ENSCGOP00000008289	ENSCGOG00000004280	Cottoperca_gobio
ENSSPAP00000018920	ENSSPAG00000014274	Stegastes_partitus
ENSPMEP00000026431	ENSPMEG00000010116	Poecilia_mexicana	ENSPMET00000002574
ENSBIXP00005013371	ENSBIXG00005017498	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSRROP00000043825	ENSRROG00000044926	Rhinopithecus_roxellana
ENSPREP00000007237	ENSPREG00000004982	Poecilia_reticulata	ENSPRET00000007328
ENSNGAP00000024855	ENSNGAG00000022985	Nannospalax_galili
ENSEEEP00000022054	ENSEEEG00000010715	Electrophorus_electricus
ENSVVUP00000025846	ENSVVUG00000018978	Vulpes_vulpes
ENSMUSP00000137376	ENSMUSG00000094910	Mus_musculus_strain_reference_(CL57BL6)
ENSSPAP00000023611	ENSSPAG00000017826	Stegastes_partitus
ENSCGOP00000012996	ENSCGOG00000006381	Cottoperca_gobio
ENSZALP00000003974	ENSZALG00000003823	Zonotrichia_albicollis
ENSXMAP00000021615	ENSXMAG00000025983	Xiphophorus_maculatus	ENSXMAT00000030555
ENSSDAP00000004566	ENSSDAG00000004309	Spermophilus_dauricus
ENSPCOP00000004008	ENSPCOG00000011932	Propithecus_coquereli
ENSCPOP00000021612	ENSCPOG00000032202	Cavia_porcellus
ENSHBUP00000007547	ENSHBUG00000009031	Haplochromis_burtoni
ENSAOCP00000017309	ENSAOCG00000022340	Amphiprion_ocellaris
ENSMLEP00000007739	ENSMLEG00000027977	Mandrillus_leucophaeus
ENSMFAP00000043687	ENSMFAG00000039251	Macaca_fascicularis
ENSPNAP00000035830	ENSPNAG00000026111	Pygocentrus_nattereri
ENSGALP00000047774	ENSGALG00000038596	Gallus_gallus
ENSSLDP00000009354	ENSSLDG00000007441	Seriola_lalandi_dorsalis
ENSCHAP00000007270	ENSCHAG00000004508	Clupea_harengus
ENSHHUP00000044615	ENSHHUG00000027294	Hucho_hucho
ENSMNEP00000029725	ENSMNEG00000038344	Macaca_nemestrina
ENSAOCP00000028424	ENSAOCG00000018017	Amphiprion_ocellaris
ENSMMMP00000001868	ENSMMMG00000001717	Marmota_marmota_marmota
ENSARWP00000025365	ENSARWG00000017239	Apteryx_rowi
ENSGWIP00000046003	ENSGWIG00000022744	Gouania_willdenowi
ENSSMRP00000017735	ENSSMRG00000013837	Salvator_merianae
ENSDNOP00000030291	ENSDNOG00000031530	Dasypus_novemcinctus
ENSCVAP00000015193	ENSCVAG00000017951	Cyprinodon_variegatus	ENSCVAT00000023219
ENSDARP00000144590	ENSDARG00000108781	Danio_rerio
ENSXETP00000047893	ENSXETG00000017260	Xenopus_tropicalis
ENSOMEP00000030484	ENSOMEG00000014754	Oryzias_melastigma
ENSMAUP00000023945	ENSMAUG00000020955	Mesocricetus_auratus
ENSSCAP00000009809	ENSSCAG00000007464	Serinus_canaria
ENSEEEP00000019433	ENSEEEG00000009523	Electrophorus_electricus
ENSMAMP00000009136	ENSMAMG00000006172	Mastacembelus_armatus
ENSPMJP00000022951	ENSPMJG00000016976	Parus_major
ENSJJAP00000019824	ENSJJAG00000020680	Jaculus_jaculus
ENSCAFP00000062541	ENSCAFG00000041052	Canis_lupus_familiaris
