ENSLCRP00005004804	ENSLCRG00005002464	Larimichthys_crocea
ENSOCUP00000004196	ENSOCUG00000004854	Oryctolagus_cuniculus
ENSGWIP00000003560	ENSGWIG00000001933	Gouania_willdenowi
ENSPLAP00000005530	ENSPLAG00000007460	Poecilia_latipinna
ENSHCOP00000017485	ENSHCOG00000001339	Hippocampus_comes
ENSJJAP00000004139	ENSJJAG00000008474	Jaculus_jaculus
ENSCHIP00000004725	ENSCHIG00000008783	Capra_hircus
ENSSDUP00000009554	ENSSDUG00000007027	Seriola_dumerili
ENSSMRP00000028616	ENSSMRG00000021988	Salvator_merianae
ENSHHUP00000054144	ENSHHUG00000032491	Hucho_hucho
ENSCANP00000038491	ENSCANG00000042922	Colobus_angolensis_palliatus
ENSUPAP00010007576	ENSUPAG00010006070	Urocitellus_parryii
ENSFCAP00000008367	ENSFCAG00000009026	Felis_catus
ENSEEEP00000050853	ENSEEEG00000023885	Electrophorus_electricus
ENSP00000295321	ENSG00000163166	Homo_sapiens
ENSCLAP00000011924	ENSCLAG00000008232	Chinchilla_lanigera
ENSPNAP00000012805	ENSPNAG00000006726	Pygocentrus_nattereri
ENSECAP00000052560	ENSECAG00000009694	Equus_caballus
ENSCPRP00005012143	ENSCPRG00005008651	Crocodylus_porosus
ENSCSEP00000024192	ENSCSEG00000015437	Cynoglossus_semilaevis
ENSCAFP00020004286	ENSCAFG00020003538	Canis_lupus_dingo
ENSIPUP00000001835	ENSIPUG00000001268	Ictalurus_punctatus
ENSPMAP00000009066	ENSPMAG00000008232	Petromyzon_marinus
ENSODEP00000008660	ENSODEG00000006476	Octodon_degus
ENSLOCP00000011030	ENSLOCG00000009046	Lepisosteus_oculatus
ENSACAP00000005556	ENSACAG00000005666	Anolis_carolinensis
MGP_CAROLIEiJ_P0046229	MGP_CAROLIEiJ_G0022072	Mus_caroli_strain_CAROLI_EIJ
ENSPEMP00000006853	ENSPEMG00000008952	Peromyscus_maniculatus_bairdii
ENSPRNP00000015261	ENSPRNG00000008220	Parambassis_ranga
ENSPSIP00000003255	ENSPSIG00000003117	Pelodiscus_sinensis
ENSCPOP00000019409	ENSCPOG00000009405	Cavia_porcellus
ENSEEUP00000012272	ENSEEUG00000013432	Erinaceus_europaeus
ENSAOWP00000017135	ENSAOWG00000011620	Apteryx_owenii
ENSLAFP00000026041	ENSLAFG00000013300	Loxodonta_africana
ENSHHUP00000072229	ENSHHUG00000042411	Hucho_hucho
ENSONIP00000001480	ENSONIG00000001171	Oreochromis_niloticus
ENSCHOP00000009436	ENSCHOG00000010650	Choloepus_hoffmanni
ENSUMAP00000011080	ENSUMAG00000008344	Ursus_maritimus	ENSUMAT00000013189
ENSLSDP00000008204	ENSLSDG00000006137	Lonchura_striata_domestica
ENSMODP00000052050	ENSMODG00000018680	Monodelphis_domestica	ENSMODT00000075858
ENSMMOP00000012223	ENSMMOG00000009396	Mola_mola
ENSARWP00000003418	ENSARWG00000002472	Apteryx_rowi
ENSOGAP00000018411	ENSOGAG00000028228	Otolemur_garnettii
ENSVPAP00000005438	ENSVPAG00000005855	Vicugna_pacos
ENSHGLP00000006817	ENSHGLG00000004975	Heterocephalus_glaber_HetGla_female_1.0
ENSNLEP00000019157	ENSNLEG00000015759	Nomascus_leucogenys
ENSPTEP00000021399	ENSPTEG00000022454	Piliocolobus_tephrosceles
ENSDNVP00000026671	ENSDNVG00000018551	Dromaius_novaehollandiae
ENSGAGP00000001564	ENSGAGG00000001253	Gopherus_agassizii
ENSACIP00000001442	ENSACIG00000001130	Amphilophus_citrinellus
ENSECRP00000012040	ENSECRG00000008035	Erpetoichthys_calabaricus
ENSSLDP00000001403	ENSSLDG00000001129	Seriola_lalandi_dorsalis
ENSOANP00000010373	ENSOANG00000006498	Ornithorhynchus_anatinus
ENSMMUP00000078007	ENSMMUG00000002799	Macaca_mulatta
ENSCJPP00005020201	ENSCJPG00005016256	Coturnix_japonica
ENSMUNP00000018788	ENSMUNG00000014204	Melopsittacus_undulatus
ENSPFOP00000009779	ENSPFOG00000009680	Poecilia_formosa
ENSSARP00000013179	ENSSARG00000014563	Sorex_araneus
ENSCGRP00000014734	ENSCGRG00000010668	Cricetulus_griseus_CriGri_1.0
MGP_SPRETEiJ_P0048155	MGP_SPRETEiJ_G0022984	Mus_spretus_strain_SPRET/EiJ
ENSGACP00000006432	ENSGACG00000004866	Gasterosteus_aculeatus
ENSMOCP00000024242	ENSMOCG00000020733	Microtus_ochrogaster
ENSCCNP00000008566	ENSCCNG00000008524	Castor_canadensis
ENSELUP00000030381	ENSELUG00000007529	Esox_lucius
ENSCCAP00000031466	ENSCCAG00000033787	Cebus_capucinus_imitator
ENSACLP00000017394	ENSACLG00000011845	Astatotilapia_calliptera
ENSUAMP00000004261	ENSUAMG00000003913	Ursus_americanus	ENSUAMT00000004861
ENSCPGP00000015006	ENSCPGG00000010598	Calidris_pygmaea
ENSPPYP00000023972	ENSPPYG00000012766	Pongo_abelii
ENSPANP00000007417	ENSPANG00000022871	Papio_anubis
ENSMUSP00000025243	ENSMUSG00000024384	Mus_musculus_strain_reference_(CL57BL6)
ENSCAFP00000006679	ENSCAFG00000004475	Canis_lupus_familiaris
ENSCVAP00000026811	ENSCVAG00000012658	Cyprinodon_variegatus
ENSSCAP00000003772	ENSSCAG00000003130	Serinus_canaria
ENSMNEP00000012675	ENSMNEG00000030610	Macaca_nemestrina
ENSOMEP00000017430	ENSOMEG00000019102	Oryzias_melastigma
ENSPKIP00000003408	ENSPKIG00000020922	Paramormyrops_kingsleyae
ENSAMXP00000031355	ENSAMXG00000008615	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSBIXP00005005518	ENSBIXG00005011195	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPPRP00000003184	ENSPPRG00000022934	Panthera_pardus
ENSMMMP00000023472	ENSMMMG00000020542	Marmota_marmota_marmota
ENSCATP00000019175	ENSCATG00000033363	Cercocebus_atys
ENSHGLP00100020124	ENSHGLG00100014832	Heterocephalus_glaber_HetGla_1.0
ENSSPUP00000019118	ENSSPUG00000014729	Sphenodon_punctatus
ENSPMEP00000001787	ENSPMEG00000000542	Poecilia_mexicana
ENSORLP00000025259	ENSORLG00000020380	Oryzias_latipes_ASM223467v1
ENSLCOP00000010484	ENSLCOG00000007620	Lepidothrix_coronata
ENSFDAP00000018486	ENSFDAG00000009801	Fukomys_damarensis
ENSCVAP00000032595	ENSCVAG00000022725	Cyprinodon_variegatus
ENSVVUP00000014195	ENSVVUG00000010361	Vulpes_vulpes
ENSTGUP00000007750	ENSTGUG00000007520	Taeniopygia_guttata
ENSOARP00000017283	ENSOARG00000016097	Ovis_aries
ENSCGRP00001006896	ENSCGRG00001009366	Cricetulus_griseus_CHOK1GS_HDv1
ENSGALP00000002782	ENSGALG00000001803	Gallus_gallus
ENSSTOP00000026867	ENSSTOG00000028209	Ictidomys_tridecemlineatus
ENSPREP00000010918	ENSPREG00000007446	Poecilia_reticulata
ENSFALP00000014168	ENSFALG00000013574	Ficedula_albicollis
ENSPMJP00000023150	ENSPMJG00000017115	Parus_major
ENSGAFP00000027570	ENSGAFG00000018630	Gambusia_affinis
ENSRBIP00000014588	ENSRBIG00000031394	Rhinopithecus_bieti
ENSNGAP00000012603	ENSNGAG00000014415	Nannospalax_galili
ENSMLUP00000015475	ENSMLUG00000016970	Myotis_lucifugus	ENSMLUT00000016977
ENSDARP00000111339	ENSDARG00000087950	Danio_rerio
ENSCGRP00015031740	ENSCGRG00015023941	Cricetulus_griseus_CriGri-PICR
ENSAPEP00000028597	ENSAPEG00000020316	Amphiprion_percula
ENSCCEP00000021846	ENSCCEG00000019420	Cyanistes_caeruleus
ENSMALP00000025196	ENSMALG00000017540	Monopterus_albus
ENSEASP00005010148	ENSEASG00005007152	Equus_asinus_asinus
ENSNBRP00000007086	ENSNBRG00000005520	Neolamprologus_brichardi
ENSSPAP00000012406	ENSSPAG00000009424	Stegastes_partitus
ENSCHAP00000053194	ENSCHAG00000024200	Clupea_harengus
ENSTGEP00000036426	ENSTGEG00000028988	Theropithecus_gelada
ENSMAMP00000029039	ENSMAMG00000019510	Mastacembelus_armatus
ENSJHYP00000021728	ENSJHYG00000016440	Junco_hyemalis
ENSMPUP00000016593	ENSMPUG00000016696	Mustela_putorius_furo
ENSPVIP00000032715	ENSPVIG00000023957	Pogona_vitticeps
ENSCJAP00000019572	ENSCJAG00000010560	Callithrix_jacchus
ENSGMOP00000018094	ENSGMOG00000016841	Gadus_morhua
ENSCPUP00000028003	ENSCPUG00000018848	Calidris_pugnax
ENSPPAP00000037175	ENSPPAG00000041331	Pan_paniscus
ENSCPBP00000025681	ENSCPBG00000018237	Chrysemys_picta_bellii
ENSDORP00000023895	ENSDORG00000007385	Dipodomys_ordii
ENSMZEP00005033133	ENSMZEG00005024715	Maylandia_zebra
ENSCSAP00000012894	ENSCSAG00000016842	Chlorocebus_sabaeus
ENSMGAP00000000962	ENSMGAG00000001476	Meleagris_gallopavo
ENSRROP00000008470	ENSRROG00000028692	Rhinopithecus_roxellana
ENSTSYP00000003706	ENSTSYG00000004051	Carlito_syrichta
ENSTBEP00000003994	ENSTBEG00000004628	Tupaia_belangeri
ENSRNOP00000069847	ENSRNOG00000014630	Rattus_norvegicus
ENSABRP00000003039	ENSABRG00000002925	Anser_brachyrhynchus
ENSPCIP00000054780	ENSPCIG00000023323	Phascolarctos_cinereus	ENSPCIT00000068009
ENSMUGP00000013117	ENSMUGG00000011353	Meriones_unguiculatus
ENSBSLP00000021258	ENSBSLG00000010570	Betta_splendens
ENSAPOP00000014289	ENSAPOG00000017153	Acanthochromis_polyacanthus
ENSMLEP00000011504	ENSMLEG00000029866	Mandrillus_leucophaeus
ENSANAP00000033905	ENSANAG00000034571	Aotus_nancymaae
ENSCMIP00000023808	ENSCMIG00000010599	Callorhinchus_milii
ENSMICP00000030922	ENSMICG00000009948	Microcebus_murinus
ENSPCOP00000028148	ENSPCOG00000026661	Propithecus_coquereli
ENSPNYP00000011048	ENSPNYG00000008367	Pundamilia_nyererei
ENSBTAP00000028213	ENSBTAG00000021172	Bos_taurus
ENSFHEP00000033827	ENSFHEG00000021220	Fundulus_heteroclitus
ENSBIXP00000025929	ENSBIXG00000028028	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSTTRP00000010983	ENSTTRG00000011578	Tursiops_truncatus
ENSLACP00000017266	ENSLACG00000015209	Latimeria_chalumnae
ENSSSCP00000072145	ENSSSCG00000035410	Sus_scrofa_strain_reference
ENSPCAP00000011917	ENSPCAG00000012760	Procavia_capensis
ENSATEP00000002278	ENSATEG00000001632	Anabas_testudineus
ENSGGOP00000010154	ENSGGOG00000010404	Gorilla_gorilla
ENSAHAP00000023541	ENSAHAG00000016241	Apteryx_haastii
ENSAMEP00000012556	ENSAMEG00000011927	Ailuropoda_melanoleuca	ENSAMET00000013090
ENSMAUP00000025625	ENSMAUG00000022095	Mesocricetus_auratus
ENSZALP00000013706	ENSZALG00000011416	Zonotrichia_albicollis
ENSBMUP00000030803	ENSBMUG00000023014	Bos_mutus
ENSMVIP00005021748	ENSMVIG00005015209	Manacus_vitellinus
ENSBBBP00000026427	ENSBBBG00000022260	Bison_bison_bison
ENSPVAP00000011178	ENSPVAG00000011861	Pteropus_vampyrus	ENSPVAT00000011860
ENSCAPP00000009906	ENSCAPG00000011281	Cavia_aperea
ENSXMAP00000014822	ENSXMAG00000014786	Xiphophorus_maculatus
ENSAOCP00000015574	ENSAOCG00000020355	Amphiprion_ocellaris
ENSXCOP00000017389	ENSXCOG00000013108	Xiphophorus_couchianus
ENSETEP00000014154	ENSETEG00000017432	Echinops_telfairi
ENSPRNP00000015213	ENSPRNG00000008200	Parambassis_ranga
ENSMEUP00000013082	ENSMEUG00000014323	Notamacropus_eugenii	ENSMEUT00000014372
