ENSGWIP00000029931	ENSGWIG00000015610	Gouania_willdenowi
ENSONIP00000021479	ENSONIG00000017030	Oreochromis_niloticus
ENSACIP00000000037	ENSACIG00000000030	Amphilophus_citrinellus
ENSSLDP00000011762	ENSSLDG00000009378	Seriola_lalandi_dorsalis
ENSSLDP00000014415	ENSSLDG00000011526	Seriola_lalandi_dorsalis
ENSSDUP00000030000	ENSSDUG00000021613	Seriola_dumerili
ENSLCAP00010043578	ENSLCAG00010020286	Lates_calcarifer
ENSLBEP00000013850	ENSLBEG00000010736	Labrus_bergylta
ENSCGOP00000008102	ENSCGOG00000004173	Cottoperca_gobio
ENSLCRP00005029558	ENSLCRG00005011754	Larimichthys_crocea
ENSMMOP00000016233	ENSMMOG00000012390	Mola_mola
ENSTRUP00000054504	ENSTRUG00000022384	Takifugu_rubripes
ENSMALP00000032523	ENSMALG00000022400	Monopterus_albus
ENSMAMP00000035974	ENSMAMG00000024152	Mastacembelus_armatus
ENSATEP00000024721	ENSATEG00000017173	Anabas_testudineus
ENSBSLP00000033443	ENSBSLG00000016268	Betta_splendens
ENSTNIP00000015561	ENSTNIG00000012590	Tetraodon_nigroviridis
ENSPMGP00000005277	ENSPMGG00000004439	Periophthalmus_magnuspinnatus
ENSGMOP00000010324	ENSGMOG00000009666	Gadus_morhua
ENSHHUP00000052393	ENSHHUG00000031515	Hucho_hucho
ENSELUP00000014856	ENSELUG00000014868	Esox_lucius
ENSCHAP00000048836	ENSCHAG00000022481	Clupea_harengus	ENSCHAT00000052752
ENSDCDP00000040412	ENSDCDG00000026590	Denticeps_clupeoides	ENSDCDT00000051330
ENSEEEP00000013537	ENSEEEG00000006766	Electrophorus_electricus
ENSIPUP00000003213	ENSIPUG00000002282	Ictalurus_punctatus
ENSPNAP00000033927	ENSPNAG00000022886	Pygocentrus_nattereri	ENSPNAT00000038246
ENSPNAP00000020174	ENSPNAG00000026950	Pygocentrus_nattereri	ENSPNAT00000030558
ENSAMXP00005040139	ENSAMXG00005018889	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSDARP00000037635	ENSDARG00000023309	Danio_rerio
ENSSFOP00015028349	ENSSFOG00015018199	Scleropages_formosus
ENSPKIP00000022187	ENSPKIG00000006304	Paramormyrops_kingsleyae
ENSLOCP00000005881	ENSLOCG00000004897	Lepisosteus_oculatus
ENSECRP00000023294	ENSECRG00000015784	Erpetoichthys_calabaricus
ENSGAGP00000000424	ENSGAGG00000000356	Gopherus_agassizii
ENSCABP00000007762	ENSCABG00000005856	Chelonoidis_abingdonii
ENSCPBP00000019665	ENSCPBG00000014175	Chrysemys_picta_bellii
ENSPSIP00000000828	ENSPSIG00000000828	Pelodiscus_sinensis
ENSCPRP00005008032	ENSCPRG00005005725	Crocodylus_porosus
ENSPVIP00000019626	ENSPVIG00000014961	Pogona_vitticeps
ENSACAP00000020841	ENSACAG00000016562	Anolis_carolinensis
ENSNSUP00000002642	ENSNSUG00000002185	Notechis_scutatus
ENSSMRP00000015665	ENSSMRG00000012186	Salvator_merianae
ENSSPUP00000006141	ENSSPUG00000004737	Sphenodon_punctatus
ENSOARP00000009423	ENSOARG00000008779	Ovis_aries
ENSCHIP00000023726	ENSCHIG00000021196	Capra_hircus
ENSBIXP00000014915	ENSBIXG00000006949	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005009410	ENSBIXG00005001889	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000062505	ENSBTAG00000009281	Bos_taurus
ENSBMUP00000024278	ENSBMUG00000018242	Bos_mutus
ENSBBBP00000019834	ENSBBBG00000002703	Bison_bison_bison
ENSSARP00000006578	ENSSARG00000007264	Sorex_araneus
ENSPVAP00000007187	ENSPVAG00000007613	Pteropus_vampyrus
ENSMLUP00000006246	ENSMLUG00000006850	Myotis_lucifugus
ENSEEUP00000006842	ENSEEUG00000007542	Erinaceus_europaeus
ENSTTRP00000006788	ENSTTRG00000007174	Tursiops_truncatus
ENSSSCP00000020796	ENSSSCG00000028066	Sus_scrofa_strain_reference
ENSUAMP00000028140	ENSUAMG00000021746	Ursus_americanus
ENSUMAP00000023764	ENSUMAG00000017278	Ursus_maritimus
ENSAMEP00000004225	ENSAMEG00000004011	Ailuropoda_melanoleuca
ENSNVIP00000000386	ENSNVIG00000000358	Neovison_vison
ENSMPUP00000001475	ENSMPUG00000001489	Mustela_putorius_furo
ENSCAFP00020031719	ENSCAFG00020024734	Canis_lupus_dingo
ENSCAFP00000000192	ENSCAFG00000000130	Canis_lupus_familiaris
ENSVVUP00000029457	ENSVVUG00000021557	Vulpes_vulpes
ENSPTIP00000019759	ENSPTIG00000017452	Panthera_tigris_altaica
ENSPPRP00000016875	ENSPPRG00000009022	Panthera_pardus
ENSFCAP00000020250	ENSFCAG00000023005	Felis_catus
ENSECAP00000006825	ENSECAG00000008889	Equus_caballus
ENSEASP00005007944	ENSEASG00005005770	Equus_asinus_asinus
ENSSBOP00000026637	ENSSBOG00000029755	Saimiri_boliviensis_boliviensis
ENSCCAP00000020379	ENSCCAG00000028028	Cebus_capucinus_imitator
ENSCJAP00000064661	ENSCJAG00000039389	Callithrix_jacchus
ENSANAP00000037556	ENSANAG00000036275	Aotus_nancymaae
ENSMMUP00000075518	ENSMMUG00000053986	Macaca_mulatta
ENSMNEP00000030272	ENSMNEG00000038600	Macaca_nemestrina
ENSMFAP00000033976	ENSMFAG00000003483	Macaca_fascicularis
ENSCATP00000005149	ENSCATG00000017241	Cercocebus_atys
ENSMLEP00000002227	ENSMLEG00000008953	Mandrillus_leucophaeus
ENSPANP00000012259	ENSPANG00000010685	Papio_anubis
ENSTGEP00000017614	ENSTGEG00000014249	Theropithecus_gelada
ENSCSAP00000001399	ENSCSAG00000005075	Chlorocebus_sabaeus
ENSRBIP00000029146	ENSRBIG00000038455	Rhinopithecus_bieti
ENSRROP00000042470	ENSRROG00000044380	Rhinopithecus_roxellana
ENSCANP00000030958	ENSCANG00000039143	Colobus_angolensis_palliatus
ENSPTEP00000033055	ENSPTEG00000031654	Piliocolobus_tephrosceles
ENSPTRP00000008678	ENSPTRG00000005100	Pan_troglodytes
ENSPPAP00000008592	ENSPPAG00000027537	Pan_paniscus
ENSGGOP00000016167	ENSGGOG00000016575	Gorilla_gorilla
ENSP00000338034	ENSG00000176422	Homo_sapiens
ENSPPYP00000005313	ENSPPYG00000004663	Pongo_abelii
ENSNLEP00000021221	ENSNLEG00000017482	Nomascus_leucogenys
ENSTSYP00000032054	ENSTSYG00000035448	Carlito_syrichta
ENSPSMP00000034414	ENSPSMG00000023714	Prolemur_simus
ENSMICP00000048189	ENSMICG00000042006	Microcebus_murinus
ENSPCOP00000007937	ENSPCOG00000015229	Propithecus_coquereli
ENSOGAP00000004812	ENSOGAG00000005380	Otolemur_garnettii
ENSTBEP00000007148	ENSTBEG00000008263	Tupaia_belangeri
ENSCCNP00000020319	ENSCCNG00000020303	Castor_canadensis
ENSDORP00000018294	ENSDORG00000029899	Dipodomys_ordii
ENSMSIP00000008447	ENSMSIG00000007508	Mus_spicilegus
ENSMUSP00000054731	ENSMUSG00000051346	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0026402	MGP_SPRETEiJ_G0016748	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0025115	MGP_CAROLIEiJ_G0015923	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0087552	MGP_PahariEiJ_G0031161	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000004173	ENSRNOG00000003127	Rattus_norvegicus
ENSMUGP00000009006	ENSMUGG00000008072	Meriones_unguiculatus
ENSMOCP00000025823	ENSMOCG00000021819	Microtus_ochrogaster
ENSPEMP00000030622	ENSPEMG00000029549	Peromyscus_maniculatus_bairdii
ENSCGRP00001016176	ENSCGRG00001016587	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015037894	ENSCGRG00015028354	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000024632	ENSCGRG00000017857	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000020308	ENSMAUG00000018363	Mesocricetus_auratus
ENSNGAP00000009966	ENSNGAG00000012514	Nannospalax_galili
ENSJJAP00000006406	ENSJJAG00000011088	Jaculus_jaculus
ENSSTOP00000022744	ENSSTOG00000024949	Ictidomys_tridecemlineatus
ENSSDAP00000005700	ENSSDAG00000005326	Spermophilus_dauricus
ENSUPAP00010020295	ENSUPAG00010016065	Urocitellus_parryii
ENSMMMP00000015030	ENSMMMG00000013401	Marmota_marmota_marmota
ENSCAPP00000002241	ENSCAPG00000004984	Cavia_aperea
ENSCPOP00000002135	ENSCPOG00000002349	Cavia_porcellus
ENSODEP00000008390	ENSODEG00000006258	Octodon_degus
ENSCLAP00000019008	ENSCLAG00000013017	Chinchilla_lanigera
ENSHGLP00100023674	ENSHGLG00100017396	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000023486	ENSHGLG00000016750	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000003068	ENSFDAG00000012598	Fukomys_damarensis
ENSOCUP00000006730	ENSOCUG00000007787	Oryctolagus_cuniculus
ENSOPRP00000001489	ENSOPRG00000001631	Ochotona_princeps
ENSDNOP00000008651	ENSDNOG00000011157	Dasypus_novemcinctus
ENSDNOP00000018145	ENSDNOG00000032929	Dasypus_novemcinctus
ENSCHOP00000009838	ENSCHOG00000011130	Choloepus_hoffmanni
ENSLAFP00000001867	ENSLAFG00000002235	Loxodonta_africana
ENSPCAP00000005295	ENSPCAG00000005757	Procavia_capensis
ENSETEP00000013876	ENSETEG00000017100	Echinops_telfairi
ENSETEP00000000354	ENSETEG00000000448	Echinops_telfairi
ENSPCIP00000033181	ENSPCIG00000024636	Phascolarctos_cinereus
ENSVURP00010030931	ENSVURG00010023655	Vombatus_ursinus
ENSMEUP00000001100	ENSMEUG00000001209	Notamacropus_eugenii
ENSSHAP00000003890	ENSSHAG00000003426	Sarcophilus_harrisii
ENSMODP00000026444	ENSMODG00000021155	Monodelphis_domestica
ENSOANP00000023044	ENSOANG00000014627	Ornithorhynchus_anatinus
ENSXETP00000053973	ENSXETG00000020962	Xenopus_tropicalis
ENSLACP00000021642	ENSLACG00000019015	Latimeria_chalumnae
ENSCMIP00000028103	ENSCMIG00000012219	Callorhinchus_milii
