ENSMOCP00000024539	ENSMOCG00000020929	Microtus_ochrogaster
ENSPMGP00000019433	ENSPMGG00000015773	Periophthalmus_magnuspinnatus
ENSPMGP00000024153	ENSPMGG00000019533	Periophthalmus_magnuspinnatus
ENSTRUP00000025089	ENSTRUG00000009971	Takifugu_rubripes
ENSTNIP00000022619	ENSTNIG00000019413	Tetraodon_nigroviridis
ENSMMOP00000018125	ENSMMOG00000013727	Mola_mola
ENSLBEP00000033957	ENSLBEG00000025558	Labrus_bergylta
ENSCGOP00000041696	ENSCGOG00000018784	Cottoperca_gobio
ENSGACP00000003370	ENSGACG00000002546	Gasterosteus_aculeatus
ENSLCRP00005002874	ENSLCRG00005000873	Larimichthys_crocea
ENSMALP00000003799	ENSMALG00000002767	Monopterus_albus
ENSMAMP00000029027	ENSMAMG00000019541	Mastacembelus_armatus
ENSATEP00000001352	ENSATEG00000000951	Anabas_testudineus
ENSBSLP00000054451	ENSBSLG00000025455	Betta_splendens
ENSSDUP00000025806	ENSSDUG00000018714	Seriola_dumerili
ENSSLDP00000032087	ENSSLDG00000024637	Seriola_lalandi_dorsalis
ENSSMAP00000004696	ENSSMAG00000002903	Scophthalmus_maximus
ENSLCAP00010045958	ENSLCAG00010021333	Lates_calcarifer
ENSAPEP00000028848	ENSAPEG00000020494	Amphiprion_percula
ENSAOCP00000023210	ENSAOCG00000009153	Amphiprion_ocellaris
ENSAPOP00000027404	ENSAPOG00000011944	Acanthochromis_polyacanthus
ENSSPAP00000020562	ENSSPAG00000015499	Stegastes_partitus
ENSPRNP00000048112	ENSPRNG00000022893	Parambassis_ranga
ENSACLP00000005968	ENSACLG00000004022	Astatotilapia_calliptera
ENSPNYP00000001709	ENSPNYG00000001381	Pundamilia_nyererei
ENSMZEP00005001891	ENSMZEG00005001530	Maylandia_zebra
ENSHBUP00000017250	ENSHBUG00000019260	Haplochromis_burtoni
ENSNBRP00000017004	ENSNBRG00000013133	Neolamprologus_brichardi
ENSONIP00000020182	ENSONIG00000016022	Oreochromis_niloticus
ENSACIP00000001119	ENSACIG00000000939	Amphilophus_citrinellus
ENSGWIP00000055485	ENSGWIG00000026363	Gouania_willdenowi
ENSXMAP00000016596	ENSXMAG00000016554	Xiphophorus_maculatus
ENSXCOP00000007227	ENSXCOG00000005587	Xiphophorus_couchianus
ENSGAFP00000015259	ENSGAFG00000010305	Gambusia_affinis
ENSPFOP00000011142	ENSPFOG00000011095	Poecilia_formosa
ENSPMEP00000003464	ENSPMEG00000004600	Poecilia_mexicana
ENSPLAP00000021844	ENSPLAG00000005918	Poecilia_latipinna
ENSPREP00000010277	ENSPREG00000006997	Poecilia_reticulata
ENSCVAP00000029259	ENSCVAG00000016925	Cyprinodon_variegatus
ENSFHEP00000027785	ENSFHEG00000011494	Fundulus_heteroclitus
ENSKMAP00000018382	ENSKMAG00000013673	Kryptolebias_marmoratus
ENSORLP00020005235	ENSORLG00020006041	Oryzias_latipes_ASM223471v1
ENSORLP00000012066	ENSORLG00000009625	Oryzias_latipes_ASM223467v1
ENSORLP00015024661	ENSORLG00015005336	Oryzias_latipes_ASM223469v1
ENSOMEP00000009828	ENSOMEG00000011081	Oryzias_melastigma
ENSCSEP00000027576	ENSCSEG00000017615	Cynoglossus_semilaevis
ENSGMOP00000017378	ENSGMOG00000016188	Gadus_morhua
ENSELUP00000015303	ENSELUG00000015274	Esox_lucius
ENSHHUP00000013880	ENSHHUG00000008565	Hucho_hucho
ENSPKIP00000017512	ENSPKIG00000003389	Paramormyrops_kingsleyae
ENSSFOP00015014001	ENSSFOG00015009016	Scleropages_formosus
ENSLOCP00000009836	ENSLOCG00000008099	Lepisosteus_oculatus
ENSECRP00000013858	ENSECRG00000009240	Erpetoichthys_calabaricus
ENSCMIP00000016081	ENSCMIG00000007767	Callorhinchus_milii
ENSEBUP00000009383	ENSEBUG00000006045	Eptatretus_burgeri
ENSCINP00000016293	ENSCING00000007957	Ciona_intestinalis
ENSCSAVP00000002244	ENSCSAVG00000001314	Ciona_savignyi
FBpp0074729	FBgn0022774	Drosophila_melanogaster
C16A3.10.2	WBGene00015814	Caenorhabditis_elegans_strain_N2
ENSPTEP00000010011	ENSPTEG00000011363	Piliocolobus_tephrosceles
YLR438W_mRNA	YLR438W	Saccharomyces_cerevisiae_strain_S288C
