MGP_SPRETEiJ_P0031197	MGP_SPRETEiJ_G0017965	Mus_spretus_strain_SPRET/EiJ
ENSJJAP00000021805	ENSJJAG00000022059	Jaculus_jaculus
ENSSDAP00000007959	ENSSDAG00000007267	Spermophilus_dauricus
ENSBMUP00000009529	ENSBMUG00000007416	Bos_mutus
ENSPPAP00000016178	ENSPPAG00000031205	Pan_paniscus
ENSPCAP00000006716	ENSPCAG00000007226	Procavia_capensis
ENSCATP00000022321	ENSCATG00000034790	Cercocebus_atys
ENSCGRP00015005711	ENSCGRG00015004451	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000010854	ENSPEMG00000011683	Peromyscus_maniculatus_bairdii
ENSOANP00000004613	ENSOANG00000002903	Ornithorhynchus_anatinus
ENSPPYP00000009491	ENSPPYG00000008445	Pongo_abelii
ENSFCAP00000050333	ENSFCAG00000046635	Felis_catus
ENSOCUP00000013404	ENSOCUG00000015603	Oryctolagus_cuniculus
ENSCPOP00000009918	ENSCPOG00000011037	Cavia_porcellus
MGP_PahariEiJ_P0036504	MGP_PahariEiJ_G0018250	Mus_pahari_strain_PAHARI_EIJ
ENSHGLP00100003357	ENSHGLG00100002558	Heterocephalus_glaber_HetGla_1.0
ENSVVUP00000033592	ENSVVUG00000024301	Vulpes_vulpes
ENSGGOP00000006372	ENSGGOG00000006511	Gorilla_gorilla
ENSLAFP00000006236	ENSLAFG00000007415	Loxodonta_africana
ENSPTIP00000008254	ENSPTIG00000009659	Panthera_tigris_altaica
ENSVPAP00000000917	ENSVPAG00000000994	Vicugna_pacos
ENSPVAP00000001547	ENSPVAG00000001642	Pteropus_vampyrus	ENSPVAT00000001641
ENSCAFP00000023553	ENSCAFG00000015997	Canis_lupus_familiaris
ENSUAMP00000015549	ENSUAMG00000012444	Ursus_americanus
ENSCLAP00000021815	ENSCLAG00000014940	Chinchilla_lanigera
ENSPCIP00000034968	ENSPCIG00000025856	Phascolarctos_cinereus
ENSCCNP00000024119	ENSCCNG00000023645	Castor_canadensis
ENSMMMP00000008012	ENSMMMG00000007173	Marmota_marmota_marmota
ENSCGRP00000005931	ENSCGRG00000004353	Cricetulus_griseus_CriGri_1.0
ENSBBBP00000028469	ENSBBBG00000025230	Bison_bison_bison
ENSNGAP00000002715	ENSNGAG00000002573	Nannospalax_galili
ENSMUSP00000073869	ENSMUSG00000059169	Mus_musculus_strain_reference_(CL57BL6)
ENSNLEP00000002851	ENSNLEG00000002340	Nomascus_leucogenys
ENSMEUP00000014575	ENSMEUG00000015958	Notamacropus_eugenii
ENSMUGP00000027124	ENSMUGG00000022583	Meriones_unguiculatus
ENSMLEP00000011091	ENSMLEG00000029742	Mandrillus_leucophaeus
ENSRNOP00000018804	ENSRNOG00000013896	Rattus_norvegicus
ENSPCOP00000012654	ENSPCOG00000017920	Propithecus_coquereli
ENSTGEP00000008991	ENSTGEG00000007402	Theropithecus_gelada
ENSCAFP00020023527	ENSCAFG00020018558	Canis_lupus_dingo
ENSOPRP00000008768	ENSOPRG00000009589	Ochotona_princeps
ENSHGLP00000020709	ENSHGLG00000014814	Heterocephalus_glaber_HetGla_female_1.0
ENSP00000366984	ENSG00000204889	Homo_sapiens
ENSNVIP00000002013	ENSNVIG00000001640	Neovison_vison
ENSRBIP00000018817	ENSRBIG00000033402	Rhinopithecus_bieti
ENSCJAP00000025215	ENSCJAG00000013706	Callithrix_jacchus
ENSMFAP00000027119	ENSMFAG00000044976	Macaca_fascicularis
MGP_CAROLIEiJ_P0029776	MGP_CAROLIEiJ_G0017121	Mus_caroli_strain_CAROLI_EIJ
ENSBIXP00000004693	ENSBIXG00000010999	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMPUP00000014466	ENSMPUG00000014577	Mustela_putorius_furo
ENSUPAP00010010609	ENSUPAG00010008559	Urocitellus_parryii
