ENSMALP00000004233	ENSMALG00000003076	Monopterus_albus
ENSCJAP00000037641	ENSCJAG00000020235	Callithrix_jacchus
ENSLCAP00010059109	ENSLCAG00010027555	Lates_calcarifer
ENSNPEP00000013805	ENSNPEG00000010315	Nothoprocta_perdicaria
MGP_PahariEiJ_P0085380	MGP_PahariEiJ_G0030494	Mus_pahari_strain_PAHARI_EIJ
ENSRBIP00000009288	ENSRBIG00000028517	Rhinopithecus_bieti
ENSETEP00000001153	ENSETEG00000001428	Echinops_telfairi
ENSMICP00000017268	ENSMICG00000003915	Microcebus_murinus
ENSCPOP00000001010	ENSCPOG00000001115	Cavia_porcellus
ENSACAP00000010799	ENSACAG00000010966	Anolis_carolinensis
ENSXETP00000041051	ENSXETG00000017059	Xenopus_tropicalis
ENSMUGP00000012070	ENSMUGG00000010513	Meriones_unguiculatus
ENSMMUP00000058135	ENSMMUG00000014445	Macaca_mulatta
ENSTSYP00000022228	ENSTSYG00000003661	Carlito_syrichta
ENSCPGP00000027568	ENSCPGG00000019008	Calidris_pygmaea
ENSPEMP00000021412	ENSPEMG00000019062	Peromyscus_maniculatus_bairdii
ENSMMOP00000002910	ENSMMOG00000002299	Mola_mola
ENSAOWP00000012695	ENSAOWG00000008645	Apteryx_owenii
ENSFHEP00000018250	ENSFHEG00000020074	Fundulus_heteroclitus
ENSSMRP00000022217	ENSSMRG00000017270	Salvator_merianae
ENSLCRP00005036258	ENSLCRG00005014134	Larimichthys_crocea
ENSUMAP00000006283	ENSUMAG00000004804	Ursus_maritimus
ENSCGRP00001019860	ENSCGRG00001019180	Cricetulus_griseus_CHOK1GS_HDv1
ENSMUSP00000022682	ENSMUSG00000022091	Mus_musculus_strain_reference_(CL57BL6)
ENSATEP00000033684	ENSATEG00000023193	Anabas_testudineus
ENSHBUP00000028587	ENSHBUG00000012434	Haplochromis_burtoni
ENSMPUP00000003581	ENSMPUG00000003610	Mustela_putorius_furo
ENSMLUP00000007216	ENSMLUG00000007889	Myotis_lucifugus
ENSLACP00000009200	ENSLACG00000008121	Latimeria_chalumnae
ENSKMAP00000007025	ENSKMAG00000005291	Kryptolebias_marmoratus
ENSOANP00000017094	ENSOANG00000010782	Ornithorhynchus_anatinus
ENSBSLP00000004989	ENSBSLG00000002712	Betta_splendens
ENSXCOP00000021251	ENSXCOG00000015901	Xiphophorus_couchianus
ENSPCAP00000006655	ENSPCAG00000007079	Procavia_capensis
ENSUPAP00010022189	ENSUPAG00010017635	Urocitellus_parryii
ENSEEEP00000014665	ENSEEEG00000007295	Electrophorus_electricus
ENSBIXP00005023840	ENSBIXG00005007094	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSVVUP00000006681	ENSVVUG00000005170	Vulpes_vulpes
ENSARWP00000016960	ENSARWG00000011701	Apteryx_rowi
MGP_SPRETEiJ_P0039019	MGP_SPRETEiJ_G0020369	Mus_spretus_strain_SPRET/EiJ
ENSMMMP00000016023	ENSMMMG00000014188	Marmota_marmota_marmota
ENSAPLP00000022750	ENSAPLG00000026511	Anas_platyrhynchos_platyrhynchos
ENSSDAP00000006235	ENSSDAG00000005695	Spermophilus_dauricus
ENSMFAP00000014703	ENSMFAG00000030516	Macaca_fascicularis
ENSFCAP00000005258	ENSFCAG00000005663	Felis_catus
MGP_CAROLIEiJ_P0037288	MGP_CAROLIEiJ_G0019477	Mus_caroli_strain_CAROLI_EIJ
ENSLBEP00000004707	ENSLBEG00000003612	Labrus_bergylta
ENSOGAP00000009464	ENSOGAG00000010567	Otolemur_garnettii
ENSLCOP00000003391	ENSLCOG00000002564	Lepidothrix_coronata
ENSP00000240123	ENSG00000120896	Homo_sapiens
ENSSMAP00000010471	ENSSMAG00000006458	Scophthalmus_maximus
ENSLCOP00000003390	ENSLCOG00000002561	Lepidothrix_coronata
ENSCVAP00000017473	ENSCVAG00000020583	Cyprinodon_variegatus
ENSXMAP00000001867	ENSXMAG00000001865	Xiphophorus_maculatus
ENSFALP00000002962	ENSFALG00000002839	Ficedula_albicollis
ENSGWIP00000052076	ENSGWIG00000025160	Gouania_willdenowi
ENSCHAP00000039126	ENSCHAG00000018358	Clupea_harengus
ENSMODP00000043378	ENSMODG00000045734	Monodelphis_domestica
ENSPMEP00000006661	ENSPMEG00000008209	Poecilia_mexicana
ENSCAFP00000065061	ENSCAFG00000042909	Canis_lupus_familiaris
ENSMZEP00005015467	ENSMZEG00005011614	Maylandia_zebra
ENSCGOP00000052543	ENSCGOG00000023132	Cottoperca_gobio
ENSMAUP00000025417	ENSMAUG00000021963	Mesocricetus_auratus
ENSELUP00000037472	ENSELUG00000017224	Esox_lucius
ENSORLP00020005003	ENSORLG00020005809	Oryzias_latipes_ASM223471v1
ENSHGLP00100025988	ENSHGLG00100019064	Heterocephalus_glaber_HetGla_1.0
ENSNGAP00000013758	ENSNGAG00000015206	Nannospalax_galili
ENSCAPP00000017933	ENSCAPG00000017476	Cavia_aperea
ENSCABP00000024174	ENSCABG00000017830	Chelonoidis_abingdonii	ENSCABT00000026487
ENSPVIP00000027153	ENSPVIG00000020193	Pogona_vitticeps
ENSECAP00000015355	ENSECAG00000017281	Equus_caballus
ENSPTIP00000005311	ENSPTIG00000007552	Panthera_tigris_altaica
ENSOPRP00000012062	ENSOPRG00000013214	Ochotona_princeps
ENSRROP00000030102	ENSRROG00000038814	Rhinopithecus_roxellana
ENSGMOP00000006563	ENSGMOG00000006171	Gadus_morhua
ENSACLP00000013902	ENSACLG00000009477	Astatotilapia_calliptera
ENSSFOP00015008634	ENSSFOG00015005650	Scleropages_formosus
ENSTGUP00000015370	ENSTGUG00000015022	Taeniopygia_guttata
ENSPANP00000004000	ENSPANG00000018889	Papio_anubis
ENSOARP00000011024	ENSOARG00000010280	Ovis_aries
ENSHCOP00000001384	ENSHCOG00000002351	Hippocampus_comes
ENSLSDP00000022169	ENSLSDG00000015661	Lonchura_striata_domestica
ENSIPUP00000014384	ENSIPUG00000009782	Ictalurus_punctatus
ENSTGEP00000000352	ENSTGEG00000000386	Theropithecus_gelada
ENSPNYP00000021326	ENSPNYG00000016117	Pundamilia_nyererei
ENSUAMP00000032632	ENSUAMG00000024870	Ursus_americanus
ENSORLP00000028390	ENSORLG00000011445	Oryzias_latipes_ASM223467v1
ENSAPOP00000009706	ENSAPOG00000012057	Acanthochromis_polyacanthus
ENSPVAP00000005846	ENSPVAG00000006182	Pteropus_vampyrus
ENSPMJP00000024130	ENSPMJG00000017754	Parus_major
ENSCSEP00000019313	ENSCSEG00000012353	Cynoglossus_semilaevis
ENSANAP00000016756	ENSANAG00000026249	Aotus_nancymaae
ENSSDUP00000028475	ENSSDUG00000020560	Seriola_dumerili
ENSMSIP00000036578	ENSMSIG00000030456	Mus_spicilegus
ENSPSIP00000020422	ENSPSIG00000018078	Pelodiscus_sinensis
ENSPKIP00000002744	ENSPKIG00000020513	Paramormyrops_kingsleyae
ENSSBOP00000009726	ENSSBOG00000021723	Saimiri_boliviensis_boliviensis
ENSVURP00010019463	ENSVURG00010014851	Vombatus_ursinus
ENSDORP00000001955	ENSDORG00000002089	Dipodomys_ordii
ENSDCDP00000009198	ENSDCDG00000004628	Denticeps_clupeoides
ENSJJAP00000020153	ENSJJAG00000020896	Jaculus_jaculus
ENSNSUP00000011643	ENSNSUG00000008767	Notechis_scutatus
ENSONIP00000014673	ENSONIG00000011654	Oreochromis_niloticus
ENSAHAP00000026839	ENSAHAG00000018698	Apteryx_haastii
ENSCATP00000028260	ENSCATG00000037430	Cercocebus_atys
ENSLOCP00000018400	ENSLOCG00000014940	Lepisosteus_oculatus
ENSSLDP00000011876	ENSSLDG00000009434	Seriola_lalandi_dorsalis
ENSPLAP00000006235	ENSPLAG00000008308	Poecilia_latipinna
ENSCLAP00000020883	ENSCLAG00000014309	Chinchilla_lanigera
ENSSTOP00000010465	ENSSTOG00000011660	Ictidomys_tridecemlineatus
ENSACAP00000018802	ENSACAG00000010958	Anolis_carolinensis
ENSSPAP00000031125	ENSSPAG00000023342	Stegastes_partitus
ENSPPAP00000017119	ENSPPAG00000031630	Pan_paniscus
ENSODEP00000009598	ENSODEG00000007179	Octodon_degus
ENSPCOP00000022780	ENSPCOG00000023510	Propithecus_coquereli
ENSCAFP00000013812	ENSCAFG00000009371	Canis_lupus_familiaris
ENSPPRP00000012691	ENSPPRG00000006181	Panthera_pardus
ENSDNVP00000011975	ENSDNVG00000008448	Dromaius_novaehollandiae
ENSGACP00000014645	ENSGACG00000011068	Gasterosteus_aculeatus
ENSCCEP00000004812	ENSCCEG00000005298	Cyanistes_caeruleus
ENSHHUP00000048471	ENSHHUG00000029374	Hucho_hucho
ENSMODP00000043734	ENSMODG00000009368	Monodelphis_domestica
ENSPPYP00000020645	ENSPPYG00000018423	Pongo_abelii
ENSABRP00000008118	ENSABRG00000007342	Anser_brachyrhynchus
ENSMNEP00000030580	ENSMNEG00000038728	Macaca_nemestrina
ENSLAFP00000015465	ENSLAFG00000018449	Loxodonta_africana
ENSCGRP00015009294	ENSCGRG00015007147	Cricetulus_griseus_CriGri-PICR
ENSAMXP00000043666	ENSAMXG00000043577	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSHGLP00000020795	ENSHGLG00000014875	Heterocephalus_glaber_HetGla_female_1.0
ENSCAFP00020016119	ENSCAFG00020012942	Canis_lupus_dingo
ENSAMXP00005043000	ENSAMXG00005020022	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSNBRP00000028616	ENSNBRG00000021787	Neolamprologus_brichardi
ENSBIXP00000041009	ENSBIXG00000025208	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPREP00000010845	ENSPREG00000007410	Poecilia_reticulata
ENSBBBP00000005564	ENSBBBG00000014322	Bison_bison_bison
ENSPCIP00000006872	ENSPCIG00000005845	Phascolarctos_cinereus
ENSPTRP00000034356	ENSPTRG00000020061	Pan_troglodytes
ENSHHUP00000018398	ENSHHUG00000011480	Hucho_hucho
ENSPMGP00000014461	ENSPMGG00000011850	Periophthalmus_magnuspinnatus
ENSSHAP00000021902	ENSSHAG00000018540	Sarcophilus_harrisii
ENSJHYP00000005554	ENSJHYG00000004525	Junco_hyemalis
ENSAMEP00000003291	ENSAMEG00000003101	Ailuropoda_melanoleuca
ENSSSCP00000010276	ENSSSCG00000009626	Sus_scrofa_strain_reference
ENSPFOP00000026870	ENSPFOG00000012453	Poecilia_formosa
ENSCPBP00000002730	ENSCPBG00000002187	Chrysemys_picta_bellii
ENSDARP00000113033	ENSDARG00000037476	Danio_rerio
ENSPTEP00000026794	ENSPTEG00000026763	Piliocolobus_tephrosceles
ENSBTAP00000066857	ENSBTAG00000014401	Bos_taurus
ENSMAMP00000013426	ENSMAMG00000009106	Mastacembelus_armatus
ENSNVIP00000030460	ENSNVIG00000023464	Neovison_vison
ENSCSAP00000012466	ENSCSAG00000016403	Chlorocebus_sabaeus
ENSEASP00005027626	ENSEASG00005018804	Equus_asinus_asinus
ENSTBEP00000015428	ENSTBEG00000017732	Tupaia_belangeri
ENSSPUP00000015908	ENSSPUG00000012270	Sphenodon_punctatus
ENSPVIP00000027152	ENSPVIG00000020192	Pogona_vitticeps
ENSSFOP00015016686	ENSSFOG00015010750	Scleropages_formosus
