ENSOANP00000021215	ENSOANG00000013440	Ornithorhynchus_anatinus
ENSUMAP00000013921	ENSUMAG00000010244	Ursus_maritimus
ENSTTRP00000003737	ENSTTRG00000003970	Tursiops_truncatus
ENSOARP00000002462	ENSOARG00000002324	Ovis_aries
ENSJJAP00000003665	ENSJJAG00000007310	Jaculus_jaculus
MGP_CAROLIEiJ_P0079175	MGP_CAROLIEiJ_G0029624	Mus_caroli_strain_CAROLI_EIJ
ENSMICP00000024393	ENSMICG00000030990	Microcebus_murinus
ENSLAFP00000021370	ENSLAFG00000031471	Loxodonta_africana
ENSBTAP00000027247	ENSBTAG00000020447	Bos_taurus
ENSRNOP00000035308	ENSRNOG00000023411	Rattus_norvegicus
ENSCHIP00000029087	ENSCHIG00000024347	Capra_hircus
ENSNLEP00000007116	ENSNLEG00000005872	Nomascus_leucogenys
ENSOGAP00000015776	ENSOGAG00000024567	Otolemur_garnettii
ENSSBOP00000003573	ENSSBOG00000017107	Saimiri_boliviensis_boliviensis
ENSPTIP00000005803	ENSPTIG00000007910	Panthera_tigris_altaica
ENSCAPP00000010235	ENSCAPG00000011535	Cavia_aperea
ENSCAFP00000004195	ENSCAFG00000023923	Canis_lupus_familiaris
ENSEEUP00000009612	ENSEEUG00000010556	Erinaceus_europaeus
ENSAMEP00000015127	ENSAMEG00000014357	Ailuropoda_melanoleuca
ENSVPAP00000003867	ENSVPAG00000004165	Vicugna_pacos
ENSCATP00000015630	ENSCATG00000031796	Cercocebus_atys
ENSSHAP00000005114	ENSSHAG00000004473	Sarcophilus_harrisii
ENSCANP00000023314	ENSCANG00000035085	Colobus_angolensis_palliatus
ENSCGRP00001010613	ENSCGRG00001012455	Cricetulus_griseus_CHOK1GS_HDv1
ENSFDAP00000004117	ENSFDAG00000013422	Fukomys_damarensis
ENSUPAP00010022414	ENSUPAG00010017786	Urocitellus_parryii
ENSRROP00000014057	ENSRROG00000031245	Rhinopithecus_roxellana
ENSMODP00000026043	ENSMODG00000020822	Monodelphis_domestica
ENSMEUP00000009565	ENSMEUG00000010481	Notamacropus_eugenii
ENSCPOP00000019686	ENSCPOG00000002074	Cavia_porcellus
ENSHGLP00000008118	ENSHGLG00000005877	Heterocephalus_glaber_HetGla_female_1.0
