ENSSHAP00000000719	ENSSHAG00000000643	Sarcophilus_harrisii
ENSPPRP00000021883	ENSPPRG00000012594	Panthera_pardus
ENSPANP00000015397	ENSPANG00000024764	Papio_anubis
ENSUMAP00000001564	ENSUMAG00000001224	Ursus_maritimus
ENSGGOP00000028723	ENSGGOG00000034995	Gorilla_gorilla
ENSMGAP00000010972	ENSMGAG00000010548	Meleagris_gallopavo
ENSCGRP00000022310	ENSCGRG00000016167	Cricetulus_griseus_CriGri_1.0
ENSPSIP00000017711	ENSPSIG00000015607	Pelodiscus_sinensis
ENSHHUP00000017125	ENSHHUG00000010673	Hucho_hucho
ENSCCNP00000012404	ENSCCNG00000012873	Castor_canadensis
ENSEEEP00000031802	ENSEEEG00000015186	Electrophorus_electricus
ENSCGRP00015026125	ENSCGRG00015019671	Cricetulus_griseus_CriGri-PICR
ENSSARP00000002571	ENSSARG00000002814	Sorex_araneus
ENSPTIP00000018581	ENSPTIG00000016641	Panthera_tigris_altaica
ENSBMUP00000015798	ENSBMUG00000011973	Bos_mutus
ENSCLAP00000009702	ENSCLAG00000006727	Chinchilla_lanigera
ENSCCNP00000015155	ENSCCNG00000015554	Castor_canadensis
ENSCPRP00005022977	ENSCPRG00005015984	Crocodylus_porosus
ENSOANP00000022387	ENSOANG00000014200	Ornithorhynchus_anatinus
ENSHGLP00100003741	ENSHGLG00100002852	Heterocephalus_glaber_HetGla_1.0
ENSMLUP00000009681	ENSMLUG00000010598	Myotis_lucifugus	ENSMLUT00000010621
ENSMUNP00000018934	ENSMUNG00000014502	Melopsittacus_undulatus
ENSCAFP00020003418	ENSCAFG00020002807	Canis_lupus_dingo
ENSDARP00000073251	ENSDARG00000056339	Danio_rerio
ENSMUGP00000002136	ENSMUGG00000001998	Meriones_unguiculatus
ENSSDAP00000009204	ENSSDAG00000008109	Spermophilus_dauricus
ENSCPGP00000002827	ENSCPGG00000002076	Calidris_pygmaea
ENSSBOP00000034728	ENSSBOG00000033536	Saimiri_boliviensis_boliviensis
ENSSSCP00000017709	ENSSSCG00000016719	Sus_scrofa_strain_reference
ENSACAP00000013218	ENSACAG00000013399	Anolis_carolinensis
ENSCPOP00000027909	ENSCPOG00000032654	Cavia_porcellus
ENSOPRP00000005238	ENSOPRG00000005685	Ochotona_princeps
ENSPTRP00000083443	ENSPTRG00000018991	Pan_troglodytes
ENSTBEP00000009947	ENSTBEG00000011483	Tupaia_belangeri
ENSTTRP00000000104	ENSTTRG00000000112	Tursiops_truncatus
ENSCAPP00000010299	ENSCAPG00000011563	Cavia_aperea
ENSCANP00000037576	ENSCANG00000042463	Colobus_angolensis_palliatus
ENSPCAP00000010428	ENSPCAG00000011110	Procavia_capensis
ENSSMRP00000004076	ENSSMRG00000003403	Salvator_merianae
ENSMUSP00000024171	ENSMUSG00000023403	Mus_musculus_strain_reference_(CL57BL6)
ENSBTAP00000014042	ENSBTAG00000010609	Bos_taurus
ENSMEUP00000007511	ENSMEUG00000008208	Notamacropus_eugenii
ENSCHOP00000001463	ENSCHOG00000001647	Choloepus_hoffmanni	ENSCHOT00000001660
ENSPVIP00000021446	ENSPVIG00000016293	Pogona_vitticeps
ENSNGAP00000026601	ENSNGAG00000024195	Nannospalax_galili
MGP_SPRETEiJ_P0076637	MGP_SPRETEiJ_G0029371	Mus_spretus_strain_SPRET/EiJ
ENSDNOP00000027626	ENSDNOG00000035629	Dasypus_novemcinctus	ENSDNOT00000031928
ENSNPEP00000003382	ENSNPEG00000002579	Nothoprocta_perdicaria
ENSOANP00000029930	ENSOANG00000031367	Ornithorhynchus_anatinus	ENSOANT00000039175
ENSBBBP00000013531	ENSBBBG00000005696	Bison_bison_bison
ENSCMIP00000040058	ENSCMIG00000016747	Callorhinchus_milii
ENSMICP00000048698	ENSMICG00000012021	Microcebus_murinus
ENSAPLP00000013932	ENSAPLG00000014105	Anas_platyrhynchos_platyrhynchos
ENSAOWP00000007886	ENSAOWG00000005370	Apteryx_owenii
ENSXETP00000020077	ENSXETG00000003227	Xenopus_tropicalis
ENSCCAP00000019659	ENSCCAG00000027635	Cebus_capucinus_imitator
ENSRROP00000016479	ENSRROG00000032379	Rhinopithecus_roxellana
ENSMFAP00000005964	ENSMFAG00000002623	Macaca_fascicularis
ENSMPUP00000013368	ENSMPUG00000013470	Mustela_putorius_furo
ENSOARP00000011864	ENSOARG00000011063	Ovis_aries
ENSUPAP00010022873	ENSUPAG00010018074	Urocitellus_parryii
ENSEEUP00000000188	ENSEEUG00000000216	Erinaceus_europaeus
ENSIPUP00000016598	ENSIPUG00000011257	Ictalurus_punctatus
MGP_CAROLIEiJ_P0073772	MGP_CAROLIEiJ_G0028368	Mus_caroli_strain_CAROLI_EIJ
ENSPTRP00000064751	ENSPTRG00000047172	Pan_troglodytes
ENSETEP00000000198	ENSETEG00000000255	Echinops_telfairi	ENSETET00000000255
ENSMUGP00000029159	ENSMUGG00000024172	Meriones_unguiculatus
ENSABRP00000011674	ENSABRG00000010455	Anser_brachyrhynchus
ENSOGAP00000012158	ENSOGAG00000013559	Otolemur_garnettii
ENSBIXP00000036024	ENSBIXG00000003451	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSABRP00000011667	ENSABRG00000010444	Anser_brachyrhynchus
ENSCSAP00000010208	ENSCSAG00000014075	Chlorocebus_sabaeus
ENSMLEP00000029639	ENSMLEG00000038978	Mandrillus_leucophaeus
ENSPKIP00000028231	ENSPKIG00000009950	Paramormyrops_kingsleyae
ENSLAFP00000007759	ENSLAFG00000009258	Loxodonta_africana	ENSLAFT00000009260
ENSOCUP00000040474	ENSOCUG00000004738	Oryctolagus_cuniculus
ENSVURP00010026185	ENSVURG00010019972	Vombatus_ursinus
ENSDORP00000015352	ENSDORG00000016315	Dipodomys_ordii
ENSMMUP00000030535	ENSMMUG00000023196	Macaca_mulatta
ENSNVIP00000016443	ENSNVIG00000012817	Neovison_vison
ENSGALP00000065735	ENSGALG00000010980	Gallus_gallus
ENSHGLP00000011842	ENSHGLG00000008474	Heterocephalus_glaber_HetGla_female_1.0
ENSTSYP00000004572	ENSTSYG00000005000	Carlito_syrichta
ENSDCDP00000003336	ENSDCDG00000001711	Denticeps_clupeoides
ENSLACP00000023356	ENSLACG00000015416	Latimeria_chalumnae
ENSDNVP00000016509	ENSDNVG00000011561	Dromaius_novaehollandiae
ENSP00000348132	ENSG00000196335	Homo_sapiens
ENSFCAP00000038235	ENSFCAG00000028451	Felis_catus
ENSMMMP00000006257	ENSMMMG00000005447	Marmota_marmota_marmota
ENSPCIP00000009645	ENSPCIG00000007874	Phascolarctos_cinereus	ENSPCIT00000012107
ENSPEMP00000023673	ENSPEMG00000020643	Peromyscus_maniculatus_bairdii
ENSPPYP00000019867	ENSPPYG00000017724	Pongo_abelii
ENSJJAP00000005610	ENSJJAG00000010464	Jaculus_jaculus
ENSMODP00000000927	ENSMODG00000000777	Monodelphis_domestica	ENSMODT00000000946
ENSCJAP00000014176	ENSCJAG00000007625	Callithrix_jacchus
ENSFDAP00000000448	ENSFDAG00000010732	Fukomys_damarensis
ENSARWP00000024895	ENSARWG00000016959	Apteryx_rowi
ENSARWP00000024894	ENSARWG00000016958	Apteryx_rowi
ENSELUP00000001557	ENSELUG00000003021	Esox_lucius
ENSANAP00000024500	ENSANAG00000029927	Aotus_nancymaae
ENSSPUP00000003971	ENSSPUG00000003059	Sphenodon_punctatus
ENSCGRP00001023882	ENSCGRG00001021953	Cricetulus_griseus_CHOK1GS_HDv1
ENSAMXP00005031776	ENSAMXG00005015537	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSNMEP00000007457	ENSNMEG00000007483	Numida_meleagris
ENSAMEP00000009510	ENSAMEG00000009006	Ailuropoda_melanoleuca
ENSCAFP00000004131	ENSCAFG00000002795	Canis_lupus_familiaris
ENSPSMP00000019451	ENSPSMG00000013704	Prolemur_simus
ENSCPUP00000015621	ENSCPUG00000010864	Calidris_pugnax
ENSPPAP00000037773	ENSPPAG00000041589	Pan_paniscus
ENSTGEP00000027379	ENSTGEG00000022086	Theropithecus_gelada
ENSCJPP00005015056	ENSCJPG00005012504	Coturnix_japonica
ENSGAGP00000007237	ENSGAGG00000005814	Gopherus_agassizii
ENSAMXP00000032358	ENSAMXG00000000509	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSSPUP00000007884	ENSSPUG00000006098	Sphenodon_punctatus
ENSRBIP00000011214	ENSRBIG00000029403	Rhinopithecus_bieti
