,ENSXETT00000025566_ENSXETG00000014225,ENSXETT00000025591_ENSXETG00000014225,ENSXETT00000025611_ENSXETG00000014225,ENSXETT00000037930_ENSXETG00000014225,ENSXETT00000037993_ENSXETG00000014196,ENSXETT00000026420_ENSXETG00000013556,ENSXETT00000026425_ENSXETG00000013556,ENSXETT00000026428_ENSXETG00000013556,ENSXETT00000038513_ENSXETG00000013556,ENSXETT00000025707_ENSXETG00000014180,ENSXETT00000025721_ENSXETG00000013814,ENSXETT00000025726_ENSXETG00000013814,ENSXETT00000025753_ENSXETG00000013814,ENSXETT00000025767_ENSXETG00000013814,ENSAOWT00000014600_ENSAOWG00000008750,ENSAOWT00000014759_ENSAOWG00000008750,ENSAOWT00000014772_ENSAOWG00000008750,ENSAOWT00000014776_ENSAOWG00000008750,ENSAOWT00000014789_ENSAOWG00000008750,ENSAHAT00000022327_ENSAHAG00000014224,ENSAHAT00000022649_ENSAHAG00000014224,ENSAHAT00000022678_ENSAHAG00000014224,ENSAHAT00000022726_ENSAHAG00000014224,ENSAHAT00000022775_ENSAHAG00000014224,ENSARWT00000030051_ENSARWG00000017976
ENSAOWT00000014600_ENSAOWG00000008750,0.53,0.52,0.52,0.53,0.71,0.54,0.54,0.53,0.54,0.53,0.62,0.55,0.54,0.54,1.0,0.6,0.63,0.61,0.57,1.0,0.6,0.63,0.61,0.57,1.0
ENSAOWT00000014759_ENSAOWG00000008750,0.7,0.73,0.73,0.71,0.68,0.68,0.67,0.6,0.71,0.77,0.72,0.68,0.75,0.77,0.6,1.0,0.88,0.89,0.83,0.6,1.0,0.88,0.9,0.83,0.6
ENSAOWT00000014772_ENSAOWG00000008750,0.62,0.64,0.65,0.65,0.61,0.59,0.59,0.52,0.63,0.68,0.66,0.6,0.68,0.68,0.63,0.88,1.0,0.81,0.71,0.63,0.88,1.0,0.81,0.71,0.63
ENSAOWT00000014776_ENSAOWG00000008750,0.64,0.7,0.66,0.7,0.67,0.64,0.6,0.53,0.68,0.7,0.68,0.61,0.7,0.7,0.61,0.89,0.81,1.0,0.81,0.61,0.89,0.8,0.98,0.81,0.61
ENSAOWT00000014789_ENSAOWG00000008750,0.69,0.62,0.61,0.6,0.64,0.56,0.55,0.59,0.66,0.65,0.6,0.56,0.62,0.65,0.57,0.83,0.71,0.81,1.0,0.57,0.83,0.71,0.81,1.0,0.57
ENSAHAT00000022327_ENSAHAG00000014224,0.53,0.52,0.52,0.53,0.71,0.54,0.54,0.53,0.54,0.53,0.62,0.55,0.54,0.54,1.0,0.6,0.63,0.61,0.57,1.0,0.6,0.63,0.61,0.57,1.0
ENSAHAT00000022649_ENSAHAG00000014224,0.7,0.73,0.73,0.71,0.68,0.68,0.68,0.6,0.71,0.77,0.72,0.68,0.75,0.77,0.6,1.0,0.88,0.89,0.83,0.6,1.0,0.88,0.9,0.83,0.6
ENSAHAT00000022678_ENSAHAG00000014224,0.62,0.64,0.65,0.65,0.61,0.59,0.59,0.52,0.63,0.68,0.66,0.6,0.68,0.68,0.63,0.88,1.0,0.8,0.71,0.63,0.88,1.0,0.81,0.71,0.63
ENSAHAT00000022726_ENSAHAG00000014224,0.64,0.7,0.67,0.7,0.67,0.64,0.61,0.54,0.69,0.7,0.68,0.62,0.7,0.7,0.61,0.9,0.81,0.98,0.81,0.61,0.9,0.81,1.0,0.81,0.61
ENSAHAT00000022775_ENSAHAG00000014224,0.69,0.62,0.61,0.6,0.63,0.56,0.55,0.59,0.66,0.65,0.6,0.56,0.62,0.65,0.57,0.83,0.71,0.81,1.0,0.57,0.83,0.71,0.81,1.0,0.57
ENSARWT00000030051_ENSARWG00000017976,0.52,0.52,0.52,0.53,0.71,0.54,0.54,0.53,0.54,0.53,0.62,0.55,0.54,0.54,1.0,0.6,0.63,0.61,0.57,1.0,0.6,0.63,0.61,0.57,1.0
