,ENSPCIT00000029673_ENSPCIG00000017908,ENSPCIT00000029990_ENSPCIG00000017908,ENSPCIT00000029672_ENSPCIG00000017908,ENSPCIT00000029948_ENSPCIG00000017908,ENSVURT00010036134_ENSVURG00010024250,ENSVURT00010036137_ENSVURG00010024250,ENSVURT00010036138_ENSVURG00010024250,ENSVURT00010036145_ENSVURG00010024250,ENSSHAT00000016563_ENSSHAG00000013976,ENSSHAT00000016564_ENSSHAG00000013976,ENSMODT00000068127_ENSMODG00000014318,ENSMODT00000018226_ENSMODG00000014318,ENSMODT00000067761_ENSMODG00000014318,ENSMODT00000084166_ENSMODG00000014318,ENSMODT00000085819_ENSMODG00000014318,ENSPVAT00000007635_ENSPVAG00000007632,ENSUMAT00000033001_ENSUMAG00000020264,ENSUMAT00000033022_ENSUMAG00000020264,ENSUAMT00000005627_ENSUAMG00000003689,ENSUAMT00000005719_ENSUAMG00000003689,ENSUAMT00000005872_ENSUAMG00000003689,ENSUAMT00000005917_ENSUAMG00000003689,ENSUAMT00000005992_ENSUAMG00000003689,ENSAMET00000010847_ENSAMEG00000009821,ENSNVIT00000006235_ENSNVIG00000003868,ENSNVIT00000006246_ENSNVIG00000003868,ENSNVIT00000006251_ENSNVIG00000003868
ENSMODT00000068127_ENSMODG00000014318,0.93,0.9,0.85,0.89,0.86,0.91,0.94,0.92,0.91,0.82,1.0,0.96,0.91,0.9,0.05,0.62,0.93,0.9,0.88,0.79,0.82,0.74,0.78,0.94,0.89,0.93,0.9
ENSMODT00000018226_ENSMODG00000014318,0.9,0.93,0.87,0.86,0.83,0.88,0.92,0.94,0.93,0.84,0.96,1.0,0.88,0.88,0.06,0.63,0.9,0.93,0.85,0.81,0.8,0.76,0.8,0.92,0.86,0.9,0.93
ENSMODT00000067761_ENSMODG00000014318,0.93,0.9,0.85,0.97,0.86,0.99,0.94,0.92,0.88,0.82,0.91,0.88,1.0,0.9,0.05,0.62,0.93,0.9,0.88,0.79,0.82,0.74,0.78,0.92,0.97,0.93,0.9
ENSMODT00000084166_ENSMODG00000014318,0.93,0.9,0.84,0.89,0.85,0.9,0.94,0.91,0.88,0.82,0.9,0.88,0.9,1.0,0.06,0.61,0.93,0.9,0.87,0.79,0.82,0.74,0.77,0.91,0.89,0.93,0.9
ENSMODT00000085819_ENSMODG00000014318,0.06,0.06,0.06,0.05,0.010000000000000002,0.05,0.06,0.06,0.06,0.05,0.05,0.06,0.05,0.06,1.0,0.05,0.06,0.06,0.010000000000000002,0.010000000000000002,1e-18,1e-18,1e-18,0.06,0.05,0.06,0.06
ENSPVAT00000007635_ENSPVAG00000007632,0.64,0.66,0.66,0.62,0.58,0.62,0.64,0.66,0.63,0.59,0.62,0.63,0.62,0.61,0.05,1.0,0.65,0.67,0.61,0.59,0.56,0.52,0.56,0.64,0.63,0.65,0.67
ENSUMAT00000033001_ENSUMAG00000020264,0.96,0.93,0.87,0.92,0.88,0.93,0.97,0.94,0.9,0.84,0.93,0.9,0.93,0.93,0.06,0.65,1.0,0.96,0.93,0.84,0.86,0.78,0.83,0.97,0.94,0.99,0.96
ENSUMAT00000033022_ENSUMAG00000020264,0.93,0.96,0.9,0.89,0.85,0.9,0.94,0.97,0.93,0.86,0.9,0.93,0.9,0.9,0.06,0.67,0.96,1.0,0.9,0.87,0.83,0.8,0.85,0.94,0.92,0.96,0.99
ENSUAMT00000005627_ENSUAMG00000003689,0.9,0.87,0.81,0.86,0.89,0.88,0.91,0.89,0.85,0.79,0.88,0.85,0.88,0.87,0.010000000000000002,0.61,0.93,0.9,1.0,0.88,0.9,0.81,0.85,0.91,0.89,0.93,0.9
ENSUAMT00000005719_ENSUAMG00000003689,0.81,0.84,0.78,0.78,0.81,0.79,0.83,0.85,0.81,0.76,0.79,0.81,0.79,0.79,0.010000000000000002,0.59,0.84,0.87,0.88,1.0,0.81,0.79,0.82,0.83,0.81,0.84,0.87
ENSUAMT00000005872_ENSUAMG00000003689,0.85,0.82,0.76,0.81,0.84,0.82,0.86,0.83,0.8,0.74,0.82,0.8,0.82,0.82,1e-18,0.56,0.86,0.83,0.9,0.81,1.0,0.9,0.82,0.85,0.82,0.86,0.83
ENSUAMT00000005917_ENSUAMG00000003689,0.76,0.79,0.73,0.73,0.76,0.74,0.78,0.8,0.76,0.71,0.74,0.76,0.74,0.74,1e-18,0.52,0.78,0.8,0.81,0.79,0.9,1.0,0.79,0.76,0.74,0.78,0.8
ENSUAMT00000005992_ENSUAMG00000003689,0.8,0.82,0.76,0.76,0.79,0.78,0.81,0.84,0.8,0.74,0.78,0.8,0.78,0.77,1e-18,0.56,0.83,0.85,0.85,0.82,0.82,0.79,1.0,0.81,0.79,0.83,0.85
ENSAMET00000010847_ENSAMEG00000009821,0.94,0.91,0.86,0.9,0.86,0.92,0.96,0.93,0.92,0.83,0.94,0.92,0.92,0.91,0.06,0.64,0.97,0.94,0.91,0.83,0.85,0.76,0.81,1.0,0.93,0.97,0.94
ENSNVIT00000006235_ENSNVIG00000003868,0.92,0.89,0.83,0.96,0.84,0.97,0.93,0.9,0.86,0.81,0.89,0.86,0.97,0.89,0.05,0.63,0.94,0.92,0.89,0.81,0.82,0.74,0.79,0.93,1.0,0.94,0.92
ENSNVIT00000006246_ENSNVIG00000003868,0.96,0.93,0.87,0.92,0.88,0.93,0.97,0.94,0.9,0.84,0.93,0.9,0.93,0.93,0.06,0.65,0.99,0.96,0.93,0.84,0.86,0.78,0.83,0.97,0.94,1.0,0.96
ENSNVIT00000006251_ENSNVIG00000003868,0.93,0.96,0.9,0.89,0.85,0.9,0.94,0.97,0.93,0.86,0.9,0.93,0.9,0.9,0.06,0.67,0.96,0.99,0.9,0.87,0.83,0.8,0.85,0.94,0.92,0.96,1.0
