,FBtr0088941_FBgn0033210,H20J04.8.1_WBGene00003390,H20J04.8.2_WBGene00003390,ENSPVIT00000006750_ENSPVIG00000004298,ENSPVIT00000006751_ENSPVIG00000004298,ENSACAT00000003179_ENSACAG00000003173,ENSNSUT00000002881_ENSNSUG00000002204,ENSSMRT00000033784_ENSSMRG00000022283,ENSSPUT00000015072_ENSSPUG00000010899,ENSNPET00000011076_ENSNPEG00000008121,ENSNPET00000011079_ENSNPEG00000008121,ENSCPGT00000021985_ENSCPGG00000014058,ENSGALT00000011612_ENSGALG00000007170,ENSGALT00000089609_ENSGALG00000007170,ENSCJPT00005036055_ENSCJPG00005020683,ENSCJPT00005036072_ENSCJPG00005020683,ENSNMET00000040040_ENSNMEG00000023218,ENSMUNT00000012773_ENSMUNG00000008682,ENSCCET00000013806_ENSCCEG00000008909,ENSFALT00000010683_ENSFALG00000010195,ENSSCAT00000014450_ENSSCAG00000009581,ENSJHYT00000021084_ENSJHYG00000013338,ENSJHYT00000021090_ENSJHYG00000013338,ENSLCOT00000007402_ENSLCOG00000005126,ENSMVIT00005016662_ENSMVIG00005010619,ENSPMJT00000016788_ENSPMJG00000009778,ENSPMJT00000016790_ENSPMJG00000009778
ENSNPET00000011079_ENSNPEG00000008121,0.12,0.12,0.12,0.35,0.21,0.34,0.35,0.35,0.24,0.49,1.0,0.35,0.35,0.52,0.41,0.35,0.35,0.37,0.35,0.35,0.35,0.24,0.41,0.35,0.35,0.34,0.58
ENSCPGT00000021985_ENSCPGG00000014058,0.1,0.11,0.11,0.9,0.75,0.9,0.9,0.9,0.74,0.72,0.35,1.0,0.91,0.53,0.45,0.9,0.91,0.76,0.91,0.91,0.91,0.74,0.4,0.91,0.91,0.9,0.52
ENSGALT00000011612_ENSGALG00000007170,0.1,0.11,0.11,0.9,0.75,0.9,0.9,0.9,0.74,0.72,0.35,0.91,1.0,0.53,0.45,0.91,0.91,0.76,0.91,0.9,0.9,0.74,0.4,0.91,0.9,0.89,0.52
ENSGALT00000089609_ENSGALG00000007170,0.12,0.12,0.12,0.53,0.39,0.53,0.53,0.53,0.41,0.35,0.52,0.53,0.53,1.0,0.59,0.53,0.53,0.57,0.53,0.53,0.53,0.4,0.58,0.53,0.53,0.52,0.78
ENSCJPT00005036055_ENSCJPG00005020683,0.12,0.12,0.12,0.45,0.31,0.45,0.45,0.45,0.34,0.32,0.41,0.45,0.45,0.59,1.0,0.45,0.45,0.48,0.45,0.45,0.45,0.34,0.42,0.45,0.45,0.44,0.57
ENSCJPT00005036072_ENSCJPG00005020683,0.1,0.11,0.11,0.9,0.75,0.9,0.9,0.9,0.74,0.72,0.35,0.9,0.91,0.53,0.45,1.0,0.91,0.76,0.9,0.9,0.9,0.74,0.4,0.9,0.9,0.89,0.52
ENSNMET00000040040_ENSNMEG00000023218,0.1,0.11,0.11,0.9,0.75,0.9,0.9,0.9,0.74,0.72,0.35,0.91,0.91,0.53,0.45,0.91,1.0,0.76,0.91,0.91,0.9,0.74,0.4,0.91,0.91,0.89,0.52
ENSMUNT00000012773_ENSMUNG00000008682,0.1,0.1,0.1,0.75,0.61,0.75,0.75,0.75,0.61,0.57,0.37,0.76,0.76,0.57,0.48,0.76,0.76,1.0,0.76,0.76,0.76,0.6,0.42,0.76,0.76,0.75,0.56
ENSCCET00000013806_ENSCCEG00000008909,0.1,0.11,0.11,0.9,0.75,0.9,0.9,0.9,0.74,0.72,0.35,0.91,0.91,0.53,0.45,0.9,0.91,0.76,1.0,0.91,0.91,0.74,0.4,0.91,0.91,0.9,0.52
ENSFALT00000010683_ENSFALG00000010195,0.1,0.11,0.11,0.9,0.75,0.9,0.9,0.9,0.74,0.72,0.35,0.91,0.9,0.53,0.45,0.9,0.91,0.76,0.91,1.0,0.91,0.74,0.4,0.91,0.91,0.9,0.52
ENSSCAT00000014450_ENSSCAG00000009581,0.11,0.11,0.11,0.9,0.75,0.9,0.9,0.9,0.74,0.72,0.35,0.91,0.9,0.53,0.45,0.9,0.9,0.76,0.91,0.91,1.0,0.74,0.41,0.91,0.91,0.9,0.52
ENSJHYT00000021084_ENSJHYG00000013338,0.1,0.1,0.1,0.73,0.75,0.73,0.73,0.73,0.74,0.57,0.24,0.74,0.74,0.4,0.34,0.74,0.74,0.6,0.74,0.74,0.74,1.0,0.5,0.74,0.74,0.73,0.39
ENSJHYT00000021090_ENSJHYG00000013338,0.12,0.12,0.12,0.4,0.38,0.4,0.4,0.4,0.4,0.24,0.41,0.4,0.4,0.58,0.42,0.4,0.4,0.42,0.4,0.4,0.41,0.5,1.0,0.4,0.4,0.39,0.63
ENSLCOT00000007402_ENSLCOG00000005126,0.1,0.11,0.11,0.9,0.75,0.9,0.9,0.9,0.74,0.72,0.35,0.91,0.91,0.53,0.45,0.9,0.91,0.76,0.91,0.91,0.91,0.74,0.4,1.0,0.91,0.9,0.52
ENSMVIT00005016662_ENSMVIG00005010619,0.1,0.11,0.11,0.9,0.75,0.9,0.9,0.9,0.74,0.72,0.35,0.91,0.9,0.53,0.45,0.9,0.91,0.76,0.91,0.91,0.91,0.74,0.4,0.91,1.0,0.9,0.52
ENSPMJT00000016788_ENSPMJG00000009778,0.09,0.1,0.1,0.89,0.74,0.89,0.89,0.89,0.73,0.71,0.34,0.9,0.89,0.52,0.44,0.89,0.89,0.75,0.9,0.9,0.9,0.73,0.39,0.9,0.9,1.0,0.54
ENSPMJT00000016790_ENSPMJG00000009778,0.11,0.11,0.11,0.52,0.38,0.52,0.52,0.52,0.4,0.34,0.58,0.52,0.52,0.78,0.57,0.52,0.52,0.56,0.52,0.52,0.52,0.39,0.63,0.52,0.52,0.54,1.0
