,ENSDCDT00000032969_ENSDCDG00000018406,ENSCHAT00000001037_ENSCHAG00000000662,ENSIPUT00000029421_ENSIPUG00000019147,ENSIPUT00000029433_ENSIPUG00000019155,ENSIPUT00000029448_ENSIPUG00000019155,ENSEEET00000035697_ENSEEEG00000016794,ENSEEET00000035699_ENSEEEG00000016794,ENSEEET00000035701_ENSEEEG00000016794,ENSEEET00000039594_ENSEEEG00000018596,ENSPNAT00000017823_ENSPNAG00000016612,ENSPNAT00000021137_ENSPNAG00000019399,ENSPNAT00000021151_ENSPNAG00000019399,ENSPNAT00000021178_ENSPNAG00000019399,ENSPNAT00000021180_ENSPNAG00000019399,ENSPNAT00000021184_ENSPNAG00000019399,ENSAMXT00000037541_ENSAMXG00000029480,ENSAMXT00000040275_ENSAMXG00000038859,ENSAMXT00000034564_ENSAMXG00000041198,ENSDART00000171258_ENSDARG00000100946,ENSDART00000173691_ENSDARG00000100946,ENSDART00000125584_ENSDARG00000086421,ENSDART00000173774_ENSDARG00000086421,ENSELUT00000010918_ENSELUG00000006328,ENSELUT00000010929_ENSELUG00000006328,ENSELUT00000011706_ENSELUG00000005929,ENSELUT00000011717_ENSELUG00000005929,ENSHHUT00000011460_ENSHHUG00000006804,ENSHHUT00000011464_ENSHHUG00000006804,ENSHHUT00000011477_ENSHHUG00000006804,ENSHHUT00000047888_ENSHHUG00000028144,ENSHHUT00000047873_ENSHHUG00000028135,ENSHHUT00000069767_ENSHHUG00000039791,ENSELUT00000003600_ENSELUG00000010141,ENSAOCT00000019271_ENSAOCG00000016109,ENSAPET00000015333_ENSAPEG00000010660,ENSAPET00000015340_ENSAPEG00000010660,ENSAPOT00000005761_ENSAPOG00000008832,ENSSPAT00000005384_ENSSPAG00000004095,ENSPRNT00000029944_ENSPRNG00000014072,ENSPNYT00000006488_ENSPNYG00000004882,ENSHBUT00000016653_ENSHBUG00000011455,ENSMZET00005012480_ENSMZEG00005009059,ENSACLT00000009365_ENSACLG00000006245,ENSNBRT00000023335_ENSNBRG00000017417,ENSONIT00000019793_ENSONIG00000015713,ENSACIT00000021987_ENSACIG00000016648,ENSPFOT00000014182_ENSPFOG00000014148,ENSPMET00000009459_ENSPMEG00000005484,ENSPLAT00000022591_ENSPLAG00000017973,ENSPRET00000006355_ENSPREG00000004362,ENSGAFT00000028805_ENSGAFG00000019275,ENSXMAT00000040015_ENSXMAG00000025602,ENSKMAT00000007690_ENSKMAG00000005701,ENSOMET00000009694_ENSOMEG00000005062,ENSGWIT00000006549_ENSGWIG00000003462,ENSGWIT00000006550_ENSGWIG00000003462,ENSGWIT00000006552_ENSGWIG00000003462,ENSSDUT00000005047_ENSSDUG00000003672
ENSPNAT00000021137_ENSPNAG00000019399,0.51,0.51,0.24,0.57,0.43,0.69,0.69,0.69,0.69,0.53,1.0,0.42,0.58,0.17,0.33,0.41,0.41,0.38,0.51,0.2,0.51,0.55,0.62,0.56,0.52,0.69,0.62,0.56,0.46,0.36,0.69,0.37,0.38,0.63,0.51,0.63,0.63,0.63,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.28,0.69,0.69,0.69,0.78,0.69,0.69,0.69,0.14,0.18,0.28,0.2,0.69
ENSPNAT00000021151_ENSPNAG00000019399,0.47,0.47,0.31,0.37,0.27,0.38,0.38,0.38,0.38,0.25,0.42,1.0,0.54,0.34,0.59,0.72,0.72,0.64,0.47,0.28,0.47,0.5,0.32,0.3,0.24,0.38,0.32,0.3,0.22,0.14,0.38,0.33,0.34,0.33,0.23,0.33,0.33,0.33,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.25,0.38,0.38,0.38,0.4,0.38,0.38,0.38,0.13,0.24,0.36,0.14,0.38
ENSPNAT00000021178_ENSPNAG00000019399,0.63,0.63,0.31,0.41,0.31,0.52,0.52,0.52,0.52,0.37,0.58,0.54,1.0,0.24,0.43,0.52,0.52,0.48,0.63,0.28,0.63,0.7,0.45,0.41,0.36,0.51,0.45,0.41,0.32,0.26,0.51,0.47,0.47,0.46,0.35,0.46,0.46,0.46,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.25,0.51,0.51,0.51,0.56,0.51,0.51,0.51,0.13,0.24,0.36,0.14,0.51
ENSPNAT00000021180_ENSPNAG00000019399,0.22,0.22,0.22,0.2,0.2,0.16,0.16,0.16,0.16,0.17,0.17,0.34,0.24,1.0,0.43,0.33,0.33,0.31,0.22,0.28,0.22,0.21,0.17,0.16,0.17,0.16,0.17,0.16,0.17,0.12,0.16,0.21,0.21,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.17,0.24,0.18,0.17,0.16
ENSPNAT00000021184_ENSPNAG00000019399,0.38,0.38,0.31,0.37,0.26,0.31,0.31,0.31,0.31,0.19,0.33,0.59,0.43,0.43,1.0,0.58,0.57,0.52,0.38,0.28,0.38,0.4,0.25,0.24,0.18,0.3,0.25,0.24,0.17,0.13,0.3,0.27,0.27,0.26,0.17,0.26,0.26,0.26,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.19,0.3,0.3,0.3,0.32,0.3,0.3,0.3,0.19,0.24,0.36,0.19,0.3
ENSAMXT00000037541_ENSAMXG00000029480,0.47,0.47,0.31,0.37,0.27,0.38,0.38,0.38,0.38,0.24,0.41,0.72,0.52,0.33,0.58,1.0,0.73,0.65,0.47,0.28,0.47,0.5,0.32,0.3,0.24,0.38,0.31,0.3,0.22,0.14,0.38,0.33,0.34,0.33,0.23,0.33,0.33,0.33,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.25,0.37,0.37,0.37,0.4,0.37,0.37,0.37,0.13,0.24,0.36,0.14,0.38
ENSAMXT00000040275_ENSAMXG00000038859,0.46,0.47,0.3,0.36,0.26,0.38,0.38,0.38,0.38,0.24,0.41,0.72,0.52,0.33,0.57,0.73,1.0,0.64,0.47,0.27,0.47,0.5,0.31,0.3,0.23,0.37,0.31,0.3,0.22,0.13,0.37,0.33,0.33,0.32,0.22,0.32,0.32,0.32,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.25,0.37,0.37,0.37,0.4,0.37,0.37,0.37,0.13,0.24,0.35,0.13,0.37
ENSAMXT00000034564_ENSAMXG00000041198,0.52,0.52,0.35,0.34,0.26,0.36,0.36,0.43,0.43,0.29,0.38,0.64,0.48,0.31,0.52,0.65,0.64,1.0,0.52,0.33,0.52,0.46,0.3,0.34,0.29,0.42,0.29,0.34,0.21,0.14,0.42,0.38,0.39,0.38,0.28,0.38,0.38,0.38,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.31,0.42,0.42,0.42,0.37,0.42,0.42,0.42,0.18,0.23,0.33,0.13,0.42
ENSDART00000171258_ENSDARG00000100946,0.68,0.69,0.35,0.38,0.29,0.47,0.47,0.56,0.56,0.41,0.51,0.47,0.63,0.22,0.38,0.47,0.47,0.52,1.0,0.35,0.71,0.63,0.41,0.46,0.41,0.56,0.41,0.46,0.3,0.24,0.56,0.51,0.52,0.51,0.4,0.51,0.51,0.51,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.31,0.56,0.56,0.56,0.51,0.56,0.56,0.56,0.18,0.23,0.33,0.14,0.56
ENSDART00000173691_ENSDARG00000100946,0.33,0.33,0.34,0.14,0.14,0.2,0.2,0.25,0.25,0.26,0.2,0.28,0.28,0.28,0.28,0.28,0.27,0.33,0.35,1.0,0.34,0.27,0.2,0.25,0.26,0.25,0.2,0.25,0.2,0.14,0.25,0.32,0.33,0.25,0.29,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.29,0.25,0.25,0.25,0.2,0.25,0.25,0.25,0.21,0.31,0.22,0.15,0.25
ENSDART00000125584_ENSDARG00000086421,0.69,0.69,0.35,0.39,0.29,0.47,0.47,0.56,0.56,0.41,0.51,0.47,0.63,0.22,0.38,0.47,0.47,0.52,0.71,0.34,1.0,0.64,0.41,0.46,0.41,0.56,0.41,0.46,0.3,0.24,0.56,0.51,0.52,0.51,0.4,0.51,0.51,0.51,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.31,0.56,0.56,0.56,0.51,0.56,0.56,0.56,0.18,0.23,0.33,0.14,0.56
ENSDART00000173774_ENSDARG00000086421,0.61,0.61,0.29,0.41,0.3,0.5,0.5,0.5,0.5,0.34,0.55,0.5,0.7,0.21,0.4,0.5,0.5,0.46,0.63,0.27,0.64,1.0,0.44,0.4,0.34,0.5,0.43,0.4,0.31,0.26,0.5,0.45,0.46,0.45,0.34,0.45,0.45,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.24,0.49,0.49,0.49,0.54,0.5,0.49,0.49,0.13,0.23,0.35,0.13,0.5
ENSELUT00000010918_ENSELUG00000006328,0.41,0.41,0.25,0.46,0.35,0.56,0.56,0.56,0.56,0.46,0.62,0.32,0.45,0.17,0.25,0.32,0.31,0.3,0.41,0.2,0.41,0.44,1.0,0.83,0.47,0.57,0.92,0.82,0.64,0.33,0.57,0.3,0.31,0.52,0.51,0.52,0.52,0.52,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.26,0.57,0.57,0.57,0.63,0.57,0.57,0.57,0.13,0.18,0.21,0.19,0.57
ENSELUT00000010929_ENSELUG00000006328,0.46,0.46,0.28,0.43,0.33,0.51,0.51,0.61,0.61,0.51,0.56,0.3,0.41,0.16,0.24,0.3,0.3,0.34,0.46,0.25,0.46,0.4,0.83,1.0,0.52,0.62,0.81,0.88,0.58,0.31,0.62,0.34,0.35,0.57,0.57,0.57,0.57,0.57,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.32,0.62,0.62,0.62,0.57,0.62,0.62,0.62,0.18,0.18,0.2,0.18,0.62
ENSELUT00000011706_ENSELUG00000005929,0.41,0.41,0.2,0.38,0.38,0.48,0.48,0.58,0.58,0.71,0.52,0.24,0.36,0.17,0.18,0.24,0.23,0.29,0.41,0.26,0.41,0.34,0.47,0.52,1.0,0.6,0.47,0.52,0.47,0.43,0.58,0.4,0.41,0.58,0.63,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.44,0.58,0.58,0.58,0.52,0.58,0.58,0.58,0.26,0.18,0.14,0.24,0.58
ENSELUT00000011717_ENSELUG00000005929,0.56,0.56,0.28,0.51,0.4,0.62,0.62,0.75,0.74,0.57,0.69,0.38,0.51,0.16,0.3,0.38,0.37,0.42,0.56,0.25,0.56,0.5,0.57,0.62,0.6,1.0,0.56,0.62,0.43,0.33,0.75,0.42,0.42,0.69,0.57,0.69,0.69,0.69,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.34,0.75,0.75,0.75,0.69,0.75,0.75,0.75,0.19,0.18,0.26,0.19,0.75
ENSHHUT00000011460_ENSHHUG00000006804,0.41,0.41,0.24,0.46,0.35,0.56,0.56,0.56,0.56,0.46,0.62,0.32,0.45,0.17,0.25,0.31,0.31,0.29,0.41,0.2,0.41,0.43,0.92,0.81,0.47,0.56,1.0,0.82,0.66,0.33,0.57,0.29,0.3,0.51,0.51,0.51,0.51,0.51,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.25,0.56,0.56,0.56,0.62,0.56,0.56,0.56,0.13,0.18,0.21,0.18,0.56
ENSHHUT00000011464_ENSHHUG00000006804,0.46,0.46,0.28,0.43,0.33,0.51,0.51,0.61,0.61,0.52,0.56,0.3,0.41,0.16,0.24,0.3,0.3,0.34,0.46,0.25,0.46,0.4,0.82,0.88,0.52,0.62,0.82,1.0,0.59,0.31,0.63,0.34,0.35,0.57,0.57,0.57,0.57,0.57,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.32,0.62,0.62,0.62,0.57,0.62,0.62,0.62,0.18,0.18,0.2,0.18,0.62
ENSHHUT00000011477_ENSHHUG00000006804,0.3,0.3,0.16,0.35,0.35,0.42,0.42,0.42,0.42,0.46,0.46,0.22,0.32,0.17,0.17,0.22,0.22,0.21,0.3,0.2,0.3,0.31,0.64,0.58,0.47,0.43,0.66,0.59,1.0,0.33,0.43,0.29,0.3,0.43,0.51,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.25,0.42,0.42,0.42,0.47,0.42,0.42,0.42,0.13,0.18,0.13,0.18,0.43
ENSHHUT00000047888_ENSHHUG00000028144,0.24,0.24,0.12,0.33,0.33,0.33,0.33,0.33,0.33,0.43,0.36,0.14,0.26,0.12,0.13,0.14,0.13,0.14,0.24,0.14,0.24,0.26,0.33,0.31,0.43,0.33,0.33,0.31,0.33,1.0,0.34,0.23,0.24,0.33,0.36,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.23,0.33,0.33,0.33,0.37,0.33,0.33,0.33,0.22,0.13,0.15,0.27,0.34
ENSHHUT00000047873_ENSHHUG00000028135,0.56,0.56,0.28,0.51,0.4,0.62,0.62,0.75,0.75,0.58,0.69,0.38,0.51,0.16,0.3,0.38,0.37,0.42,0.56,0.25,0.56,0.5,0.57,0.62,0.58,0.75,0.57,0.63,0.43,0.34,1.0,0.42,0.42,0.69,0.57,0.69,0.69,0.69,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.34,0.75,0.75,0.75,0.69,0.75,0.75,0.75,0.19,0.18,0.26,0.19,0.75
ENSHHUT00000069767_ENSHHUG00000039791,0.52,0.52,0.25,0.28,0.28,0.35,0.35,0.41,0.41,0.4,0.37,0.33,0.47,0.21,0.27,0.33,0.33,0.38,0.51,0.32,0.51,0.45,0.3,0.34,0.4,0.42,0.29,0.34,0.29,0.23,0.42,1.0,0.53,0.42,0.39,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.3,0.41,0.41,0.41,0.37,0.41,0.41,0.41,0.17,0.22,0.22,0.12,0.42
ENSELUT00000003600_ENSELUG00000010141,0.52,0.52,0.26,0.29,0.29,0.35,0.35,0.42,0.42,0.4,0.38,0.34,0.47,0.21,0.27,0.34,0.33,0.39,0.52,0.33,0.52,0.46,0.31,0.35,0.41,0.42,0.3,0.35,0.3,0.24,0.42,0.53,1.0,0.42,0.4,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.31,0.42,0.42,0.42,0.38,0.42,0.42,0.42,0.18,0.23,0.23,0.17,0.42
ENSAOCT00000019271_ENSAOCG00000016109,0.51,0.51,0.25,0.47,0.4,0.57,0.57,0.69,0.69,0.57,0.63,0.33,0.46,0.16,0.26,0.33,0.32,0.38,0.51,0.25,0.51,0.45,0.52,0.57,0.58,0.69,0.51,0.57,0.43,0.33,0.69,0.42,0.42,1.0,0.58,0.77,0.77,0.76,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.35,0.7,0.7,0.7,0.64,0.7,0.7,0.7,0.2,0.18,0.22,0.19,0.7
ENSAPET00000015333_ENSAPEG00000010660,0.4,0.4,0.22,0.38,0.38,0.47,0.47,0.57,0.57,0.63,0.51,0.23,0.35,0.17,0.17,0.23,0.22,0.28,0.4,0.29,0.4,0.34,0.51,0.57,0.63,0.57,0.51,0.57,0.51,0.36,0.57,0.39,0.4,0.58,1.0,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.37,0.57,0.57,0.57,0.52,0.57,0.57,0.57,0.19,0.19,0.13,0.2,0.58
ENSAPET00000015340_ENSAPEG00000010660,0.51,0.51,0.25,0.47,0.4,0.57,0.57,0.69,0.69,0.57,0.63,0.33,0.46,0.16,0.26,0.33,0.32,0.38,0.51,0.25,0.51,0.45,0.52,0.57,0.58,0.69,0.51,0.57,0.43,0.33,0.69,0.42,0.42,0.77,0.58,1.0,0.77,0.76,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.35,0.7,0.7,0.7,0.64,0.7,0.7,0.7,0.2,0.18,0.22,0.19,0.7
ENSAPOT00000005761_ENSAPOG00000008832,0.51,0.51,0.25,0.47,0.4,0.57,0.57,0.69,0.69,0.57,0.63,0.33,0.46,0.16,0.26,0.33,0.32,0.38,0.51,0.25,0.51,0.45,0.52,0.57,0.58,0.69,0.51,0.57,0.43,0.33,0.69,0.42,0.42,0.77,0.58,0.77,1.0,0.76,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.35,0.7,0.7,0.7,0.64,0.7,0.7,0.7,0.19,0.18,0.22,0.19,0.7
ENSSPAT00000005384_ENSSPAG00000004095,0.52,0.51,0.25,0.47,0.4,0.57,0.57,0.69,0.69,0.57,0.63,0.33,0.46,0.16,0.26,0.33,0.32,0.38,0.51,0.25,0.51,0.45,0.52,0.57,0.58,0.69,0.51,0.57,0.43,0.33,0.69,0.42,0.42,0.76,0.58,0.76,0.76,1.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.35,0.7,0.7,0.7,0.64,0.7,0.7,0.7,0.2,0.18,0.22,0.19,0.7
ENSPRNT00000029944_ENSPRNG00000014072,0.56,0.56,0.28,0.51,0.4,0.62,0.62,0.75,0.75,0.58,0.69,0.38,0.51,0.16,0.3,0.38,0.37,0.42,0.56,0.25,0.56,0.5,0.57,0.62,0.58,0.75,0.56,0.62,0.43,0.33,0.75,0.42,0.42,0.7,0.58,0.7,0.7,0.7,1.0,0.76,0.76,0.76,0.76,0.76,0.76,0.35,0.75,0.75,0.75,0.7,0.75,0.75,0.75,0.2,0.18,0.26,0.2,0.76
ENSPNYT00000006488_ENSPNYG00000004882,0.56,0.56,0.28,0.51,0.4,0.62,0.62,0.75,0.75,0.58,0.69,0.38,0.51,0.16,0.3,0.38,0.37,0.42,0.56,0.25,0.56,0.5,0.57,0.62,0.58,0.75,0.56,0.62,0.42,0.33,0.75,0.42,0.42,0.7,0.58,0.7,0.7,0.7,0.76,1.0,0.77,0.77,0.77,0.77,0.77,0.35,0.75,0.75,0.75,0.69,0.75,0.75,0.75,0.2,0.18,0.26,0.19,0.76
ENSHBUT00000016653_ENSHBUG00000011455,0.56,0.56,0.28,0.51,0.4,0.62,0.62,0.75,0.75,0.58,0.69,0.38,0.51,0.16,0.3,0.38,0.37,0.42,0.56,0.25,0.56,0.5,0.57,0.62,0.58,0.75,0.56,0.62,0.42,0.33,0.75,0.42,0.42,0.7,0.58,0.7,0.7,0.7,0.76,0.77,1.0,0.77,0.77,0.77,0.77,0.35,0.75,0.75,0.75,0.69,0.75,0.75,0.75,0.2,0.18,0.26,0.19,0.76
ENSMZET00005012480_ENSMZEG00005009059,0.56,0.56,0.28,0.51,0.4,0.62,0.62,0.75,0.75,0.58,0.69,0.38,0.51,0.16,0.3,0.38,0.37,0.42,0.56,0.25,0.56,0.5,0.57,0.62,0.58,0.75,0.56,0.62,0.42,0.33,0.75,0.42,0.42,0.7,0.58,0.7,0.7,0.7,0.76,0.77,0.77,1.0,0.77,0.77,0.77,0.35,0.75,0.75,0.75,0.69,0.75,0.75,0.75,0.2,0.18,0.26,0.19,0.76
ENSACLT00000009365_ENSACLG00000006245,0.56,0.56,0.28,0.51,0.4,0.62,0.62,0.75,0.75,0.58,0.69,0.38,0.51,0.16,0.3,0.38,0.37,0.42,0.56,0.25,0.56,0.5,0.57,0.62,0.58,0.75,0.56,0.62,0.42,0.33,0.75,0.42,0.42,0.7,0.58,0.7,0.7,0.7,0.76,0.77,0.77,0.77,1.0,0.77,0.76,0.35,0.75,0.75,0.75,0.69,0.75,0.75,0.75,0.2,0.18,0.26,0.19,0.76
ENSNBRT00000023335_ENSNBRG00000017417,0.56,0.56,0.28,0.51,0.4,0.62,0.62,0.75,0.75,0.58,0.69,0.38,0.51,0.16,0.3,0.38,0.37,0.42,0.56,0.25,0.56,0.5,0.57,0.62,0.58,0.75,0.56,0.62,0.42,0.33,0.75,0.42,0.42,0.7,0.58,0.7,0.7,0.7,0.76,0.77,0.77,0.77,0.77,1.0,0.77,0.35,0.75,0.75,0.75,0.69,0.75,0.75,0.75,0.2,0.18,0.26,0.19,0.76
