,ENSEBUT00000008210_ENSEBUG00000005036,ENSEBUT00000010705_ENSEBUG00000006533,ENSVURT00010020644_ENSVURG00010013866,ENSVURT00010020661_ENSVURG00010013866,ENSVURT00010020680_ENSVURG00010013866,ENSVURT00010020697_ENSVURG00010013866,ENSVURT00010020709_ENSVURG00010013866,ENSVURT00010020753_ENSVURG00010013866,ENSVURT00010020769_ENSVURG00010013866,ENSPCIT00000029170_ENSPCIG00000017911,ENSPCIT00000064398_ENSPCIG00000017911,ENSPCIT00000029169_ENSPCIG00000017911,ENSPCIT00000029171_ENSPCIG00000017911,ENSPCIT00000061318_ENSPCIG00000017911,ENSPCIT00000029168_ENSPCIG00000017911,ENSSHAT00000020294_ENSSHAG00000017080,ENSMODT00000021640_ENSMODG00000017043,ENSMODT00000070261_ENSMODG00000017043,ENSPCAT00000004783_ENSPCAG00000004757,ENSLAFT00000029524_ENSLAFG00000025636,ENSETET00000008121_ENSETEG00000008120,ENSCLAT00000004201_ENSCLAG00000002939,ENSCPOT00000015184_ENSCPOG00000015037,ENSCAPT00000018093_ENSCAPG00000014708
ENSPCIT00000029171_ENSPCIG00000017911,0.32,0.32,0.16,0.17,0.15,0.16,0.17,0.83,0.9,0.49,0.46,0.84,1.0,0.31,0.15,0.16,0.16,0.16,0.17,0.19,0.16,0.17,0.17,0.18
ENSPCIT00000061318_ENSPCIG00000017911,0.27,0.25,0.75,0.72,0.74,0.7,0.68,0.31,0.31,0.81,0.83,0.31,0.31,1.0,0.76,0.72,0.71,0.67,0.4,0.42,0.55,0.63,0.62,0.39
ENSPCIT00000029168_ENSPCIG00000017911,0.35,0.33,0.9,0.86,0.91,0.86,0.84,0.15,0.15,0.63,0.65,0.15,0.15,0.76,1.0,0.89,0.88,0.84,0.49,0.52,0.68,0.78,0.78,0.49
ENSSHAT00000020294_ENSSHAG00000017080,0.36,0.33,0.89,0.85,0.9,0.85,0.83,0.15,0.15,0.59,0.61,0.15,0.16,0.72,0.89,1.0,0.88,0.84,0.5,0.52,0.68,0.79,0.79,0.49
ENSMODT00000021640_ENSMODG00000017043,0.36,0.35,0.89,0.84,0.93,0.88,0.85,0.15,0.15,0.59,0.61,0.15,0.16,0.71,0.88,0.88,1.0,0.91,0.52,0.56,0.73,0.84,0.84,0.52
ENSMODT00000070261_ENSMODG00000017043,0.35,0.36,0.84,0.8,0.88,0.91,0.8,0.16,0.16,0.56,0.57,0.16,0.16,0.67,0.84,0.84,0.91,1.0,0.5,0.57,0.71,0.81,0.8,0.49
ENSPCAT00000004783_ENSPCAG00000004757,0.35,0.3,0.5,0.51,0.5,0.48,0.46,0.16,0.16,0.32,0.33,0.16,0.17,0.4,0.49,0.5,0.52,0.5,1.0,0.58,0.59,0.6,0.59,0.61
ENSLAFT00000029524_ENSLAFG00000025636,0.36,0.36,0.52,0.54,0.54,0.56,0.49,0.18,0.18,0.34,0.35,0.18,0.19,0.42,0.52,0.52,0.56,0.57,0.58,1.0,0.64,0.63,0.63,0.53
ENSETET00000008121_ENSETEG00000008120,0.36,0.35,0.68,0.65,0.71,0.7,0.65,0.16,0.16,0.44,0.46,0.16,0.16,0.55,0.68,0.68,0.73,0.71,0.59,0.64,1.0,0.83,0.82,0.59
ENSCLAT00000004201_ENSCLAG00000002939,0.37,0.36,0.79,0.75,0.82,0.79,0.76,0.17,0.17,0.51,0.53,0.17,0.17,0.63,0.78,0.79,0.84,0.81,0.6,0.63,0.83,1.0,0.97,0.62
ENSCPOT00000015184_ENSCPOG00000015037,0.37,0.36,0.78,0.75,0.82,0.78,0.76,0.17,0.17,0.51,0.53,0.17,0.17,0.62,0.78,0.79,0.84,0.8,0.59,0.63,0.82,0.97,1.0,0.63
ENSCAPT00000018093_ENSCAPG00000014708,0.38,0.3,0.49,0.48,0.5,0.47,0.49,0.17,0.17,0.31,0.32,0.17,0.18,0.39,0.49,0.49,0.52,0.49,0.61,0.53,0.59,0.62,0.63,1.0
