,ENSMICT00000044649_ENSMICG00000027228,ENSMICT00000046466_ENSMICG00000027228,ENSPSMT00000021245_ENSPSMG00000012991,ENSPPAT00000037604_ENSPPAG00000030623,ENSPTRT00000016093_ENSPTRG00000008741,ENST00000649935_ENSG00000184619,ENST00000396267_ENSG00000184619,ENST00000643221_ENSG00000184619,ENST00000647210_ENSG00000184619,ENST00000331336_ENSG00000184619,ENSGGOT00000045859_ENSGGOG00000025913,ENSPPYT00000009316_ENSPPYG00000007961,ENSNLET00000012755_ENSNLEG00000009979,ENSRROT00000048713_ENSRROG00000036048,ENSRBIT00000012227_ENSRBIG00000011287,ENSPTET00000008211_ENSPTEG00000006176,ENSCATT00000048451_ENSCATG00000035639,ENSMLET00000056179_ENSMLEG00000040515,ENSTGET00000039319_ENSTGEG00000026466,ENSPANT00000022957_ENSPANG00000023804,ENSMFAT00000027378_ENSMFAG00000037296,ENSMMUT00000042237_ENSMMUG00000008754,ENSMMUT00000092152_ENSMMUG00000008754,ENSCSAT00000008534_ENSCSAG00000010451,ENSCCAT00000057096_ENSCCAG00000037461
ENSGGOT00000045859_ENSGGOG00000025913,0.68,0.69,0.67,0.96,0.96,0.86,0.72,0.81,0.86,0.81,1.0,0.75,0.95,0.82,0.82,0.82,0.79,0.79,0.79,0.79,0.79,0.82,0.82,0.79,0.82
ENSPPYT00000009316_ENSPPYG00000007961,0.59,0.6,0.6,0.75,0.75,0.78,0.61,0.75,0.78,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.74,0.74,0.75,0.75,0.74,0.75
ENSNLET00000012755_ENSNLEG00000009979,0.68,0.69,0.66,0.95,0.95,0.85,0.71,0.8,0.85,0.8,0.95,0.75,1.0,0.82,0.82,0.82,0.79,0.79,0.79,0.79,0.79,0.82,0.82,0.79,0.81
ENSRROT00000048713_ENSRROG00000036048,0.71,0.71,0.65,0.82,0.82,0.86,0.72,0.81,0.86,0.81,0.82,0.75,0.82,1.0,0.95,0.94,0.82,0.82,0.82,0.81,0.82,0.93,0.93,0.82,0.92
ENSRBIT00000012227_ENSRBIG00000011287,0.71,0.71,0.65,0.82,0.82,0.86,0.72,0.81,0.86,0.81,0.82,0.75,0.82,0.95,1.0,0.94,0.82,0.82,0.82,0.81,0.82,0.93,0.93,0.82,0.91
ENSPTET00000008211_ENSPTEG00000006176,0.7,0.71,0.65,0.82,0.82,0.86,0.72,0.81,0.86,0.81,0.82,0.75,0.82,0.94,0.94,1.0,0.81,0.81,0.81,0.81,0.81,0.93,0.93,0.81,0.91
ENSCATT00000048451_ENSCATG00000035639,0.64,0.64,0.63,0.79,0.79,0.82,0.65,0.87,0.82,0.87,0.79,0.74,0.79,0.82,0.82,0.81,1.0,0.9,0.9,0.89,0.89,0.82,0.82,0.89,0.8
ENSMLET00000056179_ENSMLEG00000040515,0.64,0.64,0.63,0.79,0.79,0.82,0.65,0.87,0.82,0.87,0.79,0.74,0.79,0.82,0.82,0.81,0.9,1.0,0.9,0.89,0.89,0.82,0.82,0.89,0.8
ENSTGET00000039319_ENSTGEG00000026466,0.63,0.64,0.63,0.79,0.79,0.82,0.65,0.87,0.82,0.87,0.79,0.74,0.79,0.82,0.82,0.81,0.9,0.9,1.0,0.9,0.89,0.82,0.82,0.89,0.8
ENSPANT00000022957_ENSPANG00000023804,0.64,0.64,0.63,0.79,0.79,0.82,0.65,0.87,0.82,0.87,0.79,0.74,0.79,0.81,0.81,0.81,0.89,0.89,0.9,1.0,0.89,0.82,0.82,0.89,0.79
ENSMFAT00000027378_ENSMFAG00000037296,0.64,0.64,0.63,0.79,0.79,0.82,0.65,0.87,0.82,0.87,0.79,0.74,0.79,0.82,0.82,0.81,0.89,0.89,0.89,0.89,1.0,0.83,0.83,0.89,0.8
ENSMMUT00000042237_ENSMMUG00000008754,0.7,0.71,0.65,0.82,0.82,0.86,0.72,0.81,0.86,0.81,0.82,0.75,0.82,0.93,0.93,0.93,0.82,0.82,0.82,0.82,0.83,1.0,0.95,0.82,0.91
ENSMMUT00000092152_ENSMMUG00000008754,0.7,0.71,0.65,0.82,0.82,0.86,0.72,0.81,0.86,0.81,0.82,0.75,0.82,0.93,0.93,0.93,0.82,0.82,0.82,0.82,0.83,0.95,1.0,0.82,0.91
ENSCSAT00000008534_ENSCSAG00000010451,0.64,0.64,0.63,0.79,0.79,0.82,0.65,0.87,0.82,0.87,0.79,0.74,0.79,0.82,0.82,0.81,0.89,0.89,0.89,0.89,0.89,0.82,0.82,1.0,0.8
ENSCCAT00000057096_ENSCCAG00000037461,0.7,0.7,0.65,0.82,0.82,0.85,0.72,0.8,0.85,0.8,0.82,0.75,0.81,0.92,0.91,0.91,0.8,0.8,0.8,0.79,0.8,0.91,0.91,0.8,1.0
