,ENSACAT00000025747_ENSACAG00000025881,ENSNSUT00000015596_ENSNSUG00000010851,ENSPVIT00000023386_ENSPVIG00000014397,ENSPVIT00000023389_ENSPVIG00000014397,ENSPVIT00000023392_ENSPVIG00000014397,ENSPVIT00000023395_ENSPVIG00000014397,ENSSMRT00000009344_ENSSMRG00000006415,ENSSMRT00000009356_ENSSMRG00000006415,ENSSMRT00000009378_ENSSMRG00000006415,ENSSMRT00000009385_ENSSMRG00000006415,ENSARWT00000027307_ENSARWG00000016419,ENSARWT00000027273_ENSARWG00000016329,ENSARWT00000027296_ENSARWG00000016329,ENSARWT00000027305_ENSARWG00000016329,ENSAOWT00000010322_ENSAOWG00000006065,ENSAOWT00000010373_ENSAOWG00000006065,ENSAOWT00000010385_ENSAOWG00000006065,ENSAOWT00000010393_ENSAOWG00000006065,ENSAHAT00000008703_ENSAHAG00000005819,ENSAHAT00000008707_ENSAHAG00000005819,ENSDNVT00000022093_ENSDNVG00000012836,ENSDNVT00000022098_ENSDNVG00000012836,ENSDNVT00000022104_ENSDNVG00000012836,ENSDNVT00000022117_ENSDNVG00000012836,ENSNPET00000022111_ENSNPEG00000015878,ENSNPET00000022121_ENSNPEG00000015878,ENSNPET00000022124_ENSNPEG00000015878,ENSNPET00000022127_ENSNPEG00000015878,ENSNPET00000022129_ENSNPEG00000015878,ENSNPET00000022137_ENSNPEG00000015878,ENSNPET00000022146_ENSNPEG00000015878,ENSSCAT00000019219_ENSSCAG00000012477,ENSSCAT00000019222_ENSSCAG00000012477,ENSMVIT00005008475_ENSMVIG00005005558,ENSCCET00000017447_ENSCCEG00000010931,ENSAHAT00000008695_ENSAHAG00000005815,ENSAOWT00000009947_ENSAOWG00000006028,ENSGALT00000108313_ENSGALG00000041263,ENSGALT00000082498_ENSGALG00000041263,ENSGALT00000091572_ENSGALG00000041263,ENSGALT00000095393_ENSGALG00000041263,ENSMGAT00000016939_ENSMGAG00000015065,ENSCJPT00005034488_ENSCJPG00005019904,ENSCJPT00005034490_ENSCJPG00005019904,ENSCJPT00005034491_ENSCJPG00005019904,ENSNMET00000015189_ENSNMEG00000009196,ENSNMET00000015190_ENSNMEG00000009196,ENSNMET00000015192_ENSNMEG00000009196
ENSARWT00000027307_ENSARWG00000016419,0.33,0.38,0.16,0.15,1e-18,0.33,0.15,0.16,0.15,1e-18,1.0,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.16,1e-18,0.15,0.33,0.12,0.13,0.14,0.12,0.12,1e-18,1e-18,0.38,0.22,0.19,0.33,0.38,0.38,0.16,0.15,0.33,1e-18,0.16,0.16,0.15,0.33,0.33,0.16,1e-18
ENSARWT00000027273_ENSARWG00000016329,1e-18,1e-18,0.66,0.56,0.68,1e-18,0.59,0.66,0.56,0.81,1e-18,1.0,0.79,0.79,0.83,0.95,0.79,0.79,0.81,0.68,0.66,0.68,0.56,1e-18,0.56,0.63,0.57,0.53,0.47,0.79,0.68,1e-18,1e-18,0.04,1e-18,0.03,0.03,0.66,0.56,1e-18,0.68,0.66,0.66,0.56,1e-18,1e-18,0.66,0.68
ENSARWT00000027296_ENSARWG00000016329,1e-18,1e-18,0.56,0.65,0.79,1e-18,0.5,0.56,0.65,0.68,1e-18,0.79,1.0,0.88,0.69,0.79,0.92,0.88,0.68,0.79,0.56,0.79,0.65,1e-18,0.47,0.53,0.47,0.62,0.56,0.65,0.75,1e-18,1e-18,0.03,1e-18,0.03,0.03,0.56,0.65,1e-18,0.79,0.56,0.56,0.65,1e-18,1e-18,0.56,0.71
ENSARWT00000027305_ENSARWG00000016329,1e-18,1e-18,0.56,0.62,0.75,1e-18,0.5,0.56,0.62,0.68,1e-18,0.79,0.88,1.0,0.69,0.79,0.88,0.95,0.68,0.75,0.56,0.75,0.62,1e-18,0.47,0.53,0.47,0.59,0.53,0.65,0.81,1e-18,1e-18,0.04,1e-18,0.03,0.03,0.56,0.62,1e-18,0.75,0.56,0.56,0.62,1e-18,1e-18,0.56,0.77
ENSAOWT00000010322_ENSAOWG00000006065,1e-18,1e-18,0.59,0.5,0.6,1e-18,0.53,0.59,0.5,0.71,1e-18,0.83,0.69,0.69,1.0,0.83,0.69,0.69,0.71,0.6,0.59,0.6,0.5,1e-18,0.56,0.56,0.5,0.47,0.42,0.69,0.6,1e-18,1e-18,0.03,1e-18,0.03,0.03,0.59,0.5,1e-18,0.6,0.59,0.59,0.5,1e-18,1e-18,0.59,0.6
ENSAOWT00000010373_ENSAOWG00000006065,1e-18,1e-18,0.66,0.56,0.68,1e-18,0.59,0.66,0.56,0.81,1e-18,0.95,0.79,0.79,0.83,1.0,0.79,0.79,0.81,0.68,0.66,0.68,0.56,1e-18,0.56,0.63,0.57,0.53,0.47,0.79,0.68,1e-18,1e-18,0.04,1e-18,0.03,0.03,0.66,0.56,1e-18,0.68,0.66,0.66,0.56,1e-18,1e-18,0.66,0.68
ENSAOWT00000010385_ENSAOWG00000006065,1e-18,1e-18,0.56,0.65,0.79,1e-18,0.5,0.56,0.65,0.68,1e-18,0.79,0.92,0.88,0.69,0.79,1.0,0.88,0.68,0.79,0.56,0.79,0.65,1e-18,0.47,0.53,0.47,0.62,0.56,0.65,0.75,1e-18,1e-18,0.03,1e-18,0.03,0.03,0.56,0.65,1e-18,0.79,0.56,0.56,0.65,1e-18,1e-18,0.56,0.71
ENSAOWT00000010393_ENSAOWG00000006065,1e-18,1e-18,0.56,0.62,0.75,1e-18,0.5,0.56,0.62,0.68,1e-18,0.79,0.88,0.95,0.69,0.79,0.88,1.0,0.68,0.75,0.56,0.75,0.62,1e-18,0.47,0.53,0.47,0.59,0.53,0.65,0.81,1e-18,1e-18,0.04,1e-18,0.03,0.03,0.56,0.62,1e-18,0.75,0.56,0.56,0.62,1e-18,1e-18,0.56,0.77
ENSAHAT00000008703_ENSAHAG00000005819,0.03,1e-18,0.65,0.56,0.82,0.03,0.58,0.65,0.56,0.96,1e-18,0.81,0.68,0.68,0.71,0.81,0.68,0.68,1.0,0.82,0.65,0.82,0.56,0.03,0.56,0.62,0.56,0.53,0.47,0.68,0.59,1e-18,1e-18,0.03,0.03,0.03,0.03,0.65,0.56,0.03,0.82,0.65,0.65,0.56,0.03,0.03,0.65,0.82
ENSAHAT00000008707_ENSAHAG00000005819,0.03,1e-18,0.56,0.64,0.93,0.03,0.5,0.56,0.64,0.82,1e-18,0.68,0.79,0.75,0.6,0.68,0.79,0.75,0.82,1.0,0.56,0.93,0.64,0.03,0.47,0.53,0.47,0.62,0.56,0.57,0.66,1e-18,1e-18,0.03,0.03,0.03,0.03,0.56,0.64,0.03,0.93,0.56,0.56,0.64,0.03,0.03,0.56,0.86
ENSDNVT00000022093_ENSDNVG00000012836,0.21,0.19,0.88,0.76,0.56,0.21,0.79,0.88,0.76,0.65,0.16,0.66,0.56,0.56,0.59,0.66,0.56,0.56,0.65,0.56,1.0,0.56,0.76,0.21,0.71,0.78,0.72,0.68,0.61,0.56,0.5,0.19,0.11,0.12,0.21,0.22,0.22,0.88,0.76,0.21,0.56,0.88,0.88,0.76,0.21,0.21,0.88,0.56
ENSDNVT00000022098_ENSDNVG00000012836,0.03,1e-18,0.56,0.64,0.93,0.03,0.5,0.56,0.64,0.82,1e-18,0.68,0.79,0.75,0.6,0.68,0.79,0.75,0.82,0.93,0.56,1.0,0.64,0.03,0.47,0.53,0.47,0.62,0.56,0.57,0.66,1e-18,1e-18,0.03,0.03,0.03,0.03,0.56,0.64,0.03,0.93,0.56,0.56,0.64,0.03,0.03,0.56,0.86
ENSDNVT00000022104_ENSDNVG00000012836,0.19,0.18,0.76,0.85,0.64,0.19,0.69,0.76,0.85,0.56,0.15,0.56,0.65,0.62,0.5,0.56,0.65,0.62,0.56,0.64,0.76,0.64,1.0,0.19,0.61,0.68,0.62,0.76,0.69,0.47,0.55,0.18,0.11,0.12,0.19,0.21,0.21,0.76,0.85,0.19,0.64,0.76,0.76,0.85,0.19,0.19,0.76,0.58
ENSDNVT00000022117_ENSDNVG00000012836,0.75,0.43,0.21,0.19,0.03,0.75,0.19,0.21,0.19,0.03,0.33,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.03,0.03,0.21,0.03,0.19,1.0,0.17,0.18,0.19,0.17,0.17,1e-18,1e-18,0.5,0.25,0.21,0.75,0.43,0.43,0.21,0.19,0.75,0.03,0.21,0.21,0.19,0.75,0.75,0.21,0.03
ENSNPET00000022111_ENSNPEG00000015878,0.17,0.15,0.71,0.61,0.47,0.17,0.64,0.71,0.61,0.56,0.12,0.56,0.47,0.47,0.56,0.56,0.47,0.47,0.56,0.47,0.71,0.47,0.61,0.17,1.0,0.84,0.84,0.74,0.67,0.59,0.42,0.15,0.11,0.09,0.17,0.18,0.18,0.71,0.61,0.17,0.47,0.71,0.71,0.61,0.17,0.17,0.71,0.47
ENSNPET00000022121_ENSNPEG00000015878,0.18,0.16,0.78,0.68,0.53,0.18,0.71,0.78,0.68,0.62,0.13,0.63,0.53,0.53,0.56,0.63,0.53,0.53,0.62,0.53,0.78,0.53,0.68,0.18,0.84,1.0,0.87,0.81,0.74,0.66,0.47,0.16,0.12,0.09,0.18,0.19,0.19,0.78,0.68,0.18,0.53,0.78,0.78,0.68,0.18,0.18,0.78,0.53
ENSNPET00000022124_ENSNPEG00000015878,0.19,0.16,0.72,0.62,0.47,0.19,0.65,0.72,0.62,0.56,0.14,0.57,0.47,0.47,0.5,0.57,0.47,0.47,0.56,0.47,0.72,0.47,0.62,0.19,0.84,0.87,1.0,0.75,0.75,0.59,0.42,0.17,0.12,0.1,0.19,0.2,0.2,0.72,0.62,0.19,0.47,0.72,0.72,0.62,0.19,0.19,0.72,0.47
ENSNPET00000022127_ENSNPEG00000015878,0.17,0.15,0.68,0.76,0.62,0.17,0.61,0.68,0.76,0.53,0.12,0.53,0.62,0.59,0.47,0.53,0.62,0.59,0.53,0.62,0.68,0.62,0.76,0.17,0.74,0.81,0.75,1.0,0.82,0.56,0.53,0.15,0.11,0.09,0.17,0.18,0.18,0.68,0.76,0.17,0.62,0.68,0.68,0.76,0.17,0.17,0.68,0.56
ENSNPET00000022129_ENSNPEG00000015878,0.17,0.14,0.61,0.69,0.56,0.17,0.55,0.61,0.69,0.47,0.12,0.47,0.56,0.53,0.42,0.47,0.56,0.53,0.47,0.56,0.61,0.56,0.69,0.17,0.67,0.74,0.75,0.82,1.0,0.5,0.47,0.15,0.11,0.09,0.17,0.18,0.18,0.61,0.69,0.17,0.56,0.61,0.61,0.69,0.17,0.17,0.61,0.5
ENSNPET00000022137_ENSNPEG00000015878,1e-18,1e-18,0.56,0.47,0.57,1e-18,0.5,0.56,0.47,0.68,1e-18,0.79,0.65,0.65,0.69,0.79,0.65,0.65,0.68,0.57,0.56,0.57,0.47,1e-18,0.59,0.66,0.59,0.56,0.5,1.0,0.57,1e-18,1e-18,0.03,1e-18,0.03,0.03,0.56,0.47,1e-18,0.57,0.56,0.56,0.47,1e-18,1e-18,0.56,0.57
ENSNPET00000022146_ENSNPEG00000015878,1e-18,1e-18,0.5,0.55,0.66,1e-18,0.45,0.5,0.55,0.59,1e-18,0.68,0.75,0.81,0.6,0.68,0.75,0.81,0.59,0.66,0.5,0.66,0.55,1e-18,0.42,0.47,0.42,0.53,0.47,0.57,1.0,1e-18,1e-18,0.03,1e-18,0.03,0.03,0.5,0.55,1e-18,0.66,0.5,0.5,0.55,1e-18,1e-18,0.5,0.67
ENSSCAT00000019219_ENSSCAG00000012477,0.5,0.5,0.19,0.18,1e-18,0.5,0.18,0.19,0.18,1e-18,0.38,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.19,1e-18,0.18,0.5,0.15,0.16,0.17,0.15,0.15,1e-18,1e-18,1.0,0.29,0.25,0.5,0.5,0.5,0.19,0.18,0.5,1e-18,0.19,0.19,0.18,0.5,0.5,0.19,1e-18
ENSSCAT00000019222_ENSSCAG00000012477,0.25,0.29,0.11,0.11,1e-18,0.25,0.11,0.11,0.11,1e-18,0.22,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.11,1e-18,0.11,0.25,0.11,0.12,0.12,0.11,0.11,1e-18,1e-18,0.29,1.0,0.21,0.25,0.29,0.29,0.11,0.11,0.25,1e-18,0.11,0.11,0.11,0.25,0.25,0.11,1e-18
ENSMVIT00005008475_ENSMVIG00005005558,0.21,0.25,0.12,0.12,0.03,0.21,0.12,0.12,0.12,0.03,0.19,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.12,0.03,0.12,0.21,0.09,0.09,0.1,0.09,0.09,0.03,0.03,0.25,0.21,1.0,0.21,0.4,0.4,0.12,0.12,0.21,0.03,0.12,0.12,0.12,0.21,0.21,0.12,0.03
ENSCCET00000017447_ENSCCEG00000010931,0.75,0.43,0.21,0.19,0.03,0.75,0.19,0.21,0.19,0.03,0.33,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.03,0.03,0.21,0.03,0.19,0.75,0.17,0.18,0.19,0.17,0.17,1e-18,1e-18,0.5,0.25,0.21,1.0,0.43,0.43,0.21,0.19,0.75,0.03,0.21,0.21,0.19,0.75,0.75,0.21,0.03
ENSAHAT00000008695_ENSAHAG00000005815,0.43,0.5,0.22,0.21,0.03,0.43,0.21,0.22,0.21,0.03,0.38,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.22,0.03,0.21,0.43,0.18,0.19,0.2,0.18,0.18,0.03,0.03,0.5,0.29,0.4,0.43,1.0,0.7,0.22,0.21,0.43,0.03,0.22,0.22,0.21,0.43,0.43,0.22,0.03
ENSAOWT00000009947_ENSAOWG00000006028,0.43,0.5,0.22,0.21,0.03,0.43,0.21,0.22,0.21,0.03,0.38,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.22,0.03,0.21,0.43,0.18,0.19,0.2,0.18,0.18,0.03,0.03,0.5,0.29,0.4,0.43,0.7,1.0,0.22,0.21,0.43,0.03,0.22,0.22,0.21,0.43,0.43,0.22,0.03
ENSGALT00000108313_ENSGALG00000041263,0.21,0.19,0.88,0.76,0.56,0.21,0.79,0.88,0.76,0.65,0.16,0.66,0.56,0.56,0.59,0.66,0.56,0.56,0.65,0.56,0.88,0.56,0.76,0.21,0.71,0.78,0.72,0.68,0.61,0.56,0.5,0.19,0.11,0.12,0.21,0.22,0.22,1.0,0.76,0.21,0.56,0.88,0.88,0.76,0.21,0.21,0.88,0.56
ENSGALT00000082498_ENSGALG00000041263,0.19,0.18,0.76,0.85,0.64,0.19,0.69,0.76,0.85,0.56,0.15,0.56,0.65,0.62,0.5,0.56,0.65,0.62,0.56,0.64,0.76,0.64,0.85,0.19,0.61,0.68,0.62,0.76,0.69,0.47,0.55,0.18,0.11,0.12,0.19,0.21,0.21,0.76,1.0,0.19,0.64,0.76,0.76,0.85,0.19,0.19,0.76,0.58
ENSGALT00000091572_ENSGALG00000041263,0.75,0.43,0.21,0.19,0.03,0.75,0.19,0.21,0.19,0.03,0.33,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.03,0.03,0.21,0.03,0.19,0.75,0.17,0.18,0.19,0.17,0.17,1e-18,1e-18,0.5,0.25,0.21,0.75,0.43,0.43,0.21,0.19,1.0,0.03,0.21,0.21,0.19,0.75,0.75,0.21,0.03
ENSGALT00000095393_ENSGALG00000041263,0.03,1e-18,0.56,0.64,0.93,0.03,0.5,0.56,0.64,0.82,1e-18,0.68,0.79,0.75,0.6,0.68,0.79,0.75,0.82,0.93,0.56,0.93,0.64,0.03,0.47,0.53,0.47,0.62,0.56,0.57,0.66,1e-18,1e-18,0.03,0.03,0.03,0.03,0.56,0.64,0.03,1.0,0.56,0.56,0.64,0.03,0.03,0.56,0.86
ENSMGAT00000016939_ENSMGAG00000015065,0.21,0.19,0.88,0.76,0.56,0.21,0.79,0.88,0.76,0.65,0.16,0.66,0.56,0.56,0.59,0.66,0.56,0.56,0.65,0.56,0.88,0.56,0.76,0.21,0.71,0.78,0.72,0.68,0.61,0.56,0.5,0.19,0.11,0.12,0.21,0.22,0.22,0.88,0.76,0.21,0.56,1.0,0.88,0.76,0.21,0.21,0.88,0.56
ENSCJPT00005034488_ENSCJPG00005019904,0.21,0.19,0.88,0.76,0.56,0.21,0.79,0.88,0.76,0.65,0.16,0.66,0.56,0.56,0.59,0.66,0.56,0.56,0.65,0.56,0.88,0.56,0.76,0.21,0.71,0.78,0.72,0.68,0.61,0.56,0.5,0.19,0.11,0.12,0.21,0.22,0.22,0.88,0.76,0.21,0.56,0.88,1.0,0.76,0.21,0.21,0.88,0.56
ENSCJPT00005034490_ENSCJPG00005019904,0.19,0.18,0.76,0.85,0.64,0.19,0.69,0.76,0.85,0.56,0.15,0.56,0.65,0.62,0.5,0.56,0.65,0.62,0.56,0.64,0.76,0.64,0.85,0.19,0.61,0.68,0.62,0.76,0.69,0.47,0.55,0.18,0.11,0.12,0.19,0.21,0.21,0.76,0.85,0.19,0.64,0.76,0.76,1.0,0.19,0.19,0.76,0.58
ENSCJPT00005034491_ENSCJPG00005019904,0.75,0.43,0.21,0.19,0.03,0.75,0.19,0.21,0.19,0.03,0.33,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.03,0.03,0.21,0.03,0.19,0.75,0.17,0.18,0.19,0.17,0.17,1e-18,1e-18,0.5,0.25,0.21,0.75,0.43,0.43,0.21,0.19,0.75,0.03,0.21,0.21,0.19,1.0,0.75,0.21,0.03
ENSNMET00000015189_ENSNMEG00000009196,0.75,0.43,0.21,0.19,0.03,0.75,0.19,0.21,0.19,0.03,0.33,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.03,0.03,0.21,0.03,0.19,0.75,0.17,0.18,0.19,0.17,0.17,1e-18,1e-18,0.5,0.25,0.21,0.75,0.43,0.43,0.21,0.19,0.75,0.03,0.21,0.21,0.19,0.75,1.0,0.21,0.03
ENSNMET00000015190_ENSNMEG00000009196,0.21,0.19,0.88,0.76,0.56,0.21,0.79,0.88,0.76,0.65,0.16,0.66,0.56,0.56,0.59,0.66,0.56,0.56,0.65,0.56,0.88,0.56,0.76,0.21,0.71,0.78,0.72,0.68,0.61,0.56,0.5,0.19,0.11,0.12,0.21,0.22,0.22,0.88,0.76,0.21,0.56,0.88,0.88,0.76,0.21,0.21,1.0,0.56
ENSNMET00000015192_ENSNMEG00000009196,0.03,1e-18,0.56,0.58,0.86,0.03,0.5,0.56,0.58,0.82,1e-18,0.68,0.71,0.77,0.6,0.68,0.71,0.77,0.82,0.86,0.56,0.86,0.58,0.03,0.47,0.53,0.47,0.56,0.5,0.57,0.67,1e-18,1e-18,0.03,0.03,0.03,0.03,0.56,0.58,0.03,0.86,0.56,0.56,0.58,0.03,0.03,0.56,1.0
