,ENSPCIT00000042140_ENSPCIG00000025340,ENSMEUT00000007261_ENSMEUG00000007249,ENSMODT00000024695_ENSMODG00000019455,ENSPTRT00000059167_ENSPTRG00000044114,ENSPTRT00000098388_ENSPTRG00000044114,ENSPTRT00000093969_ENSPTRG00000044114,ENSPTRT00000081159_ENSPTRG00000044114,ENST00000359676_ENSG00000197183,ENST00000621426_ENSG00000197183,ENST00000326071_ENSG00000197183,ENST00000375678_ENSG00000197183,ENST00000616976_ENSG00000197183,ENSPPAT00000065134_ENSPPAG00000043681,ENSPPAT00000065139_ENSPPAG00000043681,ENSGGOT00000028069_ENSGGOG00000002289,ENSGGOT00000044906_ENSGGOG00000002289,ENSGGOT00000046990_ENSGGOG00000002289,ENSPPYT00000012662_ENSPPYG00000010907,ENSNLET00000038470_ENSNLEG00000009815,ENSNLET00000043874_ENSNLEG00000009815,ENSNLET00000057712_ENSNLEG00000009815,ENSRROT00000057867_ENSRROG00000040291,ENSRROT00000057868_ENSRROG00000040291,ENSRROT00000057869_ENSRROG00000040291,ENSRROT00000057872_ENSRROG00000040291,ENSRBIT00000057252_ENSRBIG00000040392,ENSRBIT00000057257_ENSRBIG00000040392,ENSRBIT00000057258_ENSRBIG00000040392,ENSRBIT00000057259_ENSRBIG00000040392,ENSPTET00000006366_ENSPTEG00000004799,ENSPTET00000006375_ENSPTEG00000004799,ENSPTET00000006380_ENSPTEG00000004799,ENSPTET00000006387_ENSPTEG00000004799,ENSPTET00000006393_ENSPTEG00000004799
ENST00000375678_ENSG00000197183,0.54,0.43,0.57,0.61,0.53,1.0,0.83,0.53,0.61,0.54,1.0,0.52,0.53,1.0,0.53,1.0,0.83,0.52,1.0,0.83,0.52,0.99,0.83,0.52,0.57,0.52,0.54,0.99,0.83,0.62,0.52,0.62,0.62,0.99
ENST00000616976_ENSG00000197183,0.64,0.7,0.6,0.75,0.9,0.52,0.52,0.91,0.75,0.56,0.52,1.0,0.9,0.52,0.9,0.52,0.52,0.83,0.52,0.52,0.93,0.52,0.52,0.98,0.55,0.89,0.55,0.52,0.52,0.76,0.89,0.71,0.71,0.52
ENSPPAT00000065134_ENSPPAG00000043681,0.66,0.75,0.62,0.79,1.0,0.53,0.53,1.0,0.79,0.56,0.53,0.9,1.0,0.53,1.0,0.53,0.53,0.9,0.53,0.53,0.84,0.52,0.52,0.89,0.55,0.95,0.56,0.52,0.52,0.81,0.98,0.73,0.73,0.52
ENSPPAT00000065139_ENSPPAG00000043681,0.54,0.43,0.57,0.61,0.53,1.0,0.83,0.53,0.61,0.54,1.0,0.52,0.53,1.0,0.53,1.0,0.83,0.52,1.0,0.83,0.52,0.99,0.83,0.52,0.57,0.52,0.54,0.99,0.83,0.62,0.52,0.62,0.62,0.99
ENSGGOT00000028069_ENSGGOG00000002289,0.66,0.75,0.62,0.79,1.0,0.53,0.53,1.0,0.79,0.56,0.53,0.9,1.0,0.53,1.0,0.53,0.53,0.9,0.53,0.53,0.84,0.52,0.52,0.89,0.55,0.95,0.56,0.52,0.52,0.81,0.98,0.73,0.73,0.52
ENSGGOT00000044906_ENSGGOG00000002289,0.54,0.43,0.57,0.61,0.53,1.0,0.83,0.53,0.61,0.54,1.0,0.52,0.53,1.0,0.53,1.0,0.83,0.52,1.0,0.83,0.52,0.99,0.83,0.52,0.57,0.52,0.54,0.99,0.83,0.62,0.52,0.62,0.62,0.99
ENSGGOT00000046990_ENSGGOG00000002289,0.54,0.43,0.57,0.61,0.53,0.83,1.0,0.53,0.61,0.54,0.83,0.52,0.53,0.83,0.53,0.83,1.0,0.52,0.83,0.94,0.52,0.83,0.98,0.52,0.53,0.52,0.54,0.83,0.98,0.62,0.52,0.62,0.62,0.83
ENSPPYT00000012662_ENSPPYG00000010907,0.64,0.67,0.6,0.76,0.9,0.52,0.52,0.9,0.76,0.53,0.52,0.83,0.9,0.52,0.9,0.52,0.52,1.0,0.52,0.52,0.77,0.52,0.52,0.82,0.53,0.86,0.53,0.52,0.52,0.78,0.89,0.71,0.71,0.52
ENSNLET00000038470_ENSNLEG00000009815,0.54,0.43,0.57,0.61,0.53,1.0,0.83,0.53,0.61,0.54,1.0,0.52,0.53,1.0,0.53,1.0,0.83,0.52,1.0,0.83,0.52,0.99,0.83,0.52,0.57,0.52,0.54,0.99,0.83,0.61,0.52,0.61,0.61,0.99
ENSNLET00000043874_ENSNLEG00000009815,0.54,0.43,0.57,0.61,0.53,0.83,0.94,0.53,0.61,0.54,0.83,0.52,0.53,0.83,0.53,0.83,0.94,0.52,0.83,1.0,0.52,0.83,0.93,0.52,0.53,0.52,0.54,0.83,0.93,0.61,0.52,0.61,0.61,0.83
ENSNLET00000057712_ENSNLEG00000009815,0.59,0.67,0.58,0.7,0.84,0.52,0.52,0.84,0.7,0.56,0.52,0.93,0.84,0.52,0.84,0.52,0.52,0.77,0.52,0.52,1.0,0.52,0.52,0.93,0.55,0.83,0.55,0.52,0.52,0.71,0.83,0.68,0.68,0.52
ENSRROT00000057867_ENSRROG00000040291,0.54,0.43,0.57,0.61,0.52,0.99,0.83,0.52,0.61,0.54,0.99,0.52,0.52,0.99,0.52,0.99,0.83,0.52,0.99,0.83,0.52,1.0,0.83,0.52,0.58,0.53,0.54,1.0,0.83,0.62,0.53,0.62,0.62,0.99
ENSRROT00000057868_ENSRROG00000040291,0.54,0.43,0.57,0.61,0.52,0.83,0.98,0.52,0.61,0.54,0.83,0.52,0.52,0.83,0.52,0.83,0.98,0.52,0.83,0.93,0.52,0.83,1.0,0.52,0.54,0.53,0.54,0.83,1.0,0.62,0.53,0.62,0.62,0.83
ENSRROT00000057869_ENSRROG00000040291,0.64,0.7,0.6,0.73,0.89,0.52,0.52,0.89,0.73,0.55,0.52,0.98,0.89,0.52,0.89,0.52,0.52,0.82,0.52,0.52,0.93,0.52,0.52,1.0,0.55,0.9,0.56,0.52,0.52,0.77,0.9,0.72,0.72,0.52
ENSRROT00000057872_ENSRROG00000040291,0.43,0.47,0.44,0.52,0.55,0.57,0.53,0.55,0.52,0.73,0.57,0.55,0.55,0.57,0.55,0.57,0.53,0.53,0.57,0.53,0.55,0.58,0.54,0.55,1.0,0.56,0.83,0.58,0.54,0.52,0.56,0.52,0.52,0.58
ENSRBIT00000057252_ENSRBIG00000040392,0.66,0.75,0.62,0.76,0.95,0.52,0.52,0.95,0.76,0.56,0.52,0.89,0.95,0.52,0.95,0.52,0.52,0.86,0.52,0.52,0.83,0.53,0.53,0.9,0.56,1.0,0.56,0.53,0.53,0.79,0.96,0.74,0.74,0.53
ENSRBIT00000057257_ENSRBIG00000040392,0.43,0.48,0.44,0.52,0.56,0.54,0.54,0.56,0.52,0.86,0.54,0.55,0.56,0.54,0.56,0.54,0.54,0.53,0.54,0.54,0.55,0.54,0.54,0.56,0.83,0.56,1.0,0.54,0.54,0.53,0.56,0.53,0.53,0.54
ENSRBIT00000057258_ENSRBIG00000040392,0.54,0.43,0.57,0.61,0.52,0.99,0.83,0.52,0.61,0.54,0.99,0.52,0.52,0.99,0.52,0.99,0.83,0.52,0.99,0.83,0.52,1.0,0.83,0.52,0.58,0.53,0.54,1.0,0.83,0.62,0.53,0.62,0.62,0.99
ENSRBIT00000057259_ENSRBIG00000040392,0.54,0.43,0.57,0.61,0.52,0.83,0.98,0.52,0.61,0.54,0.83,0.52,0.52,0.83,0.52,0.83,0.98,0.52,0.83,0.93,0.52,0.83,1.0,0.52,0.54,0.53,0.54,0.83,1.0,0.62,0.53,0.62,0.62,0.83
ENSPTET00000006366_ENSPTEG00000004799,0.81,0.61,0.76,0.94,0.81,0.62,0.62,0.81,0.94,0.52,0.62,0.76,0.81,0.62,0.81,0.62,0.62,0.78,0.61,0.61,0.71,0.62,0.62,0.77,0.52,0.79,0.53,0.62,0.62,1.0,0.82,0.91,0.91,0.62
ENSPTET00000006375_ENSPTEG00000004799,0.66,0.74,0.61,0.78,0.98,0.52,0.52,0.98,0.78,0.56,0.52,0.89,0.98,0.52,0.98,0.52,0.52,0.89,0.52,0.52,0.83,0.53,0.53,0.9,0.56,0.96,0.56,0.53,0.53,0.82,1.0,0.75,0.75,0.53
ENSPTET00000006380_ENSPTEG00000004799,0.75,0.61,0.71,0.86,0.73,0.62,0.62,0.73,0.86,0.52,0.62,0.71,0.73,0.62,0.73,0.62,0.62,0.71,0.61,0.61,0.68,0.62,0.62,0.72,0.52,0.74,0.53,0.62,0.62,0.91,0.75,1.0,0.97,0.62
ENSPTET00000006387_ENSPTEG00000004799,0.75,0.61,0.71,0.86,0.73,0.62,0.62,0.73,0.86,0.52,0.62,0.71,0.73,0.62,0.73,0.62,0.62,0.71,0.61,0.61,0.68,0.62,0.62,0.72,0.52,0.74,0.53,0.62,0.62,0.91,0.75,0.97,1.0,0.62
ENSPTET00000006393_ENSPTEG00000004799,0.54,0.43,0.57,0.61,0.52,0.99,0.83,0.52,0.61,0.54,0.99,0.52,0.52,0.99,0.52,0.99,0.83,0.52,0.99,0.83,0.52,0.99,0.83,0.52,0.58,0.53,0.54,0.99,0.83,0.62,0.53,0.62,0.62,1.0
