,FBtr0087374_FBgn0004698,FBtr0087373_FBgn0004698,FBtr0308700_FBgn0004698,Y76B12C.2.1_WBGene00022296,ENSVURT00010023444_ENSVURG00010015746,ENSPCIT00000052088_ENSPCIG00000007579,ENSPCIT00000011628_ENSPCIG00000007579,ENSMODT00000009211_ENSMODG00000007289,ENSSHAT00000001355_ENSSHAG00000001194,ENSSHAT00000001356_ENSSHAG00000001194,ENSTGET00000021151_ENSTGEG00000014344,ENSPANT00000027881_ENSPANG00000004175,ENSMMUT00000081036_ENSMMUG00000023125,ENSMMUT00000032534_ENSMMUG00000023125,ENSMMUT00000109044_ENSMMUG00000023125,ENSMMUT00000073942_ENSMMUG00000023125,ENSMFAT00000067979_ENSMFAG00000031847,ENSMNET00000054280_ENSMNEG00000038400,ENSCATT00000050895_ENSCATG00000036725,ENSMLET00000058674_ENSMLEG00000041682,ENSCSAT00000007484_ENSCSAG00000009411,ENSPTET00000015497_ENSPTEG00000011569,ENSPTET00000015506_ENSPTEG00000011569
ENSTGET00000021151_ENSTGEG00000014344,1e-18,1e-18,1e-18,0.19,0.83,0.8,0.75,0.83,0.78,0.83,1.0,0.9,1e-18,0.72,0.9,0.81,0.9,0.9,0.9,0.9,0.78,0.81,0.9
ENSPANT00000027881_ENSPANG00000004175,1e-18,1e-18,1e-18,0.19,0.83,0.8,0.75,0.83,0.78,0.83,0.9,1.0,1e-18,0.72,0.9,0.81,0.9,0.9,0.9,0.9,0.78,0.81,0.9
ENSMMUT00000081036_ENSMMUG00000023125,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1.0,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSMMUT00000032534_ENSMMUG00000023125,1e-18,1e-18,1e-18,0.17,0.69,0.66,0.62,0.69,0.65,0.69,0.72,0.72,1e-18,1.0,0.72,0.65,0.72,0.72,0.72,0.72,0.72,0.65,0.72
ENSMMUT00000109044_ENSMMUG00000023125,1e-18,1e-18,1e-18,0.19,0.83,0.8,0.75,0.83,0.78,0.83,0.9,0.9,1e-18,0.72,1.0,0.81,0.9,0.9,0.9,0.9,0.78,0.81,0.9
ENSMMUT00000073942_ENSMMUG00000023125,1e-18,1e-18,1e-18,0.18,0.75,0.72,0.68,0.75,0.71,0.75,0.81,0.81,1e-18,0.65,0.81,1.0,0.81,0.81,0.81,0.81,0.71,0.91,0.81
ENSMFAT00000067979_ENSMFAG00000031847,1e-18,1e-18,1e-18,0.19,0.83,0.8,0.75,0.83,0.78,0.83,0.9,0.9,1e-18,0.72,0.9,0.81,1.0,0.9,0.9,0.9,0.78,0.81,0.9
ENSMNET00000054280_ENSMNEG00000038400,1e-18,1e-18,1e-18,0.19,0.83,0.8,0.75,0.83,0.78,0.83,0.9,0.9,1e-18,0.72,0.9,0.81,0.9,1.0,0.9,0.9,0.78,0.81,0.9
ENSCATT00000050895_ENSCATG00000036725,1e-18,1e-18,1e-18,0.19,0.83,0.8,0.75,0.83,0.78,0.83,0.9,0.9,1e-18,0.72,0.9,0.81,0.9,0.9,1.0,0.9,0.78,0.81,0.9
ENSMLET00000058674_ENSMLEG00000041682,1e-18,1e-18,1e-18,0.19,0.83,0.8,0.75,0.83,0.78,0.83,0.9,0.9,1e-18,0.72,0.9,0.81,0.9,0.9,0.9,1.0,0.78,0.81,0.9
ENSCSAT00000007484_ENSCSAG00000009411,1e-18,1e-18,1e-18,0.19,0.75,0.72,0.68,0.75,0.71,0.75,0.78,0.78,1e-18,0.72,0.78,0.71,0.78,0.78,0.78,0.78,1.0,0.71,0.78
ENSPTET00000015497_ENSPTEG00000011569,1e-18,1e-18,1e-18,0.18,0.75,0.72,0.68,0.75,0.71,0.75,0.81,0.81,1e-18,0.65,0.81,0.91,0.81,0.81,0.81,0.81,0.71,1.0,0.81
ENSPTET00000015506_ENSPTEG00000011569,1e-18,1e-18,1e-18,0.19,0.83,0.8,0.75,0.83,0.78,0.83,0.9,0.9,1e-18,0.72,0.9,0.81,0.9,0.9,0.9,0.9,0.78,0.81,1.0
