,ENSSFOT00015034970_ENSSFOG00015022045,ENSSFOT00015034984_ENSSFOG00015022045,ENSSFOT00015035002_ENSSFOG00015022045,ENSSFOT00015035017_ENSSFOG00015022045,ENSPKIT00000003981_ENSPKIG00000006972,ENSPKIT00000004012_ENSPKIG00000006972,ENSPKIT00000004044_ENSPKIG00000006972,ENSPKIT00000032867_ENSPKIG00000024133,ENSPKIT00000032885_ENSPKIG00000024133,ENSPKIT00000032895_ENSPKIG00000024133,ENSPKIT00000032904_ENSPKIG00000024133,ENSPKIT00000032915_ENSPKIG00000024133,ENSSFOT00015002307_ENSSFOG00015001533,ENSCHAT00000049246_ENSCHAG00000020156,ENSCHAT00000049262_ENSCHAG00000020156,ENSCHAT00000049303_ENSCHAG00000020156,ENSCHAT00000049332_ENSCHAG00000020156,ENSCHAT00000049372_ENSCHAG00000020156,ENSCHAT00000049399_ENSCHAG00000020156,ENSCHAT00000049432_ENSCHAG00000020156,ENSCHAT00000049457_ENSCHAG00000020156,ENSCHAT00000049485_ENSCHAG00000020156,ENSDCDT00000014588_ENSDCDG00000004583,ENSDCDT00000014602_ENSDCDG00000004583,ENSDCDT00000014606_ENSDCDG00000004583,ENSDCDT00000014613_ENSDCDG00000004583,ENSDCDT00000014803_ENSDCDG00000004583,ENSDCDT00000014868_ENSDCDG00000004583,ENSDCDT00000014987_ENSDCDG00000004583,ENSDART00000161289_ENSDARG00000102730,ENSDART00000159899_ENSDARG00000102730,ENSDART00000162834_ENSDARG00000102730,ENSDART00000160711_ENSDARG00000102730,ENSDART00000161753_ENSDARG00000102730,ENSELUT00000032269_ENSELUG00000020634,ENSELUT00000032274_ENSELUG00000020634,ENSHHUT00000041931_ENSHHUG00000024945,ENSHHUT00000083238_ENSHHUG00000045800,ENSHHUT00000083269_ENSHHUG00000045800,ENSHHUT00000083285_ENSHHUG00000045800,ENSHHUT00000083288_ENSHHUG00000045800,ENSHHUT00000083468_ENSHHUG00000045800,ENSHHUT00000083476_ENSHHUG00000045800,ENSHHUT00000083481_ENSHHUG00000045800,ENSHHUT00000083501_ENSHHUG00000045800,ENSAMXT00000048268_ENSAMXG00000030412,ENSAMXT00000033115_ENSAMXG00000030412,ENSPNAT00000021936_ENSPNAG00000020204,ENSPNAT00000022015_ENSPNAG00000020204,ENSPNAT00000037238_ENSPNAG00000020204,ENSPNAT00000037256_ENSPNAG00000020204,ENSEEET00000035044_ENSEEEG00000016475,ENSIPUT00000024496_ENSIPUG00000015786,ENSIPUT00000024528_ENSIPUG00000015786,ENSIPUT00000024565_ENSIPUG00000015786,ENSIPUT00000024581_ENSIPUG00000015786,ENSIPUT00000024611_ENSIPUG00000015786
ENSPKIT00000032904_ENSPKIG00000024133,0.53,0.6,0.57,0.61,0.69,0.6,0.61,0.7,0.8,0.8,1.0,0.7,0.25,0.59,0.61,0.6,0.56,0.57,0.69,0.6,0.63,0.64,0.7,0.6,0.64,0.69,0.6,0.63,0.69,0.54,0.7,0.57,0.57,0.7,0.15,0.48,0.44,0.53,0.47,0.56,0.5,0.64,0.69,0.64,0.6,0.43,0.5,0.43,0.51,0.49,0.18,0.43,0.51,0.56,0.64,0.53,0.56
ENSPKIT00000032915_ENSPKIG00000024133,0.63,0.7,0.68,0.72,0.8,0.71,0.72,0.82,0.7,0.7,0.7,1.0,0.23,0.66,0.72,0.71,0.67,0.69,0.67,0.7,0.75,0.72,0.76,0.71,0.76,0.67,0.69,0.74,0.8,0.6,0.76,0.63,0.67,0.76,0.14,0.45,0.41,0.63,0.56,0.66,0.6,0.72,0.67,0.63,0.69,0.5,0.46,0.4,0.48,0.45,0.17,0.4,0.57,0.64,0.72,0.61,0.67
ENSSFOT00015002307_ENSSFOG00015001533,0.2,0.21,0.21,0.21,0.23,0.23,0.24,0.23,0.25,0.25,0.25,0.23,1.0,0.2,0.21,0.23,0.21,0.24,0.24,0.21,0.21,0.24,0.24,0.23,0.24,0.24,0.21,0.21,0.23,0.21,0.24,0.22,0.21,0.24,0.25,0.32,0.36,0.2,0.2,0.21,0.21,0.21,0.24,0.22,0.21,0.19,0.25,0.36,0.29,0.28,0.33,0.36,0.21,0.21,0.21,0.22,0.21
ENSCHAT00000049246_ENSCHAG00000020156,0.63,0.68,0.57,0.6,0.66,0.59,0.59,0.66,0.59,0.59,0.59,0.66,0.2,1.0,0.61,0.6,0.67,0.57,0.59,0.67,0.63,0.6,0.66,0.59,0.63,0.59,0.69,0.62,0.66,0.62,0.65,0.65,0.66,0.65,0.19,0.38,0.35,0.63,0.56,0.65,0.59,0.62,0.59,0.65,0.66,0.41,0.4,0.35,0.51,0.49,0.22,0.43,0.5,0.55,0.62,0.53,0.56
ENSCHAT00000049262_ENSCHAG00000020156,0.72,0.63,0.77,0.82,0.72,0.64,0.64,0.72,0.61,0.61,0.61,0.72,0.21,0.61,1.0,0.65,0.62,0.62,0.61,0.65,0.69,0.66,0.68,0.64,0.68,0.61,0.63,0.67,0.72,0.66,0.67,0.69,0.73,0.67,0.13,0.42,0.39,0.72,0.65,0.6,0.69,0.65,0.6,0.56,0.63,0.48,0.44,0.38,0.45,0.43,0.16,0.38,0.63,0.57,0.65,0.68,0.61
ENSCHAT00000049303_ENSCHAG00000020156,0.57,0.62,0.6,0.64,0.71,0.84,0.63,0.71,0.6,0.6,0.6,0.71,0.23,0.6,0.65,1.0,0.61,0.7,0.61,0.64,0.68,0.65,0.67,0.85,0.77,0.6,0.63,0.66,0.71,0.53,0.66,0.56,0.6,0.66,0.14,0.38,0.41,0.57,0.67,0.78,0.61,0.64,0.6,0.56,0.63,0.5,0.56,0.4,0.42,0.39,0.17,0.4,0.68,0.75,0.64,0.61,0.79
ENSCHAT00000049332_ENSCHAG00000020156,0.64,0.7,0.58,0.61,0.67,0.6,0.6,0.67,0.56,0.56,0.56,0.67,0.21,0.67,0.62,0.61,1.0,0.58,0.57,0.68,0.64,0.61,0.63,0.6,0.64,0.57,0.77,0.63,0.67,0.6,0.63,0.63,0.67,0.63,0.2,0.39,0.37,0.64,0.57,0.66,0.6,0.61,0.56,0.63,0.67,0.45,0.41,0.36,0.52,0.5,0.23,0.45,0.49,0.54,0.61,0.51,0.57
ENSCHAT00000049372_ENSCHAG00000020156,0.54,0.6,0.57,0.61,0.69,0.69,0.61,0.69,0.57,0.57,0.57,0.69,0.24,0.57,0.62,0.7,0.58,1.0,0.58,0.62,0.65,0.62,0.64,0.69,0.75,0.57,0.6,0.63,0.69,0.5,0.64,0.53,0.57,0.64,0.14,0.37,0.4,0.54,0.54,0.64,0.58,0.61,0.57,0.53,0.6,0.47,0.42,0.4,0.37,0.36,0.18,0.39,0.54,0.61,0.61,0.58,0.64
ENSCHAT00000049399_ENSCHAG00000020156,0.54,0.6,0.57,0.6,0.67,0.59,0.6,0.67,0.69,0.69,0.69,0.67,0.24,0.59,0.61,0.61,0.57,0.58,1.0,0.61,0.64,0.61,0.68,0.6,0.63,0.68,0.6,0.63,0.67,0.55,0.68,0.57,0.56,0.68,0.14,0.45,0.41,0.54,0.48,0.56,0.5,0.64,0.68,0.71,0.6,0.41,0.46,0.41,0.49,0.46,0.18,0.41,0.5,0.56,0.63,0.53,0.56
ENSCHAT00000049432_ENSCHAG00000020156,0.73,0.8,0.69,0.63,0.7,0.62,0.63,0.7,0.6,0.6,0.6,0.7,0.21,0.67,0.65,0.64,0.68,0.62,0.61,1.0,0.67,0.65,0.67,0.63,0.67,0.6,0.7,0.66,0.7,0.69,0.67,0.63,0.67,0.67,0.23,0.39,0.37,0.73,0.65,0.66,0.69,0.63,0.6,0.63,0.67,0.45,0.41,0.36,0.49,0.47,0.21,0.42,0.52,0.57,0.63,0.55,0.59
ENSCHAT00000049457_ENSCHAG00000020156,0.59,0.66,0.63,0.68,0.75,0.67,0.67,0.75,0.63,0.63,0.63,0.75,0.21,0.63,0.69,0.68,0.64,0.65,0.64,0.67,1.0,0.68,0.71,0.67,0.72,0.63,0.66,0.69,0.75,0.56,0.71,0.59,0.63,0.71,0.13,0.42,0.39,0.6,0.54,0.62,0.57,0.67,0.63,0.59,0.66,0.47,0.44,0.38,0.44,0.43,0.16,0.38,0.54,0.6,0.67,0.57,0.63
ENSCHAT00000049485_ENSCHAG00000020156,0.57,0.64,0.61,0.64,0.72,0.63,0.64,0.72,0.64,0.64,0.64,0.72,0.24,0.6,0.66,0.65,0.61,0.62,0.61,0.65,0.68,1.0,0.69,0.64,0.69,0.61,0.64,0.67,0.73,0.53,0.68,0.56,0.6,0.68,0.14,0.48,0.44,0.57,0.51,0.6,0.54,0.64,0.6,0.56,0.64,0.46,0.43,0.43,0.51,0.49,0.18,0.43,0.51,0.57,0.64,0.54,0.6
ENSDCDT00000014588_ENSDCDG00000004583,0.6,0.67,0.64,0.67,0.76,0.66,0.68,0.76,0.7,0.7,0.7,0.76,0.24,0.66,0.68,0.67,0.63,0.64,0.68,0.67,0.71,0.69,1.0,0.68,0.73,0.69,0.68,0.71,0.77,0.61,0.77,0.64,0.63,0.77,0.15,0.46,0.42,0.6,0.53,0.63,0.56,0.71,0.68,0.64,0.67,0.46,0.47,0.41,0.49,0.46,0.18,0.41,0.57,0.63,0.71,0.6,0.63
ENSDCDT00000014602_ENSDCDG00000004583,0.57,0.63,0.6,0.64,0.71,0.84,0.63,0.71,0.6,0.6,0.6,0.71,0.23,0.59,0.64,0.85,0.6,0.69,0.6,0.63,0.67,0.64,0.68,1.0,0.78,0.61,0.64,0.67,0.72,0.53,0.67,0.56,0.6,0.67,0.14,0.38,0.41,0.57,0.66,0.78,0.6,0.64,0.6,0.56,0.62,0.5,0.56,0.4,0.41,0.39,0.17,0.4,0.68,0.75,0.64,0.61,0.79
ENSDCDT00000014606_ENSDCDG00000004583,0.6,0.67,0.64,0.68,0.77,0.77,0.69,0.76,0.64,0.64,0.64,0.76,0.24,0.63,0.68,0.77,0.64,0.75,0.63,0.67,0.72,0.69,0.73,0.78,1.0,0.64,0.68,0.72,0.78,0.56,0.72,0.6,0.64,0.72,0.14,0.4,0.44,0.6,0.6,0.71,0.64,0.68,0.63,0.59,0.67,0.54,0.49,0.43,0.44,0.42,0.18,0.43,0.61,0.68,0.68,0.65,0.72
ENSDCDT00000014613_ENSDCDG00000004583,0.54,0.6,0.57,0.61,0.67,0.6,0.6,0.67,0.69,0.69,0.69,0.67,0.24,0.59,0.61,0.6,0.57,0.57,0.68,0.6,0.63,0.61,0.69,0.61,0.64,1.0,0.61,0.64,0.68,0.55,0.68,0.57,0.57,0.68,0.15,0.46,0.42,0.54,0.48,0.56,0.5,0.64,0.68,0.64,0.6,0.41,0.47,0.41,0.49,0.46,0.19,0.41,0.51,0.56,0.64,0.53,0.56
ENSDCDT00000014803_ENSDCDG00000004583,0.66,0.73,0.6,0.63,0.7,0.62,0.63,0.69,0.6,0.6,0.6,0.69,0.21,0.69,0.63,0.63,0.77,0.6,0.6,0.7,0.66,0.64,0.68,0.64,0.68,0.61,1.0,0.67,0.71,0.63,0.67,0.66,0.7,0.67,0.2,0.39,0.36,0.66,0.6,0.69,0.63,0.63,0.6,0.66,0.7,0.45,0.41,0.36,0.52,0.5,0.23,0.45,0.52,0.57,0.63,0.54,0.59
ENSDCDT00000014868_ENSDCDG00000004583,0.6,0.66,0.63,0.67,0.74,0.66,0.66,0.74,0.63,0.63,0.63,0.74,0.21,0.62,0.67,0.66,0.63,0.63,0.63,0.66,0.69,0.67,0.71,0.67,0.72,0.64,0.67,1.0,0.75,0.56,0.7,0.6,0.63,0.7,0.13,0.41,0.38,0.59,0.54,0.62,0.57,0.67,0.63,0.59,0.66,0.46,0.43,0.37,0.44,0.43,0.16,0.38,0.54,0.59,0.67,0.57,0.69
ENSDCDT00000014987_ENSDCDG00000004583,0.63,0.7,0.68,0.72,0.8,0.71,0.72,0.8,0.69,0.69,0.69,0.8,0.23,0.66,0.72,0.71,0.67,0.69,0.67,0.7,0.75,0.73,0.77,0.72,0.78,0.68,0.71,0.75,1.0,0.6,0.76,0.63,0.67,0.76,0.14,0.45,0.41,0.63,0.56,0.66,0.6,0.72,0.67,0.63,0.7,0.5,0.46,0.4,0.48,0.45,0.17,0.4,0.57,0.64,0.72,0.61,0.67
ENSDART00000161289_ENSDARG00000102730,0.78,0.72,0.72,0.66,0.6,0.53,0.53,0.6,0.54,0.54,0.54,0.6,0.21,0.62,0.66,0.53,0.6,0.5,0.55,0.69,0.56,0.53,0.61,0.53,0.56,0.55,0.63,0.56,0.6,1.0,0.62,0.74,0.73,0.62,0.26,0.38,0.36,0.78,0.7,0.59,0.74,0.57,0.55,0.6,0.6,0.39,0.4,0.35,0.5,0.48,0.23,0.44,0.56,0.51,0.57,0.59,0.51
ENSDART00000159899_ENSDARG00000102730,0.6,0.67,0.64,0.67,0.76,0.66,0.68,0.76,0.7,0.7,0.7,0.76,0.24,0.65,0.67,0.66,0.63,0.64,0.68,0.67,0.71,0.68,0.77,0.67,0.72,0.68,0.67,0.7,0.76,0.62,1.0,0.65,0.64,0.78,0.15,0.46,0.42,0.6,0.53,0.62,0.56,0.71,0.68,0.64,0.66,0.46,0.47,0.41,0.49,0.46,0.18,0.41,0.57,0.63,0.71,0.6,0.63
ENSDART00000162834_ENSDARG00000102730,0.72,0.66,0.66,0.69,0.63,0.56,0.56,0.63,0.57,0.57,0.57,0.63,0.22,0.65,0.69,0.56,0.63,0.53,0.57,0.63,0.59,0.56,0.64,0.56,0.6,0.57,0.66,0.6,0.63,0.74,0.65,1.0,0.77,0.65,0.21,0.4,0.37,0.72,0.65,0.62,0.68,0.6,0.57,0.63,0.63,0.41,0.42,0.37,0.53,0.51,0.24,0.46,0.58,0.53,0.6,0.62,0.53
ENSDART00000160711_ENSDARG00000102730,0.75,0.7,0.69,0.73,0.67,0.6,0.6,0.67,0.57,0.57,0.57,0.67,0.21,0.66,0.73,0.6,0.67,0.57,0.56,0.67,0.63,0.6,0.63,0.6,0.64,0.57,0.7,0.63,0.67,0.73,0.64,0.77,1.0,0.64,0.2,0.39,0.36,0.75,0.68,0.66,0.72,0.61,0.56,0.63,0.67,0.45,0.41,0.36,0.52,0.5,0.23,0.45,0.59,0.54,0.61,0.63,0.57
ENSDART00000161753_ENSDARG00000102730,0.6,0.67,0.64,0.67,0.76,0.66,0.68,0.76,0.7,0.7,0.7,0.76,0.24,0.65,0.67,0.66,0.63,0.64,0.68,0.67,0.71,0.68,0.77,0.67,0.72,0.68,0.67,0.7,0.76,0.62,0.78,0.65,0.64,1.0,0.15,0.46,0.42,0.6,0.53,0.62,0.56,0.71,0.68,0.64,0.66,0.46,0.47,0.41,0.49,0.46,0.18,0.41,0.57,0.63,0.71,0.6,0.63
ENSELUT00000032269_ENSELUG00000020634,0.26,0.27,0.19,0.13,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.14,0.25,0.19,0.13,0.14,0.2,0.14,0.14,0.23,0.13,0.14,0.15,0.14,0.14,0.15,0.2,0.13,0.14,0.26,0.15,0.21,0.2,0.15,1.0,0.19,0.2,0.26,0.26,0.21,0.27,0.14,0.14,0.21,0.17,0.15,0.15,0.19,0.27,0.26,0.42,0.33,0.12,0.13,0.13,0.14,0.14
ENSELUT00000032274_ENSELUG00000020634,0.37,0.39,0.39,0.42,0.45,0.38,0.37,0.45,0.48,0.48,0.48,0.45,0.32,0.38,0.42,0.38,0.39,0.37,0.45,0.39,0.42,0.48,0.46,0.38,0.4,0.46,0.39,0.41,0.45,0.38,0.46,0.4,0.39,0.46,0.19,1.0,0.58,0.38,0.33,0.36,0.35,0.42,0.48,0.42,0.39,0.31,0.37,0.57,0.56,0.57,0.24,0.57,0.34,0.36,0.42,0.37,0.36
ENSHHUT00000041931_ENSHHUG00000024945,0.35,0.37,0.37,0.39,0.41,0.41,0.34,0.41,0.44,0.44,0.44,0.41,0.36,0.35,0.39,0.41,0.37,0.4,0.41,0.37,0.39,0.44,0.42,0.41,0.44,0.42,0.36,0.38,0.41,0.36,0.42,0.37,0.36,0.42,0.2,0.58,1.0,0.35,0.35,0.39,0.37,0.39,0.42,0.39,0.37,0.34,0.4,0.64,0.51,0.48,0.25,0.64,0.37,0.39,0.39,0.39,0.39
ENSHHUT00000083238_ENSHHUG00000045800,0.84,0.75,0.78,0.72,0.63,0.57,0.57,0.63,0.53,0.53,0.53,0.63,0.2,0.63,0.72,0.57,0.64,0.54,0.54,0.73,0.6,0.57,0.6,0.57,0.6,0.54,0.66,0.59,0.63,0.78,0.6,0.72,0.75,0.6,0.26,0.38,0.35,1.0,0.77,0.64,0.83,0.59,0.55,0.61,0.65,0.43,0.39,0.34,0.49,0.47,0.22,0.43,0.56,0.51,0.57,0.59,0.54
ENSHHUT00000083269_ENSHHUG00000045800,0.76,0.68,0.71,0.65,0.57,0.66,0.5,0.56,0.47,0.47,0.47,0.56,0.2,0.56,0.65,0.67,0.57,0.54,0.48,0.65,0.54,0.51,0.53,0.66,0.6,0.48,0.6,0.54,0.56,0.7,0.53,0.65,0.68,0.53,0.26,0.33,0.35,0.77,1.0,0.74,0.83,0.53,0.49,0.55,0.59,0.43,0.47,0.34,0.43,0.41,0.22,0.43,0.65,0.6,0.51,0.59,0.63
ENSHHUT00000083285_ENSHHUG00000045800,0.63,0.69,0.57,0.6,0.66,0.78,0.59,0.66,0.56,0.56,0.56,0.66,0.21,0.65,0.6,0.78,0.66,0.64,0.56,0.66,0.62,0.6,0.63,0.78,0.71,0.56,0.69,0.62,0.66,0.59,0.62,0.62,0.66,0.62,0.21,0.36,0.39,0.64,0.74,1.0,0.68,0.61,0.57,0.63,0.68,0.47,0.52,0.38,0.48,0.46,0.24,0.48,0.63,0.7,0.6,0.57,0.73
ENSHHUT00000083288_ENSHHUG00000045800,0.81,0.72,0.74,0.69,0.6,0.6,0.53,0.6,0.5,0.5,0.5,0.6,0.21,0.59,0.69,0.61,0.6,0.58,0.5,0.69,0.57,0.54,0.56,0.6,0.64,0.5,0.63,0.57,0.6,0.74,0.56,0.68,0.72,0.56,0.27,0.35,0.37,0.83,0.83,0.68,1.0,0.56,0.51,0.58,0.62,0.46,0.41,0.37,0.46,0.44,0.23,0.45,0.59,0.54,0.54,0.63,0.57
ENSHHUT00000083468_ENSHHUG00000045800,0.57,0.63,0.61,0.65,0.72,0.64,0.64,0.72,0.64,0.64,0.64,0.72,0.21,0.62,0.65,0.64,0.61,0.61,0.64,0.63,0.67,0.64,0.71,0.64,0.68,0.64,0.63,0.67,0.72,0.57,0.71,0.6,0.61,0.71,0.14,0.42,0.39,0.59,0.53,0.61,0.56,1.0,0.65,0.61,0.64,0.45,0.44,0.38,0.45,0.43,0.16,0.38,0.6,0.67,0.75,0.64,0.6
ENSHHUT00000083476_ENSHHUG00000045800,0.54,0.6,0.57,0.6,0.67,0.59,0.6,0.67,0.69,0.69,0.69,0.67,0.24,0.59,0.6,0.6,0.56,0.57,0.68,0.6,0.63,0.6,0.68,0.6,0.63,0.68,0.6,0.63,0.67,0.55,0.68,0.57,0.56,0.68,0.14,0.48,0.42,0.55,0.49,0.57,0.51,0.65,1.0,0.65,0.61,0.41,0.46,0.41,0.49,0.53,0.18,0.41,0.5,0.56,0.63,0.53,0.56
ENSHHUT00000083481_ENSHHUG00000045800,0.59,0.66,0.54,0.56,0.63,0.55,0.56,0.63,0.64,0.64,0.64,0.63,0.22,0.65,0.56,0.56,0.63,0.53,0.71,0.63,0.59,0.56,0.64,0.56,0.59,0.64,0.66,0.59,0.63,0.6,0.64,0.63,0.63,0.64,0.21,0.42,0.39,0.61,0.55,0.63,0.58,0.61,0.65,1.0,0.64,0.38,0.44,0.38,0.56,0.53,0.24,0.48,0.48,0.53,0.59,0.5,0.53
