,ENSCHAT00000029135_ENSCHAG00000011715,ENSCHAT00000029510_ENSCHAG00000011715,ENSCHAT00000029967_ENSCHAG00000011715,ENSCHAT00000030185_ENSCHAG00000011715,ENSCHAT00000030493_ENSCHAG00000011715,ENSCHAT00000030607_ENSCHAG00000011715,ENSCHAT00000030674_ENSCHAG00000011715,ENSLACT00000021187_ENSLACG00000018491,ENSCMIT00000034472_ENSCMIG00000014440,ENSCMIT00000034476_ENSCMIG00000014440,ENSDCDT00000056188_ENSDCDG00000028401,ENSCHAT00000009085_ENSCHAG00000004831,ENSCHAT00000009200_ENSCHAG00000004831,ENSCHAT00000009245_ENSCHAG00000004831,ENSIPUT00000007431_ENSIPUG00000004876,ENSEEET00000004053_ENSEEEG00000002137,ENSEEET00000004055_ENSEEEG00000002137,ENSEEET00000004057_ENSEEEG00000002137,ENSEEET00000004081_ENSEEEG00000002137,ENSPNAT00000036489_ENSPNAG00000018148,ENSAMXT00000042200_ENSAMXG00000040738,ENSAMXT00000042225_ENSAMXG00000040738
ENSDCDT00000056188_ENSDCDG00000028401,0.61,0.59,0.61,0.59,0.56,0.57,0.56,0.79,0.67,0.68,1.0,0.86,0.86,0.86,0.87,0.85,0.85,0.86,0.87,0.87,0.84,0.84
ENSCHAT00000009085_ENSCHAG00000004831,0.61,0.59,0.61,0.59,0.56,0.57,0.56,0.78,0.67,0.68,0.86,1.0,0.99,0.98,0.86,0.85,0.85,0.86,0.86,0.86,0.84,0.84
ENSCHAT00000009200_ENSCHAG00000004831,0.61,0.58,0.61,0.58,0.55,0.56,0.55,0.78,0.66,0.67,0.86,0.99,1.0,0.99,0.86,0.85,0.84,0.85,0.86,0.87,0.84,0.84
ENSCHAT00000009245_ENSCHAG00000004831,0.62,0.59,0.62,0.59,0.56,0.57,0.56,0.79,0.67,0.68,0.86,0.98,0.99,1.0,0.86,0.85,0.84,0.85,0.86,0.86,0.84,0.84
ENSIPUT00000007431_ENSIPUG00000004876,0.61,0.58,0.61,0.58,0.56,0.56,0.55,0.79,0.66,0.68,0.87,0.86,0.86,0.86,1.0,0.9,0.89,0.9,0.91,0.92,0.88,0.88
ENSEEET00000004053_ENSEEEG00000002137,0.59,0.57,0.59,0.57,0.54,0.55,0.54,0.77,0.65,0.66,0.85,0.85,0.85,0.85,0.9,1.0,0.98,0.99,0.98,0.91,0.86,0.86
ENSEEET00000004055_ENSEEEG00000002137,0.59,0.57,0.59,0.57,0.54,0.55,0.54,0.76,0.64,0.66,0.85,0.85,0.84,0.84,0.89,0.98,1.0,0.99,0.97,0.9,0.85,0.85
ENSEEET00000004057_ENSEEEG00000002137,0.6,0.58,0.6,0.58,0.55,0.56,0.55,0.77,0.65,0.67,0.86,0.86,0.85,0.85,0.9,0.99,0.99,1.0,0.98,0.91,0.86,0.86
ENSEEET00000004081_ENSEEEG00000002137,0.61,0.59,0.61,0.59,0.56,0.57,0.56,0.78,0.67,0.68,0.87,0.86,0.86,0.86,0.91,0.98,0.97,0.98,1.0,0.92,0.87,0.87
ENSPNAT00000036489_ENSPNAG00000018148,0.61,0.58,0.61,0.58,0.56,0.56,0.55,0.79,0.66,0.68,0.87,0.86,0.87,0.86,0.92,0.91,0.9,0.91,0.92,1.0,0.89,0.89
ENSAMXT00000042200_ENSAMXG00000040738,0.58,0.56,0.58,0.56,0.53,0.53,0.53,0.76,0.64,0.65,0.84,0.84,0.84,0.84,0.88,0.86,0.85,0.86,0.87,0.89,1.0,1.0
ENSAMXT00000042225_ENSAMXG00000040738,0.58,0.56,0.58,0.56,0.53,0.53,0.53,0.76,0.64,0.65,0.84,0.84,0.84,0.84,0.88,0.86,0.85,0.86,0.87,0.89,1.0,1.0
