,ENSPCOT00000042995_ENSPCOG00000028800,ENSPCOT00000042996_ENSPCOG00000028800,ENSPCOT00000042997_ENSPCOG00000028800,ENSPCOT00000042998_ENSPCOG00000028800,ENSMICT00000053370_ENSMICG00000009516,ENSMICT00000009517_ENSMICG00000009516,ENSMICT00000045543_ENSMICG00000009516,ENSMICT00000039413_ENSMICG00000009516,ENSPSMT00000016513_ENSPSMG00000010193,ENSPSMT00000016514_ENSPSMG00000010193,ENSOGAT00000000790_ENSOGAG00000000789,ENSTSYT00000037405_ENSTSYG00000031247,ENSSDAT00000005558_ENSSDAG00000004553,ENSMUGT00000030300_ENSMUGG00000022022,ENSPPAT00000036725_ENSPPAG00000030155,ENSPPAT00000036738_ENSPPAG00000030155,ENSPPAT00000036744_ENSPPAG00000030155,ENSPPAT00000036747_ENSPPAG00000030155,ENSPTRT00000089940_ENSPTRG00000051435,ENSPTRT00000096263_ENSPTRG00000051435,ENSPTRT00000104513_ENSPTRG00000051435,ENSPTRT00000092875_ENSPTRG00000051435,ENST00000614849_ENSG00000006534
ENSOGAT00000000790_ENSOGAG00000000789,0.82,0.73,0.65,0.45,0.89,0.8,0.72,0.47,0.57,0.43,1.0,0.49,0.18,0.13,0.88,0.79,0.71,0.42,0.88,0.79,0.71,0.42,0.88
ENSTSYT00000037405_ENSTSYG00000031247,0.45,0.5,0.43,0.25,0.52,0.58,0.51,0.26,0.34,0.35,0.49,1.0,0.43,0.34,0.52,0.58,0.51,0.35,0.52,0.58,0.51,0.35,0.52
ENSSDAT00000005558_ENSSDAG00000004553,0.24,0.29,0.37,0.3,0.19,0.23,0.32,0.25,0.34,0.32,0.18,0.43,1.0,0.65,0.19,0.23,0.32,0.32,0.19,0.23,0.32,0.32,0.19
ENSMUGT00000030300_ENSMUGG00000022022,0.16,0.2,0.28,0.29,0.13,0.17,0.25,0.26,0.27,0.33,0.13,0.34,0.65,1.0,0.13,0.17,0.25,0.33,0.13,0.17,0.25,0.33,0.13
ENSPPAT00000036725_ENSPPAG00000030155,0.88,0.78,0.71,0.47,0.96,0.86,0.78,0.5,0.61,0.44,0.88,0.52,0.19,0.13,1.0,0.89,0.81,0.46,1.0,0.89,0.81,0.46,0.99
ENSPPAT00000036738_ENSPPAG00000030155,0.78,0.88,0.6,0.38,0.86,0.96,0.68,0.4,0.52,0.34,0.79,0.58,0.23,0.17,0.89,1.0,0.71,0.36,0.89,1.0,0.71,0.36,0.89
ENSPPAT00000036744_ENSPPAG00000030155,0.71,0.6,0.88,0.43,0.78,0.68,0.97,0.47,0.76,0.6,0.71,0.51,0.32,0.25,0.81,0.71,1.0,0.61,0.81,0.71,1.0,0.61,0.8
ENSPPAT00000036747_ENSPPAG00000030155,0.45,0.36,0.61,0.7,0.44,0.35,0.59,0.75,0.54,0.94,0.42,0.35,0.32,0.33,0.46,0.36,0.61,1.0,0.46,0.36,0.61,0.96,0.46
ENSPTRT00000089940_ENSPTRG00000051435,0.88,0.78,0.71,0.47,0.96,0.86,0.78,0.5,0.61,0.44,0.88,0.52,0.19,0.13,1.0,0.89,0.81,0.46,1.0,0.89,0.81,0.46,0.99
ENSPTRT00000096263_ENSPTRG00000051435,0.78,0.88,0.6,0.38,0.86,0.96,0.68,0.4,0.52,0.34,0.79,0.58,0.23,0.17,0.89,1.0,0.71,0.36,0.89,1.0,0.71,0.36,0.89
ENSPTRT00000104513_ENSPTRG00000051435,0.71,0.6,0.88,0.43,0.78,0.68,0.97,0.47,0.76,0.6,0.71,0.51,0.32,0.25,0.81,0.71,1.0,0.61,0.81,0.71,1.0,0.61,0.8
ENSPTRT00000092875_ENSPTRG00000051435,0.46,0.36,0.61,0.7,0.44,0.35,0.59,0.74,0.54,0.94,0.42,0.35,0.32,0.33,0.46,0.36,0.61,0.96,0.46,0.36,0.61,1.0,0.46
ENST00000614849_ENSG00000006534,0.88,0.78,0.7,0.47,0.96,0.86,0.78,0.5,0.61,0.44,0.88,0.52,0.19,0.13,0.99,0.89,0.8,0.46,0.99,0.89,0.8,0.46,1.0
