,ENSEBUT00000026712_ENSEBUG00000016098,ENSEBUT00000026734_ENSEBUG00000016098,ENSEBUT00000012213_ENSEBUG00000007461,ENSACAT00000014297_ENSACAG00000014219,ENSPVIT00000005250_ENSPVIG00000003348,ENSPVIT00000005260_ENSPVIG00000003348,ENSPVIT00000005272_ENSPVIG00000003348,ENSPVIT00000005278_ENSPVIG00000003348,ENSPVIT00000005297_ENSPVIG00000003348,ENSNSUT00000025514_ENSNSUG00000017363,ENSNSUT00000025515_ENSNSUG00000017363,ENSNSUT00000025516_ENSNSUG00000017363,ENSSMRT00000009756_ENSSMRG00000006694,ENSSMRT00000009760_ENSSMRG00000006694,ENSSMRT00000009774_ENSSMRG00000006694,ENSSMRT00000009779_ENSSMRG00000006694,ENSSMRT00000009781_ENSSMRG00000006694,ENSSMRT00000009784_ENSSMRG00000006694,ENSSMRT00000009785_ENSSMRG00000006694,ENSSMRT00000009788_ENSSMRG00000006694,ENSSPUT00000018643_ENSSPUG00000013519,ENSAOWT00000008512_ENSAOWG00000005162,ENSAHAT00000022584_ENSAHAG00000014071,ENSAHAT00000022597_ENSAHAG00000014071,ENSAHAT00000022610_ENSAHAG00000014071,ENSAHAT00000022633_ENSAHAG00000014071,ENSARWT00000008642_ENSARWG00000005280,ENSARWT00000008643_ENSARWG00000005280,ENSDNVT00000023319_ENSDNVG00000013558,ENSDNVT00000023333_ENSDNVG00000013558,ENSDNVT00000023347_ENSDNVG00000013558,ENSDNVT00000023364_ENSDNVG00000013558,ENSNPET00000016152_ENSNPEG00000011756,ENSLCOT00000013718_ENSLCOG00000009333,ENSLCOT00000013719_ENSLCOG00000009333,ENSLCOT00000013720_ENSLCOG00000009333,ENSMVIT00005007293_ENSMVIG00005004855,ENSMVIT00005007306_ENSMVIG00005004855,ENSMVIT00005007336_ENSMVIG00005004855,ENSMVIT00005007352_ENSMVIG00005004855,ENSTGUT00000004957_ENSTGUG00000004751
ENSNSUT00000025515_ENSNSUG00000017363,0.39,0.32,0.24,0.55,0.48,0.46,0.49,0.53,0.66,0.72,1.0,0.7,0.46,0.48,0.47,0.57,0.5,0.59,0.5,0.46,0.62,0.64,0.62,0.66,0.65,0.58,0.62,0.64,0.5,0.51,0.51,0.54,0.71,0.6,0.62,0.58,0.6,0.62,0.58,0.66,0.66
ENSNSUT00000025516_ENSNSUG00000017363,0.42,0.35,0.25,0.6,0.51,0.48,0.55,0.57,0.73,0.61,0.7,1.0,0.5,0.51,0.51,0.58,0.57,0.6,0.55,0.51,0.62,0.64,0.62,0.73,0.71,0.63,0.67,0.71,0.53,0.55,0.55,0.58,0.67,0.59,0.62,0.63,0.59,0.62,0.63,0.66,0.68
ENSSMRT00000009756_ENSSMRG00000006694,0.38,0.27,0.28,0.69,0.75,0.72,0.75,0.71,0.55,0.48,0.46,0.5,1.0,0.82,0.81,0.67,0.67,0.58,0.81,0.81,0.48,0.54,0.56,0.55,0.53,0.53,0.58,0.53,0.74,0.72,0.69,0.71,0.47,0.61,0.56,0.63,0.61,0.56,0.63,0.57,0.53
ENSSMRT00000009760_ENSSMRG00000006694,0.39,0.27,0.29,0.65,0.79,0.76,0.71,0.75,0.58,0.51,0.48,0.51,0.82,1.0,0.77,0.63,0.62,0.54,0.76,0.76,0.51,0.57,0.59,0.58,0.56,0.56,0.61,0.56,0.78,0.76,0.73,0.74,0.5,0.64,0.59,0.66,0.64,0.59,0.66,0.6,0.54
ENSSMRT00000009774_ENSSMRG00000006694,0.35,0.27,0.29,0.65,0.71,0.67,0.78,0.73,0.57,0.5,0.47,0.51,0.81,0.77,1.0,0.63,0.62,0.6,0.76,0.76,0.5,0.56,0.57,0.56,0.55,0.55,0.53,0.55,0.69,0.68,0.72,0.66,0.48,0.56,0.57,0.58,0.56,0.57,0.58,0.53,0.54
ENSSMRT00000009779_ENSSMRG00000006694,0.43,0.3,0.28,0.82,0.62,0.59,0.66,0.61,0.64,0.6,0.57,0.58,0.67,0.63,0.63,1.0,0.78,0.72,0.62,0.62,0.6,0.68,0.7,0.64,0.62,0.62,0.68,0.62,0.62,0.64,0.57,0.59,0.58,0.76,0.7,0.74,0.76,0.7,0.74,0.71,0.66
ENSSMRT00000009781_ENSSMRG00000006694,0.43,0.29,0.26,0.82,0.61,0.63,0.65,0.6,0.63,0.54,0.5,0.57,0.67,0.62,0.62,0.78,1.0,0.66,0.62,0.62,0.54,0.62,0.64,0.63,0.61,0.62,0.67,0.61,0.61,0.63,0.57,0.58,0.52,0.69,0.64,0.73,0.69,0.64,0.73,0.65,0.59
ENSSMRT00000009784_ENSSMRG00000006694,0.4,0.31,0.28,0.69,0.53,0.5,0.62,0.58,0.66,0.57,0.59,0.6,0.58,0.54,0.6,0.72,0.66,1.0,0.58,0.58,0.63,0.71,0.68,0.66,0.64,0.64,0.58,0.59,0.54,0.56,0.56,0.54,0.6,0.66,0.68,0.64,0.66,0.68,0.64,0.66,0.68
ENSSMRT00000009785_ENSSMRG00000006694,0.38,0.27,0.29,0.64,0.7,0.67,0.7,0.66,0.6,0.44,0.5,0.55,0.81,0.76,0.76,0.62,0.62,0.58,1.0,0.81,0.52,0.54,0.53,0.6,0.53,0.53,0.54,0.5,0.71,0.69,0.66,0.76,0.52,0.57,0.53,0.6,0.57,0.53,0.6,0.62,0.57
ENSSMRT00000009788_ENSSMRG00000006694,0.38,0.27,0.29,0.64,0.7,0.67,0.7,0.66,0.55,0.44,0.46,0.51,0.81,0.76,0.76,0.62,0.62,0.58,0.81,1.0,0.48,0.54,0.53,0.55,0.53,0.53,0.54,0.5,0.71,0.69,0.66,0.71,0.47,0.57,0.53,0.6,0.57,0.53,0.6,0.57,0.53
ENSSPUT00000018643_ENSSPUG00000013519,0.39,0.32,0.3,0.58,0.51,0.48,0.53,0.56,0.71,0.54,0.62,0.62,0.48,0.51,0.5,0.6,0.54,0.63,0.52,0.48,1.0,0.7,0.67,0.71,0.62,0.62,0.56,0.58,0.53,0.54,0.54,0.58,0.65,0.64,0.67,0.62,0.64,0.67,0.62,0.71,0.72
ENSAOWT00000008512_ENSAOWG00000005162,0.42,0.32,0.3,0.66,0.57,0.54,0.59,0.63,0.73,0.62,0.64,0.64,0.54,0.57,0.56,0.68,0.62,0.71,0.54,0.54,0.7,1.0,0.77,0.74,0.74,0.74,0.64,0.67,0.6,0.61,0.61,0.6,0.68,0.74,0.76,0.7,0.74,0.76,0.7,0.74,0.73
ENSAHAT00000022584_ENSAHAG00000014071,0.41,0.31,0.29,0.68,0.59,0.56,0.61,0.65,0.7,0.64,0.62,0.62,0.56,0.59,0.57,0.7,0.64,0.68,0.53,0.53,0.67,0.77,1.0,0.71,0.69,0.69,0.67,0.69,0.61,0.63,0.63,0.58,0.65,0.75,0.79,0.73,0.75,0.79,0.73,0.7,0.71
ENSAHAT00000022597_ENSAHAG00000014071,0.43,0.32,0.28,0.67,0.58,0.55,0.6,0.64,0.82,0.58,0.66,0.73,0.55,0.58,0.56,0.64,0.63,0.66,0.6,0.55,0.71,0.74,0.71,1.0,0.73,0.73,0.65,0.68,0.6,0.62,0.62,0.65,0.68,0.68,0.71,0.71,0.68,0.71,0.71,0.75,0.75
ENSAHAT00000022610_ENSAHAG00000014071,0.46,0.35,0.25,0.64,0.56,0.53,0.58,0.62,0.73,0.62,0.65,0.71,0.53,0.56,0.55,0.62,0.61,0.64,0.53,0.53,0.62,0.74,0.69,0.73,1.0,0.74,0.7,0.74,0.59,0.6,0.61,0.59,0.68,0.66,0.69,0.7,0.66,0.69,0.7,0.67,0.67
ENSAHAT00000022633_ENSAHAG00000014071,0.42,0.32,0.28,0.64,0.56,0.54,0.58,0.62,0.73,0.55,0.58,0.63,0.53,0.56,0.55,0.62,0.62,0.64,0.53,0.53,0.62,0.74,0.69,0.73,0.74,1.0,0.63,0.66,0.59,0.6,0.6,0.59,0.61,0.66,0.69,0.69,0.66,0.69,0.69,0.66,0.67
ENSARWT00000008642_ENSARWG00000005280,0.46,0.34,0.24,0.71,0.61,0.58,0.57,0.6,0.64,0.64,0.62,0.67,0.58,0.61,0.53,0.68,0.67,0.58,0.54,0.54,0.56,0.64,0.67,0.65,0.7,0.63,1.0,0.77,0.64,0.66,0.59,0.6,0.6,0.73,0.66,0.76,0.73,0.66,0.76,0.68,0.59
ENSARWT00000008643_ENSARWG00000005280,0.42,0.35,0.25,0.64,0.56,0.53,0.58,0.62,0.67,0.67,0.64,0.71,0.53,0.56,0.55,0.62,0.61,0.59,0.5,0.5,0.58,0.67,0.69,0.68,0.74,0.66,0.77,1.0,0.59,0.6,0.6,0.55,0.62,0.66,0.69,0.7,0.66,0.69,0.7,0.62,0.62
ENSDNVT00000023319_ENSDNVG00000013558,0.4,0.28,0.29,0.65,0.78,0.75,0.7,0.74,0.6,0.51,0.5,0.53,0.74,0.78,0.69,0.62,0.61,0.54,0.71,0.71,0.53,0.6,0.61,0.6,0.59,0.59,0.64,0.59,1.0,0.8,0.77,0.77,0.52,0.66,0.61,0.69,0.66,0.61,0.68,0.63,0.56
ENSDNVT00000023333_ENSDNVG00000013558,0.41,0.28,0.29,0.67,0.76,0.73,0.68,0.72,0.61,0.52,0.51,0.55,0.72,0.76,0.68,0.64,0.63,0.56,0.69,0.69,0.54,0.61,0.63,0.62,0.6,0.6,0.66,0.6,0.8,1.0,0.75,0.76,0.53,0.68,0.63,0.71,0.68,0.63,0.71,0.64,0.57
ENSDNVT00000023347_ENSDNVG00000013558,0.37,0.28,0.3,0.6,0.73,0.7,0.72,0.76,0.61,0.52,0.51,0.55,0.69,0.73,0.72,0.57,0.57,0.56,0.66,0.66,0.54,0.61,0.63,0.62,0.61,0.6,0.59,0.6,0.77,0.75,1.0,0.72,0.53,0.61,0.63,0.64,0.61,0.63,0.64,0.58,0.58
ENSDNVT00000023364_ENSDNVG00000013558,0.4,0.28,0.3,0.61,0.74,0.7,0.66,0.7,0.65,0.48,0.54,0.58,0.71,0.74,0.66,0.59,0.58,0.54,0.76,0.71,0.58,0.6,0.58,0.65,0.59,0.59,0.6,0.55,0.77,0.76,0.72,1.0,0.56,0.63,0.58,0.65,0.63,0.58,0.65,0.68,0.61
ENSNPET00000016152_ENSNPEG00000011756,0.41,0.31,0.24,0.56,0.5,0.47,0.51,0.54,0.68,0.62,0.71,0.67,0.47,0.5,0.48,0.58,0.52,0.6,0.52,0.47,0.65,0.68,0.65,0.68,0.68,0.61,0.6,0.62,0.52,0.53,0.53,0.56,1.0,0.63,0.65,0.6,0.63,0.65,0.6,0.69,0.68
ENSLCOT00000013718_ENSLCOG00000009333,0.44,0.3,0.28,0.74,0.64,0.61,0.59,0.62,0.68,0.62,0.6,0.59,0.61,0.64,0.56,0.76,0.69,0.66,0.57,0.57,0.64,0.74,0.75,0.68,0.66,0.66,0.73,0.66,0.66,0.68,0.61,0.63,0.63,1.0,0.76,0.79,0.82,0.76,0.79,0.76,0.68
ENSLCOT00000013719_ENSLCOG00000009333,0.41,0.31,0.29,0.68,0.59,0.56,0.61,0.65,0.7,0.64,0.62,0.62,0.56,0.59,0.57,0.7,0.64,0.68,0.53,0.53,0.67,0.76,0.79,0.71,0.69,0.69,0.66,0.69,0.61,0.63,0.63,0.58,0.65,0.76,1.0,0.73,0.76,0.79,0.73,0.71,0.71
ENSLCOT00000013720_ENSLCOG00000009333,0.47,0.31,0.27,0.77,0.66,0.63,0.62,0.66,0.71,0.59,0.58,0.63,0.63,0.66,0.58,0.74,0.73,0.64,0.6,0.6,0.62,0.7,0.73,0.71,0.7,0.69,0.76,0.7,0.69,0.71,0.64,0.65,0.6,0.79,0.73,1.0,0.79,0.73,0.83,0.74,0.66
ENSMVIT00005007293_ENSMVIG00005004855,0.44,0.3,0.28,0.74,0.64,0.61,0.59,0.62,0.68,0.62,0.6,0.59,0.61,0.64,0.56,0.76,0.69,0.66,0.57,0.57,0.64,0.74,0.75,0.68,0.66,0.66,0.73,0.66,0.66,0.68,0.61,0.63,0.63,0.82,0.76,0.79,1.0,0.76,0.79,0.77,0.68
ENSMVIT00005007306_ENSMVIG00005004855,0.41,0.31,0.29,0.68,0.59,0.56,0.61,0.65,0.7,0.64,0.62,0.62,0.56,0.59,0.57,0.7,0.64,0.68,0.53,0.53,0.67,0.76,0.79,0.71,0.69,0.69,0.66,0.69,0.61,0.63,0.63,0.58,0.65,0.76,0.79,0.73,0.76,1.0,0.73,0.71,0.71
ENSMVIT00005007336_ENSMVIG00005004855,0.47,0.31,0.27,0.77,0.66,0.63,0.62,0.66,0.71,0.59,0.58,0.63,0.63,0.66,0.58,0.74,0.73,0.64,0.6,0.6,0.62,0.7,0.73,0.71,0.7,0.69,0.76,0.7,0.68,0.71,0.64,0.65,0.6,0.79,0.73,0.83,0.79,0.73,1.0,0.74,0.66
ENSMVIT00005007352_ENSMVIG00005004855,0.45,0.31,0.28,0.69,0.6,0.57,0.56,0.59,0.74,0.58,0.66,0.66,0.57,0.6,0.53,0.71,0.65,0.66,0.62,0.57,0.71,0.74,0.7,0.75,0.67,0.66,0.68,0.62,0.63,0.64,0.58,0.68,0.69,0.76,0.71,0.74,0.77,0.71,0.74,1.0,0.75
ENSTGUT00000004957_ENSTGUG00000004751,0.41,0.31,0.29,0.63,0.54,0.51,0.57,0.59,0.75,0.58,0.66,0.68,0.53,0.54,0.54,0.66,0.59,0.68,0.57,0.53,0.72,0.73,0.71,0.75,0.67,0.67,0.59,0.62,0.56,0.57,0.58,0.61,0.68,0.68,0.71,0.66,0.68,0.71,0.66,0.75,1.0
