,ENSPPAT00000028841_ENSPPAG00000025960,ENSPPAT00000028844_ENSPPAG00000025960,ENSPPAT00000028852_ENSPPAG00000025960,ENSPPAT00000028858_ENSPPAG00000025960,ENSPTRT00000016018_ENSPTRG00000008692,ENSPTRT00000099919_ENSPTRG00000008692,ENSPTRT00000080791_ENSPTRG00000008692,ENSPTRT00000100508_ENSPTRG00000008692,ENST00000483039_ENSG00000161955,ENST00000396542_ENSG00000161955,ENST00000438470_ENSG00000161955,ENST00000436057_ENSG00000161955,ENST00000349228_ENSG00000161955,ENST00000338784_ENSG00000161955,ENST00000625791_ENSG00000161955,ENST00000396545_ENSG00000161955,ENST00000380535_ENSG00000161955,ENSGGOT00000011575_ENSGGOG00000011530,ENSGGOT00000033499_ENSGGOG00000011530,ENSGGOT00000052806_ENSGGOG00000011530,ENSGGOT00000045648_ENSGGOG00000011530,ENSPPYT00000009277_ENSPPYG00000007925,ENSNLET00000012158_ENSNLEG00000009510,ENSNLET00000056591_ENSNLEG00000009510,ENSNLET00000037528_ENSNLEG00000009510,ENSNLET00000057498_ENSNLEG00000009510,ENSRBIT00000040991_ENSRBIG00000032576,ENSRBIT00000040992_ENSRBIG00000032576,ENSRBIT00000041001_ENSRBIG00000032576,ENSRBIT00000041007_ENSRBIG00000032576,ENSRROT00000063873_ENSRROG00000043005,ENSRROT00000063878_ENSRROG00000043005,ENSRROT00000063883_ENSRROG00000043005,ENSRROT00000063898_ENSRROG00000043005,ENSPTET00000018188_ENSPTEG00000013566,ENSPTET00000018195_ENSPTEG00000013566,ENSPTET00000018201_ENSPTEG00000013566,ENSPTET00000018204_ENSPTEG00000013566
ENST00000349228_ENSG00000161955,0.82,0.7,1.0,0.68,0.82,1.0,0.7,0.68,0.51,0.61,0.63,0.48,1.0,0.82,0.68,0.7,0.68,0.82,0.7,1.0,0.68,0.82,0.82,0.99,0.68,0.7,0.81,0.99,0.69,0.67,0.81,0.81,0.99,0.67,0.81,0.69,0.99,0.67
ENST00000338784_ENSG00000161955,1.0,0.86,0.82,0.76,1.0,0.82,0.86,0.76,0.38,0.68,0.49,0.66,0.82,1.0,0.76,0.86,0.76,1.0,0.86,0.82,0.76,1.0,0.99,0.82,0.75,0.85,0.99,0.81,0.85,0.75,0.99,0.99,0.81,0.75,0.99,0.85,0.81,0.75
ENST00000625791_ENSG00000161955,0.76,0.64,0.68,1.0,0.76,0.68,0.64,1.0,0.47,0.91,0.35,0.41,0.68,0.76,1.0,0.64,1.0,0.76,0.64,0.68,1.0,0.75,0.75,0.68,0.99,0.64,0.75,0.67,0.63,0.99,0.75,0.75,0.67,0.99,0.75,0.63,0.67,0.99
ENST00000396545_ENSG00000161955,0.86,1.0,0.7,0.64,0.86,0.7,1.0,0.64,0.3,0.57,0.46,0.6,0.7,0.86,0.64,1.0,0.65,0.86,1.0,0.7,0.64,0.86,0.85,0.7,0.64,0.99,0.85,0.69,0.99,0.64,0.85,0.85,0.69,0.63,0.85,0.99,0.69,0.63
ENST00000380535_ENSG00000161955,0.76,0.64,0.68,1.0,0.76,0.68,0.64,1.0,0.47,0.91,0.35,0.41,0.68,0.76,1.0,0.65,1.0,0.76,0.64,0.68,1.0,0.75,0.75,0.68,0.99,0.64,0.75,0.67,0.64,0.99,0.75,0.75,0.67,0.99,0.75,0.63,0.67,0.99
ENSGGOT00000011575_ENSGGOG00000011530,1.0,0.86,0.82,0.76,1.0,0.82,0.86,0.76,0.38,0.67,0.49,0.65,0.82,1.0,0.76,0.86,0.76,1.0,0.86,0.82,0.76,1.0,0.99,0.82,0.76,0.86,0.99,0.82,0.85,0.75,0.99,0.99,0.82,0.75,0.99,0.85,0.81,0.75
ENSGGOT00000033499_ENSGGOG00000011530,0.86,1.0,0.7,0.64,0.86,0.7,1.0,0.64,0.3,0.57,0.46,0.6,0.7,0.86,0.64,1.0,0.64,0.86,1.0,0.7,0.65,0.86,0.86,0.7,0.64,0.99,0.85,0.7,0.99,0.64,0.85,0.85,0.7,0.64,0.85,0.99,0.69,0.63
ENSGGOT00000052806_ENSGGOG00000011530,0.82,0.7,1.0,0.68,0.82,1.0,0.7,0.68,0.51,0.61,0.62,0.48,1.0,0.82,0.68,0.7,0.68,0.82,0.7,1.0,0.68,0.82,0.82,1.0,0.68,0.7,0.82,0.99,0.7,0.67,0.82,0.82,0.99,0.67,0.81,0.69,0.99,0.67
ENSGGOT00000045648_ENSGGOG00000011530,0.76,0.64,0.68,1.0,0.76,0.68,0.64,1.0,0.47,0.91,0.35,0.41,0.68,0.76,1.0,0.64,1.0,0.76,0.65,0.68,1.0,0.76,0.76,0.68,1.0,0.64,0.75,0.67,0.64,0.99,0.75,0.75,0.67,0.99,0.75,0.64,0.67,0.99
ENSPPYT00000009277_ENSPPYG00000007925,1.0,0.86,0.82,0.76,1.0,0.82,0.86,0.76,0.38,0.67,0.49,0.65,0.82,1.0,0.75,0.86,0.75,1.0,0.86,0.82,0.76,1.0,0.99,0.82,0.75,0.86,0.99,0.82,0.85,0.75,0.99,0.99,0.82,0.75,0.99,0.85,0.81,0.75
ENSNLET00000012158_ENSNLEG00000009510,0.99,0.86,0.82,0.75,0.99,0.82,0.86,0.75,0.38,0.67,0.49,0.65,0.82,0.99,0.75,0.85,0.75,0.99,0.86,0.82,0.76,0.99,1.0,0.82,0.76,0.86,0.99,0.82,0.85,0.75,0.99,0.99,0.82,0.75,0.99,0.85,0.81,0.75
ENSNLET00000056591_ENSNLEG00000009510,0.82,0.7,0.99,0.68,0.82,0.99,0.7,0.68,0.51,0.6,0.62,0.47,0.99,0.82,0.68,0.7,0.68,0.82,0.7,1.0,0.68,0.82,0.82,1.0,0.68,0.7,0.82,0.99,0.7,0.67,0.82,0.82,0.99,0.67,0.81,0.69,0.99,0.67
ENSNLET00000037528_ENSNLEG00000009510,0.75,0.64,0.68,0.99,0.75,0.68,0.64,0.99,0.47,0.91,0.35,0.4,0.68,0.75,0.99,0.64,0.99,0.76,0.64,0.68,1.0,0.75,0.76,0.68,1.0,0.65,0.75,0.67,0.64,0.99,0.75,0.75,0.67,0.99,0.75,0.63,0.67,0.99
ENSNLET00000057498_ENSNLEG00000009510,0.86,0.99,0.7,0.64,0.86,0.7,0.99,0.64,0.3,0.57,0.46,0.59,0.7,0.85,0.64,0.99,0.64,0.86,0.99,0.7,0.64,0.86,0.86,0.7,0.65,1.0,0.85,0.7,0.99,0.64,0.85,0.85,0.7,0.64,0.85,0.99,0.69,0.63
ENSRBIT00000040991_ENSRBIG00000032576,0.99,0.85,0.82,0.75,0.99,0.82,0.85,0.75,0.38,0.67,0.49,0.65,0.81,0.99,0.75,0.85,0.75,0.99,0.85,0.82,0.75,0.99,0.99,0.82,0.75,0.85,1.0,0.82,0.86,0.76,1.0,1.0,0.82,0.76,1.0,0.86,0.82,0.76
ENSRBIT00000040992_ENSRBIG00000032576,0.82,0.7,0.99,0.67,0.82,0.99,0.7,0.67,0.51,0.6,0.62,0.47,0.99,0.81,0.67,0.69,0.67,0.82,0.7,0.99,0.67,0.82,0.82,0.99,0.67,0.7,0.82,1.0,0.7,0.68,0.82,0.82,1.0,0.68,0.82,0.7,1.0,0.68
ENSRBIT00000041001_ENSRBIG00000032576,0.85,0.99,0.7,0.64,0.85,0.7,0.99,0.64,0.3,0.57,0.45,0.59,0.69,0.85,0.63,0.99,0.64,0.85,0.99,0.7,0.64,0.85,0.85,0.7,0.64,0.99,0.86,0.7,1.0,0.65,0.86,0.86,0.7,0.64,0.86,1.0,0.7,0.64
ENSRBIT00000041007_ENSRBIG00000032576,0.75,0.64,0.67,0.99,0.75,0.67,0.64,0.99,0.47,0.9,0.34,0.4,0.67,0.75,0.99,0.64,0.99,0.75,0.64,0.67,0.99,0.75,0.75,0.67,0.99,0.64,0.76,0.68,0.65,1.0,0.76,0.76,0.68,1.0,0.76,0.64,0.68,1.0
ENSRROT00000063873_ENSRROG00000043005,0.99,0.85,0.81,0.75,0.99,0.81,0.85,0.75,0.38,0.67,0.49,0.65,0.81,0.99,0.75,0.85,0.75,0.99,0.85,0.82,0.75,0.99,0.99,0.82,0.75,0.85,1.0,0.82,0.86,0.76,1.0,1.0,0.82,0.76,1.0,0.86,0.82,0.75
ENSRROT00000063878_ENSRROG00000043005,0.99,0.85,0.81,0.75,0.99,0.81,0.85,0.75,0.38,0.67,0.49,0.65,0.81,0.99,0.75,0.85,0.75,0.99,0.85,0.82,0.75,0.99,0.99,0.82,0.75,0.85,1.0,0.82,0.86,0.76,1.0,1.0,0.82,0.76,1.0,0.86,0.82,0.75
ENSRROT00000063883_ENSRROG00000043005,0.81,0.69,0.99,0.67,0.81,0.99,0.69,0.67,0.51,0.6,0.62,0.47,0.99,0.81,0.67,0.69,0.67,0.82,0.7,0.99,0.67,0.82,0.82,0.99,0.67,0.7,0.82,1.0,0.7,0.68,0.82,0.82,1.0,0.68,0.82,0.7,1.0,0.68
ENSRROT00000063898_ENSRROG00000043005,0.75,0.64,0.67,0.99,0.75,0.67,0.64,0.99,0.46,0.9,0.34,0.4,0.67,0.75,0.99,0.63,0.99,0.75,0.64,0.67,0.99,0.75,0.75,0.67,0.99,0.64,0.76,0.68,0.64,1.0,0.76,0.76,0.68,1.0,0.76,0.64,0.68,1.0
ENSPTET00000018188_ENSPTEG00000013566,0.99,0.85,0.81,0.75,0.99,0.81,0.85,0.75,0.38,0.67,0.48,0.65,0.81,0.99,0.75,0.85,0.75,0.99,0.85,0.81,0.75,0.99,0.99,0.81,0.75,0.85,1.0,0.82,0.86,0.76,1.0,1.0,0.82,0.76,1.0,0.86,0.82,0.76
ENSPTET00000018195_ENSPTEG00000013566,0.85,0.99,0.69,0.63,0.85,0.69,0.99,0.63,0.3,0.56,0.45,0.59,0.69,0.85,0.63,0.99,0.63,0.85,0.99,0.69,0.64,0.85,0.85,0.69,0.63,0.99,0.86,0.7,1.0,0.64,0.86,0.86,0.7,0.64,0.86,1.0,0.7,0.64
ENSPTET00000018201_ENSPTEG00000013566,0.81,0.69,0.99,0.67,0.81,0.99,0.69,0.67,0.51,0.6,0.62,0.47,0.99,0.81,0.67,0.69,0.67,0.81,0.69,0.99,0.67,0.81,0.81,0.99,0.67,0.69,0.82,1.0,0.7,0.68,0.82,0.82,1.0,0.68,0.82,0.7,1.0,0.68
ENSPTET00000018204_ENSPTEG00000013566,0.75,0.63,0.67,0.99,0.75,0.67,0.63,0.99,0.47,0.9,0.34,0.4,0.67,0.75,0.99,0.63,0.99,0.75,0.63,0.67,0.99,0.75,0.75,0.67,0.99,0.63,0.76,0.68,0.64,1.0,0.75,0.75,0.68,1.0,0.76,0.64,0.68,1.0
