,ENSPCOT00000028601_ENSPCOG00000020835,ENSPCOT00000028604_ENSPCOG00000020835,ENSPCOT00000028607_ENSPCOG00000020835,ENSPSMT00000021687_ENSPSMG00000013151,ENSPSMT00000021693_ENSPSMG00000013151,ENSMICT00000041362_ENSMICG00000006391,ENSMICT00000031520_ENSMICG00000006391,ENSMICT00000006394_ENSMICG00000006391,ENSOGAT00000032899_ENSOGAG00000029651,ENSPTRT00000108360_ENSPTRG00000021890,ENSPTRT00000102371_ENSPTRG00000021890,ENSPTRT00000040676_ENSPTRG00000021890,ENSPPAT00000032442_ENSPPAG00000028117,ENSPPAT00000032454_ENSPPAG00000028117,ENSPPAT00000032461_ENSPPAG00000028117,ENST00000376207_ENSG00000049768,ENST00000376199_ENSG00000049768,ENST00000455775_ENSG00000049768,ENST00000518685_ENSG00000049768,ENST00000376197_ENSG00000049768,ENST00000557224_ENSG00000049768,ENST00000652559_ENSG00000049768,ENST00000650877_ENSG00000049768,ENSGGOT00000025034_ENSGGOG00000000913,ENSGGOT00000049574_ENSGGOG00000000913,ENSGGOT00000000920_ENSGGOG00000000913,ENSPPYT00000023733_ENSPPYG00000020341,ENSPPYT00000033485_ENSPPYG00000020341,ENSNLET00000010324_ENSNLEG00000008046,ENSNLET00000052557_ENSNLEG00000008046,ENSRBIT00000043767_ENSRBIG00000033932,ENSRBIT00000043768_ENSRBIG00000033932,ENSRBIT00000043769_ENSRBIG00000033932,ENSRBIT00000043771_ENSRBIG00000033932,ENSRROT00000054254_ENSRROG00000038704,ENSRROT00000054261_ENSRROG00000038704,ENSRROT00000054266_ENSRROG00000038704,ENSPTET00000006735_ENSPTEG00000005059,ENSPTET00000006739_ENSPTEG00000005059,ENSPTET00000006744_ENSPTEG00000005059
ENST00000455775_ENSG00000049768,0.9,0.77,0.75,0.75,0.65,0.9,0.77,0.75,0.89,0.92,0.64,0.73,0.92,0.79,0.64,0.92,0.8,1.0,0.8,0.64,0.73,0.31,0.19,0.79,0.92,0.64,0.92,0.84,0.62,0.95,0.72,0.96,0.63,0.82,0.79,0.96,0.63,0.63,0.72,0.81
ENST00000518685_ENSG00000049768,0.79,0.68,0.66,0.65,0.58,0.79,0.68,0.65,0.79,0.81,0.55,0.62,0.81,0.7,0.55,0.82,0.7,0.8,1.0,0.55,0.62,0.36,0.22,0.7,0.81,0.55,0.81,0.68,0.52,0.79,0.62,0.79,0.54,0.71,0.69,0.79,0.54,0.54,0.62,0.72
ENST00000376197_ENSG00000049768,0.63,0.73,0.74,0.74,0.46,0.63,0.73,0.74,0.63,0.65,0.93,0.81,0.65,0.75,0.93,0.65,0.75,0.64,0.55,1.0,0.82,0.3,0.13,0.75,0.65,0.93,0.65,0.73,0.7,0.63,0.81,0.63,0.93,0.57,0.74,0.63,0.93,0.93,0.81,0.57
ENST00000557224_ENSG00000049768,0.72,0.83,0.84,0.84,0.51,0.72,0.83,0.84,0.72,0.74,0.81,0.93,0.74,0.85,0.81,0.74,0.85,0.73,0.62,0.82,1.0,0.36,0.18,0.85,0.74,0.81,0.74,0.83,0.79,0.72,0.92,0.72,0.81,0.64,0.84,0.72,0.81,0.81,0.92,0.65
ENST00000652559_ENSG00000049768,0.32,0.39,0.37,0.36,0.22,0.32,0.39,0.36,0.32,0.33,0.3,0.36,0.33,0.4,0.3,0.33,0.4,0.31,0.36,0.3,0.36,1.0,0.44,0.4,0.33,0.3,0.33,0.38,0.34,0.32,0.36,0.31,0.29,0.26,0.4,0.31,0.29,0.29,0.36,0.27
ENST00000650877_ENSG00000049768,0.2,0.22,0.2,0.19,0.2,0.2,0.22,0.19,0.2,0.2,0.13,0.18,0.2,0.22,0.13,0.2,0.22,0.19,0.22,0.13,0.18,0.44,1.0,0.22,0.2,0.13,0.2,0.21,0.18,0.19,0.18,0.18,0.13,0.2,0.22,0.18,0.13,0.13,0.18,0.15
ENSGGOT00000025034_ENSGGOG00000000913,0.79,0.91,0.88,0.88,0.57,0.79,0.9,0.88,0.79,0.81,0.75,0.85,0.81,0.93,0.75,0.81,0.93,0.79,0.7,0.75,0.85,0.4,0.22,1.0,0.81,0.75,0.81,0.91,0.72,0.78,0.84,0.79,0.74,0.71,0.92,0.79,0.74,0.74,0.84,0.72
ENSGGOT00000049574_ENSGGOG00000000913,0.91,0.79,0.77,0.76,0.66,0.91,0.79,0.76,0.91,0.93,0.65,0.74,0.93,0.81,0.65,0.93,0.81,0.92,0.81,0.65,0.74,0.33,0.2,0.81,1.0,0.65,0.93,0.79,0.63,0.91,0.74,0.91,0.65,0.82,0.8,0.91,0.65,0.65,0.74,0.83
ENSGGOT00000000920_ENSGGOG00000000913,0.63,0.73,0.74,0.74,0.46,0.63,0.73,0.74,0.63,0.65,0.93,0.81,0.65,0.75,0.93,0.65,0.75,0.64,0.55,0.93,0.81,0.3,0.13,0.75,0.65,1.0,0.65,0.73,0.7,0.63,0.81,0.63,0.93,0.57,0.74,0.63,0.93,0.93,0.81,0.57
ENSPPYT00000023733_ENSPPYG00000020341,0.91,0.79,0.77,0.76,0.66,0.91,0.79,0.76,0.91,0.93,0.65,0.74,0.93,0.81,0.65,0.93,0.81,0.92,0.81,0.65,0.74,0.33,0.2,0.81,0.93,0.65,1.0,0.8,0.63,0.91,0.74,0.91,0.65,0.82,0.8,0.91,0.65,0.65,0.74,0.83
ENSPPYT00000033485_ENSPPYG00000020341,0.77,0.89,0.87,0.87,0.56,0.77,0.89,0.86,0.77,0.79,0.73,0.83,0.79,0.91,0.73,0.79,0.91,0.84,0.68,0.73,0.83,0.38,0.21,0.91,0.79,0.73,0.8,1.0,0.71,0.83,0.83,0.84,0.73,0.71,0.91,0.84,0.73,0.73,0.83,0.7
ENSNLET00000010324_ENSNLEG00000008046,0.61,0.7,0.72,0.72,0.45,0.61,0.7,0.72,0.61,0.63,0.7,0.79,0.63,0.72,0.7,0.63,0.72,0.62,0.52,0.7,0.79,0.34,0.18,0.72,0.63,0.7,0.63,0.71,1.0,0.62,0.79,0.61,0.7,0.55,0.72,0.61,0.7,0.7,0.79,0.55
ENSNLET00000052557_ENSNLEG00000008046,0.89,0.77,0.74,0.74,0.64,0.89,0.76,0.74,0.89,0.91,0.63,0.72,0.91,0.78,0.63,0.91,0.78,0.95,0.79,0.63,0.72,0.32,0.19,0.78,0.91,0.63,0.91,0.83,0.62,1.0,0.71,0.95,0.63,0.81,0.78,0.95,0.63,0.63,0.71,0.8
ENSRBIT00000043767_ENSRBIG00000033932,0.72,0.83,0.84,0.84,0.51,0.72,0.83,0.84,0.72,0.74,0.81,0.92,0.74,0.84,0.81,0.74,0.84,0.72,0.62,0.81,0.92,0.36,0.18,0.84,0.74,0.81,0.74,0.83,0.79,0.71,1.0,0.73,0.82,0.65,0.85,0.73,0.82,0.81,0.93,0.65
ENSRBIT00000043768_ENSRBIG00000033932,0.9,0.77,0.75,0.75,0.65,0.89,0.77,0.75,0.89,0.91,0.63,0.72,0.91,0.79,0.63,0.91,0.79,0.96,0.79,0.63,0.72,0.31,0.18,0.79,0.91,0.63,0.91,0.84,0.61,0.95,0.73,1.0,0.64,0.82,0.8,0.96,0.64,0.64,0.73,0.82
ENSRBIT00000043769_ENSRBIG00000033932,0.63,0.73,0.74,0.74,0.46,0.63,0.73,0.74,0.63,0.65,0.93,0.81,0.65,0.74,0.93,0.65,0.74,0.63,0.54,0.93,0.81,0.29,0.13,0.74,0.65,0.93,0.65,0.73,0.7,0.63,0.82,0.64,1.0,0.57,0.75,0.64,0.93,0.93,0.81,0.58
ENSRBIT00000043771_ENSRBIG00000033932,0.8,0.69,0.67,0.67,0.72,0.8,0.69,0.67,0.8,0.82,0.56,0.64,0.82,0.71,0.57,0.82,0.71,0.82,0.71,0.57,0.64,0.26,0.2,0.71,0.82,0.57,0.82,0.71,0.55,0.81,0.65,0.82,0.57,1.0,0.71,0.82,0.57,0.57,0.65,0.74
ENSRROT00000054254_ENSRROG00000038704,0.79,0.91,0.88,0.88,0.57,0.79,0.9,0.88,0.79,0.8,0.74,0.84,0.8,0.92,0.74,0.8,0.92,0.79,0.69,0.74,0.84,0.4,0.22,0.92,0.8,0.74,0.8,0.91,0.72,0.78,0.85,0.8,0.75,0.71,1.0,0.8,0.75,0.75,0.85,0.72
ENSRROT00000054261_ENSRROG00000038704,0.9,0.77,0.75,0.75,0.65,0.89,0.77,0.75,0.89,0.91,0.63,0.72,0.91,0.79,0.63,0.91,0.79,0.96,0.79,0.63,0.72,0.31,0.18,0.79,0.91,0.63,0.91,0.84,0.61,0.95,0.73,0.96,0.64,0.82,0.8,1.0,0.64,0.64,0.73,0.82
ENSRROT00000054266_ENSRROG00000038704,0.63,0.73,0.74,0.74,0.46,0.63,0.73,0.74,0.63,0.65,0.93,0.81,0.65,0.74,0.93,0.65,0.74,0.63,0.54,0.93,0.81,0.29,0.13,0.74,0.65,0.93,0.65,0.73,0.7,0.63,0.82,0.64,0.93,0.57,0.75,0.64,1.0,0.93,0.81,0.58
ENSPTET00000006735_ENSPTEG00000005059,0.63,0.73,0.74,0.74,0.46,0.63,0.73,0.74,0.63,0.65,0.93,0.81,0.65,0.74,0.93,0.65,0.74,0.63,0.54,0.93,0.81,0.29,0.13,0.74,0.65,0.93,0.65,0.73,0.7,0.63,0.81,0.64,0.93,0.57,0.75,0.64,0.93,1.0,0.82,0.58
ENSPTET00000006739_ENSPTEG00000005059,0.72,0.83,0.84,0.84,0.51,0.72,0.83,0.84,0.72,0.74,0.81,0.92,0.74,0.84,0.81,0.74,0.84,0.72,0.62,0.81,0.92,0.36,0.18,0.84,0.74,0.81,0.74,0.83,0.79,0.71,0.93,0.73,0.81,0.65,0.85,0.73,0.81,0.82,1.0,0.65
ENSPTET00000006744_ENSPTEG00000005059,0.81,0.7,0.68,0.68,0.59,0.81,0.7,0.67,0.81,0.83,0.57,0.65,0.83,0.72,0.57,0.83,0.72,0.81,0.72,0.57,0.65,0.27,0.15,0.72,0.83,0.57,0.83,0.7,0.55,0.8,0.65,0.82,0.58,0.74,0.72,0.82,0.58,0.58,0.65,1.0
