,ENSCHAT00000037412_ENSCHAG00000015895,ENSCHAT00000037469_ENSCHAG00000015895,ENSCHAT00000037487_ENSCHAG00000015895,ENSCHAT00000037534_ENSCHAG00000015895,ENSCHAT00000037555_ENSCHAG00000015895,ENSCHAT00000037574_ENSCHAG00000015895,ENSCHAT00000037617_ENSCHAG00000015895,ENSDCDT00000005522_ENSDCDG00000002175,ENSDCDT00000005523_ENSDCDG00000002175,ENSDCDT00000005525_ENSDCDG00000002175,ENSDCDT00000005620_ENSDCDG00000002175,ENSDCDT00000005631_ENSDCDG00000002175,ENSDCDT00000005721_ENSDCDG00000002175,ENSDCDT00000005727_ENSDCDG00000002175,ENSDCDT00000005740_ENSDCDG00000002175,ENSIPUT00000009131_ENSIPUG00000005883,ENSIPUT00000009170_ENSIPUG00000005883,ENSIPUT00000009238_ENSIPUG00000005883,ENSEEET00000030884_ENSEEEG00000014385,ENSEEET00000030886_ENSEEEG00000014385,ENSEEET00000030891_ENSEEEG00000014385,ENSEEET00000030893_ENSEEEG00000014385,ENSEEET00000030897_ENSEEEG00000014385,ENSEEET00000030906_ENSEEEG00000014385,ENSEEET00000030907_ENSEEEG00000014385,ENSEEET00000030915_ENSEEEG00000014385,ENSEEET00000030917_ENSEEEG00000014385,ENSPNAT00000001582_ENSPNAG00000002774,ENSPNAT00000001776_ENSPNAG00000002774,ENSPNAT00000001795_ENSPNAG00000002774,ENSAMXT00000053473_ENSAMXG00000036737,ENSDART00000100351_ENSDARG00000033444,ENSDCDT00000000262_ENSDCDG00000000138,ENSHHUT00000006467_ENSHHUG00000003681,ENSHHUT00000006504_ENSHHUG00000003681,ENSHHUT00000006508_ENSHHUG00000003681,ENSHHUT00000006540_ENSHHUG00000003681,ENSHHUT00000026718_ENSHHUG00000015298,ENSHHUT00000026722_ENSHHUG00000015298,ENSHHUT00000026753_ENSHHUG00000015298,ENSHHUT00000026758_ENSHHUG00000015298,ENSHHUT00000026772_ENSHHUG00000015298,ENSHHUT00000026821_ENSHHUG00000015298,ENSELUT00000014767_ENSELUG00000004292,ENSSFOT00015032343_ENSSFOG00015020483,ENSSFOT00015032397_ENSSFOG00015020483,ENSPKIT00000018758_ENSPKIG00000015828,ENSCHAT00000059377_ENSCHAG00000024900,ENSCHAT00000059402_ENSCHAG00000024900,ENSDCDT00000050807_ENSDCDG00000025599,ENSDCDT00000050870_ENSDCDG00000025599,ENSDCDT00000050871_ENSDCDG00000025599,ENSDCDT00000050876_ENSDCDG00000025599,ENSDCDT00000050895_ENSDCDG00000025599,ENSDCDT00000051148_ENSDCDG00000025599,ENSDCDT00000051155_ENSDCDG00000025599,ENSAMXT00000056966_ENSAMXG00000006652,ENSAMXT00000006982_ENSAMXG00000006652,ENSAMXT00000051381_ENSAMXG00000006652,ENSAMXT00000006973_ENSAMXG00000006652
ENSDCDT00000005727_ENSDCDG00000002175,0.41,0.41,0.39,0.5,0.46,0.37,0.42,0.48,0.46,0.5,0.58,0.59,0.73,1.0,0.58,0.41,0.42,0.41,0.42,0.38,0.4,0.35,0.36,0.4,0.37,0.38,0.38,0.15,0.47,0.09,0.27,0.41,1e-18,0.42,0.48,0.46,0.4,0.52,0.52,0.52,0.5,0.52,0.5,0.41,0.41,0.42,0.41,0.47,0.41,0.42,0.4,0.46,0.44,0.44,0.4,0.42,0.39,0.41,0.36,0.48
ENSDCDT00000005740_ENSDCDG00000002175,0.48,0.52,0.5,0.58,0.56,0.35,0.48,0.59,0.59,0.62,0.69,0.7,0.62,0.58,1.0,0.48,0.5,0.48,0.5,0.48,0.48,0.42,0.44,0.44,0.44,0.44,0.42,0.17,0.57,0.15,0.26,0.48,1e-18,0.5,0.58,0.56,0.48,0.62,0.62,0.67,0.62,0.62,0.6,0.48,0.48,0.48,0.48,0.52,0.52,0.54,0.5,0.58,0.48,0.56,0.5,0.52,0.47,0.48,0.45,0.48
ENSIPUT00000009131_ENSIPUG00000005883,0.72,0.58,0.48,0.56,0.5,0.31,0.44,0.56,0.5,0.55,0.52,0.47,0.42,0.41,0.48,1.0,0.69,0.66,0.62,0.58,0.41,0.39,0.41,0.41,0.42,0.39,0.36,0.28,0.56,0.11,0.38,0.73,1e-18,0.69,0.45,0.42,0.38,0.5,0.55,0.5,0.47,0.45,0.48,0.73,0.73,0.72,0.73,0.5,0.5,0.44,0.42,0.47,0.45,0.45,0.56,0.48,0.72,0.73,0.69,0.58
ENSIPUT00000009170_ENSIPUG00000005883,0.69,0.6,0.5,0.58,0.52,0.32,0.45,0.58,0.52,0.56,0.53,0.48,0.44,0.42,0.5,0.69,1.0,0.68,0.65,0.6,0.42,0.41,0.42,0.42,0.44,0.4,0.38,0.28,0.58,0.11,0.34,0.69,1e-18,0.66,0.47,0.44,0.39,0.52,0.56,0.52,0.48,0.47,0.5,0.69,0.69,0.67,0.69,0.52,0.52,0.45,0.44,0.48,0.47,0.47,0.58,0.5,0.67,0.69,0.64,0.6
ENSIPUT00000009238_ENSIPUG00000005883,0.66,0.58,0.47,0.56,0.5,0.31,0.44,0.56,0.53,0.55,0.52,0.47,0.42,0.41,0.48,0.66,0.68,1.0,0.61,0.56,0.4,0.38,0.39,0.39,0.41,0.42,0.36,0.27,0.55,0.11,0.35,0.66,1e-18,0.62,0.48,0.42,0.38,0.48,0.53,0.48,0.45,0.44,0.47,0.66,0.66,0.64,0.66,0.48,0.48,0.44,0.45,0.47,0.45,0.45,0.56,0.52,0.64,0.66,0.61,0.56
ENSEEET00000030884_ENSEEEG00000014385,0.62,0.55,0.53,0.58,0.52,0.33,0.45,0.58,0.52,0.57,0.53,0.48,0.44,0.42,0.5,0.62,0.65,0.61,1.0,0.62,0.45,0.4,0.45,0.43,0.44,0.4,0.37,0.28,0.6,0.11,0.28,0.62,1e-18,0.65,0.47,0.43,0.39,0.52,0.57,0.52,0.48,0.47,0.5,0.62,0.62,0.61,0.62,0.52,0.52,0.45,0.43,0.48,0.47,0.47,0.58,0.5,0.61,0.62,0.58,0.56
ENSEEET00000030886_ENSEEEG00000014385,0.58,0.57,0.59,0.52,0.57,0.38,0.47,0.55,0.48,0.52,0.5,0.47,0.4,0.38,0.48,0.58,0.6,0.56,0.62,1.0,0.48,0.43,0.48,0.46,0.48,0.43,0.4,0.23,0.57,0.12,0.25,0.58,1e-18,0.6,0.47,0.45,0.43,0.48,0.53,0.52,0.48,0.47,0.47,0.58,0.58,0.56,0.58,0.48,0.57,0.45,0.45,0.48,0.43,0.47,0.59,0.5,0.56,0.58,0.61,0.53
ENSEEET00000030891_ENSEEEG00000014385,0.41,0.48,0.5,0.52,0.57,0.4,0.52,0.48,0.39,0.5,0.46,0.44,0.38,0.4,0.48,0.41,0.42,0.4,0.45,0.48,1.0,0.57,0.66,0.64,0.48,0.52,0.59,0.19,0.4,0.16,0.12,0.41,1e-18,0.42,0.42,0.46,0.5,0.46,0.43,0.46,0.48,0.52,0.44,0.41,0.41,0.42,0.41,0.38,0.39,0.48,0.46,0.52,0.46,0.5,0.48,0.48,0.39,0.41,0.42,0.4
ENSEEET00000030893_ENSEEEG00000014385,0.39,0.43,0.44,0.46,0.5,0.41,0.46,0.43,0.35,0.45,0.41,0.38,0.33,0.35,0.42,0.39,0.41,0.38,0.4,0.43,0.57,1.0,0.57,0.57,0.65,0.48,0.5,0.15,0.38,0.15,0.09,0.39,1e-18,0.41,0.38,0.4,0.44,0.44,0.41,0.44,0.48,0.48,0.42,0.39,0.39,0.41,0.39,0.38,0.4,0.44,0.42,0.48,0.42,0.46,0.43,0.42,0.38,0.39,0.41,0.38
ENSEEET00000030897_ENSEEEG00000014385,0.41,0.45,0.5,0.48,0.52,0.4,0.48,0.45,0.36,0.46,0.42,0.4,0.35,0.36,0.44,0.41,0.42,0.39,0.45,0.48,0.66,0.57,1.0,0.64,0.48,0.55,0.59,0.19,0.4,0.16,0.1,0.41,1e-18,0.42,0.44,0.46,0.46,0.46,0.43,0.46,0.48,0.52,0.44,0.41,0.41,0.42,0.41,0.38,0.39,0.44,0.42,0.48,0.42,0.46,0.45,0.44,0.39,0.41,0.42,0.4
ENSEEET00000030906_ENSEEEG00000014385,0.41,0.45,0.48,0.48,0.52,0.36,0.48,0.45,0.36,0.46,0.42,0.44,0.38,0.4,0.44,0.41,0.42,0.39,0.43,0.46,0.64,0.57,0.64,1.0,0.48,0.55,0.59,0.17,0.4,0.16,0.12,0.41,1e-18,0.42,0.4,0.42,0.46,0.46,0.43,0.46,0.48,0.52,0.44,0.41,0.41,0.42,0.41,0.38,0.39,0.44,0.42,0.48,0.46,0.46,0.45,0.44,0.39,0.41,0.42,0.4
ENSEEET00000030907_ENSEEEG00000014385,0.42,0.48,0.48,0.5,0.54,0.44,0.48,0.47,0.37,0.47,0.43,0.41,0.36,0.37,0.44,0.42,0.44,0.41,0.44,0.48,0.48,0.65,0.48,0.48,1.0,0.4,0.42,0.15,0.42,0.15,0.12,0.42,1e-18,0.44,0.42,0.42,0.5,0.46,0.46,0.46,0.48,0.5,0.48,0.42,0.42,0.44,0.42,0.42,0.45,0.44,0.44,0.48,0.43,0.5,0.45,0.46,0.41,0.42,0.45,0.42
ENSEEET00000030915_ENSEEEG00000014385,0.39,0.45,0.44,0.46,0.48,0.36,0.48,0.45,0.39,0.46,0.42,0.44,0.38,0.38,0.44,0.39,0.4,0.42,0.4,0.43,0.52,0.48,0.55,0.55,0.4,1.0,0.6,0.11,0.38,0.14,0.16,0.39,1e-18,0.4,0.5,0.46,0.4,0.44,0.41,0.44,0.4,0.42,0.42,0.39,0.39,0.4,0.39,0.34,0.38,0.44,0.46,0.48,0.42,0.46,0.45,0.48,0.38,0.39,0.4,0.38
ENSEEET00000030917_ENSEEEG00000014385,0.36,0.43,0.41,0.46,0.5,0.4,0.5,0.43,0.34,0.44,0.4,0.42,0.36,0.38,0.42,0.36,0.38,0.36,0.37,0.4,0.59,0.5,0.59,0.59,0.42,0.6,1.0,0.12,0.35,0.14,0.12,0.36,1e-18,0.38,0.4,0.43,0.43,0.4,0.38,0.4,0.42,0.46,0.38,0.36,0.36,0.38,0.36,0.33,0.34,0.42,0.4,0.46,0.44,0.44,0.43,0.42,0.35,0.36,0.38,0.35
ENSPNAT00000001582_ENSPNAG00000002774,0.28,0.2,0.2,0.22,0.19,0.11,0.14,0.23,0.18,0.23,0.19,0.16,0.14,0.15,0.17,0.28,0.28,0.27,0.28,0.23,0.19,0.15,0.19,0.17,0.15,0.11,0.12,1.0,0.22,0.05,0.17,0.28,0.02,0.27,0.16,0.09,0.12,0.17,0.2,0.17,0.17,0.19,0.16,0.28,0.28,0.28,0.28,0.22,0.18,0.15,0.16,0.17,0.19,0.16,0.19,0.17,0.28,0.28,0.23,0.22
ENSPNAT00000001776_ENSPNAG00000002774,0.56,0.5,0.48,0.52,0.5,0.29,0.4,0.55,0.57,0.52,0.59,0.55,0.48,0.47,0.57,0.56,0.58,0.55,0.6,0.57,0.4,0.38,0.4,0.4,0.42,0.38,0.35,0.22,1.0,0.12,0.29,0.56,1e-18,0.58,0.55,0.47,0.4,0.57,0.62,0.59,0.55,0.54,0.55,0.56,0.56,0.55,0.56,0.57,0.59,0.43,0.42,0.47,0.42,0.45,0.53,0.47,0.55,0.56,0.53,0.53
ENSPNAT00000001795_ENSPNAG00000002774,0.11,0.12,0.13,0.14,0.15,0.05,0.11,0.12,0.13,0.13,0.14,0.15,0.08,0.09,0.15,0.11,0.11,0.11,0.11,0.12,0.16,0.15,0.16,0.16,0.15,0.14,0.14,0.05,0.12,1.0,1e-18,0.11,1e-18,0.11,0.15,0.17,0.16,0.14,0.13,0.14,0.15,0.15,0.15,0.11,0.11,0.11,0.11,0.12,0.13,0.15,0.14,0.15,0.15,0.16,0.12,0.12,0.11,0.11,0.11,0.07
ENSAMXT00000053473_ENSAMXG00000036737,0.41,0.26,0.19,0.27,0.22,0.11,0.17,0.26,0.31,0.28,0.29,0.29,0.29,0.27,0.26,0.38,0.34,0.35,0.28,0.25,0.12,0.09,0.1,0.12,0.12,0.16,0.12,0.17,0.29,1e-18,1.0,0.38,1e-18,0.33,0.22,0.17,0.13,0.23,0.29,0.25,0.22,0.2,0.22,0.38,0.38,0.36,0.38,0.24,0.23,0.16,0.21,0.18,0.21,0.17,0.24,0.22,0.36,0.38,0.33,0.31
ENSDART00000100351_ENSDARG00000033444,0.72,0.58,0.48,0.56,0.5,0.31,0.44,0.56,0.5,0.55,0.52,0.47,0.42,0.41,0.48,0.73,0.69,0.66,0.62,0.58,0.41,0.39,0.41,0.41,0.42,0.39,0.36,0.28,0.56,0.11,0.38,1.0,1e-18,0.69,0.45,0.42,0.38,0.5,0.55,0.5,0.47,0.45,0.48,0.73,0.73,0.72,0.73,0.5,0.5,0.44,0.42,0.47,0.45,0.45,0.56,0.48,0.72,0.73,0.69,0.58
ENSDCDT00000000262_ENSDCDG00000000138,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.02,1e-18,1e-18,1e-18,1e-18,1.0,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSHHUT00000006467_ENSHHUG00000003681,0.67,0.55,0.5,0.58,0.52,0.32,0.45,0.58,0.52,0.56,0.53,0.48,0.44,0.42,0.5,0.69,0.66,0.62,0.65,0.6,0.42,0.41,0.42,0.42,0.44,0.4,0.38,0.27,0.58,0.11,0.33,0.69,1e-18,1.0,0.47,0.44,0.39,0.52,0.56,0.52,0.48,0.47,0.5,0.69,0.69,0.67,0.69,0.52,0.52,0.45,0.44,0.48,0.47,0.47,0.58,0.5,0.67,0.69,0.64,0.56
ENSHHUT00000006504_ENSHHUG00000003681,0.45,0.48,0.45,0.5,0.48,0.33,0.42,0.52,0.52,0.5,0.56,0.54,0.48,0.48,0.58,0.45,0.47,0.48,0.47,0.47,0.42,0.38,0.44,0.4,0.42,0.5,0.4,0.16,0.55,0.15,0.22,0.45,1e-18,0.47,1.0,0.56,0.42,0.6,0.56,0.58,0.54,0.56,0.58,0.45,0.45,0.47,0.45,0.5,0.5,0.44,0.48,0.48,0.39,0.46,0.47,0.54,0.44,0.45,0.44,0.45
ENSHHUT00000006508_ENSHHUG00000003681,0.42,0.52,0.46,0.52,0.52,0.36,0.54,0.46,0.48,0.5,0.54,0.52,0.46,0.46,0.56,0.42,0.44,0.42,0.43,0.45,0.46,0.4,0.46,0.42,0.42,0.46,0.43,0.09,0.47,0.17,0.17,0.42,1e-18,0.44,0.56,1.0,0.5,0.58,0.5,0.54,0.5,0.52,0.56,0.42,0.42,0.44,0.42,0.43,0.48,0.48,0.48,0.48,0.44,0.46,0.52,0.52,0.41,0.42,0.45,0.38
ENSHHUT00000006540_ENSHHUG00000003681,0.38,0.46,0.44,0.5,0.54,0.36,0.52,0.45,0.4,0.46,0.46,0.44,0.38,0.4,0.48,0.38,0.39,0.38,0.39,0.43,0.5,0.44,0.46,0.46,0.5,0.4,0.43,0.12,0.4,0.16,0.13,0.38,1e-18,0.39,0.42,0.5,1.0,0.46,0.43,0.46,0.48,0.5,0.46,0.38,0.38,0.39,0.38,0.38,0.41,0.42,0.44,0.46,0.4,0.46,0.46,0.46,0.38,0.38,0.41,0.37
ENSHHUT00000026718_ENSHHUG00000015298,0.5,0.52,0.5,0.58,0.52,0.34,0.5,0.52,0.54,0.56,0.6,0.58,0.52,0.52,0.62,0.5,0.52,0.48,0.52,0.48,0.46,0.44,0.46,0.46,0.46,0.44,0.4,0.17,0.57,0.14,0.23,0.5,1e-18,0.52,0.6,0.58,0.46,1.0,0.59,0.64,0.6,0.62,0.69,0.5,0.5,0.52,0.5,0.52,0.52,0.48,0.5,0.52,0.44,0.5,0.5,0.54,0.48,0.5,0.48,0.47
ENSHHUT00000026722_ENSHHUG00000015298,0.55,0.5,0.5,0.57,0.54,0.31,0.43,0.57,0.57,0.57,0.65,0.6,0.54,0.52,0.62,0.55,0.56,0.53,0.57,0.53,0.43,0.41,0.43,0.43,0.46,0.41,0.38,0.2,0.62,0.13,0.29,0.55,1e-18,0.56,0.56,0.5,0.43,0.59,1.0,0.63,0.6,0.58,0.57,0.55,0.55,0.53,0.55,0.57,0.57,0.46,0.45,0.5,0.46,0.48,0.52,0.48,0.53,0.55,0.5,0.55
ENSHHUT00000026753_ENSHHUG00000015298,0.5,0.52,0.54,0.54,0.56,0.34,0.46,0.54,0.57,0.56,0.64,0.65,0.54,0.52,0.67,0.5,0.52,0.48,0.52,0.52,0.46,0.44,0.46,0.46,0.46,0.44,0.4,0.17,0.59,0.14,0.25,0.5,1e-18,0.52,0.58,0.54,0.46,0.64,0.63,1.0,0.67,0.65,0.62,0.5,0.5,0.48,0.5,0.52,0.55,0.5,0.48,0.54,0.46,0.52,0.5,0.5,0.48,0.5,0.48,0.5
ENSHHUT00000026758_ENSHHUG00000015298,0.47,0.48,0.5,0.52,0.56,0.38,0.46,0.5,0.54,0.52,0.6,0.6,0.5,0.5,0.62,0.47,0.48,0.45,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.4,0.42,0.17,0.55,0.15,0.22,0.47,1e-18,0.48,0.54,0.5,0.48,0.6,0.6,0.67,1.0,0.67,0.58,0.47,0.47,0.45,0.47,0.5,0.52,0.46,0.44,0.5,0.46,0.48,0.47,0.46,0.45,0.47,0.45,0.47
