,K08D8.5.1_WBGene00010659,C32H11.1a.1_WBGene00007864,C32H11.1b.1_WBGene00007864,K08D8.4a.1_WBGene00010658,K08D8.4a.2_WBGene00010658,K08D8.4b.1_WBGene00010658,K08D8.4b.2_WBGene00010658,K08D8.4c.1_WBGene00010658,K08D8.4d.1_WBGene00010658,K08D8.3.1_WBGene00010657,C32H11.10.1_WBGene00007873,C32H11.9.1_WBGene00007872,C32H11.12.1_WBGene00007875,F55C9.6.1_WBGene00010103,ZK896.5.1_WBGene00014136,ZK896.5.2_WBGene00014136,ZK896.4.1_WBGene00014135,K08D8.6a.1_WBGene00010660,K08D8.6b.1_WBGene00010660,ZK896.1.1_WBGene00014132,C29F3.7a.1_WBGene00007807,C29F3.7b.1_WBGene00007807,ZK1037.6.1_WBGene00014194,T05E12.6a.1_WBGene00011487,T05E12.6b.1_WBGene00011487,K10D11.5.1_WBGene00010749,K10D11.3a.1_WBGene00010747,K10D11.3b.1_WBGene00010747,K10D11.3c.1_WBGene00010747,K10D11.6.1_WBGene00010750,K10D11.4.1_WBGene00010748,F55G11.4.1_WBGene00010124,F55G11.2.1_WBGene00010123,F55G11.8.1_WBGene00010128,F55G11.6.1_WBGene00010126,F55G11.7.1_WBGene00010127,F55G11.7.2_WBGene00010127,C49G7.13.1_WBGene00269425,K10D11.1.1_WBGene00010745,C32H11.13.1_WBGene00007876,F55G11.5a.1_WBGene00010125,F55G11.5b.1_WBGene00010125,K10D11.2.1_WBGene00010746,C32H11.3.1_WBGene00007866,C32H11.4.1_WBGene00007867,T19C9.8.1_WBGene00011844,F17C11.11a.1_WBGene00008922,F17C11.11b.1_WBGene00008922,C45B11.6.1_WBGene00045379,ENSPNAT00000002131_ENSPNAG00000013119,ENSCABT00000029595_ENSCABG00000019821,ENSGAGT00000027995_ENSGAGG00000017962
C32H11.10.1_WBGene00007873,0.08,0.05,0.06,0.05,0.05,0.07,0.07,0.06,0.05,0.05,1.0,0.5,0.5,1e-18,0.04,0.04,0.04,0.04,0.06,0.04,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.05,1e-18,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.12,0.06,0.06,0.06,1e-18,0.1,1e-18,1e-18,1e-18,1e-18,1e-18
C32H11.9.1_WBGene00007872,0.08,0.05,0.06,0.05,0.05,0.07,0.07,0.06,0.05,0.05,0.5,1.0,0.5,1e-18,0.04,0.04,0.04,0.04,0.06,0.04,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.05,1e-18,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.12,0.06,0.06,0.06,1e-18,0.1,1e-18,1e-18,1e-18,1e-18,1e-18
C32H11.12.1_WBGene00007875,0.08,0.05,0.06,0.05,0.05,0.07,0.07,0.06,0.05,0.05,0.5,0.5,1.0,1e-18,0.04,0.04,0.04,0.04,0.06,0.04,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.05,1e-18,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.12,0.06,0.06,0.06,1e-18,0.1,1e-18,1e-18,1e-18,1e-18,1e-18
F55C9.6.1_WBGene00010103,0.07,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.05,0.05,1e-18,1e-18,1e-18,1.0,0.18,0.18,0.18,0.18,1e-18,0.18,0.06,0.06,0.06,0.06,0.08,0.06,0.08,0.04,0.04,0.08,0.06,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.06,0.17,0.17,0.17,0.07,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ZK896.5.1_WBGene00014136,0.08,0.13,0.14,0.13,0.13,0.07,0.07,0.11,0.13,0.18,0.04,0.04,0.04,0.18,1.0,0.55,0.55,0.55,0.32,0.55,0.03,0.03,0.03,0.03,0.04,0.03,0.25,0.2,0.23,0.25,0.11,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.12,0.21,0.21,0.21,0.04,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ZK896.5.2_WBGene00014136,0.08,0.13,0.14,0.13,0.13,0.07,0.07,0.11,0.13,0.18,0.04,0.04,0.04,0.18,0.55,1.0,0.55,0.55,0.32,0.55,0.03,0.03,0.03,0.03,0.04,0.03,0.25,0.2,0.23,0.25,0.11,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.12,0.21,0.21,0.21,0.04,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ZK896.4.1_WBGene00014135,0.08,0.13,0.14,0.13,0.13,0.07,0.07,0.11,0.13,0.18,0.04,0.04,0.04,0.18,0.55,0.55,1.0,0.55,0.32,0.55,0.03,0.03,0.03,0.03,0.04,0.03,0.25,0.2,0.23,0.25,0.11,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.12,0.21,0.21,0.21,0.04,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
K08D8.6a.1_WBGene00010660,0.08,0.13,0.14,0.13,0.13,0.07,0.07,0.11,0.13,0.18,0.04,0.04,0.04,0.18,0.55,0.55,0.55,1.0,0.32,0.55,0.03,0.03,0.03,0.03,0.04,0.03,0.25,0.2,0.23,0.25,0.11,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.12,0.21,0.21,0.21,0.04,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
K08D8.6b.1_WBGene00010660,0.05,0.12,0.12,0.12,0.12,0.04,0.04,0.08,0.12,0.17,0.06,0.06,0.06,1e-18,0.32,0.32,0.32,0.32,1.0,0.32,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.25,0.25,0.27,0.25,0.08,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ZK896.1.1_WBGene00014132,0.08,0.13,0.14,0.13,0.13,0.07,0.07,0.11,0.13,0.18,0.04,0.04,0.04,0.18,0.55,0.55,0.55,0.55,0.32,1.0,0.03,0.03,0.03,0.03,0.04,0.03,0.25,0.2,0.23,0.25,0.11,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.12,0.21,0.21,0.21,0.04,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
C29F3.7a.1_WBGene00007807,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.03,1e-18,1e-18,1e-18,0.06,0.03,0.03,0.03,0.03,1e-18,0.03,1.0,0.57,0.5,0.5,0.29,0.57,0.11,0.03,0.03,0.11,0.31,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1e-18,0.04,0.04,0.04,0.29,1e-18,1e-18,1e-18,1e-18,0.04,0.04
C29F3.7b.1_WBGene00007807,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.03,1e-18,1e-18,1e-18,0.06,0.03,0.03,0.03,0.03,1e-18,0.03,0.57,1.0,0.5,0.5,0.29,0.57,0.11,0.03,0.03,0.11,0.31,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1e-18,0.04,0.04,0.04,0.29,1e-18,1e-18,1e-18,1e-18,0.04,0.04
ZK1037.6.1_WBGene00014194,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.03,1e-18,1e-18,1e-18,0.06,0.03,0.03,0.03,0.03,1e-18,0.03,0.5,0.5,1.0,0.5,0.29,0.5,0.11,0.03,0.03,0.11,0.31,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1e-18,0.04,0.04,0.04,0.29,1e-18,1e-18,1e-18,1e-18,0.04,0.04
T05E12.6a.1_WBGene00011487,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.03,1e-18,1e-18,1e-18,0.06,0.03,0.03,0.03,0.03,1e-18,0.03,0.5,0.5,0.5,1.0,0.29,0.5,0.11,0.03,0.03,0.11,0.31,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1e-18,0.04,0.04,0.04,0.29,1e-18,1e-18,1e-18,1e-18,0.04,0.04
T05E12.6b.1_WBGene00011487,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.08,0.04,0.04,0.04,0.04,1e-18,0.04,0.29,0.29,0.29,0.29,1.0,0.29,0.08,1e-18,1e-18,0.08,0.19,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1e-18,0.05,0.05,0.05,0.07,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
K10D11.5.1_WBGene00010749,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.03,1e-18,1e-18,1e-18,0.06,0.03,0.03,0.03,0.03,1e-18,0.03,0.57,0.57,0.5,0.5,0.29,1.0,0.11,0.03,0.03,0.11,0.31,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1e-18,0.04,0.04,0.04,0.29,1e-18,1e-18,1e-18,1e-18,0.04,0.04
K10D11.3a.1_WBGene00010747,0.12,0.25,0.27,0.25,0.25,0.15,0.15,0.19,0.25,0.31,1e-18,1e-18,1e-18,0.08,0.25,0.25,0.25,0.25,0.25,0.25,0.11,0.11,0.11,0.11,0.08,0.11,1.0,0.42,0.46,0.59,0.14,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.04,0.07,0.07,0.07,0.08,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
K10D11.3b.1_WBGene00010747,0.12,0.25,0.27,0.25,0.25,0.15,0.15,0.19,0.25,0.31,1e-18,1e-18,1e-18,0.04,0.2,0.2,0.2,0.2,0.25,0.2,0.03,0.03,0.03,0.03,1e-18,0.03,0.42,1.0,0.46,0.38,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.04,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
K10D11.3c.1_WBGene00010747,0.2,0.33,0.36,0.33,0.33,0.23,0.23,0.27,0.33,0.41,0.05,0.05,0.05,0.04,0.23,0.23,0.23,0.23,0.27,0.23,0.03,0.03,0.03,0.03,1e-18,0.03,0.46,0.46,1.0,0.42,0.07,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
K10D11.6.1_WBGene00010750,0.12,0.25,0.27,0.25,0.25,0.15,0.15,0.19,0.25,0.31,1e-18,1e-18,1e-18,0.08,0.25,0.25,0.25,0.25,0.25,0.25,0.11,0.11,0.11,0.11,0.08,0.11,0.59,0.38,0.42,1.0,0.14,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.04,0.07,0.07,0.07,0.08,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
K10D11.4.1_WBGene00010748,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.03,0.06,0.06,0.06,0.06,0.11,0.11,0.11,0.11,0.08,0.11,0.31,0.31,0.31,0.31,0.19,0.31,0.14,0.06,0.07,0.14,1.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.04,0.08,0.08,0.08,0.21,1e-18,1e-18,1e-18,1e-18,0.04,0.04
F55G11.4.1_WBGene00010124,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.06,0.06,0.06,0.17,0.21,0.21,0.21,0.21,0.05,0.21,0.04,0.04,0.04,0.04,0.05,0.04,0.07,0.03,0.04,0.07,0.08,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.38,0.5,0.5,0.5,0.05,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
F55G11.2.1_WBGene00010123,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.06,0.06,0.06,0.17,0.21,0.21,0.21,0.21,0.05,0.21,0.04,0.04,0.04,0.04,0.05,0.04,0.07,0.03,0.04,0.07,0.08,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.38,0.5,0.5,0.5,0.05,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
F55G11.8.1_WBGene00010128,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.06,0.06,0.06,0.17,0.21,0.21,0.21,0.21,0.05,0.21,0.04,0.04,0.04,0.04,0.05,0.04,0.07,0.03,0.04,0.07,0.08,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.38,0.5,0.5,0.5,0.05,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
F55G11.6.1_WBGene00010126,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.06,0.06,0.06,0.17,0.21,0.21,0.21,0.21,0.05,0.21,0.04,0.04,0.04,0.04,0.05,0.04,0.07,0.03,0.04,0.07,0.08,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.38,0.5,0.5,0.5,0.05,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
F55G11.7.1_WBGene00010127,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.06,0.06,0.06,0.17,0.21,0.21,0.21,0.21,0.05,0.21,0.04,0.04,0.04,0.04,0.05,0.04,0.07,0.03,0.04,0.07,0.08,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.38,0.5,0.5,0.5,0.05,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
F55G11.7.2_WBGene00010127,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.06,0.06,0.06,0.17,0.21,0.21,0.21,0.21,0.05,0.21,0.04,0.04,0.04,0.04,0.05,0.04,0.07,0.03,0.04,0.07,0.08,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.38,0.5,0.5,0.5,0.05,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
C49G7.13.1_WBGene00269425,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.06,0.06,0.06,0.17,0.21,0.21,0.21,0.21,0.05,0.21,0.04,0.04,0.04,0.04,0.05,0.04,0.07,0.03,0.04,0.07,0.08,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.38,0.5,0.5,0.5,0.05,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
K10D11.1.1_WBGene00010745,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.06,0.06,0.06,0.17,0.21,0.21,0.21,0.21,0.05,0.21,0.04,0.04,0.04,0.04,0.05,0.04,0.07,0.03,0.04,0.07,0.08,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.38,0.5,0.5,0.5,0.05,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
C32H11.13.1_WBGene00007876,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.06,0.06,0.06,0.17,0.21,0.21,0.21,0.21,0.05,0.21,0.04,0.04,0.04,0.04,0.05,0.04,0.07,0.03,0.04,0.07,0.08,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.38,0.5,0.5,0.5,0.05,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
F55G11.5a.1_WBGene00010125,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.06,0.06,0.06,0.17,0.21,0.21,0.21,0.21,0.05,0.21,0.04,0.04,0.04,0.04,0.05,0.04,0.07,0.03,0.04,0.07,0.08,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.38,0.5,0.5,0.5,0.05,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
F55G11.5b.1_WBGene00010125,0.11,0.08,0.08,0.08,0.08,0.1,0.1,0.08,0.08,0.08,0.12,0.12,0.12,0.06,0.12,0.12,0.12,0.12,0.05,0.12,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.04,0.04,0.08,0.04,0.04,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,1.0,0.38,0.38,0.38,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
K10D11.2.1_WBGene00010746,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.06,0.06,0.06,0.17,0.21,0.21,0.21,0.21,0.05,0.21,0.04,0.04,0.04,0.04,0.05,0.04,0.07,0.03,0.04,0.07,0.08,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.38,1.0,0.5,0.5,0.05,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
C32H11.3.1_WBGene00007866,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.06,0.06,0.06,0.17,0.21,0.21,0.21,0.21,0.05,0.21,0.04,0.04,0.04,0.04,0.05,0.04,0.07,0.03,0.04,0.07,0.08,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.38,0.5,1.0,0.5,0.05,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
C32H11.4.1_WBGene00007867,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.06,0.06,0.06,0.17,0.21,0.21,0.21,0.21,0.05,0.21,0.04,0.04,0.04,0.04,0.05,0.04,0.07,0.03,0.04,0.07,0.08,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.38,0.5,0.5,1.0,0.05,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
T19C9.8.1_WBGene00011844,0.06,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.04,1e-18,1e-18,1e-18,0.07,0.04,0.04,0.04,0.04,1e-18,0.04,0.29,0.29,0.29,0.29,0.07,0.29,0.08,0.04,0.04,0.08,0.21,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1e-18,0.05,0.05,0.05,1.0,1e-18,1e-18,1e-18,1e-18,0.05,0.05
F17C11.11a.1_WBGene00008922,1e-18,0.05,1e-18,0.05,0.05,0.07,0.07,1e-18,0.05,1e-18,0.1,0.1,0.1,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1.0,0.17,0.08,1e-18,0.06,0.06
F17C11.11b.1_WBGene00008922,1e-18,0.06,1e-18,0.06,0.06,0.08,0.08,1e-18,0.06,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.17,1.0,0.1,0.25,1e-18,1e-18
C45B11.6.1_WBGene00045379,1e-18,0.04,1e-18,0.04,0.04,0.06,0.06,1e-18,0.04,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.08,0.1,1.0,1e-18,1e-18,1e-18
ENSPNAT00000002131_ENSPNAG00000013119,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.25,1e-18,1.0,1e-18,1e-18
ENSCABT00000029595_ENSCABG00000019821,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.04,0.04,0.04,0.04,1e-18,0.04,1e-18,1e-18,1e-18,1e-18,0.04,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.05,0.06,1e-18,1e-18,1e-18,1.0,0.62
