,ENSAHAT00000008308_ENSAHAG00000005522,ENSAHAT00000008311_ENSAHAG00000005522,ENSAHAT00000008325_ENSAHAG00000005522,ENSAHAT00000008356_ENSAHAG00000005522,ENSAHAT00000008375_ENSAHAG00000005522,ENSAOWT00000032439_ENSAOWG00000019289,ENSAOWT00000032440_ENSAOWG00000019289,ENSAOWT00000032442_ENSAOWG00000019289,ENSARWT00000019779_ENSARWG00000011968,ENSDNVT00000007356_ENSDNVG00000004364,ENSNPET00000021018_ENSNPEG00000015029,ENSNPET00000021038_ENSNPEG00000015029,ENSNPET00000021073_ENSNPEG00000015029,ENSNPET00000021089_ENSNPEG00000015029,ENSNPET00000021093_ENSNPEG00000015029,ENSCPUT00000030240_ENSCPUG00000017316,ENSCPUT00000030241_ENSCPUG00000017316,ENSCPUT00000030242_ENSCPUG00000017316,ENSCPUT00000030244_ENSCPUG00000017316,ENSCPUT00000030245_ENSCPUG00000017316,ENSCPUT00000030252_ENSCPUG00000017316,ENSCPUT00000030254_ENSCPUG00000017316,ENSCPUT00000030255_ENSCPUG00000017316,ENSCPUT00000030256_ENSCPUG00000017316,ENSCPGT00000028508_ENSCPGG00000017964,ENSCPGT00000028560_ENSCPGG00000017964,ENSCPGT00000028562_ENSCPGG00000017964,ENSCPGT00000028563_ENSCPGG00000017964,ENSZALT00000005102_ENSZALG00000003213
ENSCPUT00000030242_ENSCPUG00000017316,0.2,0.17,0.28,0.15,0.17,0.15,0.17,0.17,0.2,0.25,0.2,0.18,0.17,0.17,0.18,0.5,0.5,1.0,1e-18,1e-18,0.18,0.33,0.33,0.2,0.15,0.25,0.17,0.17,0.2
ENSCPUT00000030244_ENSCPUG00000017316,0.05,0.04,0.06,1e-18,1e-18,0.05,0.04,1e-18,0.05,0.05,0.05,0.05,0.04,0.04,0.05,1e-18,1e-18,1e-18,1.0,0.5,0.05,0.06,0.06,0.05,1e-18,0.05,1e-18,1e-18,0.05
ENSCPUT00000030245_ENSCPUG00000017316,0.06,0.04,0.06,1e-18,1e-18,0.06,0.04,1e-18,0.06,0.05,0.06,0.05,0.05,0.05,0.05,1e-18,1e-18,1e-18,0.5,1.0,0.05,0.06,0.06,0.06,1e-18,0.05,1e-18,1e-18,0.06
ENSCPUT00000030252_ENSCPUG00000017316,0.5,0.38,0.25,0.18,0.2,0.45,0.38,0.2,0.5,0.45,0.5,0.45,0.42,0.42,0.45,0.18,0.25,0.18,0.05,0.05,1.0,0.25,0.25,0.61,0.31,0.45,0.25,0.22,0.61
ENSCPUT00000030254_ENSCPUG00000017316,0.28,0.21,0.38,0.17,0.19,0.22,0.21,0.19,0.28,0.25,0.28,0.25,0.23,0.23,0.25,0.33,0.33,0.33,0.06,0.06,0.25,1.0,0.44,0.28,0.12,0.25,0.12,0.19,0.28
ENSCPUT00000030255_ENSCPUG00000017316,0.28,0.21,0.38,0.17,0.19,0.22,0.21,0.19,0.28,0.25,0.28,0.25,0.23,0.23,0.25,0.33,0.33,0.33,0.06,0.06,0.25,0.44,1.0,0.28,0.12,0.25,0.12,0.19,0.28
ENSCPUT00000030256_ENSCPUG00000017316,0.56,0.42,0.28,0.2,0.22,0.5,0.42,0.22,0.56,0.5,0.56,0.5,0.45,0.45,0.5,0.2,0.28,0.2,0.05,0.06,0.61,0.28,0.28,1.0,0.33,0.5,0.27,0.25,0.69
ENSCPGT00000028508_ENSCPGG00000017964,0.33,0.29,0.12,0.12,0.12,0.29,0.29,0.12,0.33,0.31,0.33,0.31,0.29,0.29,0.31,0.15,0.15,0.15,1e-18,1e-18,0.31,0.12,0.12,0.33,1.0,0.31,0.17,0.12,0.33
ENSCPGT00000028560_ENSCPGG00000017964,0.5,0.42,0.25,0.18,0.2,0.45,0.42,0.2,0.5,0.55,0.5,0.45,0.42,0.42,0.45,0.18,0.18,0.25,0.05,0.05,0.45,0.25,0.25,0.5,0.31,1.0,0.29,0.2,0.5
ENSCPGT00000028562_ENSCPGG00000017964,0.25,0.21,0.12,0.18,0.2,0.21,0.21,0.2,0.25,0.29,0.25,0.23,0.21,0.21,0.23,0.12,0.12,0.17,1e-18,1e-18,0.25,0.12,0.12,0.27,0.17,0.29,1.0,0.28,0.27
ENSCPGT00000028563_ENSCPGG00000017964,0.22,0.17,0.19,0.29,0.33,0.17,0.17,0.33,0.22,0.2,0.22,0.2,0.18,0.18,0.2,0.17,0.19,0.17,1e-18,1e-18,0.22,0.19,0.19,0.25,0.12,0.2,0.28,1.0,0.25
ENSZALT00000005102_ENSZALG00000003213,0.56,0.42,0.28,0.2,0.22,0.5,0.42,0.22,0.56,0.5,0.56,0.5,0.45,0.45,0.5,0.2,0.28,0.2,0.05,0.06,0.61,0.28,0.28,0.69,0.33,0.5,0.27,0.25,1.0
