,ENSDCDT00000011897_ENSDCDG00000005394,ENSDCDT00000011901_ENSDCDG00000005394,ENSDCDT00000044510_ENSDCDG00000023231,ENSDCDT00000044520_ENSDCDG00000023231,ENSCHAT00000041591_ENSCHAG00000017974,ENSTRUT00000052070_ENSTRUG00000020340,ENSTNIT00000018420_ENSTNIG00000015141,ENSBSLT00000013598_ENSBSLG00000006162,ENSBSLT00000013611_ENSBSLG00000006162,ENSCSET00000006494_ENSCSEG00000004159,ENSCSET00000006501_ENSCSEG00000004159,ENSPFOT00000013237_ENSPFOG00000013100,ENSPMET00000035354_ENSPMEG00000024298,ENSPLAT00000013638_ENSPLAG00000003279,ENSPRET00000022144_ENSPREG00000014796,ENSXCOT00000008137_ENSXCOG00000006172,ENSXMAT00000010074_ENSXMAG00000010017,ENSGAFT00000001805_ENSGAFG00000001219,ENSFHET00000009045_ENSFHEG00000005261,ENSCVAT00000018229_ENSCVAG00000013555,ENSKMAT00000023683_ENSKMAG00000017347,ENSPNYT00000007616_ENSPNYG00000005691,ENSHBUT00000029224_ENSHBUG00000021995,ENSACLT00000001926_ENSACLG00000001274,ENSMZET00005009462_ENSMZEG00005006906,ENSNBRT00000011154_ENSNBRG00000008453
ENSCSET00000006501_ENSCSEG00000004159,0.79,0.75,0.72,0.73,0.84,0.86,0.8,0.83,0.64,0.94,1.0,0.86,0.86,0.78,0.58,0.78,0.86,0.78,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.34
ENSPFOT00000013237_ENSPFOG00000013100,0.8,0.76,0.73,0.74,0.85,0.87,0.81,0.84,0.66,0.86,0.86,1.0,0.94,0.85,0.64,0.84,0.93,0.84,0.9,0.89,0.88,0.87,0.87,0.87,0.87,0.34
ENSPMET00000035354_ENSPMEG00000024298,0.8,0.76,0.73,0.74,0.85,0.87,0.81,0.84,0.66,0.86,0.86,0.94,1.0,0.85,0.64,0.84,0.93,0.84,0.9,0.89,0.88,0.87,0.87,0.87,0.87,0.34
ENSPLAT00000013638_ENSPLAG00000003279,0.74,0.7,0.67,0.68,0.77,0.79,0.75,0.76,0.73,0.78,0.78,0.85,0.85,1.0,0.72,0.93,0.84,0.93,0.82,0.81,0.8,0.79,0.79,0.79,0.79,0.3
ENSPRET00000022144_ENSPREG00000014796,0.56,0.6,0.5,0.51,0.58,0.59,0.58,0.57,0.66,0.58,0.58,0.64,0.64,0.72,1.0,0.71,0.64,0.71,0.62,0.61,0.6,0.59,0.59,0.59,0.59,0.37
ENSXCOT00000008137_ENSXCOG00000006172,0.73,0.7,0.67,0.68,0.76,0.78,0.74,0.76,0.73,0.78,0.78,0.84,0.84,0.93,0.71,1.0,0.85,0.94,0.82,0.81,0.8,0.79,0.79,0.79,0.79,0.3
ENSXMAT00000010074_ENSXMAG00000010017,0.8,0.76,0.73,0.74,0.85,0.87,0.81,0.84,0.65,0.86,0.86,0.93,0.93,0.84,0.64,0.85,1.0,0.85,0.9,0.89,0.88,0.87,0.87,0.87,0.87,0.35
ENSGAFT00000001805_ENSGAFG00000001219,0.73,0.7,0.67,0.68,0.77,0.79,0.75,0.77,0.73,0.78,0.78,0.84,0.84,0.93,0.71,0.94,0.85,1.0,0.82,0.81,0.8,0.79,0.79,0.79,0.79,0.3
ENSFHET00000009045_ENSFHEG00000005261,0.8,0.76,0.73,0.74,0.85,0.87,0.81,0.84,0.66,0.86,0.86,0.9,0.9,0.82,0.62,0.82,0.9,0.82,1.0,0.9,0.88,0.88,0.88,0.88,0.88,0.34
ENSCVAT00000018229_ENSCVAG00000013555,0.79,0.75,0.72,0.73,0.84,0.86,0.8,0.83,0.65,0.86,0.86,0.89,0.89,0.81,0.61,0.81,0.89,0.81,0.9,1.0,0.87,0.87,0.87,0.87,0.87,0.34
ENSKMAT00000023683_ENSKMAG00000017347,0.81,0.77,0.74,0.75,0.85,0.88,0.82,0.84,0.65,0.86,0.86,0.88,0.88,0.8,0.6,0.8,0.88,0.8,0.88,0.87,1.0,0.87,0.87,0.87,0.87,0.34
ENSPNYT00000007616_ENSPNYG00000005691,0.8,0.75,0.72,0.74,0.84,0.87,0.8,0.84,0.65,0.86,0.86,0.87,0.87,0.79,0.59,0.79,0.87,0.79,0.88,0.87,0.87,1.0,0.94,0.94,0.94,0.37
ENSHBUT00000029224_ENSHBUG00000021995,0.79,0.75,0.72,0.73,0.84,0.87,0.8,0.83,0.65,0.86,0.86,0.87,0.87,0.79,0.59,0.79,0.87,0.79,0.88,0.87,0.87,0.94,1.0,0.94,0.94,0.37
ENSACLT00000001926_ENSACLG00000001274,0.79,0.75,0.72,0.73,0.84,0.87,0.8,0.83,0.65,0.86,0.86,0.87,0.87,0.79,0.59,0.79,0.87,0.79,0.88,0.87,0.87,0.94,0.94,1.0,0.94,0.37
ENSMZET00005009462_ENSMZEG00005006906,0.79,0.75,0.72,0.73,0.84,0.87,0.8,0.83,0.65,0.86,0.86,0.87,0.87,0.79,0.59,0.79,0.87,0.79,0.88,0.87,0.87,0.94,0.94,0.94,1.0,0.37
ENSNBRT00000011154_ENSNBRG00000008453,0.31,0.3,0.32,0.33,0.33,0.34,0.32,0.31,0.28,0.34,0.34,0.34,0.34,0.3,0.37,0.3,0.35,0.3,0.34,0.34,0.34,0.37,0.37,0.37,0.37,1.0
