,ENSHHUT00000028037_ENSHHUG00000017084,ENSHHUT00000016020_ENSHHUG00000009637,ENSELUT00000002354_ENSELUG00000010819,ENSELUT00000002367_ENSELUG00000010819,ENSCHAT00000061396_ENSCHAG00000025749,ENSCHAT00000061410_ENSCHAG00000025749,ENSSDUT00000007360_ENSSDUG00000005314,ENSSDUT00000007396_ENSSDUG00000005314,ENSCSET00000013899_ENSCSEG00000008799,ENSTRUT00000042298_ENSTRUG00000016493,ENSMMOT00000002840_ENSMMOG00000002251,ENSMMOT00000002841_ENSMMOG00000002251,ENSCGOT00000054804_ENSCGOG00000022737,ENSCGOT00000054807_ENSCGOG00000022737,ENSMAMT00000015545_ENSMAMG00000010258,ENSMALT00000022013_ENSMALG00000015100,ENSLCAT00010038096_ENSLCAG00010017423,ENSLCAT00010038098_ENSLCAG00010017423,ENSLCAT00010038100_ENSLCAG00010017423,ENSSMAT00000000714_ENSSMAG00000000437,ENSSDUT00000007473_ENSSDUG00000005376
ENSMMOT00000002841_ENSMMOG00000002251,1e-18,1e-18,0.11,0.5,0.12,0.13,1e-18,1e-18,0.08,0.08,0.5,1.0,0.62,0.83,1.0,0.4,0.5,0.4,0.62,0.5,0.4
ENSCGOT00000054804_ENSCGOG00000022737,1e-18,1e-18,0.12,0.5,0.14,0.15,1e-18,1e-18,0.09,0.09,0.62,0.62,1.0,0.75,0.62,0.5,0.62,0.5,0.6,0.6,0.5
ENSCGOT00000054807_ENSCGOG00000022737,1e-18,1e-18,0.13,0.62,0.14,0.16,1e-18,1e-18,0.09,0.09,0.62,0.83,0.75,1.0,0.83,0.5,0.62,0.5,0.75,0.6,0.5
ENSMAMT00000015545_ENSMAMG00000010258,1e-18,1e-18,0.11,0.5,0.12,0.13,1e-18,1e-18,0.08,0.08,0.5,1.0,0.62,0.83,1.0,0.4,0.5,0.4,0.62,0.5,0.4
ENSMALT00000022013_ENSMALG00000015100,1e-18,1e-18,0.1,0.33,0.11,0.12,1e-18,1e-18,0.08,0.08,0.6,0.4,0.5,0.5,0.4,1.0,0.6,0.5,0.42,0.7,0.5
ENSLCAT00010038096_ENSLCAG00010017423,1e-18,1e-18,0.1,0.4,0.11,0.12,1e-18,1e-18,0.08,0.08,0.75,0.5,0.62,0.62,0.5,0.6,1.0,0.6,0.5,0.6,0.6
ENSLCAT00010038098_ENSLCAG00010017423,1e-18,1e-18,0.1,0.33,0.11,0.12,1e-18,1e-18,0.07,0.07,0.6,0.4,0.5,0.5,0.4,0.5,0.6,1.0,0.42,0.5,0.5
ENSLCAT00010038100_ENSLCAG00010017423,1e-18,1e-18,0.12,0.75,0.14,0.15,1e-18,1e-18,0.09,0.09,0.5,0.62,0.6,0.75,0.62,0.42,0.5,0.42,1.0,0.5,0.42
ENSSMAT00000000714_ENSSMAG00000000437,1e-18,1e-18,0.12,0.42,0.14,0.15,1e-18,1e-18,0.09,0.09,0.6,0.5,0.6,0.6,0.5,0.7,0.6,0.5,0.5,1.0,0.5
ENSSDUT00000007473_ENSSDUG00000005376,1e-18,1e-18,0.1,0.33,0.11,0.12,1e-18,1e-18,0.07,0.07,0.6,0.4,0.5,0.5,0.4,0.5,0.6,0.5,0.42,0.5,1.0
