,ENSPVIT00000035478_ENSPVIG00000021385,ENSNSUT00000010003_ENSNSUG00000007157,ENSAPLT00000047846_ENSAPLG00000025958,ENSABRT00000001278_ENSABRG00000000926,ENSABRT00000001286_ENSABRG00000000926,ENSGALT00000036377_ENSGALG00000022704,ENSCJPT00005009293_ENSCJPG00005005481,ENSNMET00000004414_ENSNMEG00000002743,ENSPMJT00000009364_ENSPMJG00000005623,ENSPMJT00000009383_ENSPMJG00000005623,ENSLSDT00000014408_ENSLSDG00000009178,ENSJHYT00000013963_ENSJHYG00000008983,ENSCABT00000003282_ENSCABG00000002331,ENSCPRT00005028567_ENSCPRG00005017010,ENSHGLT00100014010_ENSHGLG00100010249,ENSHGLT00000017387_ENSHGLG00000012330,ENSFDAT00000030317_ENSFDAG00000019386,ENSCAPT00000016752_ENSCAPG00000013714,ENSCPOT00000022104_ENSCPOG00000026306,ENSODET00000013148_ENSODEG00000009610,ENSCLAT00000023267_ENSCLAG00000015822,ENSCLAT00000023268_ENSCLAG00000015822,ENSUPAT00010008875_ENSUPAG00010006245,ENSSTOT00000013282_ENSSTOG00000013282,ENSSDAT00000026931_ENSSDAG00000021446,ENSMMMT00000019081_ENSMMMG00000014908,ENSCCNT00000002434_ENSCCNG00000002017
ENSCAPT00000016752_ENSCAPG00000013714,0.34,0.31,0.29,0.28,0.33,0.41,0.32,0.34,0.27,0.26,0.29,0.29,0.4,0.42,0.65,0.55,0.58,1.0,0.58,0.56,0.58,0.58,0.51,0.48,0.57,0.52,0.52
ENSCPOT00000022104_ENSCPOG00000026306,0.34,0.34,0.33,0.36,0.35,0.31,0.36,0.35,0.32,0.3,0.33,0.34,0.37,0.38,0.66,0.59,0.63,0.58,1.0,0.59,0.6,0.6,0.56,0.51,0.63,0.56,0.56
ENSODET00000013148_ENSODEG00000009610,0.34,0.36,0.34,0.31,0.32,0.38,0.37,0.38,0.32,0.31,0.34,0.35,0.37,0.38,0.65,0.72,0.67,0.56,0.59,1.0,0.92,0.92,0.8,0.63,0.6,0.81,0.88
ENSCLAT00000023267_ENSCLAG00000015822,0.34,0.36,0.33,0.31,0.32,0.37,0.36,0.38,0.33,0.31,0.34,0.35,0.39,0.38,0.68,0.74,0.68,0.58,0.6,0.92,1.0,0.96,0.82,0.64,0.6,0.82,0.88
ENSCLAT00000023268_ENSCLAG00000015822,0.34,0.36,0.33,0.31,0.32,0.37,0.36,0.38,0.33,0.31,0.34,0.35,0.39,0.38,0.68,0.74,0.68,0.58,0.6,0.92,0.96,1.0,0.82,0.64,0.6,0.82,0.88
ENSUPAT00010008875_ENSUPAG00010006245,0.32,0.35,0.33,0.32,0.31,0.35,0.34,0.33,0.31,0.29,0.32,0.34,0.35,0.36,0.61,0.72,0.68,0.51,0.56,0.8,0.82,0.82,1.0,0.75,0.65,0.92,0.82
ENSSTOT00000013282_ENSSTOG00000013282,0.33,0.35,0.31,0.29,0.28,0.37,0.32,0.32,0.28,0.28,0.28,0.3,0.36,0.37,0.54,0.57,0.61,0.48,0.51,0.63,0.64,0.64,0.75,1.0,0.58,0.74,0.64
ENSSDAT00000026931_ENSSDAG00000021446,0.35,0.35,0.36,0.36,0.34,0.38,0.38,0.37,0.34,0.31,0.35,0.37,0.37,0.39,0.74,0.62,0.7,0.57,0.63,0.6,0.6,0.6,0.65,0.58,1.0,0.65,0.62
ENSMMMT00000019081_ENSMMMG00000014908,0.33,0.35,0.33,0.32,0.31,0.36,0.34,0.34,0.31,0.3,0.33,0.34,0.36,0.37,0.61,0.72,0.68,0.52,0.56,0.81,0.82,0.82,0.92,0.74,0.65,1.0,0.82
ENSCCNT00000002434_ENSCCNG00000002017,0.33,0.35,0.33,0.31,0.31,0.37,0.36,0.35,0.32,0.3,0.34,0.34,0.37,0.37,0.63,0.71,0.65,0.52,0.56,0.88,0.88,0.88,0.82,0.64,0.62,0.82,1.0
